player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233092,/player/233092/joaquin-pereyra/240002,24.0,2.0,2023-09-22,J. Pereyra,Joaquín Nicolás Pereyra,"CM, LM",74,80,6500000.0,10000.0,24,1998-12-01,181,71,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,LCM,10.0,,2023-01-01,2025.0,52,Argentina,,,,Left,3,3,1,High/High,Lean (170-185),No,11100000.0,,"Power Shot, Press Proven",67.0,67.0,75.0,73.0,63.0,66.0,76,62,46,75,56,73,71,65,74,74,66,67,68,74,71,75,61,74,65,71,58,70,75,77,57,75.0,61,67,58,8,12,10,10,7,,68+2,68+2,68+2,72,72,72,72,72,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,70+2,70+2,70+2,70+2,70+2,68+2,64+2,64+2,64+2,68+2,16+2
219174,/player/219174/ramiro-carrera/240002,24.0,2.0,2023-09-22,R. Carrera,Ramiro Ángel Carrera,"CM, LM, RM",74,74,4100000.0,12000.0,29,1993-10-24,182,77,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,SUB,23.0,,2023-01-01,2025.0,52,Argentina,,,,Right,4,3,1,High/Medium,Normal (170-185),No,6200000.0,,Pinged Pass,79.0,71.0,73.0,73.0,64.0,75.0,68,71,61,76,62,74,70,61,72,75,77,80,67,72,72,70,80,81,76,73,66,66,74,75,66,71.0,63,65,60,14,16,15,8,12,,72+2,72+2,72+2,74,74,74,74,74,74,74,74,74,74,74,74,74,71+2,70+2,70+2,70+2,71+2,69+2,67+2,67+2,67+2,69+2,19+2
215015,/player/215015/bruno-bianchi/240002,24.0,2.0,2023-09-22,B. Bianchi,Bruno Félix Bianchi Massey,CB,73,73,1000000.0,10000.0,34,1989-02-17,183,79,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,RCB,2.0,,2022-02-07,2024.0,52,Argentina,,,,Right,2,2,1,Low/Medium,Normal (170-185),No,1500000.0,,"Long Ball Pass, Intercept",59.0,35.0,57.0,57.0,74.0,78.0,45,30,71,68,26,54,31,23,70,59,56,61,61,65,49,51,80,66,84,36,77,72,41,53,21,55.0,75,75,73,14,15,14,16,10,,52+2,52+2,52+2,52,53,53,53,52,55+2,55+2,55+2,55+2,61+2,61+2,61+2,55+2,65+2,70+2,70+2,70+2,65+2,66+2,73,73,73,66+2,19+2
259273,/player/259273/tomas-marchiori/240002,24.0,2.0,2023-09-22,T. Marchiori,Tomás Ignacio Marchiori Carreño,GK,72,74,2000000.0,8000.0,28,1995-06-20,186,84,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,GK,1.0,,2022-01-10,2025.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3200000.0,,,,,,,,,9,6,13,23,9,9,10,14,26,16,33,26,27,70,37,51,59,25,63,7,20,10,8,33,17,29.0,9,11,12,70,72,68,74,71,30.0,24+2,24+2,24+2,20,22,22,22,20,22+2,22+2,22+2,21+2,23+2,23+2,23+2,21+2,20+2,23+2,23+2,23+2,20+2,20+2,22+2,22+2,22+2,20+2,71+2
263501,/player/263501/bautista-kociubinski/240002,24.0,2.0,2023-09-22,B. Kociubinski,Bautista Kociubinski,"CDM, CM, CB",71,80,4000000.0,8000.0,22,2001-04-26,180,83,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,RCM,16.0,Estudiantes,,2023.0,52,Argentina,,,,Right,3,2,1,Low/High,Normal (170-185),No,,,Intercept,53.0,55.0,63.0,61.0,69.0,67.0,52,54,49,70,41,59,55,54,68,64,55,52,50,71,63,62,57,72,62,54,77,74,43,60,61,70.0,73,68,69,7,8,12,11,13,,56+2,56+2,56+2,58,58,58,58,58,60+2,60+2,60+2,60+2,65+2,65+2,65+2,60+2,66+2,70+2,70+2,70+2,66+2,66+2,67+2,67+2,67+2,66+2,17+2
257338,/player/257338/renzo-tesuri/240002,24.0,2.0,2023-09-22,R. Tesuri,Renzo Iván Tesuri,"RM, RWB",71,71,2000000.0,8000.0,27,1996-06-07,166,60,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,RM,24.0,,2021-07-13,2025.0,52,Argentina,,,,Right,3,3,1,High/Medium,Normal (170-),No,3000000.0,,"Finesse Shot, Rapid",83.0,62.0,66.0,73.0,42.0,54.0,67,63,45,68,57,72,74,58,66,70,85,81,83,68,92,66,56,77,42,57,54,41,66,61,62,61.0,43,42,39,8,10,10,13,6,,64+2,64+2,64+2,70,68,68,68,70,68+2,68+2,68+2,70+1,65+2,65+2,65+2,70+1,60+2,56+2,56+2,56+2,60+2,57+2,48+2,48+2,48+2,57+2,16+2
252193,/player/252193/ramiro-ruiz-rodriguez/240002,24.0,2.0,2023-09-22,R. Ruiz Rodríguez,Ramiro Ruiz Rodríguez,"ST, LM",70,79,3600000.0,7000.0,23,2000-03-21,185,75,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,SUB,18.0,,2019-07-24,2024.0,52,Argentina,,,,Right,2,3,1,High/Medium,Normal (185+),No,6100000.0,,,79.0,68.0,66.0,70.0,38.0,67.0,67,68,65,68,58,72,57,52,64,70,76,81,67,68,67,72,79,73,72,67,44,32,70,67,66,68.0,34,37,34,8,12,12,15,14,,70+2,70+2,70+2,70,70,70,70,70,69+2,69+2,69+2,70+2,65+2,65+2,65+2,70+2,57+2,54+2,54+2,54+2,57+2,54+2,49+2,49+2,49+2,54+2,18+2
259537,/player/259537/mateo-coronel/240002,24.0,2.0,2023-09-22,M. Coronel,Mateo Agustín Coronel,"ST, LM",70,77,3200000.0,8000.0,24,1998-10-24,170,71,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,LS,37.0,Argentinos Juniors,,2023.0,52,Argentina,,,,Right,3,3,1,High/Medium,Normal (170-),No,,,,83.0,70.0,67.0,69.0,36.0,58.0,60,72,59,70,68,69,69,52,71,67,84,83,74,66,81,73,75,48,64,69,53,30,71,68,50,70.0,36,36,28,15,14,7,12,9,,70+2,70+2,70+2,70,70,70,70,70,70+2,70+2,70+2,69+2,64+2,64+2,64+2,69+2,53+2,52+2,52+2,52+2,53+2,51+2,47+2,47+2,47+2,51+2,18+2
241696,/player/241696/hernan-de-la-fuente/240002,24.0,2.0,2023-09-22,H. De La Fuente,Hernán De La Fuente,RB,70,73,1900000.0,6000.0,26,1997-01-07,177,73,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,RB,4.0,Famalicão,,2023.0,52,Argentina,,,,Right,2,3,1,High/Medium,Normal (170-185),No,,,Block,84.0,60.0,60.0,71.0,62.0,75.0,66,56,54,65,47,72,53,47,62,70,82,85,82,65,73,70,76,78,73,59,77,68,62,49,64,58.0,55,66,63,15,10,9,14,8,,65+2,65+2,65+2,67,66,66,66,67,65+2,65+2,65+2,68+2,64+2,64+2,64+2,68+2,69+2,66+2,66+2,66+2,69+2,68+2,65+2,65+2,65+2,68+2,17+2
262142,/player/262142/nicolas-romero/240002,24.0,2.0,2023-09-22,N. Romero,Nicolás Romero,"CB, LB",69,79,2800000.0,3000.0,19,2003-11-28,186,81,111708.0,Atlético Tucumán,353.0,Liga Profesional,1.0,LCB,20.0,,2021-05-08,2024.0,52,Argentina,,,,Left,2,2,1,Low/Medium,Lean (185+),No,4800000.0,,,62.0,45.0,54.0,58.0,71.0,68.0,48,35,56,60,33,58,53,62,54,58,63,61,52,70,53,59,69,56,71,54,74,71,52,48,39,60.0,74,73,71,15,10,13,14,8,,54+2,54+2,54+2,55,55,55,55,55,55+2,55+2,55+2,56+2,58+2,58+2,58+2,56+2,63+2,65+2,65+2,65+2,63+2,65+2,69+2,69+2,69+2,65+2,18+2
