player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215018,/player/215018/brahian-aleman/240002,24.0,2.0,2023-09-22,B. Alemán,Brahian Milton Alemán Athaydes,"CM, CAM, LM",74,74,2600000.0,14000.0,33,1989-12-23,178,79,110404.0,Banfield,353.0,Liga Profesional,1.0,LCM,10.0,,2023-01-11,2023.0,60,Uruguay,,,,Left,3,3,1,High/Medium,Normal (170-185),No,3900000.0,,"Power Shot, Dead Ball, Pinged Pass, Incisive Pass, Whipped Cross, Technical, Flair",71.0,74.0,77.0,72.0,66.0,72.0,80,71,54,75,67,71,81,79,74,74,68,74,75,70,65,79,66,77,69,75,73,69,74,77,76,70.0,65,68,68,9,8,14,6,7,,71+2,71+2,71+2,73,73,73,73,73,74,74,74,74,74,74,74,74,72+2,71+2,71+2,71+2,72+2,71+2,68+2,68+2,68+2,71+2,15+2
224511,/player/224511/ezequiel-bonifacio/240002,24.0,2.0,2023-09-22,E. Bonifacio,Ezequiel Augusto Bonifacio Moreno,"RM, RB",71,71,1800000.0,11000.0,29,1994-05-09,170,69,110404.0,Banfield,353.0,Liga Profesional,1.0,SUB,19.0,,2023-08-14,2024.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Stocky (170-),No,2700000.0,,Rapid,72.0,58.0,67.0,73.0,67.0,72.0,72,49,61,70,59,73,49,47,63,71,74,71,76,70,82,65,74,74,69,67,77,65,73,67,61,79.0,65,70,70,10,7,15,11,6,,65+2,65+2,65+2,69,68,68,68,69,69+2,69+2,69+2,70+1,69+2,69+2,69+2,70+1,70+1,69+2,69+2,69+2,70+1,69+2,68+2,68+2,68+2,69+2,16+2
239491,/player/239491/juan-alvarez/240002,24.0,2.0,2023-09-22,J. Álvarez,Juan Pablo Álvarez,"RM, RW, LWB",71,71,2000000.0,10000.0,27,1996-02-10,176,72,110404.0,Banfield,353.0,Liga Profesional,1.0,RM,22.0,,2017-04-25,2024.0,52,Argentina,,,,Right,3,3,1,High/Low,Normal (170-185),No,3000000.0,,Technical,78.0,66.0,68.0,71.0,40.0,65.0,71,65,53,67,58,72,63,52,67,67,80,76,76,68,75,68,71,71,67,68,53,33,71,71,67,70.0,48,35,33,10,8,7,13,6,,67+2,67+2,67+2,70,69,69,69,70,70+1,70+1,70+1,70+1,65+2,65+2,65+2,70+1,58+2,55+2,55+2,55+2,58+2,55+2,49+2,49+2,49+2,55+2,16+2
142721,/player/142721/marcelo-barovero/240002,24.0,2.0,2023-09-22,M. Barovero,Marcelo Alberto Barovero,GK,70,70,180000.0,4000.0,39,1984-02-18,182,74,110404.0,Banfield,353.0,Liga Profesional,1.0,SUB,1.0,,2023-08-21,2024.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Lean (170-185),No,270000.0,,Far Throw,,,,,,,14,13,13,36,18,18,19,19,23,12,34,33,31,66,57,47,49,32,45,17,34,16,16,51,20,64.0,19,16,14,68,66,63,72,71,34.0,26+2,26+2,26+2,25,28,28,28,25,29+2,29+2,29+2,27+2,29+2,29+2,29+2,27+2,25+2,27+2,27+2,27+2,25+2,24+2,25+2,25+2,25+2,24+2,69+1
215144,/player/215144/emanuel-insua/240002,24.0,2.0,2023-09-22,E. Insua,Emanuel Mariano Insúa Zapata,LB,70,70,1100000.0,8000.0,32,1991-04-10,182,81,110404.0,Banfield,353.0,Liga Profesional,1.0,LB,33.0,,2023-01-03,2023.0,52,Argentina,,,,Left,2,3,1,Medium/Medium,Normal (170-185),No,1700000.0,,Bruiser,75.0,54.0,58.0,64.0,67.0,74.0,64,49,64,59,30,63,47,42,58,66,73,77,59,66,64,70,77,75,71,59,81,65,56,58,41,60.0,66,71,67,8,11,7,14,8,,61+2,61+2,61+2,62,62,62,62,62,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,67+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,68+2,68+2,16+2
261161,/player/261161/milton-gimenez/240002,24.0,2.0,2023-09-22,M. Giménez,Milton Giménez,ST,70,70,1800000.0,10000.0,26,1996-08-12,184,83,110404.0,Banfield,353.0,Liga Profesional,1.0,ST,45.0,,2023-02-09,2026.0,52,Argentina,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2700000.0,,,64.0,72.0,47.0,63.0,28.0,77.0,37,72,75,54,67,61,58,60,34,68,63,65,46,69,74,79,82,70,79,67,77,25,70,48,77,59.0,19,25,25,15,7,10,5,11,,70,70,70,61,65,65,65,61,60+2,60+2,60+2,59+2,54+2,54+2,54+2,59+2,46+2,45+2,45+2,45+2,46+2,44+2,46+2,46+2,46+2,44+2,16+2
232645,/player/232645/facundo-cambeses/240002,24.0,2.0,2023-09-22,F. Cambeses,Facundo Nicolás Cambeses,GK,69,74,1600000.0,6000.0,26,1997-04-09,184,80,110404.0,Banfield,353.0,Liga Profesional,1.0,GK,21.0,,2016-01-04,2024.0,52,Argentina,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,2500000.0,,,,,,,,,13,12,13,17,11,11,13,14,21,10,49,44,39,65,55,48,58,34,53,14,27,24,16,44,14,49.0,23,14,11,71,65,64,67,73,47.0,26+2,26+2,26+2,23,25,25,25,23,25+2,25+2,25+2,25+2,24+2,24+2,24+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,68+2
240457,/player/240457/alejandro-maciel/240002,24.0,2.0,2023-09-22,A. Maciel,Alejandro Ramón Maciel,CB,69,74,1800000.0,7000.0,26,1997-04-22,183,87,110404.0,Banfield,353.0,Liga Profesional,1.0,RCB,4.0,,2022-01-08,2024.0,52,Argentina,,,,Right,2,2,1,Low/High,Stocky (170-185),No,2800000.0,,"Jockey, Anticipate",53.0,32.0,37.0,47.0,71.0,74.0,28,30,60,47,26,38,29,31,40,52,54,53,47,65,53,39,72,62,80,30,73,68,28,32,44,65.0,71,75,71,11,14,12,15,10,,45+2,45+2,45+2,42,42,42,42,42,42+2,42+2,42+2,43+2,47+2,47+2,47+2,43+2,57+2,61+2,61+2,61+2,57+2,60+2,69+2,69+2,69+2,60+2,18+2
251139,/player/251139/jesus-soraire/240002,24.0,2.0,2023-09-22,J. Soraire,Jesús Miguel Soraire,"CM, CDM",69,69,650000.0,7000.0,34,1988-12-03,174,73,110404.0,Banfield,353.0,Liga Profesional,1.0,SUB,18.0,Central Cordoba SdE,,2024.0,52,Argentina,,,,Right,3,3,1,Low/High,Normal (170-185),No,,,Flair,73.0,60.0,70.0,73.0,61.0,78.0,67,55,51,72,51,70,78,64,70,73,74,72,78,69,79,74,73,78,77,61,80,63,59,70,61,79.0,59,67,59,12,9,10,13,9,,65+2,65+2,65+2,68,67,67,67,68,69,69,69,69,69,69,69,69,68+1,69,69,69,68+1,67+2,66+2,66+2,66+2,67+2,17+2
258455,/player/258455/alejandro-cabrera/240002,24.0,2.0,2023-09-22,A. Cabrera,Alejandro Martín Cabrera,"CDM, CM",69,69,1200000.0,7000.0,30,1992-09-30,185,85,110404.0,Banfield,353.0,Liga Profesional,1.0,RCM,16.0,,2020-08-22,2024.0,52,Argentina,,,,Right,3,2,1,Medium/High,Normal (185+),No,1800000.0,,,62.0,51.0,63.0,62.0,65.0,73.0,53,48,57,69,45,60,49,51,70,66,60,64,61,59,63,59,69,72,75,47,70,72,59,65,50,67.0,61,68,65,9,11,6,5,15,,59+2,59+2,59+2,60,60,60,60,60,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,65+2,68+1,68+1,68+1,65+2,65+2,66+2,66+2,66+2,65+2,15+2
