player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
222418,/player/222418/nahuel-losada/240002,24.0,2.0,2023-09-22,N. Losada,Nahuel Hernán Losada,GK,73,73,2000000.0,9000.0,30,1993-04-17,185,79,111022.0,Belgrano,353.0,Liga Profesional,1.0,GK,25.0,,2023-01-20,2025.0,52,Argentina,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3000000.0,,,,,,,,,18,17,20,30,13,19,16,13,19,18,41,40,39,70,54,54,61,33,56,13,24,19,11,14,27,48.0,18,15,14,74,74,72,70,69,41.0,29+2,29+2,29+2,25,26,26,26,25,24+2,24+2,24+2,26+2,24+2,24+2,24+2,26+2,27+2,26+2,26+2,26+2,27+2,26+2,27+2,27+2,27+2,26+2,72+1
273764,/player/273764/ulises-sanchez/240002,24.0,2.0,2023-09-22,U. Sanchez,Ulises Sanchez,"RM, CM, CDM",72,75,3100000.0,10000.0,25,1998-06-26,169,70,111022.0,Belgrano,353.0,Liga Profesional,1.0,RM,12.0,,2019-07-23,2025.0,52,Argentina,,,,Right,3,3,1,High/High,Lean (170-),No,4900000.0,,,66.0,66.0,74.0,71.0,59.0,58.0,76,68,55,75,52,73,73,65,73,72,66,66,64,67,74,62,60,66,52,68,60,56,68,74,61,53.0,57,65,57,7,9,14,7,5,,66+2,66+2,66+2,71,70,70,70,71,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,66+2,65+2,65+2,65+2,66+2,64+2,60+2,60+2,60+2,64+2,14+2
247368,/player/247368/juan-barinaga/240002,24.0,2.0,2023-09-22,J. Barinaga,Juan Ignacio Barinaga,RB,71,79,4000000.0,7000.0,22,2000-10-10,166,70,111022.0,Belgrano,353.0,Liga Profesional,1.0,RB,4.0,,2021-03-12,2025.0,52,Argentina,,,,Right,2,2,1,Medium/Medium,Normal (170-),No,6800000.0,,Anticipate,71.0,48.0,64.0,65.0,68.0,71.0,70,44,54,65,52,65,64,55,64,64,71,71,72,64,67,53,69,75,70,49,70,69,58,60,50,61.0,68,72,71,14,6,6,9,11,,58+2,58+2,58+2,63,60,60,60,63,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,69+2,68+2,68+2,68+2,69+2,69+2,68+2,68+2,68+2,69+2,16+2
211265,/player/211265/ariel-rojas/240002,24.0,2.0,2023-09-22,A. Rojas,Ariel Mauricio Rojas,"CM, CDM, LM",71,71,600000.0,7000.0,37,1986-01-16,176,71,111022.0,Belgrano,353.0,Liga Profesional,1.0,LDM,32.0,,2021-08-06,2023.0,52,Argentina,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,900000.0,,"Jockey, Block, Anticipate",57.0,67.0,72.0,71.0,67.0,70.0,72,63,58,72,71,72,72,64,69,74,51,61,64,71,62,69,63,73,69,73,69,66,72,74,66,71.0,70,68,63,6,10,14,9,8,,67+2,67+2,67+2,69,69,69,69,69,70+1,70+1,70+1,70+1,71,71,71,70+1,69+2,70+1,70+1,70+1,69+2,67+2,67+2,67+2,67+2,67+2,15+2
237979,/player/237979/matias-marin/240002,24.0,2.0,2023-09-22,M. Marín,Matías Nicolás Marín Vega,"CAM, LM",70,77,3200000.0,7000.0,23,1999-12-19,170,68,111022.0,Belgrano,353.0,Liga Profesional,1.0,CAM,10.0,,2023-07-24,2026.0,55,Chile,,,,Left,3,3,1,Medium/Low,Lean (170-),No,5400000.0,,,67.0,62.0,67.0,71.0,27.0,41.0,54,67,31,72,37,72,57,60,71,71,67,67,70,63,88,48,37,60,31,70,43,23,67,73,54,55.0,28,25,30,15,8,15,11,6,,60+2,60+2,60+2,68,67,67,67,68,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2,50+2,49+2,49+2,49+2,50+2,46+2,35+2,35+2,35+2,46+2,16+2
273768,/player/273768/santiago-longo/240002,24.0,2.0,2023-09-22,S. Longo,Santiago Longo,"CDM, CM",70,74,2000000.0,7000.0,25,1998-04-12,177,70,111022.0,Belgrano,353.0,Liga Profesional,1.0,RDM,5.0,,2020-01-06,2024.0,52,Argentina,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,3200000.0,,Slide Tackle,55.0,48.0,65.0,65.0,69.0,74.0,61,42,65,70,45,65,46,51,71,65,54,56,56,67,72,52,70,73,74,52,77,65,65,64,53,67.0,71,72,70,11,10,14,15,11,,59+2,59+2,59+2,61,61,61,61,61,63+2,63+2,63+2,63+2,67+2,67+2,67+2,63+2,67+2,69+2,69+2,69+2,67+2,67+2,70+2,70+2,70+2,67+2,18+2
224854,/player/224854/lucas-passerini/240002,24.0,2.0,2023-09-22,L. Passerini,Lucas Giuliano Passerini,ST,70,70,1600000.0,9000.0,28,1994-07-16,189,88,111022.0,Belgrano,353.0,Liga Profesional,1.0,ST,9.0,,2023-08-13,2026.0,52,Argentina,,,,Right,3,2,1,Medium/Low,Normal (185+),No,2400000.0,#Strength,,54.0,71.0,48.0,60.0,28.0,81.0,32,73,71,58,65,59,42,48,46,70,55,53,36,70,33,75,83,58,92,64,80,19,73,48,66,67.0,20,27,25,11,6,12,13,14,,70,70,70,60,65,65,65,60,61+2,61+2,61+2,58+2,56+2,56+2,56+2,58+2,43+2,47+2,47+2,47+2,43+2,42+2,47+2,47+2,47+2,42+2,18+2
273767,/player/273767/nicolas-meriano/240002,24.0,2.0,2023-09-22,N. Meriano,Nicolas Meriano,CB,69,75,2000000.0,6000.0,22,2000-11-09,190,70,111022.0,Belgrano,353.0,Liga Profesional,1.0,RCB,13.0,,2023-01-01,2024.0,52,Argentina,,,,Left,3,2,1,Low/Medium,Lean (185+),No,3400000.0,,,65.0,41.0,49.0,51.0,71.0,72.0,35,42,67,61,32,49,40,41,58,47,62,67,58,57,69,42,73,72,73,40,67,70,34,41,45,52.0,71,73,71,9,10,7,9,8,,50+2,50+2,50+2,48,48,48,48,48,49+2,49+2,49+2,51+2,54+2,54+2,54+2,51+2,61+2,64+2,64+2,64+2,61+2,64+2,69+2,69+2,69+2,64+2,14+2
193510,/player/193510/diego-novaretti/240002,24.0,2.0,2023-09-22,D. Novaretti,Diego Martín Novaretti,CB,69,69,250000.0,5000.0,38,1985-05-09,193,91,111022.0,Belgrano,353.0,Liga Profesional,1.0,SUB,2.0,,2021-03-09,2023.0,52,Argentina,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,375000.0,#Strength,Power Header,32.0,32.0,50.0,44.0,70.0,76.0,34,35,72,60,15,42,46,39,61,50,31,33,30,63,31,31,66,54,87,36,76,67,15,42,30,53.0,70,70,69,6,11,7,12,11,,43+2,43+2,43+2,40,41,41,41,40,44+2,44+2,44+2,43+2,52+2,52+2,52+2,43+2,56+2,64+2,64+2,64+2,56+2,58+2,69,69,69,58+2,16+2
216698,/player/216698/matias-garcia/240002,24.0,2.0,2023-09-22,M. García,Ariel Matías García,"CM, CDM, LM",69,69,1100000.0,7000.0,31,1991-10-22,174,70,111022.0,Belgrano,353.0,Liga Profesional,1.0,SUB,15.0,,2023-01-13,2024.0,52,Argentina,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1700000.0,,,71.0,64.0,65.0,71.0,60.0,55.0,64,64,44,68,45,70,49,41,66,73,69,72,69,67,79,67,45,76,44,66,57,59,65,70,70,58.0,52,70,67,12,15,8,14,9,,63+2,63+2,63+2,68,68,68,68,68,69,69,69,69,69,69,69,69,67+2,65+2,65+2,65+2,67+2,66+2,59+2,59+2,59+2,66+2,18+2
