player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
179813,/player/179813/edinson-cavani/240002,24.0,2.0,2023-09-22,E. Cavani,Edinson Roberto Cavani Gómez,ST,79,79,6000000.0,20000.0,36,1987-02-14,185,77,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,ST,10.0,,2023-07-30,2024.0,60,Uruguay,,,,Right,4,3,4,High/High,Unique,Yes,8400000.0,,Power Header,59.0,82.0,68.0,72.0,51.0,72.0,65,83,84,72,81,70,76,74,52,76,56,61,63,82,57,85,81,57,74,73,81,54,88,73,83,81.0,45,48,39,12,5,13,13,10,,79,79,79,73,76,76,76,73,73+3,73+3,73+3,71+3,69+3,69+3,69+3,71+3,60+3,61+3,61+3,61+3,60+3,59+3,61+3,61+3,61+3,59+3,18+3
173373,/player/173373/sergio-romero/240002,24.0,2.0,2023-09-22,S. Romero,Sergio Germán Romero,GK,78,78,1600000.0,11000.0,36,1987-02-22,192,88,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,GK,1.0,,2022-08-08,2024.0,52,Argentina,,,,Right,3,1,3,Medium/Medium,Normal (185+),Yes,2200000.0,,Far Throw,,,,,,,11,14,12,44,17,12,12,13,47,42,47,44,55,75,44,53,69,31,73,11,33,21,11,56,16,62.0,14,11,15,79,75,70,76,82,46.0,32+3,32+3,32+3,32,34,34,34,32,37+3,37+3,37+3,34+3,38+3,38+3,38+3,34+3,29+3,35+3,35+3,35+3,29+3,28+3,29+3,29+3,29+3,28+3,77+1
201862,/player/201862/marcos-rojo/240002,24.0,2.0,2023-09-22,M. Rojo,Faustino Marcos Alberto Rojo,CB,77,77,5000000.0,19000.0,33,1990-03-20,186,82,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,LCB,6.0,,2021-02-02,2025.0,52,Argentina,,,,Left,2,3,3,Medium/High,Stocky (185+),Yes,7000000.0,,"Long Ball Pass, Slide Tackle, Bruiser",63.0,60.0,67.0,64.0,76.0,79.0,63,50,75,73,48,61,67,60,68,66,62,63,67,73,64,79,82,58,83,62,92,78,54,60,75,70.0,75,76,77,7,8,12,15,10,,64+3,64+3,64+3,62,63,63,63,62,64+3,64+3,64+3,63+3,66+3,66+3,66+3,63+3,70+3,73+3,73+3,73+3,70+3,71+3,77,77,77,71+3,17+3
214040,/player/214040/frank-fabra/240002,24.0,2.0,2023-09-22,F. Fabra,Frank Yusty Fabra Palacios,LB,76,76,5000000.0,17000.0,32,1991-02-22,174,78,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,LB,18.0,,2016-01-22,2025.0,56,Colombia,,,,Left,3,3,1,High/Medium,Stocky (170-185),Yes,7000000.0,,"Intercept, Rapid, First Touch, Trivela",81.0,68.0,74.0,78.0,70.0,76.0,76,67,67,75,33,79,71,61,74,77,78,84,82,72,68,78,80,80,74,70,76,71,77,74,63,78.0,68,71,73,7,15,13,9,7,,73+2,73+2,73+2,76,75,75,75,76,75+1,75+1,75+1,76,75+1,75+1,75+1,76,75+1,73+2,73+2,73+2,75+1,74+2,72+2,72+2,72+2,74+2,17+2
219841,/player/219841/nicolas-figal/240002,24.0,2.0,2023-09-22,N. Figal,Jorge Nicolás Figal,"CB, RB",76,76,6500000.0,18000.0,29,1994-04-03,180,75,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,RCB,4.0,,2022-01-25,2024.0,52,Argentina,,,,Right,3,3,1,Medium/High,Normal (170-185),Yes,9100000.0,,Long Throw,73.0,44.0,63.0,68.0,75.0,80.0,58,40,74,72,28,66,44,30,72,70,73,73,72,75,63,61,86,79,82,41,76,75,39,60,37,72.0,74,77,74,7,11,7,16,9,,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,65+2,67+2,67+2,67+2,65+2,72+2,74+2,74+2,74+2,72+2,73+2,76,76,76,73+2,18+2
261082,/player/261082/cristian-medina/240002,24.0,2.0,2023-09-22,C. Medina,Cristian Nicolás Medina,CM,75,84,12500000.0,14000.0,21,2002-06-01,178,70,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,RCM,36.0,,2020-12-18,2027.0,52,Argentina,,,,Right,3,3,1,Medium/High,Lean (170-185),Yes,20000000.0,,"Technical, First Touch",75.0,64.0,72.0,79.0,69.0,68.0,67,67,51,78,49,79,62,52,72,79,76,75,80,74,76,64,67,81,60,61,74,66,71,73,54,77.0,72,74,65,8,8,12,6,6,,69+2,69+2,69+2,74,73,73,73,74,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,73+2,73+2,73+2,73+2,73+2,71+2,68+2,68+2,68+2,71+2,15+2
240663,/player/240663/miguel-angel-merentiel/240002,24.0,2.0,2023-09-22,M. Merentiel,Miguel Ángel Merentiel Serrano,ST,75,76,6500000.0,20000.0,27,1996-02-24,175,70,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,SUB,16.0,,2023-02-02,2023.0,60,Uruguay,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,9600000.0,,,77.0,73.0,55.0,72.0,37.0,77.0,26,76,71,70,67,70,46,59,51,73,77,77,72,77,77,75,78,81,78,67,68,20,79,64,64,75.0,44,34,22,8,14,11,9,5,,75+1,75+1,75+1,69,73,73,73,69,71+2,71+2,71+2,68+2,65+2,65+2,65+2,68+2,51+2,53+2,53+2,53+2,51+2,50+2,51+2,51+2,51+2,50+2,17+2
204539,/player/204539/luis-advincula/240002,24.0,2.0,2023-09-22,L. Advíncula,Luis Jan Piers Advíncula Castrillón,"RB, RW, RM",75,75,2900000.0,17000.0,33,1990-03-02,180,80,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,RB,17.0,,2021-07-31,2024.0,59,Peru,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,4100000.0,#Speedster,"Power Shot, Whipped Cross, Rapid, Quick Step",90.0,67.0,69.0,74.0,69.0,81.0,73,60,62,68,59,74,76,63,67,72,90,90,82,71,80,77,86,88,79,73,75,71,74,67,64,62.0,67,71,67,11,12,13,15,11,,71+2,71+2,71+2,73,72,72,72,73,72+2,72+2,72+2,74+1,71+2,71+2,71+2,74+1,74+1,71+2,71+2,71+2,74+1,73+2,71+2,71+2,71+2,73+2,19+2
211269,/player/211269/guillermo-fernandez/240002,24.0,2.0,2023-09-22,G. Fernández,Guillermo Matías Fernández,CM,75,75,4600000.0,18000.0,31,1991-10-11,178,75,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,LCM,8.0,,2022-01-28,2024.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,6400000.0,,"Pinged Pass, Jockey, Technical",69.0,67.0,73.0,76.0,65.0,66.0,65,64,45,78,65,75,73,69,75,78,68,69,77,74,70,71,61,76,63,69,60,73,71,74,59,78.0,65,67,66,9,14,6,11,6,,68+2,68+2,68+2,72,72,72,72,72,74+1,74+1,74+1,73+2,75,75,75,73+2,71+2,72+2,72+2,72+2,71+2,69+2,66+2,66+2,66+2,69+2,17+2
215061,/player/215061/dario-benedetto/240002,24.0,2.0,2023-09-22,D. Benedetto,Darío Ismael Benedetto,ST,74,74,2700000.0,18000.0,33,1990-05-17,175,75,1877.0,Boca Juniors,353.0,Liga Profesional,1.0,SUB,9.0,,2022-01-21,2024.0,52,Argentina,,,,Right,4,3,2,Medium/Low,Normal (170-185),Yes,3800000.0,,"Flair, First Touch, Acrobatic",71.0,76.0,69.0,73.0,34.0,67.0,60,75,76,71,78,72,81,64,73,75,70,71,72,73,73,81,87,67,66,74,66,35,76,72,74,81.0,30,25,25,10,14,12,8,11,,74,74,74,72,74,74,74,72,73+1,73+1,73+1,71+2,68+2,68+2,68+2,71+2,54+2,55+2,55+2,55+2,54+2,51+2,49+2,49+2,49+2,51+2,18+2
