player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
258180,/player/258180/sebastian-meza/240002,24.0,2.0,2023-09-22,S. Meza,Sebastián Tomás Meza,GK,74,82,8000000.0,8000.0,23,2000-03-14,185,82,111711.0,Huracán,353.0,Liga Profesional,1.0,SUB,42.0,,2020-03-07,2024.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,13600000.0,,,,,,,,,16,10,15,23,10,15,12,15,25,16,31,35,34,73,42,56,62,28,70,11,27,10,8,37,17,30.0,11,13,16,74,70,75,74,75,33.0,27+2,27+2,27+2,23,25,25,25,23,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,23+2,24+2,24+2,24+2,23+2,23+2,25+2,25+2,25+2,23+2,73+2
221413,/player/221413/rodrigo-echeverria/240002,24.0,2.0,2023-09-22,R. Echeverría,Rodrigo Eduardo Echeverría Sáez,"CB, CDM, CM",74,76,4200000.0,12000.0,28,1995-04-17,180,77,111711.0,Huracán,353.0,Liga Profesional,1.0,LCB,18.0,,2020-01-01,2025.0,55,Chile,,,,Right,3,2,1,High/High,Lean (170-185),No,6600000.0,#Engine,Slide Tackle,72.0,65.0,66.0,70.0,74.0,82.0,68,66,71,71,46,68,45,48,67,70,69,74,75,74,67,67,82,92,80,62,76,74,70,66,67,70.0,75,73,72,10,14,8,12,8,,69+2,69+2,69+2,69,69,69,69,69,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,18+2
221310,/player/221310/andres-felipe-roa/240002,24.0,2.0,2023-09-22,A. Roa,Andrés Felipe Roa Estrada,"CAM, LM, LW",74,74,4100000.0,13000.0,30,1993-05-25,175,67,111711.0,Huracán,353.0,Liga Profesional,1.0,SUB,10.0,,2023-08-29,2024.0,56,Colombia,,,,Right,3,4,1,Medium/Low,Normal (170-185),No,6200000.0,,"Technical, Flair",76.0,67.0,73.0,78.0,54.0,63.0,72,65,60,74,44,81,80,73,65,74,75,76,81,70,79,73,69,69,56,72,72,52,72,74,59,75.0,49,59,47,16,6,14,9,10,,69+2,69+2,69+2,74,73,73,73,74,74,74,74,73+1,70+2,70+2,70+2,73+1,65+2,63+2,63+2,63+2,65+2,63+2,59+2,59+2,59+2,63+2,17+2
226671,/player/226671/federico-fattori/240002,24.0,2.0,2023-09-22,F. Fattori,Federico Fattori Mouzo,"CDM, CM",74,74,3500000.0,12000.0,30,1992-07-22,177,70,111711.0,Huracán,353.0,Liga Profesional,1.0,RCM,24.0,,2022-01-10,2025.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,5300000.0,,"Incisive Pass, Intercept",67.0,54.0,68.0,72.0,70.0,76.0,60,50,53,76,48,70,55,42,75,71,66,67,79,73,81,58,69,86,75,59,70,72,65,68,57,75.0,73,73,66,11,14,15,12,13,,63+2,63+2,63+2,67,66,66,66,67,69+2,69+2,69+2,69+2,72+2,72+2,72+2,69+2,71+2,73+1,73+1,73+1,71+2,70+2,70+2,70+2,70+2,70+2,19+2
259977,/player/259977/matias-coccaro/240002,24.0,2.0,2023-09-22,M. Cóccaro,Matías Fernando Cóccaro Ferreira,ST,71,75,2600000.0,10000.0,25,1997-11-15,178,73,111711.0,Huracán,353.0,Liga Profesional,1.0,LS,7.0,,2021-07-29,2024.0,60,Uruguay,,,,Right,2,3,1,High/Low,Normal (170-185),No,4100000.0,,Flair,68.0,71.0,48.0,70.0,40.0,72.0,22,73,71,70,67,69,39,57,47,73,69,68,73,69,69,72,79,77,73,67,63,35,70,38,75,65.0,44,32,27,12,10,10,8,12,,71+2,71+2,71+2,64,68,68,68,64,65+2,65+2,65+2,62+2,60+2,60+2,60+2,62+2,51+2,53+2,53+2,53+2,51+2,50+2,51+2,51+2,51+2,50+2,17+2
252240,/player/252240/alan-sonora/240002,24.0,2.0,2023-09-22,A. Soñora,Alan Soñora,"CM, CAM, CDM",71,73,2400000.0,8000.0,24,1998-08-03,171,65,111711.0,Huracán,353.0,Liga Profesional,1.0,SUB,28.0,,2023-09-08,2024.0,95,United States,1387.0,SUB,16.0,Left,3,3,1,Medium/Medium,Lean (170-185),No,3800000.0,,"Long Ball Pass, Flair",72.0,65.0,73.0,75.0,61.0,67.0,73,58,48,73,68,73,79,73,72,75,77,68,80,69,82,73,66,72,64,72,67,71,70,72,60,75.0,60,60,60,8,5,9,13,14,,67+2,67+2,67+2,71,70,70,70,71,72+1,72+1,72+1,72+1,71+2,71+2,71+2,72+1,69+2,68+2,68+2,68+2,69+2,67+2,63+2,63+2,63+2,67+2,16+2
213272,/player/213272/lucas-chaves/240002,24.0,2.0,2023-09-22,L. Cháves,Lucas Abraham Chávez,GK,71,72,1600000.0,7000.0,27,1995-08-09,179,75,111711.0,Huracán,353.0,Liga Profesional,1.0,GK,1.0,Argentinos Juniors,,2023.0,52,Argentina,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,,,Far Throw,,,,,,,12,13,17,26,14,17,12,21,31,18,52,44,38,69,68,51,61,43,54,15,26,25,15,27,21,42.0,20,21,15,73,67,68,72,71,49.0,29+2,29+2,29+2,26,27,27,27,26,26+2,26+2,26+2,28+2,28+2,28+2,28+2,28+2,28+2,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,28+2,70+2
251138,/player/251138/fabio-pereyra/240002,24.0,2.0,2023-09-22,F. Pereyra,Fabio Jesús Pereyra,CB,71,71,900000.0,9000.0,33,1990-01-31,185,76,111711.0,Huracán,353.0,Liga Profesional,1.0,SUB,12.0,,2023-08-16,2024.0,52,Argentina,,,,Right,2,2,1,Medium/High,Lean (185+),No,1400000.0,,"Block, Slide Tackle, Aerial",64.0,35.0,48.0,52.0,70.0,79.0,38,30,72,57,33,45,39,29,62,58,63,65,59,65,52,50,83,71,83,32,78,71,37,38,36,57.0,70,69,73,12,11,12,7,11,,51+2,51+2,51+2,48,49,49,49,48,49+2,49+2,49+2,51+2,55+2,55+2,55+2,51+2,62+2,66+2,66+2,66+2,62+2,65+2,71,71,71,65+2,16+2
235991,/player/235991/nicolas-cordero/240002,24.0,2.0,2023-09-22,N. Cordero,Nicolás Fernando Cordero,ST,70,76,2500000.0,8000.0,24,1999-04-11,185,78,111711.0,Huracán,353.0,Liga Profesional,1.0,RS,9.0,,2016-07-08,2024.0,52,Argentina,,,,Right,2,3,1,Medium/Medium,Normal (185+),No,4300000.0,,Aerial,68.0,71.0,64.0,68.0,30.0,72.0,64,72,69,61,62,70,70,62,62,69,70,66,66,65,67,74,78,74,76,69,56,38,70,69,63,56.0,19,25,23,15,8,7,11,7,,70+2,70+2,70+2,68,69,69,69,68,67+2,67+2,67+2,68+2,63+2,63+2,63+2,68+2,52+2,50+2,50+2,50+2,52+2,49+2,45+2,45+2,45+2,49+2,16+2
219536,/player/219536/ignacio-pussetto/240002,24.0,2.0,2023-09-22,I. Pussetto,Ignacio Pussetto,ST,70,71,1900000.0,9000.0,27,1995-12-21,180,74,111711.0,Huracán,353.0,Liga Profesional,1.0,SUB,26.0,,2023-08-22,2024.0,52,Argentina,,,,Right,4,3,1,Medium/Low,Lean (170-185),Yes,3000000.0,,Long Ball Pass,72.0,70.0,62.0,72.0,24.0,55.0,65,72,65,68,64,73,43,42,61,72,74,71,74,66,69,71,74,48,66,65,33,12,71,58,69,68.0,25,18,25,6,14,11,11,10,,70+1,70+1,70+1,70,70,70,70,70,68+2,68+2,68+2,68+2,60+2,60+2,60+2,68+2,48+2,44+2,44+2,44+2,48+2,45+2,39+2,39+2,39+2,45+2,16+2
