player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
214968,/player/214968/federico-mancuello/240002,24.0,2.0,2023-09-22,F. Mancuello,Federico Andrés Mancuello,"CAM, CM",75,75,2600000.0,15000.0,34,1989-03-26,178,70,110093.0,Independiente,353.0,Liga Profesional,1.0,RCM,11.0,,2023-08-10,2025.0,52,Argentina,,,,Left,2,4,2,High/High,Normal (170-185),No,3900000.0,,"Long Ball Pass, Flair, Trivela",67.0,69.0,80.0,76.0,56.0,63.0,81,66,49,80,48,75,86,76,77,80,68,66,76,75,64,80,60,78,59,74,56,60,65,81,59,80.0,53,60,56,12,10,14,6,9,,69+2,69+2,69+2,74,73,73,73,74,75,75,75,75,75,75,75,75,69+2,68+2,68+2,68+2,69+2,67+2,60+2,60+2,60+2,67+2,17+2
215069,/player/215069/rodrigo-rey/240002,24.0,2.0,2023-09-22,R. Rey,Rodrigo Francisco Jesús Rey,GK,75,75,2800000.0,11000.0,32,1991-03-08,190,78,110093.0,Independiente,353.0,Liga Profesional,1.0,GK,33.0,,2022-12-23,2024.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,4200000.0,,,,,,,,,18,18,12,31,15,20,17,17,13,23,55,43,43,70,53,53,66,32,60,13,33,22,14,53,23,62.0,18,18,13,73,73,70,75,76,50.0,30+2,30+2,30+2,30,32,32,32,30,32+2,32+2,32+2,31+2,30+2,30+2,30+2,31+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,74+1
187800,/player/187800/mauricio-isla/240002,24.0,2.0,2023-09-22,M. Isla,Mauricio Aníbal Isla Isla,RB,74,74,1300000.0,9000.0,35,1988-06-12,176,75,110093.0,Independiente,353.0,Liga Profesional,1.0,RB,22.0,,2023-08-12,2024.0,55,Chile,,,,Right,3,3,2,High/Medium,Normal (170-185),No,2000000.0,,,74.0,53.0,72.0,73.0,70.0,71.0,76,41,58,74,58,72,78,64,71,73,74,74,78,70,78,65,72,72,68,60,76,71,72,68,62,74.0,69,73,72,7,8,7,7,7,,64+2,64+2,64+2,69,68,68,68,69,69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,73+1,72+2,72+2,72+2,73+1,72+2,70+2,70+2,70+2,72+2,14+2
215057,/player/215057/ivan-marcone/240002,24.0,2.0,2023-09-22,I. Marcone,Iván José Marcone,"CDM, CM",74,74,2100000.0,12000.0,33,1990-06-03,182,83,110093.0,Independiente,353.0,Liga Profesional,1.0,LCM,23.0,,2022-06-18,2024.0,52,Argentina,,,,Right,3,3,1,Low/High,Normal (170-185),No,3200000.0,,"Long Ball Pass, Jockey, Anticipate",45.0,62.0,71.0,68.0,72.0,77.0,69,57,67,74,49,67,59,60,75,74,52,40,54,70,62,70,72,75,79,66,76,70,69,71,59,78.0,72,74,74,16,11,12,16,10,,65+2,65+2,65+2,65,66,66,66,65,68+2,68+2,68+2,67+2,72+2,72+2,72+2,67+2,69+2,73+1,73+1,73+1,69+2,69+2,72+2,72+2,72+2,69+2,19+2
215292,/player/215292/martin-cauteruccio/240002,24.0,2.0,2023-09-22,M. Cauteruccio,Martín Cauteruccio Rodríguez,ST,73,73,1000000.0,10000.0,36,1987-04-14,179,76,110093.0,Independiente,353.0,Liga Profesional,1.0,RS,9.0,,2022-12-23,2024.0,60,Uruguay,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,1500000.0,,,65.0,75.0,63.0,70.0,38.0,74.0,55,76,76,70,71,69,71,70,60,73,62,68,66,69,68,75,83,67,79,72,67,43,76,59,80,75.0,19,39,39,11,12,7,6,10,,73,73,73,69,71,71,71,69,69+2,69+2,69+2,67+2,65+2,65+2,65+2,67+2,55+2,55+2,55+2,55+2,55+2,53+2,53+2,53+2,53+2,53+2,16+2
227591,/player/227591/alexis-canelo/240002,24.0,2.0,2023-09-22,A. Canelo,Alexis Pedro Canelo,"LM, ST, LW",73,73,2500000.0,12000.0,31,1992-02-03,178,80,110093.0,Independiente,353.0,Liga Profesional,1.0,LM,32.0,,2023-08-11,2025.0,52,Argentina,,,,Right,4,3,1,High/Medium,Stocky (170-185),No,3800000.0,,Rapid,85.0,74.0,68.0,72.0,28.0,73.0,69,74,70,72,57,73,58,64,61,72,83,86,74,65,63,75,84,69,74,76,74,27,73,67,75,67.0,25,21,21,9,8,8,15,7,,73,73,73,73,73,73,73,73,72+1,72+1,72+1,72+1,65+2,65+2,65+2,72+1,54+2,51+2,51+2,51+2,54+2,50+2,46+2,46+2,46+2,50+2,16+2
261097,/player/261097/ayrton-costa/240002,24.0,2.0,2023-09-22,A. Costa,Ayrton Enrique Costa,"LB, LWB, CB",72,76,3100000.0,9000.0,23,1999-07-12,179,75,110093.0,Independiente,353.0,Liga Profesional,1.0,LB,79.0,,2020-01-01,2025.0,52,Argentina,,,,Left,3,3,1,High/Medium,Normal (170-185),No,4900000.0,,"Block, Slide Tackle, Bruiser",71.0,46.0,62.0,64.0,72.0,72.0,62,42,65,67,41,62,44,42,59,63,73,70,71,70,66,55,75,73,69,46,76,75,56,65,46,71.0,72,72,74,10,5,6,11,8,,59+2,59+2,59+2,62,61,61,61,62,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,70+2,69+2,69+2,69+2,70+2,70+2,71+2,71+2,71+2,70+2,15+2
214384,/player/214384/felipe-aguilar/240002,24.0,2.0,2023-09-22,F. Aguilar,Felipe Aguilar Mendoza,CB,72,72,1900000.0,10000.0,30,1993-01-20,190,82,110093.0,Independiente,353.0,Liga Profesional,1.0,SUB,26.0,,2023-08-10,2024.0,56,Colombia,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2900000.0,#Strength,,48.0,40.0,48.0,49.0,74.0,79.0,33,33,77,56,22,42,29,34,59,61,46,50,38,64,35,59,75,67,91,43,66,75,43,51,39,61.0,73,75,65,12,15,12,14,16,,53+2,53+2,53+2,47,50,50,50,47,50+2,50+2,50+2,50+2,57+2,57+2,57+2,50+2,60+2,67+2,67+2,67+2,60+2,63+2,72,72,72,63+2,20+2
215108,/player/215108/julio-buffarini/240002,24.0,2.0,2023-09-22,J. Buffarini,Julio Alberto Buffarini,RB,71,71,700000.0,9000.0,34,1988-08-18,170,74,110093.0,Independiente,353.0,Liga Profesional,1.0,SUB,6.0,,2023-08-31,2024.0,52,Argentina,,,,Right,3,3,1,High/Medium,Stocky (170-),No,1100000.0,,"Slide Tackle, Rapid",75.0,58.0,64.0,70.0,65.0,78.0,63,50,63,67,49,69,55,58,64,69,74,75,73,70,81,69,79,79,76,63,80,66,68,65,67,65.0,61,67,70,7,10,14,9,11,,65+2,65+2,65+2,67,67,67,67,67,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,69+2,68+2,68+2,68+2,69+2,69+2,68+2,68+2,68+2,69+2,16+2
223072,/player/223072/javier-baez/240002,24.0,2.0,2023-09-22,J. Báez,Cristian Javier Báez,"CB, RB",71,71,900000.0,9000.0,33,1990-04-09,180,84,110093.0,Independiente,353.0,Liga Profesional,1.0,RCB,13.0,,2023-01-11,2023.0,58,Paraguay,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1400000.0,,Block,69.0,55.0,65.0,65.0,72.0,72.0,62,56,75,69,50,65,57,40,65,63,68,70,71,69,64,56,73,71,74,44,68,74,69,67,75,69.0,70,71,70,10,15,15,14,10,,64+2,64+2,64+2,65,64,64,64,65,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,69+2,69+2,69+2,69+2,69+2,69+2,71,71,71,69+2,19+2
