player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
167665,/player/167665/nicolas-domingo/240002,24.0,2.0,2023-09-22,N. Domingo,Nicolás Mario Domingo,"CDM, CM, CB",71,71,375000.0,7000.0,38,1985-04-08,175,71,110581.0,Patronato,353.0,Liga Profesional,1.0,RDM,5.0,,2023-01-11,2023.0,52,Argentina,,,,Right,3,3,1,Low/High,Normal (170-185),Yes,544000.0,,Long Ball Pass,41.0,59.0,67.0,67.0,69.0,68.0,60,51,60,72,55,60,54,56,71,70,38,43,76,71,77,69,59,67,66,67,75,73,55,69,68,74.0,71,68,65,7,16,14,10,15,,60+2,60+2,60+2,61,61,61,61,61,64+2,64+2,64+2,61+2,68+2,68+2,68+2,61+2,65+2,70+1,70+1,70+1,65+2,65+2,68+2,68+2,68+2,65+2,19+2
215052,/player/215052/lucas-kruspzky/240002,24.0,2.0,2023-09-22,L. Kruspzky,Lucas Nahuel Kruspzky,LB,66,66,625000.0,4000.0,31,1992-04-06,175,75,110581.0,Patronato,353.0,Liga Profesional,1.0,SUB,30.0,,2020-07-23,2023.0,52,Argentina,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,906000.0,,,75.0,35.0,49.0,59.0,62.0,67.0,51,34,52,52,34,53,41,38,56,63,75,75,70,62,74,31,66,74,60,33,74,61,54,42,44,58.0,59,68,67,9,15,6,10,8,,50+2,50+2,50+2,55,53,53,53,55,53+2,53+2,53+2,57+2,55+2,55+2,55+2,57+2,63+2,61+2,61+2,61+2,63+2,64+2,63+2,63+2,63+2,64+2,16+2
232515,/player/232515/facundo-cobos/240002,24.0,2.0,2023-09-22,F. Cobos,Facundo Cobos,LB,66,66,725000.0,4000.0,30,1993-02-19,178,78,110581.0,Patronato,353.0,Liga Profesional,1.0,LB,3.0,,2021-06-30,2023.0,52,Argentina,,,,Left,3,3,1,High/Low,Normal (170-185),No,1100000.0,,,64.0,48.0,57.0,65.0,63.0,70.0,62,43,51,62,26,65,62,39,45,62,69,60,71,62,71,49,69,69,75,57,59,62,58,56,64,62.0,60,68,67,14,6,6,9,10,,56+2,56+2,56+2,60,59,59,59,60,59+2,59+2,59+2,60+2,59+2,59+2,59+2,60+2,64+2,62+2,62+2,62+2,64+2,64+2,63+2,63+2,63+2,64+2,15+2
234463,/player/234463/nazareno-solis/240002,24.0,2.0,2023-09-22,N. Solís,Nazareno Damián Solís,"LM, RM",66,66,850000.0,5000.0,29,1994-04-22,169,67,110581.0,Patronato,353.0,Liga Profesional,1.0,LAM,28.0,,2016-08-26,2024.0,52,Argentina,,,,Left,3,3,1,Medium/Medium,Normal (170-),No,1200000.0,,,77.0,62.0,61.0,70.0,31.0,38.0,66,64,40,63,62,69,60,61,46,67,73,81,87,64,84,64,43,45,37,59,31,18,60,63,55,56.0,30,36,38,10,10,11,13,10,,61+2,61+2,61+2,67-1,65,65,65,67-1,65+1,65+1,65+1,65+1,57+2,57+2,57+2,65+1,51+2,44+2,44+2,44+2,51+2,49+2,38+2,38+2,38+2,49+2,17+2
214774,/player/214774/jorge-valdez-chamorro/240002,24.0,2.0,2023-09-22,J. Valdez Chamorro,Jorge Vidal Valdez Chamorro,"CM, CAM",65,65,700000.0,4000.0,29,1994-05-26,174,72,110581.0,Patronato,353.0,Liga Profesional,1.0,RAM,10.0,,2022-01-25,2023.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1000000.0,,,80.0,61.0,61.0,68.0,55.0,68.0,50,55,53,62,55,66,67,64,64,69,82,78,70,63,73,68,71,79,61,67,72,55,62,64,62,67.0,48,63,58,13,14,14,9,15,,63+2,63+2,63+2,65,65,65,65,65,65,65,65,65,65,65,65,65,63+2,62+2,62+2,62+2,63+2,62+2,60+2,60+2,60+2,62+2,18+2
231891,/player/231891/damian-arce/240002,24.0,2.0,2023-09-22,D. Arce,Gerardo Damián Arce,"CAM, LM",65,65,600000.0,4000.0,31,1991-07-06,172,76,110581.0,Patronato,353.0,Liga Profesional,1.0,CAM,8.0,,2022-12-07,2023.0,52,Argentina,,,,Left,3,3,1,High/Medium,Normal (170-185),No,870000.0,,Flair,72.0,60.0,65.0,67.0,40.0,61.0,58,60,49,67,42,68,64,60,71,66,71,72,68,56,68,68,63,73,62,58,43,28,60,64,57,62.0,47,36,41,14,10,10,11,9,,62+2,62+2,62+2,64,64,64,64,64,65,65,65,65,62+2,62+2,62+2,65,55+2,53+2,53+2,53+2,55+2,52+2,47+2,47+2,47+2,52+2,16+2
214666,/player/214666/fabio-vazquez/240002,24.0,2.0,2023-09-22,F. Vázquez,Fabio Francisco Vázquez,"CM, CDM",64,64,575000.0,4000.0,29,1994-02-19,176,76,110581.0,Patronato,353.0,Liga Profesional,1.0,LDM,15.0,,2021-07-30,2023.0,52,Argentina,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,834000.0,,,56.0,50.0,60.0,63.0,63.0,72.0,47,45,56,67,34,63,54,43,63,65,61,52,67,58,51,55,68,77,71,56,70,62,63,64,44,59.0,67,62,60,15,15,12,9,14,,57+2,57+2,57+2,59,60,60,60,59,62+2,62+2,62+2,61+2,64,64,64,61+2,62+2,65-1,65-1,65-1,62+2,61+2,64,64,64,61+2,18+2
214940,/player/214940/sergio-ojeda/240002,24.0,2.0,2023-09-22,S. Ojeda,Sergio Maximiliano Ojeda,CB,64,64,400000.0,3000.0,31,1992-01-04,183,83,110581.0,Patronato,353.0,Liga Profesional,1.0,RCB,13.0,,2021-02-19,2023.0,52,Argentina,,,,Right,2,2,1,Low/High,Normal (170-185),No,580000.0,,,47.0,34.0,41.0,43.0,63.0,74.0,33,28,71,53,32,36,29,29,43,47,41,51,44,61,51,53,76,64,82,28,65,60,25,31,43,48.0,61,64,63,9,9,10,12,7,,45+2,45+2,45+2,40,41,41,41,40,41+2,41+2,41+2,42+2,46+2,46+2,46+2,42+2,54+2,57+2,57+2,57+2,54+2,56+2,64,64,64,56+2,15+2
232697,/player/232697/lautaro-geminiani/240002,24.0,2.0,2023-09-22,L. Geminiani,Lautaro Dante Geminiani,"RB, LB",64,64,400000.0,3000.0,32,1991-03-02,177,72,110581.0,Patronato,353.0,Liga Profesional,1.0,RB,4.0,,2020-08-16,2023.0,52,Argentina,,,,Right,3,3,1,High/Medium,Normal (170-185),No,580000.0,,,74.0,31.0,51.0,63.0,59.0,63.0,66,26,52,56,28,64,45,22,48,63,76,73,70,59,66,38,65,67,57,30,72,61,57,39,27,49.0,58,60,61,14,8,12,14,13,,50+2,50+2,50+2,57,54,54,54,57,54+2,54+2,54+2,59+2,54+2,54+2,54+2,59+2,63+1,59+2,59+2,59+2,63+1,62+2,60+2,60+2,60+2,62+2,17+2
273098,/player/273098/mateo-levato/240002,24.0,2.0,2023-09-22,M. Levato,Mateo Levato,ST,63,63,525000.0,4000.0,27,1996-06-07,188,83,110581.0,Patronato,353.0,Liga Profesional,1.0,SUB,34.0,,2023-01-02,2023.0,52,Argentina,,,,Right,3,2,1,High/Medium,Normal (185+),No,761000.0,,,59.0,62.0,47.0,59.0,23.0,63.0,38,66,68,57,48,62,48,40,39,60,58,60,52,60,51,70,73,60,75,49,32,11,60,46,64,50.0,20,19,21,11,8,10,12,12,,63,63,63,57,60,60,60,57,57+2,57+2,57+2,56+2,50+2,50+2,50+2,56+2,41+2,39+2,39+2,39+2,41+2,39+2,38+2,38+2,38+2,39+2,16+2
