player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231258,/player/231258/ramiro-macagno/240002,24.0,2.0,2023-09-22,R. Macagno,Ramiro Jesús Macagno,GK,71,75,2000000.0,8000.0,26,1997-03-18,185,77,112689.0,Platense,353.0,Liga Profesional,1.0,GK,12.0,Newell's Old Boys,,2023.0,52,Argentina,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,,,,,,,,,,10,9,10,26,7,5,10,12,20,12,29,32,34,64,44,50,50,28,51,7,23,15,6,57,13,24.0,25,14,11,73,70,67,69,71,30.0,22+2,22+2,22+2,20,23,23,23,20,25+2,25+2,25+2,22+2,26+2,26+2,26+2,22+2,22+2,25+2,25+2,25+2,22+2,22+2,24+2,24+2,24+2,22+2,70+2
223495,/player/223495/ivan-rossi/240002,24.0,2.0,2023-09-22,I. Rossi,Iván Rossi,"CDM, CM",71,71,1600000.0,9000.0,29,1993-11-01,183,75,112689.0,Platense,353.0,Liga Profesional,1.0,RDM,15.0,,2023-02-01,2023.0,52,Argentina,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,2400000.0,,"Intercept, Slide Tackle",70.0,51.0,63.0,66.0,67.0,65.0,55,44,39,72,49,65,51,44,67,68,69,71,64,70,69,58,54,69,57,59,84,72,59,58,43,65.0,66,71,72,7,12,13,10,14,,58+2,58+2,58+2,63,62,62,62,63,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,68+2,70+1,70+1,70+1,68+2,68+2,66+2,66+2,66+2,68+2,17+2
235004,/player/235004/gaston-suso/240002,24.0,2.0,2023-09-22,G. Suso,Gastón Suso,CB,71,71,1200000.0,9000.0,32,1991-03-12,190,82,112689.0,Platense,353.0,Liga Profesional,1.0,LCB,6.0,,2022-01-03,2023.0,52,Argentina,,,,Left,3,2,1,Low/High,Normal (185+),No,1800000.0,,"Intercept, Aerial",52.0,41.0,52.0,51.0,72.0,75.0,45,40,70,73,31,45,31,33,55,52,50,53,54,68,63,47,73,70,78,35,73,72,43,29,64,64.0,70,74,74,5,9,11,6,9,,52+2,52+2,52+2,49,49,49,49,49,50+2,50+2,50+2,52+2,55+2,55+2,55+2,52+2,64+2,67+2,67+2,67+2,64+2,66+2,71,71,71,66+2,14+2
258325,/player/258325/nicolas-eduardo-castro/240002,24.0,2.0,2023-09-22,N. Castro,Nicolás Eduardo Castro,"CM, LM, CAM",71,71,1200000.0,9000.0,33,1990-05-11,181,79,112689.0,Platense,353.0,Liga Profesional,1.0,CAM,11.0,,2023-01-01,2023.0,52,Argentina,,,,Left,3,3,1,High/High,Normal (170-185),No,1800000.0,,"Jockey, Relentless",68.0,66.0,69.0,71.0,64.0,73.0,69,65,56,72,58,73,47,59,67,73,68,68,62,69,68,70,70,76,71,70,75,63,68,75,58,66.0,58,70,71,9,14,11,15,14,,68+2,68+2,68+2,70,70,70,70,70,71,71,71,71,71,71,71,71,69+2,69+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,19+2
261016,/player/261016/juan-infante/240002,24.0,2.0,2023-09-22,J. Infante,Juan Infante,"LB, LWB",70,70,1500000.0,7000.0,27,1996-01-07,177,76,112689.0,Platense,353.0,Liga Profesional,1.0,LB,3.0,,2014-07-01,2023.0,52,Argentina,,,,Left,2,2,1,Medium/High,Normal (170-185),No,2300000.0,,,73.0,50.0,59.0,66.0,69.0,67.0,55,46,59,72,34,64,37,43,55,67,74,73,66,68,72,64,71,72,64,49,68,72,65,55,44,64.0,67,72,68,11,14,11,14,10,,61+2,61+2,61+2,63,63,63,63,63,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,18+2
253264,/player/253264/agustin-ocampo/240002,24.0,2.0,2023-09-22,A. Ocampo,Lucas Agustín Ocampo Galván,"LM, ST, CAM",69,72,1800000.0,7000.0,25,1997-11-23,172,71,112689.0,Platense,353.0,Liga Profesional,1.0,SUB,10.0,,2023-08-16,2027.0,60,Uruguay,,,,Left,3,3,1,Medium/Low,Normal (170-185),No,2800000.0,,,75.0,69.0,66.0,69.0,43.0,66.0,59,72,58,67,64,70,68,67,65,68,72,77,72,65,70,67,72,64,70,68,58,50,63,71,62,67.0,55,28,26,8,14,7,10,12,,67+2,67+2,67+2,68,68,68,68,68,69+2,69+2,69+2,68+2,64+2,64+2,64+2,68+2,56+2,56+2,56+2,56+2,56+2,54+2,51+2,51+2,51+2,54+2,17+2
261262,/player/261262/sasha-marcich/240002,24.0,2.0,2023-09-22,S. Marcich,Sasha Julián Marcich,"LB, LM, LWB",69,72,1700000.0,6000.0,25,1998-05-29,176,74,112689.0,Platense,353.0,Liga Profesional,1.0,LM,18.0,,2019-05-29,2023.0,52,Argentina,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,2700000.0,,"Jockey, Anticipate",75.0,41.0,56.0,57.0,69.0,65.0,63,40,60,63,32,53,55,47,52,55,78,73,74,67,71,44,73,66,61,36,70,65,56,40,45,56.0,72,72,68,7,10,5,12,11,,54+2,54+2,54+2,57,55,55,55,57,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,66+2,63+2,63+2,63+2,66+2,67+2,67+2,67+2,67+2,67+2,16+2
257407,/player/257407/raul-alberto-lozano/240002,24.0,2.0,2023-09-22,R. Lozano,Raúl Alberto Lozano,RB,69,71,1600000.0,6000.0,25,1997-09-02,179,79,112689.0,Platense,353.0,Liga Profesional,1.0,RB,2.0,,2020-07-23,2025.0,52,Argentina,,,,Right,3,2,1,Medium/High,Lean (170-185),No,2500000.0,,,80.0,50.0,53.0,64.0,66.0,68.0,62,53,37,55,45,65,57,29,51,62,82,78,68,64,65,50,62,81,62,50,70,67,51,46,30,61.0,70,70,66,9,14,11,14,9,,56+2,56+2,56+2,61,58,58,58,61,58+2,58+2,58+2,62+2,58+2,58+2,58+2,62+2,67+2,64+2,64+2,64+2,67+2,67+2,64+2,64+2,64+2,67+2,17+2
215165,/player/215165/ciro-rius/240002,24.0,2.0,2023-09-22,C. Rius,Ciro Pablo Rius Aragallo,RM,69,69,650000.0,7000.0,34,1988-10-27,175,70,112689.0,Platense,353.0,Liga Profesional,1.0,SUB,17.0,,2023-08-30,2024.0,52,Argentina,,,,Right,3,3,1,High/High,Lean (170-185),No,975000.0,,,72.0,61.0,67.0,70.0,57.0,60.0,66,58,57,72,63,70,71,60,59,70,73,71,74,64,74,68,66,62,57,59,65,59,67,67,66,72.0,56,59,49,16,15,15,10,7,,65+2,65+2,65+2,68,67,67,67,68,68+1,68+1,68+1,68+1,66+2,66+2,66+2,68+1,63+2,62+2,62+2,62+2,63+2,62+2,59+2,59+2,59+2,62+2,18+2
235827,/player/235827/gabriel-gudino/240002,24.0,2.0,2023-09-22,G. Gudiño,Gabriel Alejandro Gudiño,"RM, LM, RWB",69,69,1200000.0,7000.0,31,1992-03-16,170,67,112689.0,Platense,353.0,Liga Profesional,1.0,RM,14.0,,2023-08-05,2024.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-),No,1800000.0,,Rapid,79.0,66.0,64.0,68.0,57.0,63.0,63,69,57,64,56,70,64,54,60,65,77,80,75,65,70,68,68,76,56,58,64,55,70,69,62,60.0,55,59,60,11,7,8,7,8,,67+2,67+2,67+2,68,68,68,68,68,67+2,67+2,67+2,68+1,65+2,65+2,65+2,68+1,64+2,62+2,62+2,62+2,64+2,64+2,59+2,59+2,59+2,64+2,14+2
