player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215998,/player/215998/ignacio-fernandez/240002,24.0,2.0,2023-09-22,I. Fernández,Ignacio Martín Fernández,"CAM, CM, RM",79,79,11000000.0,24000.0,33,1990-01-12,182,67,1876.0,River Plate,353.0,Liga Profesional,1.0,CAM,10.0,,2023-01-01,2025.0,52,Argentina,,,,Left,2,4,2,High/Medium,Lean (170-185),No,15400000.0,,"Finesse Shot, Power Shot, Pinged Pass, Incisive Pass, Tiki Taka, First Touch",75.0,76.0,80.0,79.0,69.0,74.0,74,75,65,82,73,78,83,78,78,80,74,75,80,79,71,77,75,82,70,78,73,68,79,82,73,85.0,69,73,67,7,8,14,10,12,,76+2,76+2,76+2,78,78,78,78,78,79,79,79,78+1,79,79,79,78+1,75+2,75+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,17+2
240699,/player/240699/nicolas-de-la-cruz/240002,24.0,2.0,2023-09-22,N. De la Cruz,Diego Nicolás De La Cruz Arcosa,"CM, LM, CAM",78,79,16500000.0,22000.0,26,1997-06-01,167,65,1876.0,River Plate,353.0,Liga Profesional,1.0,RM,11.0,,2017-08-15,2025.0,60,Uruguay,,,,Right,4,4,2,High/High,Normal (170-),No,24300000.0,"#Engine, #Acrobat","Power Shot, Pinged Pass, Tiki Taka, Whipped Cross, Press Proven, Relentless",85.0,76.0,77.0,82.0,70.0,67.0,74,74,70,79,72,82,84,74,74,78,87,83,92,78,85,81,74,86,52,78,78,70,80,78,69,80.0,65,75,70,9,6,9,7,9,,77+2,77+2,77+2,80-1,79,79,79,80-1,79,79,79,79,78+1,78+1,78+1,79,76+2,74+2,74+2,74+2,76+2,75+2,70+2,70+2,70+2,75+2,16+2
233029,/player/233029/rodrigo-aliendro/240002,24.0,2.0,2023-09-22,R. Aliendro,Rodrigo Germán Aliendro,"CM, CDM",78,78,11000000.0,22000.0,32,1991-02-16,173,72,1876.0,River Plate,353.0,Liga Profesional,1.0,RDM,29.0,,2022-06-27,2025.0,52,Argentina,,,,Right,3,4,1,High/High,Normal (170-185),No,15400000.0,,"Jockey, Block, Slide Tackle, Flair, Press Proven, Relentless",73.0,73.0,74.0,79.0,74.0,77.0,71,70,69,78,71,79,68,53,76,80,78,68,80,76,80,79,80,82,72,74,80,76,78,77,65,81.0,72,76,73,6,12,10,13,13,,75+2,75+2,75+2,76,77,77,77,76,77+1,77+1,77+1,77+1,78,78,78,77+1,76+2,77+1,77+1,77+1,76+2,75+2,75+2,75+2,75+2,75+2,18+2
236007,/player/236007/esequiel-barco/240002,24.0,2.0,2023-09-22,E. Barco,Ezequiel Omar Barco,"LM, ST, LW",77,83,16500000.0,9000.0,24,1999-03-29,167,66,1876.0,River Plate,353.0,Liga Profesional,1.0,LM,21.0,Atlanta United,,2023.0,52,Argentina,,,,Right,4,3,1,High/Low,Normal (170-),Yes,,#Acrobat,"Finesse Shot, Technical, First Touch, Quick Step",86.0,73.0,72.0,81.0,34.0,53.0,71,74,33,74,53,83,75,69,70,75,91,81,90,71,90,72,54,71,41,74,60,33,77,72,75,80.0,28,40,39,7,7,5,10,7,,70+2,70+2,70+2,77,76,76,76,77,76+2,76+2,76+2,76+2,70+2,70+2,70+2,76+2,60+2,56+2,56+2,56+2,60+2,56+2,44+2,44+2,44+2,56+2,15+2
196432,/player/196432/enzo-perez/240002,24.0,2.0,2023-09-22,E. Pérez,Enzo Nicolás Pérez,"CDM, CM",77,77,2100000.0,13000.0,37,1986-02-22,178,77,1876.0,River Plate,353.0,Liga Profesional,1.0,LDM,24.0,,2017-07-01,2023.0,52,Argentina,,,,Right,4,3,2,High/Medium,Normal (170-185),No,2900000.0,,"Jockey, Intercept, Slide Tackle, Bruiser",66.0,65.0,75.0,76.0,74.0,76.0,66,61,67,82,63,75,71,62,73,77,67,66,76,74,76,73,75,73,74,62,83,77,72,75,68,80.0,72,77,76,9,11,7,15,13,,70+2,70+2,70+2,72,72,72,72,72,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,74+2,76+1,76+1,76+1,74+2,74+2,75+2,75+2,75+2,74+2,19+2
199669,/player/199669/leandro-gonzalez-pirez/240002,24.0,2.0,2023-09-22,L. González Pirez,Leandro Martín González Pírez,CB,77,77,7000000.0,9000.0,31,1992-02-26,185,89,1876.0,River Plate,353.0,Liga Profesional,1.0,RCB,14.0,Inter Miami,,2023.0,52,Argentina,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,,,"Long Ball Pass, Jockey, Block, Intercept, Aerial",70.0,48.0,61.0,66.0,78.0,81.0,42,42,74,72,42,65,55,39,74,70,67,73,63,69,57,59,83,78,81,49,85,78,60,59,49,71.0,78,79,75,14,8,8,12,13,,62+2,62+2,62+2,61,63,63,63,61,64+2,64+2,64+2,64+2,68+2,68+2,68+2,64+2,70+2,75+2,75+2,75+2,70+2,72+2,77,77,77,72+2,18+2
214584,/player/214584/franco-armani/240002,24.0,2.0,2023-09-22,F. Armani,Franco Armani,GK,77,77,1200000.0,10000.0,36,1986-10-16,189,88,1876.0,River Plate,353.0,Liga Profesional,1.0,GK,1.0,,2018-01-12,2024.0,52,Argentina,1369.0,RES,1.0,Right,3,1,1,Medium/Medium,Stocky (185+),No,1700000.0,,,,,,,,,18,11,19,35,18,16,15,16,29,37,41,45,37,74,39,52,73,35,81,17,43,21,17,54,20,53.0,15,13,19,77,73,69,78,81,43.0,33+2,33+2,33+2,31,33,33,33,31,34+2,34+2,34+2,33+2,35+2,35+2,35+2,33+2,30+2,33+2,33+2,33+2,30+2,29+2,32+2,32+2,32+2,29+2,76+1
188988,/player/188988/manuel-lanzini/240002,24.0,2.0,2023-09-22,M. Lanzini,Manuel Lanzini,"CAM, LM",76,76,7000000.0,19000.0,30,1993-02-15,167,59,1876.0,River Plate,353.0,Liga Profesional,1.0,SUB,27.0,,2023-08-03,2024.0,52,Argentina,,,,Right,3,4,2,Medium/Medium,Normal (170-),Yes,9800000.0,,"Slide Tackle, Flair",65.0,73.0,77.0,79.0,41.0,49.0,75,70,52,79,65,79,76,76,77,80,73,58,78,72,88,76,54,61,38,76,62,30,73,78,77,78.0,30,52,54,14,9,6,7,15,,69+2,69+2,69+2,75,75,75,75,75,76,76,76,74+2,73+2,73+2,73+2,74+2,61+2,59+2,59+2,59+2,61+2,58+2,49+2,49+2,49+2,58+2,18+2
214436,/player/214436/paulo-diaz/240002,24.0,2.0,2023-09-22,P. Díaz,Paulo César Díaz Huincales,CB,76,76,6500000.0,18000.0,28,1994-08-25,178,76,1876.0,River Plate,353.0,Liga Profesional,1.0,LCB,17.0,,2019-08-02,2024.0,55,Chile,,,,Right,3,2,1,High/Medium,Normal (170-185),No,9100000.0,,"Power Header, Long Ball Pass, Aerial",74.0,57.0,69.0,70.0,74.0,81.0,64,51,77,76,39,71,42,47,76,68,75,74,69,71,68,70,88,78,79,58,89,75,66,70,63,80.0,73,74,75,13,9,15,15,15,,67+2,67+2,67+2,68,68,68,68,68,69+2,69+2,69+2,70+2,72+2,72+2,72+2,70+2,73+2,75+1,75+1,75+1,73+2,73+2,76,76,76,73+2,19+2
215071,/player/215071/milton-casco/240002,24.0,2.0,2023-09-22,M. Casco,Milton Casco,"RB, LB",76,76,2300000.0,13000.0,35,1988-04-11,170,69,1876.0,River Plate,353.0,Liga Profesional,1.0,RB,20.0,,2015-09-09,2025.0,52,Argentina,,,,Right,5,3,1,High/Low,Stocky (170-),No,3200000.0,,"Incisive Pass, Technical, Flair, Long Throw",83.0,68.0,75.0,78.0,69.0,79.0,75,62,65,76,66,77,80,59,75,77,87,79,85,75,80,78,83,85,74,69,83,69,78,77,66,80.0,65,71,74,15,8,13,12,6,,73+2,73+2,73+2,76,75,75,75,76,76,76,76,77-1,76,76,76,77-1,75+1,74+2,74+2,74+2,75+1,74+2,72+2,72+2,72+2,74+2,18+2
