player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
226797,/player/226797/victor-ignacio-malcorra/240002,24.0,2.0,2023-09-22,V. Malcorra,Víctor Ignacio Malcorra,"CAM, LM, CM",75,75,2300000.0,12000.0,35,1987-07-24,171,74,110580.0,Rosario Central,353.0,Liga Profesional,1.0,CAM,10.0,,2022-06-25,2023.0,52,Argentina,,,,Left,4,3,1,Medium/Medium,Normal (170-185),Yes,3500000.0,,"Dead Ball, Pinged Pass, Incisive Pass, Whipped Cross",74.0,71.0,79.0,75.0,59.0,68.0,80,70,45,77,49,75,82,80,78,74,75,73,77,69,80,78,68,69,73,70,56,58,70,80,70,71.0,65,60,51,7,15,12,14,14,,69+2,69+2,69+2,74,73,73,73,74,75,75,75,75,73+2,73+2,73+2,75,68+2,68+2,68+2,68+2,68+2,65+2,61+2,61+2,61+2,65+2,19+2
238230,/player/238230/jaminton-campaz/240002,24.0,2.0,2023-09-22,J. Campaz,Jaminton Leandro Campaz,"LM, CAM, LW",74,81,8500000.0,14000.0,23,2000-05-24,168,68,110580.0,Rosario Central,353.0,Liga Profesional,1.0,LM,13.0,,2021-08-24,2025.0,56,Colombia,,,,Left,2,3,1,Medium/Medium,Normal (170-),No,14500000.0,,Rapid,80.0,71.0,71.0,74.0,30.0,55.0,68,72,39,74,53,75,70,61,69,72,83,78,77,72,83,76,61,70,55,76,33,29,70,73,50,62.0,37,22,28,10,12,6,5,7,,69+2,69+2,69+2,74,73,73,73,74,74+2,74+2,74+2,73+2,68+2,68+2,68+2,73+2,56+2,52+2,52+2,52+2,56+2,52+2,41+2,41+2,41+2,52+2,15+2
234458,/player/234458/carlos-quintana/240002,24.0,2.0,2023-09-22,C. Quintana,Carlos Gustavo Quintana,CB,74,74,1100000.0,10000.0,35,1988-02-11,190,88,110580.0,Rosario Central,353.0,Liga Profesional,1.0,LCB,2.0,,2023-01-01,2023.0,52,Argentina,,,,Left,3,2,1,Low/High,Normal (185+),No,1700000.0,#Strength,"Power Header, Intercept, Bruiser, Aerial",48.0,37.0,48.0,49.0,75.0,79.0,35,36,74,60,26,45,30,33,58,56,45,51,30,70,40,52,78,68,86,27,75,75,37,40,45,65.0,75,76,70,8,12,7,12,12,,51+2,51+2,51+2,46,48,48,48,46,48+2,48+2,48+2,49+2,55+2,55+2,55+2,49+2,62+2,67+2,67+2,67+2,62+2,64+2,74,74,74,64+2,17+2
216033,/player/216033/jorge-broun/240002,24.0,2.0,2023-09-22,J. Broun,Jorge Emanuel Broun,GK,72,72,250000.0,6000.0,37,1986-05-26,190,92,110580.0,Rosario Central,353.0,Liga Profesional,1.0,GK,1.0,,2021-02-11,2023.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Stocky (185+),No,375000.0,,,,,,,,,14,17,16,24,17,15,14,12,22,16,39,43,30,66,42,53,66,30,73,18,18,17,18,38,23,27.0,30,14,19,71,68,70,74,73,41.0,30+2,30+2,30+2,25,28,28,28,25,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,27+2,27+2,27+2,26+2,26+2,29+2,29+2,29+2,26+2,71+1
233924,/player/233924/maximiliano-lovera/240002,24.0,2.0,2023-09-22,M. Lovera,Maximiliano Alberto Lovera,"LM, CAM",71,77,3000000.0,10000.0,24,1999-03-09,170,68,110580.0,Rosario Central,353.0,Liga Profesional,1.0,SUB,11.0,,2019-08-31,2024.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-),No,5100000.0,#Acrobat,"Technical, Flair",84.0,61.0,62.0,77.0,31.0,60.0,60,62,52,68,45,78,54,58,53,76,87,82,90,60,91,61,69,69,55,62,60,24,64,65,59,56.0,30,29,33,7,11,13,11,10,,65+2,65+2,65+2,71,69,69,69,71,70+2,70+2,70+2,70+2,62+2,62+2,62+2,70+2,54+2,50+2,50+2,50+2,54+2,51+2,44+2,44+2,44+2,51+2,15+2
222428,/player/222428/juan-cruz-komar/240002,24.0,2.0,2023-09-22,J. Komar,Juan Cruz Komar,CB,71,74,2200000.0,10000.0,26,1996-08-13,190,82,110580.0,Rosario Central,353.0,Liga Profesional,1.0,SUB,6.0,,2022-02-18,2025.0,52,Argentina,,,,Right,3,2,1,Low/Medium,Lean (185+),No,3500000.0,,"Jockey, Block, Aerial",63.0,36.0,50.0,53.0,71.0,76.0,29,33,74,64,35,43,30,37,62,62,62,64,58,68,48,47,73,76,78,28,73,72,35,44,47,65.0,70,72,70,6,7,6,15,8,,52+2,52+2,52+2,49,50,50,50,49,52+2,52+2,52+2,52+2,57+2,57+2,57+2,52+2,63+2,68+2,68+2,68+2,63+2,65+2,71+2,71+2,71+2,65+2,15+2
232826,/player/232826/francis-mac-allister/240002,24.0,2.0,2023-09-22,F. Mac Allister,Francis Manuel Mac Allister,"CDM, CM",71,73,2000000.0,9000.0,27,1995-10-30,176,71,110580.0,Rosario Central,353.0,Liga Profesional,1.0,RDM,5.0,Talleres Córdoba,,2023.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,"Block, Slide Tackle",68.0,47.0,65.0,69.0,70.0,65.0,49,35,58,73,44,67,45,45,67,72,69,67,69,64,75,63,68,58,65,53,74,69,66,75,50,77.0,70,74,72,12,5,6,12,8,,59+2,59+2,59+2,63,64,64,64,63,67+2,67+2,67+2,65+2,68+2,68+2,68+2,65+2,66+2,70+2,70+2,70+2,66+2,67+2,69+2,69+2,69+2,67+2,15+2
224104,/player/224104/damian-martinez/240002,24.0,2.0,2023-09-22,D. Martínez,Damián Alberto Martínez,RB,71,71,975000.0,10000.0,33,1990-01-31,180,72,110580.0,Rosario Central,353.0,Liga Profesional,1.0,RB,4.0,,2020-01-24,2023.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1500000.0,,,74.0,64.0,65.0,72.0,67.0,74.0,72,62,57,64,49,71,66,50,62,72,75,73,71,70,75,71,74,77,71,68,76,67,67,63,51,74.0,68,69,67,11,10,11,15,10,,67+2,67+2,67+2,69,68,68,68,69,68+2,68+2,68+2,69+2,67+2,67+2,67+2,69+2,70+1,68+2,68+2,68+2,70+1,69+2,68+2,68+2,68+2,69+2,18+2
258456,/player/258456/lautaro-giaccone/240002,24.0,2.0,2023-09-22,L. Giaccone,Lautaro Darío Giaccone,"RM, LM",70,82,3900000.0,9000.0,22,2001-02-01,172,71,110580.0,Rosario Central,353.0,Liga Profesional,1.0,RM,22.0,,2020-08-14,2023.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,6600000.0,,,70.0,65.0,67.0,72.0,32.0,46.0,64,68,42,71,51,73,52,49,70,71,74,67,73,66,76,63,48,54,43,65,45,27,67,70,59,64.0,33,30,33,5,7,6,9,14,,64+2,64+2,64+2,69,69,69,69,69,70+2,70+2,70+2,69+2,65+2,65+2,65+2,69+2,53+2,51+2,51+2,51+2,53+2,49+2,41+2,41+2,41+2,49+2,15+2
271344,/player/271344/kevin-ortiz/240002,24.0,2.0,2023-09-22,K. Ortiz,Kevin Ortíz,"CDM, CM",70,81,3400000.0,8000.0,22,2000-09-18,176,70,110580.0,Rosario Central,353.0,Liga Profesional,1.0,LDM,45.0,,2019-03-31,2024.0,52,Argentina,,,,Right,3,2,1,Low/High,Lean (170-185),No,5800000.0,,"Intercept, Bruiser",69.0,51.0,61.0,63.0,69.0,73.0,49,51,58,70,44,61,53,47,67,65,67,70,59,65,69,55,70,76,71,49,76,68,55,58,45,62.0,70,73,67,7,14,8,6,6,,59+2,59+2,59+2,60,61,61,61,60,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,66+2,69+2,69+2,69+2,66+2,67+2,69+2,69+2,69+2,67+2,14+2
