player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
227186,/player/227186/augusto-batalla/240002,24.0,2.0,2023-09-22,A. Batalla,Augusto Martín Batalla Barga,GK,76,79,7500000.0,14000.0,27,1996-04-30,185,87,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,GK,13.0,River Plate,,2023.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,17,14,16,25,13,13,13,17,22,18,43,42,37,73,43,56,66,31,68,15,26,23,17,28,23,34.0,18,18,17,76,73,74,74,77,43.0,30+2,30+2,30+2,25,27,27,27,25,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,27+2,27+2,27+2,27+2,27+2,27+2,29+2,29+2,29+2,27+2,75+2
258746,/player/258746/malcom-braida/240002,24.0,2.0,2023-09-22,M. Braida,Malcom Nahuel Braida,"LWB, LW, RW",76,78,8500000.0,14000.0,26,1997-05-17,175,72,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,LWB,21.0,,2022-01-18,2024.0,52,Argentina,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,13400000.0,,"Anticipate, Slide Tackle",81.0,69.0,69.0,75.0,72.0,72.0,72,68,57,72,65,76,67,46,68,74,84,78,83,70,72,74,75,82,67,70,70,73,73,70,61,73.0,76,70,74,15,6,6,8,10,,71+2,71+2,71+2,74,73,73,73,74,73+2,73+2,73+2,74+2,72+2,72+2,72+2,74+2,74+2,72+2,72+2,72+2,74+2,74+2,71+2,71+2,71+2,74+2,16+2
268621,/player/268621/gaston-hernandez/240002,24.0,2.0,2023-09-22,G. Hernández,Gastón Alan Hernández,CB,75,80,7500000.0,13000.0,25,1998-01-19,185,76,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,LCB,23.0,,2022-01-01,2024.0,52,Argentina,,,,Right,3,2,1,Low/Medium,Normal (185+),No,11800000.0,,Jockey,68.0,37.0,52.0,59.0,76.0,72.0,26,39,69,75,38,50,30,33,68,68,69,68,59,75,59,43,74,71,70,26,76,78,32,36,46,60.0,77,77,75,10,9,13,14,10,,54+2,54+2,54+2,53,53,53,53,53,55+2,55+2,55+2,56+2,61+2,61+2,61+2,56+2,67+2,72+2,72+2,72+2,67+2,69+2,75+2,75+2,75+2,69+2,18+2
237994,/player/237994/nahuel-barrios/240002,24.0,2.0,2023-09-22,N. Barrios,Cristian Nahuel Barrios,"LW, CAM",74,77,5500000.0,14000.0,25,1998-05-07,156,58,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,LW,10.0,,2017-01-01,2024.0,52,Argentina,,,,Right,3,4,1,Medium/Medium,Normal (170-),No,8700000.0,#Acrobat,Technical,87.0,67.0,67.0,80.0,37.0,47.0,67,68,45,67,66,80,71,59,64,77,92,83,90,67,94,65,56,66,34,69,52,25,69,70,56,74.0,37,40,47,13,8,7,12,6,,67+2,67+2,67+2,74,73,73,73,74,73+2,73+2,73+2,73+2,66+2,66+2,66+2,73+2,59+2,53+2,53+2,53+2,59+2,56+2,45+2,45+2,45+2,56+2,16+2
231360,/player/231360/jalil-elias/240002,24.0,2.0,2023-09-22,J. Elías,Jalil Juan José Elías,"CM, RM, RWB",74,75,4800000.0,14000.0,27,1996-04-25,175,69,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,RCM,5.0,,2021-02-10,2023.0,52,Argentina,,,,Right,2,3,1,Medium/Medium,Lean (170-185),No,7600000.0,,"Incisive Pass, Long Ball Pass, Block, First Touch",68.0,66.0,72.0,72.0,68.0,73.0,69,66,61,76,47,70,61,53,75,74,70,67,70,71,74,68,70,85,66,68,74,70,68,75,57,71.0,67,69,70,9,6,13,9,13,,68+2,68+2,68+2,71,70,70,70,71,72+2,72+2,72+2,72+2,74+1,74+1,74+1,72+2,72+2,73+2,73+2,73+2,72+2,71+2,69+2,69+2,69+2,71+2,16+2
246690,/player/246690/adam-bareiro/240002,24.0,2.0,2023-09-22,A. Bareiro,Adam Fernando Bareiro Gamarra,ST,74,74,4700000.0,15000.0,26,1996-07-26,184,84,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,ST,11.0,,2022-01-12,2025.0,58,Paraguay,,,,Right,3,3,1,High/Medium,Normal (170-185),No,7100000.0,,"Chip Shot, Flair",71.0,72.0,57.0,72.0,39.0,77.0,43,74,76,66,66,72,49,58,50,74,70,72,66,74,64,73,87,70,83,67,69,25,75,61,67,69.0,40,39,30,7,14,10,14,14,,74,74,74,69,72,72,72,69,69+2,69+2,69+2,67+2,63+2,63+2,63+2,67+2,53+2,54+2,54+2,54+2,53+2,51+2,53+2,53+2,53+2,51+2,19+2
201508,/player/201508/gaston-ramirez/240002,24.0,2.0,2023-09-22,G. Ramírez,Gastón Exequiel Ramírez Pereyra,CAM,73,73,2400000.0,12000.0,32,1990-12-02,183,78,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,SUB,25.0,,2023-08-04,2024.0,60,Uruguay,,,,Left,3,4,2,Medium/Low,Lean (170-185),No,3600000.0,,"Technical, Flair",56.0,71.0,74.0,76.0,39.0,62.0,71,66,57,74,68,77,82,80,71,77,58,55,74,67,68,76,65,43,68,75,69,32,72,76,73,75.0,30,45,39,14,15,7,7,8,,69+2,69+2,69+2,71,71,71,71,71,73,73,73,70+2,68+2,68+2,68+2,70+2,54+2,56+2,56+2,56+2,54+2,51+2,50+2,50+2,50+2,51+2,17+2
214191,/player/214191/rafael-perez/240002,24.0,2.0,2023-09-22,R. Pérez,Rafael Enrique Pérez Almeida,CB,73,73,1500000.0,11000.0,33,1990-01-09,186,76,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,CB,2.0,,2023-01-28,2024.0,56,Colombia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2300000.0,,"Block, Slide Tackle",59.0,45.0,51.0,61.0,71.0,85.0,29,41,68,66,35,60,47,43,58,62,55,63,56,70,64,56,70,81,88,46,84,72,35,43,55,69.0,71,73,69,5,14,15,6,10,,55+2,55+2,55+2,53,54,54,54,53,55+2,55+2,55+2,55+2,60+2,60+2,60+2,55+2,64+2,69+2,69+2,69+2,64+2,66+2,73,73,73,66+2,16+2
227477,/player/227477/facundo-altamirano/240002,24.0,2.0,2023-09-22,F. Altamirano,Facundo Altamirano,GK,72,75,2300000.0,9000.0,27,1996-03-21,186,85,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,SUB,1.0,Banfield,,2023.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,Footwork,,,,,,,12,12,18,27,20,15,15,15,27,22,45,45,43,69,32,53,63,39,60,13,31,25,15,42,27,48.0,28,18,24,71,68,70,70,74,45.0,29+2,29+2,29+2,27,29,29,29,27,29+2,29+2,29+2,28+2,29+2,29+2,29+2,28+2,29+2,31+2,31+2,31+2,29+2,30+2,31+2,31+2,31+2,30+2,71+2
268657,/player/268657/agustin-giay/240002,24.0,2.0,2023-09-22,A. Giay,Agustín Giay,"RWB, RM, CM",71,83,4300000.0,5000.0,19,2004-01-16,180,73,1013.0,San Lorenzo,353.0,Liga Profesional,1.0,RWB,47.0,,2020-09-13,2025.0,52,Argentina,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,7300000.0,,,77.0,58.0,64.0,69.0,67.0,65.0,62,59,57,70,55,70,45,45,65,69,79,76,73,71,62,63,70,72,59,50,71,66,62,64,52,60.0,70,68,67,6,14,12,6,10,,64+2,64+2,64+2,67,67,67,67,67,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,69+2,68+2,68+2,68+2,69+2,69+2,67+2,67+2,67+2,69+2,16+2
