player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
153060,/player/153060/juan-manuel-insaurralde/240002,24.0,2.0,2023-09-22,J. Insaurralde,Juan Manuel Insaurralde,CB,72,72,425000.0,6000.0,38,1984-10-03,188,87,112713.0,Sarmiento,353.0,Liga Profesional,1.0,CB,2.0,,2023-01-03,2023.0,52,Argentina,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,616000.0,,Aerial,55.0,53.0,57.0,58.0,71.0,80.0,47,42,78,66,51,55,52,30,67,60,60,50,60,66,45,78,85,70,83,52,82,69,57,54,44,71.0,70,70,71,11,10,13,6,13,,61+2,61+2,61+2,56,58,58,58,56,58+2,58+2,58+2,58+2,62+2,62+2,62+2,58+2,64+2,68+2,68+2,68+2,64+2,65+2,72,72,72,65+2,16+2
142707,/player/142707/lisandro-lopez/240002,24.0,2.0,2023-09-22,L. López,Lisandro López,"ST, CAM, LW",71,71,,7000.0,40,1983-03-02,174,74,112713.0,Sarmiento,353.0,Liga Profesional,1.0,LS,7.0,,2022-01-03,2023.0,52,Argentina,,,,Right,4,4,2,Medium/Medium,Normal (170-185),Yes,,,Trivela,61.0,72.0,70.0,72.0,53.0,60.0,65,71,73,74,74,71,79,66,70,73,63,60,69,67,73,76,74,53,64,70,57,55,73,68,77,80.0,45,57,37,8,10,11,13,6,,71,71,71,69,71,71,71,69,70+1,70+1,70+1,68+2,68+2,68+2,68+2,68+2,59+2,61+2,61+2,61+2,59+2,58+2,58+2,58+2,58+2,58+2,16+2
213432,/player/213432/facundo-ferreyra/240002,24.0,2.0,2023-09-22,F. Ferreyra,Facundo Ferreyra,ST,71,71,1500000.0,9000.0,32,1991-03-14,186,76,112713.0,Sarmiento,353.0,Liga Profesional,1.0,SUB,14.0,,2023-08-15,2024.0,52,Argentina,,,,Right,3,3,1,Medium/Low,Lean (185+),No,2200000.0,,"Finesse Shot, Power Header",54.0,71.0,58.0,73.0,30.0,69.0,49,71,74,66,70,72,48,47,50,75,53,55,75,70,64,74,77,60,77,68,58,23,74,66,70,70.0,22,29,26,11,11,8,14,15,,71,71,71,67,70,70,70,67,68+2,68+2,68+2,65+2,62+2,62+2,62+2,65+2,48+2,49+2,49+2,49+2,48+2,45+2,46+2,46+2,46+2,45+2,19+2
225282,/player/225282/jose-devecchi/240002,24.0,2.0,2023-09-22,J. Devecchi,José Antonio Devecchi,GK,70,72,1500000.0,6000.0,27,1995-07-09,188,81,112713.0,Sarmiento,353.0,Liga Profesional,1.0,GK,1.0,San Lorenzo,,2023.0,52,Argentina,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,16,19,17,25,17,15,14,18,25,15,47,48,36,68,54,46,65,27,66,14,26,21,15,44,21,43.0,20,21,14,70,68,61,70,72,47.0,29+2,29+2,29+2,27,28,28,28,27,28+2,28+2,28+2,28+2,27+2,27+2,27+2,28+2,26+2,28+2,28+2,28+2,26+2,27+2,29+2,29+2,29+2,27+2,69+2
215985,/player/215985/fernando-monetti/240002,24.0,2.0,2023-09-22,F. Monetti,Fernando Monetti,GK,70,70,275000.0,6000.0,34,1989-02-21,184,76,112713.0,Sarmiento,353.0,Liga Profesional,1.0,SUB,22.0,,2023-08-10,2024.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,399000.0,,,,,,,,,19,19,23,48,19,19,23,13,42,36,56,57,48,67,59,53,70,32,64,15,41,18,15,60,24,31.0,29,14,24,70,67,70,70,71,56.0,35+2,35+2,35+2,35,37,37,37,35,39+2,39+2,39+2,37+2,39+2,39+2,39+2,37+2,33+2,36+2,36+2,36+2,33+2,33+2,33+2,33+2,33+2,33+2,69+1
269132,/player/269132/gabriel-diaz-nunez/240002,24.0,2.0,2023-09-22,G. Díaz Núñez,Gabriel Díaz Núñez,"LWB, LB",69,78,3000000.0,5000.0,23,2000-04-19,172,66,112713.0,Sarmiento,353.0,Liga Profesional,1.0,LWB,33.0,,2022-04-02,2023.0,52,Argentina,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,5000000.0,,,70.0,33.0,55.0,64.0,67.0,57.0,68,31,54,55,27,64,60,38,54,62,71,70,63,65,81,33,57,75,46,29,61,71,53,47,46,54.0,72,65,67,9,12,14,5,6,,50+2,50+2,50+2,57,54,54,54,57,55+2,55+2,55+2,60+2,57+2,57+2,57+2,60+2,67+2,63+2,63+2,63+2,67+2,67+2,63+2,63+2,63+2,67+2,15+2
255256,/player/255256/franco-paredes/240002,24.0,2.0,2023-09-22,F. Paredes,Franco Ezequiel Paredes,"RB, RWB",69,75,2100000.0,7000.0,24,1999-03-18,175,73,112713.0,Sarmiento,353.0,Liga Profesional,1.0,SUB,32.0,River Plate,,2024.0,52,Argentina,,,,Right,3,3,1,High/Medium,Normal (170-185),No,,,Slide Tackle,78.0,39.0,62.0,69.0,66.0,71.0,58,33,68,68,41,67,44,39,68,68,78,78,78,65,71,49,78,71,69,32,75,67,59,61,55,69.0,64,65,66,14,7,9,8,14,,58+2,58+2,58+2,62,61,61,61,62,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,17+2
215162,/player/215162/alejandro-donatti/240002,24.0,2.0,2023-09-22,A. Donatti,Alejandro César Donatti,CB,69,69,250000.0,4000.0,36,1986-10-24,192,86,112713.0,Sarmiento,353.0,Liga Profesional,1.0,RCB,18.0,,2023-02-07,2023.0,52,Argentina,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,363000.0,,Power Header,40.0,57.0,51.0,47.0,71.0,68.0,38,50,77,63,34,40,48,65,60,58,35,44,40,58,31,77,75,48,78,60,67,68,50,35,52,55.0,70,71,69,13,10,6,15,12,,57+2,57+2,57+2,48,52,52,52,48,50+2,50+2,50+2,48+2,55+2,55+2,55+2,48+2,57+2,63+2,63+2,63+2,57+2,60+2,69,69,69,60+2,17+2
223240,/player/223240/gonzalo-bettini/240002,24.0,2.0,2023-09-22,G. Bettini,Gonzalo Bettini,"RWB, RB",69,69,1200000.0,6000.0,29,1993-09-07,171,75,112713.0,Sarmiento,353.0,Liga Profesional,1.0,RWB,25.0,,2022-01-01,2023.0,52,Argentina,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1700000.0,,Jockey,64.0,42.0,62.0,65.0,64.0,65.0,68,41,57,66,30,63,47,31,55,65,69,59,68,65,70,50,64,80,57,39,64,63,59,66,33,62.0,63,68,68,13,16,11,7,12,,55+2,55+2,55+2,61,59,59,59,61,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,67+2,65+2,65+2,65+2,67+2,66+2,64+2,64+2,64+2,66+2,18+2
264733,/player/264733/manuel-garcia/240002,24.0,2.0,2023-09-22,M. García,Manuel García,"CB, CM, CDM",68,77,2500000.0,4000.0,24,1999-06-11,180,75,112713.0,Sarmiento,353.0,Liga Profesional,1.0,SUB,29.0,,2020-09-17,2023.0,52,Argentina,,,,Right,3,2,1,Low/High,Normal (170-185),No,4100000.0,,Intercept,57.0,45.0,58.0,58.0,69.0,68.0,51,44,60,66,38,57,45,40,61,58,53,60,57,68,63,48,65,65,67,45,73,70,49,58,47,55.0,69,72,70,7,14,13,12,14,,54+2,54+2,54+2,56,56,56,56,56,57+2,57+2,57+2,57+2,61+2,61+2,61+2,57+2,64+2,67+2,67+2,67+2,64+2,65+2,68+2,68+2,68+2,65+2,18+2
