player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211272,/player/211272/claudio-corvalan/240002,24.0,2.0,2023-09-22,C. Corvalán,Claudio Gastón Corvalán,"CB, LB",71,71,600000.0,9000.0,34,1989-03-23,179,78,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,LCB,3.0,,2018-07-23,2024.0,52,Argentina,,,,Left,3,2,1,Medium/High,Normal (170-185),No,870000.0,,Long Throw,64.0,53.0,63.0,63.0,68.0,79.0,63,43,57,71,49,57,48,42,63,70,63,65,61,72,76,74,73,74,80,55,85,76,60,59,56,58.0,62,69,74,7,12,9,14,11,,61+2,61+2,61+2,62,62,62,62,62,63+2,63+2,63+2,63+2,66+2,66+2,66+2,63+2,69+2,71,71,71,69+2,69+2,71,71,71,69+2,18+2
220148,/player/220148/nicolas-orsini/240002,24.0,2.0,2023-09-22,N. Orsini,Nicolás Orsini,ST,71,71,1900000.0,14000.0,28,1994-09-12,191,90,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,SUB,15.0,Boca Juniors,,2024.0,52,Argentina,,,,Right,2,2,1,Medium/Low,Normal (185+),Yes,,,,77.0,68.0,57.0,67.0,31.0,73.0,45,69,74,65,64,64,43,47,59,70,76,77,70,69,74,74,81,63,81,59,65,22,73,61,68,68.0,33,25,19,11,6,16,6,16,,71,71,71,66,69,69,69,66,67+2,67+2,67+2,65+2,61+2,61+2,61+2,65+2,49+2,50+2,50+2,50+2,49+2,47+2,47+2,47+2,47+2,47+2,17+2
256501,/player/256501/enzo-roldan/240002,24.0,2.0,2023-09-22,E. Roldán,Enzo Martín Roldán,"CM, CDM",70,78,3600000.0,7000.0,22,2000-12-08,176,72,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,RCM,8.0,,2022-02-08,2025.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,5900000.0,,Flair,76.0,65.0,67.0,68.0,65.0,65.0,55,63,45,72,59,67,74,42,72,65,77,75,77,67,82,74,62,84,55,66,67,71,63,70,49,59.0,62,70,64,7,6,8,6,13,,64+2,64+2,64+2,67,67,67,67,67,68+2,68+2,68+2,68+2,70+2,70+2,70+2,68+2,69+2,69+2,69+2,69+2,69+2,68+2,64+2,64+2,64+2,68+2,14+2
253951,/player/253951/franco-calderon/240002,24.0,2.0,2023-09-22,F. Calderón,Franco Ezequiel Calderón,CB,70,75,2100000.0,7000.0,25,1998-05-13,188,80,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,CB,2.0,,2019-01-01,2023.0,52,Argentina,,,,Right,3,2,1,Low/High,Normal (185+),No,3200000.0,,Slide Tackle,61.0,36.0,48.0,51.0,67.0,81.0,33,27,65,62,31,46,36,32,57,50,55,65,61,69,54,55,83,75,83,33,85,71,39,37,47,58.0,63,70,66,15,5,7,15,8,,50+2,50+2,50+2,47,48,48,48,47,49+2,49+2,49+2,50+2,54+2,54+2,54+2,50+2,61+2,65+2,65+2,65+2,61+2,63+2,70+2,70+2,70+2,63+2,17+2
253908,/player/253908/mauro-luna-diale/240002,24.0,2.0,2023-09-22,M. Luna Diale,Mauro Luna Diale,"CM, ST, CAM",69,74,2100000.0,6000.0,24,1999-04-26,173,69,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,LCM,7.0,,2020-01-20,2025.0,52,Argentina,,,,Right,4,3,1,High/High,Normal (170-185),No,3200000.0,,"Finesse Shot, Technical, Flair",84.0,66.0,63.0,77.0,58.0,65.0,55,66,59,65,65,76,65,52,64,74,86,82,85,73,86,68,73,73,58,67,70,59,68,70,57,74.0,48,64,65,9,11,9,13,13,,69+2,69+2,69+2,72,72,72,72,72,71+2,71+2,71+2,71+2,69+2,69+2,69+2,71+2,66+2,65+2,65+2,65+2,66+2,66+2,62+2,62+2,62+2,66+2,18+2
259786,/player/259786/federico-vera/240002,24.0,2.0,2023-09-22,F. Vera,Federico Vera,"RWB, RB",69,74,1900000.0,6000.0,25,1998-03-24,178,74,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,RWB,16.0,,2020-08-15,2023.0,52,Argentina,,,,Right,3,3,1,High/Low,Normal (170-185),No,2900000.0,,"Rapid, Long Throw",83.0,40.0,59.0,69.0,61.0,69.0,70,29,54,59,36,71,49,37,58,65,82,84,81,58,75,60,72,83,65,42,62,59,60,57,40,64.0,58,67,65,11,8,10,9,9,,56+2,56+2,56+2,63,60,60,60,63,61+2,61+2,61+2,65+2,61+2,61+2,61+2,65+2,67+2,62+2,62+2,62+2,67+2,67+2,62+2,62+2,62+2,67+2,15+2
215132,/player/215132/sebastian-moyano/240002,24.0,2.0,2023-09-22,S. Moyano,Sebastián Emanuel Moyano,GK,69,69,700000.0,5000.0,32,1990-08-26,188,78,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,GK,25.0,,2019-07-03,2023.0,52,Argentina,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,1000000.0,,,,,,,,,18,20,12,34,16,23,27,19,37,30,53,47,56,67,51,47,66,38,67,17,38,27,14,33,22,44.0,26,13,23,68,66,62,70,71,51.0,32+2,32+2,32+2,31,32,32,32,31,32+2,32+2,32+2,32+2,32+2,32+2,32+2,32+2,32+2,33+2,33+2,33+2,32+2,31+2,31+2,31+2,31+2,31+2,68+1
265661,/player/265661/oscar-piris/240002,24.0,2.0,2023-09-22,O. Piris,Oscar Piris,CB,69,69,450000.0,6000.0,34,1989-06-06,185,85,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,SUB,5.0,,2023-01-03,2023.0,52,Argentina,,,,Right,3,2,1,High/High,Normal (185+),No,653000.0,,"Power Header, Aerial",56.0,50.0,49.0,54.0,69.0,77.0,27,46,77,58,27,47,31,53,59,57,59,53,60,63,65,63,84,70,80,49,75,70,45,51,57,58.0,68,68,62,15,7,9,10,12,,56+2,56+2,56+2,50,53,53,53,50,53+2,53+2,53+2,52+2,57+2,57+2,57+2,52+2,58+2,65+2,65+2,65+2,58+2,61+2,69,69,69,61+2,17+2
246081,/player/246081/bryan-castrillon/240002,24.0,2.0,2023-09-22,B. Castrillón,Bryan David Castrillón Gómez,"LM, RM, LW",68,74,1900000.0,5000.0,24,1999-03-30,169,57,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,SUB,11.0,,2022-01-15,2024.0,56,Colombia,,,,Right,3,3,1,Medium/Low,Lean (170-),No,3100000.0,,"Rapid, Flair",84.0,62.0,58.0,74.0,41.0,49.0,55,65,40,61,45,74,49,43,55,72,89,80,88,54,85,60,56,64,45,61,40,36,66,62,60,58.0,44,42,35,10,10,15,13,13,,63+2,63+2,63+2,68,67,67,67,68,67+2,67+2,67+2,67+2,61+2,61+2,61+2,67+2,55+2,51+2,51+2,51+2,55+2,53+2,45+2,45+2,45+2,53+2,16+2
259789,/player/259789/kevin-zenon/240002,24.0,2.0,2023-09-22,K. Zenón,Kevin Andrés Zenón,"LM, LW, LWB",68,74,1900000.0,4000.0,21,2001-07-30,180,70,111716.0,Unión Santa Fe,353.0,Liga Profesional,1.0,LWB,34.0,,2020-10-26,2025.0,52,Argentina,,,,Left,4,4,1,Medium/Medium,Lean (170-185),No,3100000.0,,"Technical, Flair",83.0,63.0,65.0,72.0,52.0,58.0,61,58,54,65,48,71,76,72,64,70,82,83,84,60,81,75,66,66,53,65,56,51,62,66,59,70.0,46,57,53,10,10,10,7,9,,64+2,64+2,64+2,68,67,67,67,68,67+2,67+2,67+2,67+2,64+2,64+2,64+2,67+2,62+2,59+2,59+2,59+2,62+2,61+2,55+2,55+2,55+2,61+2,15+2
