team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
1876,/team/1876/river-plate/240002,24,2,2023-09-22,River Plate,353,Liga Profesional,1.0,52,Argentina,76,75,77,75,1398.0,El Monumento (Estadio Latino),1877,9,10.0,,240000000.0,30.82,28.82,196432.0,215998.0,215998.0,240699.0,215998.0,236007.0,240699.0,215998.0,Pressure on heavy touch,41.0,71.0,,,,,,Slow build up,Possession,51.0,6.0,3.0,3.0,,,,,,,,
1877,/team/1877/boca-juniors/240002,24,2,2023-09-22,Boca Juniors,353,Liga Profesional,1.0,52,Argentina,75,76,73,75,37646001.0,La Bombonera,1876,9,10.0,,199400000.0,29.09,27.86,201862.0,211269.0,211269.0,211269.0,211269.0,179813.0,211269.0,211269.0,Balanced,51.0,61.0,,,,,,Fast build up,Forward runs,71.0,6.0,3.0,3.0,,,,,,,,
101085,/team/101085/racing-club/240002,24,2,2023-09-22,Racing Club,353,Liga Profesional,1.0,52,Argentina,73,74,73,73,128851.0,Estadio Presidente Perón (El Cilindro),110093,7,9.0,,78100000.0,29.09,26.25,223249.0,219670.0,236668.0,219670.0,219670.0,203872.0,211489.0,219670.0,Balanced,61.0,71.0,,,,,,Slow build up,Possession,61.0,3.0,3.0,3.0,,,,,,,,
1013,/team/1013/san-lorenzo/240002,24,2,2023-09-22,San Lorenzo,353,Liga Profesional,1.0,52,Argentina,72,71,72,73,34492065.0,El Libertador (La Bombastico),111711,7,9.0,,107500000.0,26.09,25.29,231360.0,237994.0,231360.0,237994.0,246690.0,246690.0,237994.0,237994.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
101083,/team/101083/estudiantes/240002,24,2,2023-09-22,Estudiantes,353,Liga Profesional,1.0,52,Argentina,72,73,72,72,213970.0,Stadio Classico,101084,8,8.0,,90500000.0,28.55,26.79,173857.0,215155.0,215155.0,252114.0,215155.0,161938.0,252114.0,215155.0,Pressure on heavy touch,51.0,51.0,,,,,,Fast build up,Forward runs,51.0,6.0,3.0,3.0,,,,,,,,
112670,/team/112670/talleres-cordoba/240002,24,2,2023-09-22,Talleres Córdoba,353,Liga Profesional,1.0,52,Argentina,72,71,72,71,252450.0,O Dromo,111022,3,6.0,,20000000.0,25.36,22.86,215251.0,267629.0,267629.0,267629.0,267629.0,238194.0,267629.0,267629.0,Balanced,71.0,51.0,,,,,,Balanced,Balanced,71.0,3.0,3.0,3.0,,,,,,,,
110093,/team/110093/independiente/240002,24,2,2023-09-22,Independiente,353,Liga Profesional,1.0,52,Argentina,71,71,72,71,252.0,Estadio Libertadores de América,101085,8,9.0,,182300000.0,29.73,26.57,215057.0,215292.0,215057.0,215292.0,215292.0,215057.0,215057.0,215057.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,71.0,4.0,3.0,3.0,,,,,,,,
110395,/team/110395/lanus/240002,24,2,2023-09-22,Lanús,353,Liga Profesional,1.0,52,Argentina,71,71,71,71,468196.0,Stadio Classico,110404,5,6.0,,54700000.0,28.82,25.96,215050.0,265766.0,265766.0,265766.0,265766.0,214777.0,265766.0,265766.0,Balanced,61.0,61.0,,,,,,Balanced,Balanced,61.0,6.0,3.0,3.0,,,,,,,,
110406,/team/110406/colon/240002,24,2,2023-09-22,Colón,353,Liga Profesional,1.0,52,Argentina,71,69,71,71,468236.0,Stadio Classico,111716,3,5.0,,23500000.0,29.73,27.93,214763.0,215199.0,215199.0,215199.0,215199.0,226378.0,215199.0,215199.0,Balanced,41.0,41.0,,,,,,Fast build up,Forward runs,51.0,4.0,3.0,3.0,,,,,,,,
111019,/team/111019/argentinos-juniors/240002,24,2,2023-09-22,Argentinos Juniors,353,Liga Profesional,1.0,52,Argentina,71,72,71,71,465797.0,Arena del Centenario (Estadio del Pueblo),112689,6,6.0,,16500000.0,26.45,25.54,176920.0,246770.0,269622.0,176920.0,246770.0,176920.0,224317.0,224317.0,Press after possession loss,41.0,61.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
