player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
203280,/player/203280/valere-germain/240002,24.0,2.0,2023-09-22,V. Germain,Valère Germain,ST,72,72,1500000.0,5000.0,33,1990-04-17,181,75,114604.0,Macarthur,351.0,A-League,1.0,ST,98.0,,2023-07-14,2025.0,18,France,,,,Right,4,3,1,Medium/Medium,Lean (170-185),Yes,1900000.0,,Finesse Shot,63.0,72.0,70.0,72.0,39.0,64.0,69,72,75,73,72,69,69,69,64,74,62,63,76,74,70,73,73,72,61,70,61,44,77,71,74,69.0,45,24,18,14,7,11,9,14,,72,72,72,71,72,72,72,71,72,72,72,70+2,68+2,68+2,68+2,70+2,56+2,56+2,56+2,56+2,56+2,53+2,50+2,50+2,50+2,53+2,18+2
190581,/player/190581/ulises-davila/240002,24.0,2.0,2023-09-22,U. Dávila,Ulises Alejandro Dávila Plascencia,"CAM, CM, RM",70,70,1300000.0,3000.0,32,1991-04-13,172,65,114604.0,Macarthur,351.0,A-League,1.0,CAM,10.0,,2021-07-08,2024.0,83,Mexico,,,,Left,4,4,1,High/Medium,Lean (170-185),No,1600000.0,,"Tiki Taka, Technical, Flair",73.0,71.0,67.0,75.0,50.0,61.0,65,71,62,69,69,74,70,68,63,72,77,69,84,67,86,73,69,73,54,70,61,51,66,69,75,71.0,48,49,42,6,10,7,10,12,,69+1,69+1,69+1,71-1,70,70,70,71-1,70,70,70,70,67+2,67+2,67+2,70,61+2,60+2,60+2,60+2,61+2,59+2,55+2,55+2,55+2,59+2,16+2
193302,/player/193302/filip-kurto/240002,24.0,2.0,2023-09-22,F. Kurto,Filip Kurto,GK,67,67,500000.0,1000.0,32,1991-06-14,191,82,114604.0,Macarthur,351.0,A-League,1.0,GK,12.0,,2021-10-26,2024.0,37,Poland,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,625000.0,,Footwork,,,,,,,12,13,11,26,12,14,11,12,24,34,47,52,52,64,43,45,63,42,67,13,38,20,13,22,15,51.0,12,11,11,67,63,60,66,69,49.0,29+2,29+2,29+2,27,28,28,28,27,27+2,27+2,27+2,28+2,27+2,27+2,27+2,28+2,27+2,28+2,28+2,28+2,27+2,26+2,27+2,27+2,27+2,26+2,66+1
213488,/player/213488/daniel-de-silva/240002,24.0,2.0,2023-09-22,D. De Silva,Daniël De Silva,"CM, CAM, CDM",66,68,1100000.0,2000.0,26,1997-03-06,170,60,114604.0,Macarthur,351.0,A-League,1.0,RES,7.0,,2023-07-11,2024.0,195,Australia,,,,Right,3,3,1,Medium/Medium,Lean (170-),No,1500000.0,,Technical,78.0,59.0,65.0,70.0,54.0,57.0,61,58,42,68,59,68,66,59,62,68,81,75,86,64,86,60,50,82,42,62,63,59,60,67,52,64.0,50,59,56,7,9,8,15,10,,61+2,61+2,61+2,67,65,65,65,67,67+1,67+1,67+1,67+1,66+2,66+2,66+2,67+1,65+2,62+2,62+2,62+2,65+2,63+2,55+2,55+2,55+2,63+2,16+2
231356,/player/231356/matt-millar/240002,24.0,2.0,2023-09-22,M. Millar,Matthew Millar,"RB, RM, LM",65,66,775000.0,1000.0,26,1996-08-23,186,80,114604.0,Macarthur,351.0,A-League,1.0,RB,44.0,,2022-07-07,2024.0,195,Australia,,,,Right,3,3,1,High/Medium,Normal (185+),No,1000000.0,,Technical,75.0,57.0,57.0,63.0,59.0,77.0,59,58,61,57,51,64,58,48,52,58,71,78,72,60,77,60,79,80,78,52,69,61,61,59,49,60.0,57,60,59,14,9,15,7,6,,62+2,62+2,62+2,62,61,61,61,62,60+2,60+2,60+2,62+2,59+2,59+2,59+2,62+2,63+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,63+2,15+2
212013,/player/212013/kearyn-baccus/240002,24.0,2.0,2023-09-22,K. Baccus,Kearyn Baccus,"CDM, CM",65,65,500000.0,1000.0,31,1991-09-05,180,75,114604.0,Macarthur,351.0,A-League,1.0,LDM,11.0,,2022-07-06,2024.0,195,Australia,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,625000.0,,Intercept,67.0,53.0,58.0,63.0,62.0,68.0,46,48,50,65,53,61,51,52,63,61,65,69,74,63,69,60,62,73,65,56,72,66,56,58,52,62.0,61,65,63,9,13,6,16,14,,58+2,58+2,58+2,59,59,59,59,59,61+2,61+2,61+2,60+2,62+2,62+2,62+2,60+2,63+2,64+1,64+1,64+1,63+2,63+2,63+2,63+2,63+2,63+2,18+2
231063,/player/231063/clayton-lewis/240002,24.0,2.0,2023-09-22,C. Lewis,Clayton Rhys Lewis,"CDM, CM, CAM",65,65,700000.0,1000.0,26,1997-02-12,173,72,114604.0,Macarthur,351.0,A-League,1.0,RDM,23.0,,2023-07-01,2025.0,198,New Zealand,111473.0,SUB,23.0,Left,3,2,1,Medium/Medium,Normal (170-185),No,875000.0,,Finesse Shot,70.0,59.0,67.0,68.0,58.0,74.0,67,56,52,67,53,65,67,66,67,66,73,67,79,64,85,63,73,79,76,62,65,59,60,67,58,64.0,58,58,60,15,12,11,6,13,,62+2,62+2,62+2,65,64,64,64,65,65,65,65,66-1,66-1,66-1,66-1,66-1,65,64+1,64+1,64+1,65,64+1,62+2,62+2,62+2,64+1,17+2
231634,/player/231634/tomislav-uskok/240002,24.0,2.0,2023-09-22,T. Uskok,Tomislav Uskok,CB,64,64,375000.0,1000.0,32,1991-06-22,196,83,114604.0,Macarthur,351.0,A-League,1.0,RCB,6.0,,2021-07-11,2025.0,195,Australia,,,,Right,3,2,1,Low/Medium,Normal (185+),No,469000.0,#Strength,"Jockey, Anticipate, Slide Tackle",56.0,35.0,47.0,50.0,61.0,79.0,34,30,62,57,28,47,31,33,53,52,50,61,47,60,48,47,74,69,86,33,77,61,36,45,36,60.0,60,61,61,7,11,13,12,8,,48+2,48+2,48+2,46,47,47,47,46,48+2,48+2,48+2,49+2,52+2,52+2,52+2,49+2,56+2,60+2,60+2,60+2,56+2,58+2,64,64,64,58+2,15+2
235054,/player/235054/ivan-vujica/240002,24.0,2.0,2023-09-22,I. Vujica,Ivan Vujica,LB,63,65,550000.0,1000.0,26,1997-04-20,180,83,114604.0,Macarthur,351.0,A-League,1.0,LB,13.0,,2022-07-08,2025.0,195,Australia,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,729000.0,,,62.0,39.0,53.0,58.0,61.0,71.0,55,36,55,55,32,56,55,40,50,57,62,62,66,58,71,51,66,79,69,35,65,61,43,51,37,56.0,62,62,58,7,13,8,9,14,,50+2,50+2,50+2,53,51,51,51,53,52+2,52+2,52+2,55+2,55+2,55+2,55+2,55+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2,16+2
259475,/player/259475/jake-hollman/240002,24.0,2.0,2023-09-22,J. Hollman,Jake Hollman,"CM, CDM, CAM",62,72,900000.0,750.0,21,2001-08-26,176,70,114604.0,Macarthur,351.0,A-League,1.0,SUB,8.0,,2020-10-14,2025.0,195,Australia,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1300000.0,,"Intercept, Technical",71.0,54.0,58.0,66.0,57.0,59.0,49,53,44,64,46,65,56,49,59,63,75,67,80,61,78,57,52,72,50,55,69,62,58,59,52,60.0,55,60,61,14,6,9,14,8,,58+2,58+2,58+2,62,61,61,61,62,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,61+2,61+2,61+2,62+2,61+2,58+2,58+2,58+2,61+2,16+2
