player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
228908,/player/228908/jason-berthomier/240002,24.0,2.0,2023-09-22,J. Berthomier,Jason Berthomier,CAM,69,69,875000.0,2000.0,33,1990-01-06,177,74,111398.0,Newcastle Jets,351.0,A-League,1.0,CAM,15.0,,2023-08-29,2024.0,18,France,,,,Left,4,4,1,High/Low,Lean (170-185),No,1100000.0,,,64.0,69.0,72.0,70.0,51.0,60.0,73,67,66,73,69,66,72,76,71,73,63,64,75,70,70,69,65,62,56,72,67,57,64,70,71,73.0,42,51,53,14,14,8,10,14,,67+2,67+2,67+2,69,68,68,68,69,69,69,69,69,68+1,68+1,68+1,69,62+2,62+2,62+2,62+2,62+2,61+2,57+2,57+2,57+2,61+2,19+2
252974,/player/252974/reno-piscopo/240002,24.0,2.0,2023-09-22,R. Piscopo,Reno Mauro Piscopo,"LM, CAM",68,71,1600000.0,1000.0,25,1998-05-27,170,69,111398.0,Newcastle Jets,351.0,A-League,1.0,LM,10.0,,2022-07-01,2024.0,195,Australia,,,,Right,2,4,1,Medium/Low,Normal (170-),No,2100000.0,,"Finesse Shot, Whipped Cross, Technical, Flair",79.0,65.0,60.0,74.0,39.0,61.0,61,64,47,61,58,74,72,67,54,72,81,77,87,64,84,68,68,61,63,67,56,41,64,59,56,65.0,40,35,34,8,8,13,5,9,,65+2,65+2,65+2,69,67,67,67,69,67+2,67+2,67+2,67+2,61+2,61+2,61+2,67+2,55+2,52+2,52+2,52+2,55+2,53+2,48+2,48+2,48+2,53+2,14+2
209359,/player/209359/brandon-oneill/240002,24.0,2.0,2023-09-22,B. O'Neill,Brandon O'Neill,"CDM, CM",66,66,725000.0,1000.0,29,1994-04-12,179,78,111398.0,Newcastle Jets,351.0,A-League,1.0,LDM,6.0,,2022-07-01,2024.0,195,Australia,,,,Right,4,3,1,Medium/High,Normal (170-185),No,906000.0,,Long Ball Pass,57.0,59.0,63.0,63.0,61.0,73.0,59,57,58,65,55,59,60,60,65,63,56,57,69,65,75,61,67,82,71,63,66,64,61,64,63,65.0,59,62,61,15,11,7,12,7,,61+2,61+2,61+2,61,61,61,61,61,62+2,62+2,62+2,62+2,65+1,65+1,65+1,62+2,64+2,65+1,65+1,65+1,64+2,63+2,63+2,63+2,63+2,63+2,17+2
200841,/player/200841/carl-jenkinson/240002,24.0,2.0,2023-09-22,C. Jenkinson,Carl Jenkinson,"CB, RB",65,65,500000.0,900.0,31,1992-02-08,185,77,111398.0,Newcastle Jets,351.0,A-League,1.0,RCB,25.0,,2022-08-03,2024.0,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),Yes,625000.0,,,69.0,52.0,60.0,63.0,64.0,71.0,60,50,60,62,60,61,60,52,60,64,67,71,65,63,63,63,74,68,75,44,65,63,58,59,49,62.0,65,64,63,12,15,15,11,12,,60+2,60+2,60+2,61,60,60,60,61,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,64+1,64+1,64+1,64+1,64+1,64+1,65,65,65,64+1,18+2
257490,/player/257490/lucas-mauragis/240002,24.0,2.0,2023-09-22,L. Mauragis,Lucas Mauragis,LB,63,72,1000000.0,500.0,21,2001-09-04,181,76,111398.0,Newcastle Jets,351.0,A-League,1.0,LB,5.0,,2020-07-20,2024.0,195,Australia,,,,Left,3,2,1,High/Medium,Lean (170-185),No,1500000.0,,Slide Tackle,83.0,50.0,53.0,60.0,55.0,71.0,60,52,49,53,36,57,51,35,50,57,82,83,79,55,71,59,74,76,74,40,55,56,56,51,49,51.0,55,57,57,10,10,9,12,7,,57+2,57+2,57+2,59,57,57,57,59,56+2,56+2,56+2,60+2,55+2,55+2,55+2,60+2,61+2,57+2,57+2,57+2,61+2,61+2,58+2,58+2,58+2,61+2,15+2
260617,/player/260617/mark-natta/240002,24.0,2.0,2023-09-22,M. Natta,Mark Natta,"CB, LB",62,70,825000.0,500.0,20,2002-11-28,175,70,111398.0,Newcastle Jets,351.0,A-League,1.0,LCB,33.0,,2022-07-04,2024.0,195,Australia,,,,Left,3,2,1,Low/High,Normal (170-185),No,1200000.0,,,77.0,30.0,47.0,60.0,61.0,71.0,33,30,59,61,21,55,22,25,58,59,74,79,80,55,83,38,79,74,79,18,45,57,48,38,30,51.0,63,63,61,14,11,11,14,11,,50+2,50+2,50+2,52,51,51,51,52,52+2,52+2,52+2,55+2,54+2,54+2,54+2,55+2,59+2,60+2,60+2,60+2,59+2,61+2,62+2,62+2,62+2,61+2,17+2
232053,/player/232053/trent-buhagiar/240002,24.0,2.0,2023-09-22,T. Buhagiar,Trent Buhagiar,"RM, ST",62,65,525000.0,650.0,25,1998-02-27,178,65,111398.0,Newcastle Jets,351.0,A-League,1.0,RM,7.0,,2022-07-01,2024.0,195,Australia,,,,Right,4,3,1,High/Medium,Lean (170-185),No,696000.0,"#Speedster, #Acrobat","Rapid, Quick Step",91.0,58.0,51.0,61.0,26.0,66.0,50,65,52,55,49,55,39,32,49,56,92,90,92,52,91,54,80,82,73,50,26,24,61,54,54,53.0,22,24,22,7,12,14,13,9,,61+2,61+2,61+2,62,60,60,60,62,59+2,59+2,59+2,61+2,53+2,53+2,53+2,61+2,48+2,42+2,42+2,42+2,48+2,46+2,39+2,39+2,39+2,46+2,15+2
259767,/player/259767/thomas-aquilina/240002,24.0,2.0,2023-09-22,T. Aquilina,Thomas Aquilina,"RB, LB",61,68,625000.0,500.0,22,2001-02-02,178,67,111398.0,Newcastle Jets,351.0,A-League,1.0,RB,39.0,,2023-02-08,2024.0,195,Australia,,,,Right,4,3,1,High/High,Lean (170-185),No,906000.0,,Technical,84.0,22.0,48.0,61.0,52.0,61.0,50,20,39,56,29,60,40,20,50,59,86,82,82,50,56,23,63,81,60,16,40,48,50,39,28,47.0,52,58,56,8,8,7,11,13,,45+2,45+2,45+2,54,50,50,50,54,52+2,52+2,52+2,57+2,52+2,52+2,52+2,57+2,59+2,54+2,54+2,54+2,59+2,59+2,53+2,53+2,53+2,59+2,14+2
237714,/player/237714/dane-ingham/240002,24.0,2.0,2023-09-22,D. Ingham,Dane James Ingham,"RB, LB, RM",61,65,425000.0,500.0,24,1999-06-08,186,73,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,14.0,,2021-07-02,2025.0,198,New Zealand,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,563000.0,,,82.0,42.0,53.0,61.0,52.0,64.0,60,42,45,57,42,57,50,28,49,61,78,86,72,56,82,42,67,69,68,42,48,53,57,48,34,55.0,50,55,54,14,12,6,12,8,,54+2,54+2,54+2,59,56,56,56,59,56+2,56+2,56+2,60+2,55+2,55+2,55+2,60+2,60+2,55+2,55+2,55+2,60+2,59+2,55+2,55+2,55+2,59+2,16+2
242108,/player/242108/kostandinos-grozos/240002,24.0,2.0,2023-09-22,K. Grozos,Kostandinos Grozos,"CAM, CDM",60,68,550000.0,500.0,22,2000-08-10,178,72,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,17.0,,2021-09-15,2024.0,195,Australia,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,798000.0,,,67.0,53.0,57.0,61.0,54.0,56.0,46,54,45,67,40,62,38,34,62,61,65,68,57,57,65,56,57,62,60,54,39,54,53,56,42,52.0,55,56,51,6,14,15,6,10,,56+2,56+2,56+2,59,59,59,59,59,60+2,60+2,60+2,59+2,60+2,60+2,60+2,59+2,57+2,58+2,58+2,58+2,57+2,57+2,54+2,54+2,54+2,57+2,15+2
259655,/player/259655/phillip-cancar/240002,24.0,2.0,2023-09-22,P. Cancar,Phillip Cancar,CB,60,68,525000.0,500.0,22,2001-05-11,186,75,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,22.0,,2023-02-08,2024.0,195,Australia,,,,Right,3,2,1,Low/High,Lean (185+),No,761000.0,,,71.0,23.0,42.0,42.0,60.0,69.0,23,17,57,60,20,22,26,24,56,55,76,67,71,55,58,34,77,81,72,23,44,57,29,28,30,57.0,59,62,63,15,15,9,9,9,,41+2,41+2,41+2,41,40,40,40,41,43+2,43+2,43+2,45+2,49+2,49+2,49+2,45+2,56+2,58+2,58+2,58+2,56+2,59+2,60+2,60+2,60+2,59+2,17+2
242056,/player/242056/callum-timmins/240002,24.0,2.0,2023-09-22,C. Timmins,Callum Timmins,"CM, CDM",60,65,375000.0,500.0,23,1999-08-04,182,72,111398.0,Newcastle Jets,351.0,A-League,1.0,RDM,19.0,,2022-08-04,2024.0,195,Australia,,,,Right,3,2,1,High/High,Lean (170-185),No,497000.0,,,68.0,59.0,57.0,59.0,55.0,70.0,47,54,48,62,49,57,54,48,58,59,68,68,66,59,69,69,64,76,71,66,60,55,58,58,49,57.0,51,59,57,14,11,14,6,7,,59+2,59+2,59+2,59,60,60,60,59,60+2,60+2,60+2,59+2,60+2,60+2,60+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,58+2,58+2,58+2,59+2,15+2
264646,/player/264646/michael-weier/240002,24.0,2.0,2023-09-22,M. Weier,Michael Weier,GK,60,65,275000.0,500.0,26,1997-01-27,198,85,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,20.0,,2021-09-17,2024.0,195,Australia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,364000.0,,Far Throw,,,,,,,12,5,12,24,6,13,14,10,25,17,23,26,32,44,28,44,55,19,70,8,31,11,7,41,10,32.0,9,10,12,61,61,59,61,59,24.0,21+2,21+2,21+2,19,20,20,20,19,22+2,22+2,22+2,20+2,23+2,23+2,23+2,20+2,18+2,22+2,22+2,22+2,18+2,17+2,22+2,22+2,22+2,17+2,59+2
185256,/player/185256/jason-hoffman/240002,24.0,2.0,2023-09-22,J. Hoffman,Jason Hoffman,"LB, RB",60,60,90000.0,550.0,34,1989-01-28,189,78,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,3.0,,2015-07-16,2024.0,195,Australia,,,,Right,3,2,1,Medium/High,Normal (185+),No,113000.0,,,69.0,53.0,54.0,58.0,54.0,76.0,57,54,53,54,47,56,55,32,55,57,66,71,65,61,73,53,72,76,81,50,62,56,63,55,56,56.0,54,54,51,11,9,14,13,16,,58+2,58+2,58+2,58,58,58,58,58,57+2,57+2,57+2,59+1,57+2,57+2,57+2,59+1,59+1,58+2,58+2,58+2,59+1,58+2,58+2,58+2,58+2,58+2,18+2
272419,/player/272419/jacob-dowse/240002,24.0,2.0,2023-09-22,J. Dowse,Jacob Dowse,"LM, LB",59,67,500000.0,500.0,23,2000-06-13,188,80,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,11.0,,2023-07-01,2025.0,195,Australia,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,725000.0,,,67.0,56.0,60.0,55.0,47.0,67.0,66,58,50,56,49,54,65,60,55,54,63,71,61,55,62,57,69,51,78,50,61,49,62,61,51,54.0,44,48,47,8,11,9,12,6,,58+2,58+2,58+2,59,58,58,58,59,57+2,57+2,57+2,58+2,55+2,55+2,55+2,58+2,54+2,53+2,53+2,53+2,54+2,54+2,54+2,54+2,54+2,54+2,14+2
247836,/player/247836/daniel-wilmering/240002,24.0,2.0,2023-09-22,D. Wilmering,Daniel Wilmering,"LB, LM, RM",59,66,425000.0,500.0,22,2000-12-19,178,70,111398.0,Newcastle Jets,351.0,A-League,1.0,SUB,23.0,,2023-07-01,2024.0,195,Australia,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,616000.0,,,75.0,43.0,54.0,58.0,52.0,62.0,57,42,44,54,35,56,54,44,50,55,73,76,75,52,72,52,58,67,61,38,58,52,47,54,40,52.0,50,55,54,11,9,9,11,8,,51+2,51+2,51+2,55,53,53,53,55,54+2,54+2,54+2,56+2,53+2,53+2,53+2,56+2,57+2,54+2,54+2,54+2,57+2,57+2,54+2,54+2,54+2,57+2,14+2
