player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
180334,/player/180334/marcelo-antonio-guedes-filho/240002,24.0,2.0,2023-09-22,Marcelo,Marcelo Antônio Guedes Filho,CB,72,72,425000.0,5000.0,36,1987-05-20,191,85,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,RCB,6.0,,2022-07-31,2024.0,54,Brazil,,,,Right,2,2,1,Low/High,Normal (185+),Yes,531000.0,#Strength,"Power Header, Long Ball Pass, Intercept, Aerial",46.0,46.0,57.0,57.0,71.0,81.0,38,41,74,67,37,54,46,41,68,62,38,53,50,69,45,66,77,70,89,40,78,71,39,59,51,70.0,72,71,67,16,15,10,7,14,,56+2,56+2,56+2,52,54,54,54,52,56+2,56+2,56+2,55+2,62+2,62+2,62+2,55+2,62+2,70+2,70+2,70+2,62+2,64+2,72,72,72,64+2,19+2
220708,/player/220708/brandon-borrello/240002,24.0,2.0,2023-09-22,B. Borrello,Brandon Joel Gaetano Borrello,"ST, RM",71,71,2000000.0,8000.0,27,1995-07-25,178,79,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,ST,26.0,,2022-07-26,2024.0,195,Australia,,,,Right,4,3,1,High/High,Normal (170-185),Yes,2500000.0,,Pinged Pass,73.0,72.0,65.0,74.0,44.0,77.0,63,72,59,67,65,75,67,59,61,73,72,73,74,69,81,77,75,85,75,71,70,40,69,68,60,69.0,38,48,43,13,16,11,6,10,,71,71,71,71,71,71,71,71,70+1,70+1,70+1,71,67+2,67+2,67+2,71,60+2,59+2,59+2,59+2,60+2,58+2,55+2,55+2,55+2,58+2,18+2
203423,/player/203423/lawrence-thomas/240002,24.0,2.0,2023-09-22,L. Thomas,Lawrence Andrew Kingsley Thomas,GK,69,69,750000.0,4000.0,31,1992-05-09,191,91,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,GK,20.0,,2022-07-01,2025.0,195,Australia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,938000.0,,,,,,,,,14,14,12,38,20,18,19,15,41,22,34,40,52,65,34,52,61,32,70,13,32,12,14,52,15,52.0,16,20,18,70,67,69,68,69,36.0,29+2,29+2,29+2,28,30,30,30,28,32+2,32+2,32+2,30+2,33+2,33+2,33+2,30+2,26+2,31+2,31+2,31+2,26+2,26+2,28+2,28+2,28+2,26+2,68+1
195088,/player/195088/milos-ninkovic/240002,24.0,2.0,2023-09-22,M. Ninković,Miloš Ninković,CAM,67,67,325000.0,3000.0,38,1984-12-25,180,76,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,CAM,10.0,,2022-07-03,2024.0,51,Serbia,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,406000.0,,"Pinged Pass, Technical, Flair",53.0,63.0,66.0,70.0,48.0,62.0,61,63,52,69,63,70,65,60,62,73,52,54,69,62,66,64,59,58,66,61,56,48,64,69,65,67.0,43,53,46,11,11,8,6,13,,63+2,63+2,63+2,65,65,65,65,65,67,67,67,65+2,65+2,65+2,65+2,65+2,57+2,58+2,58+2,58+2,57+2,55+2,54+2,54+2,54+2,55+2,16+2
206147,/player/206147/marcus-antonsson/240002,24.0,2.0,2023-09-22,M. Antonsson,Carl Marcus Christer Antonsson,ST,67,67,825000.0,4000.0,32,1991-05-08,184,78,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,SUB,9.0,,2023-07-01,2025.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,1000000.0,,,77.0,65.0,53.0,64.0,38.0,72.0,47,68,63,60,59,63,49,42,48,64,75,78,70,65,68,65,77,77,71,59,65,34,70,55,63,63.0,32,39,36,10,8,12,10,13,,67,67,67,64,65,65,65,64,63+2,63+2,63+2,63+2,58+2,58+2,58+2,63+2,53+2,51+2,51+2,51+2,53+2,52+2,50+2,50+2,50+2,52+2,16+2
203308,/player/203308/joshua-brillante/240002,24.0,2.0,2023-09-22,J. Brillante,Joshua Brillante,"CDM, CM",66,66,725000.0,3000.0,30,1993-03-25,177,73,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,LDM,25.0,,2023-07-10,2025.0,195,Australia,,,,Right,3,3,1,Medium/High,Normal (170-185),No,906000.0,,"Anticipate, Relentless",55.0,56.0,62.0,63.0,63.0,81.0,62,51,56,62,42,61,62,56,60,62,59,51,70,61,71,61,73,93,82,65,67,66,55,63,51,60.0,62,63,62,12,9,14,6,11,,58+2,58+2,58+2,60,59,59,59,60,60+2,60+2,60+2,61+2,63+2,63+2,63+2,61+2,65+1,65+1,65+1,65+1,65+1,64+2,65+1,65+1,65+1,64+2,15+2
240710,/player/240710/gabriel-cleur/240002,24.0,2.0,2023-09-22,G. Cléùr,Gabriel Cléùr,RB,63,66,575000.0,2000.0,25,1998-01-31,181,70,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,RB,2.0,,2022-07-01,2025.0,195,Australia,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,762000.0,,Slide Tackle,65.0,40.0,52.0,57.0,59.0,66.0,54,36,48,55,30,56,52,40,45,54,70,61,67,59,61,51,60,79,60,39,66,60,48,55,43,55.0,58,63,63,8,8,12,13,15,,50+2,50+2,50+2,54,52,52,52,54,53+2,53+2,53+2,56+2,55+2,55+2,55+2,56+2,61+2,59+2,59+2,59+2,61+2,61+2,59+2,59+2,59+2,61+2,16+2
225467,/player/225467/tom-beadling/240002,24.0,2.0,2023-09-22,T. Beadling,Thomas Beadling,"CB, CDM, LB",63,65,500000.0,2000.0,27,1996-01-16,185,80,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,RDM,16.0,,2022-07-01,2026.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,663000.0,,Slide Tackle,60.0,53.0,55.0,58.0,60.0,74.0,48,53,57,60,48,57,47,40,60,57,60,60,60,60,58,57,72,69,78,53,71,60,55,54,47,58.0,61,61,59,11,13,6,12,7,,57+2,57+2,57+2,56,57,57,57,56,57+2,57+2,57+2,57+2,58+2,58+2,58+2,57+2,59+2,61+2,61+2,61+2,59+2,59+2,63+2,63+2,63+2,59+2,16+2
237705,/player/237705/dylan-pierias/240002,24.0,2.0,2023-09-22,D. Pierias,Dylan Pierias,RM,62,65,550000.0,2000.0,23,2000-02-20,175,72,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,RM,7.0,,2023-07-01,2025.0,195,Australia,,,,Right,3,2,1,Medium/High,Normal (170-185),No,729000.0,,"Rapid, Quick Step",87.0,40.0,51.0,65.0,50.0,63.0,53,56,36,57,21,64,32,34,49,61,87,87,88,51,90,22,65,65,67,23,50,48,58,50,33,50.0,50,55,51,6,10,13,8,14,,53+2,53+2,53+2,61,57,57,57,61,58+2,58+2,58+2,61+2,54+2,54+2,54+2,61+2,58+2,54+2,54+2,54+2,58+2,57+2,53+2,53+2,53+2,57+2,14+2
231678,/player/231678/ruon-tongyik/240002,24.0,2.0,2023-09-22,R. Tongyik,Ruon Kuk Tongyik,CB,62,64,425000.0,2000.0,26,1996-12-28,185,80,112427.0,Western Sydney Wanderers,351.0,A-League,1.0,SUB,12.0,,2022-07-22,2024.0,195,Australia,,,,Right,2,2,1,High/Medium,Normal (185+),No,563000.0,,,62.0,26.0,39.0,58.0,61.0,75.0,24,23,60,59,20,64,27,26,39,57,64,60,37,59,51,36,79,76,87,21,44,65,25,27,30,65.0,60,60,56,9,14,7,14,12,,46+2,46+2,46+2,46,46,46,46,46,46+2,46+2,46+2,49+2,49+2,49+2,49+2,49+2,57+2,58+2,58+2,58+2,57+2,58+2,62+2,62+2,62+2,58+2,17+2
