player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
264324,/player/264324/daniel-dos-santos-penha/240002,24.0,2.0,2023-09-22,Daniel Penha,Daniel dos Santos Penha,"CAM, CM, LM",70,77,3200000.0,2000.0,24,1998-10-17,170,68,114023.0,Western United,351.0,A-League,1.0,CAM,11.0,,2023-07-19,2024.0,54,Brazil,,,,Left,3,4,1,High/Medium,Normal (170-),No,4600000.0,,"Long Ball Pass, Flair",70.0,66.0,71.0,72.0,33.0,58.0,70,65,38,71,61,74,70,74,72,75,71,69,70,56,81,68,55,63,57,66,54,28,62,72,68,56.0,30,36,34,6,8,7,12,12,,63+2,63+2,63+2,69,68,68,68,69,70+2,70+2,70+2,69+2,66+2,66+2,66+2,69+2,54+2,53+2,53+2,53+2,54+2,50+2,43+2,43+2,43+2,50+2,14+2
202678,/player/202678/josh-risdon/240002,24.0,2.0,2023-09-22,J. Risdon,Joshua Risdon,RB,70,70,1400000.0,2000.0,30,1992-07-27,167,70,114023.0,Western United,351.0,A-League,1.0,RB,19.0,,2019-07-24,2024.0,195,Australia,,,,Right,3,3,1,High/Medium,Normal (170-),No,1800000.0,,Relentless,73.0,49.0,60.0,65.0,67.0,80.0,63,48,53,63,30,64,57,48,60,66,70,76,60,57,87,50,73,85,81,55,71,69,54,57,43,60.0,63,74,71,6,8,7,15,8,,58+2,58+2,58+2,61,60,60,60,61,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,69+1,67+2,67+2,67+2,69+1,68+2,68+2,68+2,68+2,68+2,14+2
189757,/player/189757/aleksandar-prijovic/240002,24.0,2.0,2023-09-22,A. Prijović,Aleksandar Prijović,ST,68,68,775000.0,2000.0,33,1990-04-21,191,88,114023.0,Western United,351.0,A-League,1.0,SUB,99.0,,2021-10-15,2024.0,51,Serbia,,,,Right,3,3,1,Medium/Low,Normal (185+),No,969000.0,,Power Header,52.0,67.0,56.0,63.0,35.0,75.0,44,69,71,64,65,64,52,58,53,67,55,50,47,70,39,67,81,60,84,61,69,31,72,55,66,72.0,28,33,29,7,16,15,8,6,,68,68,68,62,65,65,65,62,63+2,63+2,63+2,61+2,59+2,59+2,59+2,61+2,48+2,51+2,51+2,51+2,48+2,46+2,50+2,50+2,50+2,46+2,16+2
211785,/player/211785/ben-garuccio/240002,24.0,2.0,2023-09-22,B. Garuccio,Benjamin Garuccio,LB,67,67,925000.0,1000.0,28,1995-06-15,174,73,114023.0,Western United,351.0,A-League,1.0,LB,17.0,,2021-07-18,2025.0,195,Australia,,,,Left,3,2,1,High/Medium,Normal (170-185),No,1200000.0,,Rapid,77.0,52.0,62.0,66.0,61.0,67.0,65,46,46,62,65,65,55,60,61,64,77,77,74,62,78,62,67,83,67,52,47,66,65,64,49,62.0,61,63,60,12,16,9,9,10,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,67,63+2,63+2,63+2,67,65+2,61+2,61+2,61+2,65+2,17+2
242154,/player/242154/angus-thurgate/240002,24.0,2.0,2023-09-22,A. Thurgate,Angus Thurgate,"CDM, CM, CAM",66,73,1600000.0,1000.0,23,2000-02-08,178,70,114023.0,Western United,351.0,A-League,1.0,LDM,32.0,,2023-07-01,2026.0,195,Australia,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2300000.0,,,66.0,56.0,63.0,67.0,59.0,68.0,52,61,50,69,43,65,51,43,67,70,67,66,73,62,71,55,64,77,69,51,55,60,63,67,43,58.0,58,63,60,13,13,6,7,9,,61+2,61+2,61+2,64,64,64,64,64,66+2,66+2,66+2,65+2,66+2,66+2,66+2,65+2,64+2,65+2,65+2,65+2,64+2,63+2,61+2,61+2,61+2,63+2,16+2
238360,/player/238360/lachlan-wales/240002,24.0,2.0,2023-09-22,L. Wales,Lachlan Andrew Wales,"RM, CAM",66,68,1100000.0,1000.0,25,1997-10-19,179,75,114023.0,Western United,351.0,A-League,1.0,RM,8.0,,2020-10-02,2024.0,195,Australia,,,,Right,2,3,1,High/Medium,Normal (170-185),No,1500000.0,,Rapid,80.0,55.0,64.0,63.0,24.0,67.0,56,57,39,66,38,60,62,59,65,65,78,81,74,60,56,58,63,86,69,51,40,32,60,68,47,60.0,19,20,24,9,11,12,8,13,,59+2,59+2,59+2,64,63,63,63,64,64+2,64+2,64+2,65+2,61+2,61+2,61+2,65+2,52+2,49+2,49+2,49+2,52+2,48+2,39+2,39+2,39+2,48+2,16+2
232596,/player/232596/tomoki-imai/240002,24.0,2.0,2023-09-22,T. Imai,今井 智基,"CB, RB",66,66,550000.0,1000.0,32,1990-11-29,178,78,114023.0,Western United,351.0,A-League,1.0,RCB,6.0,,2020-02-11,2024.0,163,Japan,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,688000.0,,Intercept,60.0,24.0,48.0,56.0,65.0,76.0,52,20,64,61,27,52,35,26,37,58,64,56,57,60,60,23,78,75,82,22,64,65,50,38,34,64.0,66,66,62,8,12,12,7,9,,47+2,47+2,47+2,50,48,48,48,50,49+2,49+2,49+2,53+2,52+2,52+2,52+2,53+2,62+2,61+2,61+2,61+2,62+2,63+2,66,66,66,63+2,15+2
212989,/player/212989/steven-lustica/240002,24.0,2.0,2023-09-22,S. Luštica,Steven Luštica,"CDM, CAM",64,64,400000.0,950.0,32,1991-04-12,174,70,114023.0,Western United,351.0,A-League,1.0,RDM,10.0,,2020-02-20,2024.0,195,Australia,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,500000.0,,,50.0,59.0,63.0,64.0,56.0,70.0,54,60,46,69,40,60,57,47,62,65,58,44,77,60,86,59,60,83,71,65,56,62,62,66,44,58.0,52,59,53,11,7,6,15,15,,59+2,59+2,59+2,61,61,61,61,61,63+1,63+1,63+1,62+2,65-1,65-1,65-1,62+2,61+2,63+1,63+1,63+1,61+2,59+2,58+2,58+2,58+2,59+2,17+2
253663,/player/253663/riku-danzaki/240002,24.0,2.0,2023-09-22,R. Danzaki,檀崎 竜孔,"RM, CAM",63,68,725000.0,800.0,23,2000-05-31,174,63,114023.0,Western United,351.0,A-League,1.0,SUB,77.0,,2023-07-24,2025.0,163,Japan,,,,Right,2,3,1,Medium/Low,Lean (170-185),No,961000.0,,Technical,78.0,57.0,58.0,64.0,29.0,53.0,58,59,37,59,51,63,58,49,56,63,80,76,77,55,74,55,57,56,57,56,40,28,61,58,50,58.0,31,26,28,13,5,11,13,8,,58+2,58+2,58+2,63,61,61,61,63,62+2,62+2,62+2,62+2,56+2,56+2,56+2,62+2,49+2,45+2,45+2,45+2,49+2,46+2,39+2,39+2,39+2,46+2,15+2
240650,/player/240650/ramy-najjarine/240002,24.0,2.0,2023-09-22,R. Najjarine,Ramy Najjarine,"LM, RM, CAM",63,67,700000.0,800.0,23,2000-04-23,176,71,114023.0,Western United,351.0,A-League,1.0,LM,20.0,,2023-02-07,2025.0,195,Australia,,,,Left,3,4,1,Medium/Low,Normal (170-185),No,928000.0,,Technical,76.0,47.0,58.0,69.0,38.0,47.0,54,48,39,65,40,72,49,36,54,68,72,79,67,53,83,50,52,33,54,43,47,36,59,62,46,58.0,34,42,41,6,13,6,15,12,,56+2,56+2,56+2,63,61,61,61,63,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,51+2,49+2,49+2,49+2,51+2,49+2,45+2,45+2,45+2,49+2,16+2
211793,/player/211793/james-donachie/240002,24.0,2.0,2023-09-22,J. Donachie,James Kevin Donachie,CB,63,63,400000.0,850.0,30,1993-05-14,193,85,114023.0,Western United,351.0,A-League,1.0,SUB,4.0,,2023-07-04,2025.0,195,Australia,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,500000.0,,,54.0,32.0,48.0,43.0,62.0,76.0,38,31,64,64,26,34,30,27,54,51,53,55,46,53,37,38,75,78,85,30,52,61,26,33,43,63.0,61,64,62,15,10,12,14,6,,45+2,45+2,45+2,42,42,42,42,42,44+2,44+2,44+2,46+2,50+2,50+2,50+2,46+2,57+2,60+2,60+2,60+2,57+2,59+2,63,63,63,59+2,16+2
263844,/player/263844/noah-botic/240002,24.0,2.0,2023-09-22,N. Botić,Noah Botić,ST,61,71,750000.0,650.0,21,2002-01-11,183,74,114023.0,Western United,351.0,A-League,1.0,ST,38.0,,2021-08-02,2025.0,195,Australia,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,48.0,63.0,46.0,61.0,28.0,53.0,34,69,63,51,51,62,46,39,37,64,50,46,50,60,57,61,60,47,57,56,50,26,67,56,57,55.0,24,23,20,10,14,8,6,8,,61+2,61+2,61+2,57,60,60,60,57,58+2,58+2,58+2,55+2,52+2,52+2,52+2,55+2,40+2,41+2,41+2,41+2,40+2,38+2,39+2,39+2,39+2,38+2,15+2
231682,/player/231682/thomas-heward-belle/240002,24.0,2.0,2023-09-22,T. Heward-Belle,Thomas Heward-Belle,GK,61,66,375000.0,550.0,26,1997-03-11,192,80,114023.0,Western United,351.0,A-League,1.0,GK,1.0,,2023-07-01,2024.0,195,Australia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,497000.0,,,,,,,,,10,9,11,33,8,7,11,14,31,11,34,33,27,54,22,42,55,25,61,8,19,6,7,36,11,41.0,7,12,14,63,62,56,59,62,34.0,22+2,22+2,22+2,19,21,21,21,19,23+2,23+2,23+2,22+2,24+2,24+2,24+2,22+2,20+2,23+2,23+2,23+2,20+2,19+2,21+2,21+2,21+2,19+2,60+2
