player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
242815,/player/242815/dominik-fitz/240002,24.0,2.0,2023-09-22,D. Fitz,Dominik Fitz,"CAM, LM, CF",70,75,2400000.0,8000.0,24,1999-06-16,174,67,256.0,Austria Wien,80.0,Bundesliga,1.0,LAM,36.0,,2018-01-01,2026.0,4,Austria,,,,Right,3,4,1,High/Low,Normal (170-185),No,3700000.0,,"Pinged Pass, Long Ball Pass",73.0,67.0,71.0,69.0,33.0,54.0,71,67,56,70,59,68,72,71,68,69,78,69,82,58,81,67,63,76,48,70,37,22,69,74,68,59.0,22,42,39,10,12,15,9,11,,65+2,65+2,65+2,70,68,68,68,70,70+2,70+2,70+2,70+2,65+2,65+2,65+2,70+2,55+2,51+2,51+2,51+2,55+2,52+2,42+2,42+2,42+2,52+2,16+2
223867,/player/223867/andreas-gruber/240002,24.0,2.0,2023-09-22,A. Gruber,Andreas Gruber,"RM, ST, CF",70,70,1600000.0,10000.0,28,1995-06-29,174,70,256.0,Austria Wien,80.0,Bundesliga,1.0,RAM,17.0,,2022-07-01,2025.0,4,Austria,,,,Left,3,3,1,High/Medium,Normal (170-185),No,2300000.0,,,79.0,68.0,66.0,70.0,34.0,63.0,65,67,61,66,66,68,71,72,64,67,80,78,80,67,80,70,72,67,58,71,66,24,70,68,62,71.0,23,41,36,13,11,9,15,8,,68+2,68+2,68+2,69,69,69,69,69,69+1,69+1,69+1,69+1,64+2,64+2,64+2,69+1,54+2,52+2,52+2,52+2,54+2,52+2,46+2,46+2,46+2,52+2,18+2
258505,/player/258505/matthias-braunoder/240002,24.0,2.0,2023-09-22,M. Braunöder,Matthias Braunöder,"CM, CDM",69,78,3100000.0,6000.0,21,2002-03-27,174,67,256.0,Austria Wien,80.0,Bundesliga,1.0,RDM,23.0,,2020-08-01,2025.0,4,Austria,,,,Right,3,3,1,High/High,Lean (170-185),No,5100000.0,,"Whipped Cross, Anticipate, Relentless",78.0,48.0,69.0,72.0,62.0,62.0,67,35,46,72,40,71,69,56,67,69,82,74,84,73,86,60,58,85,47,63,71,67,59,69,48,66.0,66,62,58,9,14,13,7,10,,58+2,58+2,58+2,67,65,65,65,67,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,70+2,68+2,68+2,68+2,70+2,68+2,62+2,62+2,62+2,68+2,17+2
248470,/player/248470/johannes-handl/240002,24.0,2.0,2023-09-22,J. Handl,Johannes Handl,CB,69,73,1700000.0,7000.0,25,1998-05-07,196,86,256.0,Austria Wien,80.0,Bundesliga,1.0,RCB,46.0,,2019-07-01,2026.0,4,Austria,,,,Right,4,2,1,Medium/High,Lean (185+),No,2600000.0,"#Aerial threat, #Strength",Intercept,56.0,30.0,44.0,45.0,68.0,78.0,33,23,78,55,31,39,31,22,46,52,46,64,41,66,32,45,84,65,90,32,64,68,22,41,34,52.0,66,67,65,11,9,12,10,5,,46+2,46+2,46+2,42,43,43,43,42,44+2,44+2,44+2,45+2,50+2,50+2,50+2,45+2,58+2,61+2,61+2,61+2,58+2,61+2,69+2,69+2,69+2,61+2,15+2
237570,/player/237570/tin-plavotic/240002,24.0,2.0,2023-09-22,T. Plavotic,Tin Plavotić,CB,69,72,1600000.0,7000.0,26,1997-06-30,197,92,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,24.0,,2023-07-01,2026.0,10,Croatia,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,2400000.0,"#Aerial threat, #Strength","Long Ball Pass, Intercept, Aerial",44.0,29.0,46.0,43.0,67.0,82.0,25,24,76,67,22,35,24,24,69,55,44,44,37,52,33,42,83,70,92,28,72,65,27,26,31,50.0,68,67,63,12,12,13,8,15,,45+2,45+2,45+2,40,41,41,41,40,43+2,43+2,43+2,44+2,52+2,52+2,52+2,44+2,56+2,64+2,64+2,64+2,56+2,58+2,69+2,69+2,69+2,58+2,16+2
235266,/player/235266/christian-fruchtl/240002,24.0,2.0,2023-09-22,C. Früchtl,Christian Früchtl,GK,68,75,2100000.0,4000.0,23,2000-01-28,193,88,256.0,Austria Wien,80.0,Bundesliga,1.0,GK,1.0,,2022-07-01,2025.0,21,Germany,,,,Left,2,1,1,Medium/Medium,Normal (185+),Yes,3500000.0,,"Far Throw, Footwork",,,,,,,10,11,11,29,9,13,15,14,25,17,25,23,26,59,23,50,55,19,63,8,26,11,6,24,13,22.0,16,10,13,70,67,67,65,69,24.0,23+2,23+2,23+2,19,22,22,22,19,22+2,22+2,22+2,21+2,22+2,22+2,22+2,21+2,20+2,23+2,23+2,23+2,20+2,19+2,23+2,23+2,23+2,19+2,67+2
246143,/player/246143/aleksandar-jukic/240002,24.0,2.0,2023-09-22,A. Jukic,Aleksandar Jukic,"CM, LM",68,75,2400000.0,6000.0,22,2000-07-26,183,73,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,77.0,,2020-08-01,2024.0,4,Austria,,,,Right,3,3,1,High/Low,Normal (170-185),No,4000000.0,,,72.0,66.0,69.0,69.0,54.0,69.0,65,66,58,70,61,70,65,66,69,68,69,74,73,69,69,70,68,73,67,66,69,64,59,71,61,60.0,40,58,55,8,8,6,6,14,,66+2,66+2,66+2,68,68,68,68,68,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,64+2,64+2,63+2,60+2,60+2,60+2,63+2,15+2
244599,/player/244599/hakim-guenouche/240002,24.0,2.0,2023-09-22,H. Guenouche,Hakim Guenouche,"LM, LWB, LB",68,74,1900000.0,6000.0,23,2000-05-30,172,62,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,21.0,,2023-07-01,2026.0,18,France,,,,Left,3,3,1,High/Medium,Normal (170-185),No,3100000.0,,"Intercept, Technical",84.0,54.0,61.0,70.0,56.0,58.0,68,55,45,62,32,68,66,38,58,68,82,86,89,58,88,56,58,83,46,57,57,56,60,59,41,63.0,54,61,58,11,14,13,7,12,,59+2,59+2,59+2,66,63,63,63,66,64+2,64+2,64+2,67+2,62+2,62+2,62+2,67+2,66+2,60+2,60+2,60+2,66+2,64+2,56+2,56+2,56+2,64+2,16+2
215368,/player/215368/reinhold-ranftl/240002,24.0,2.0,2023-09-22,R. Ranftl,Reinhold Ranftl,"RM, RWB, RB",68,68,1000000.0,7000.0,31,1992-01-24,180,77,256.0,Austria Wien,80.0,Bundesliga,1.0,RWB,26.0,,2022-07-01,2026.0,4,Austria,,,,Right,3,3,1,High/High,Lean (170-185),No,1500000.0,#Engine,"Intercept, Anticipate, Rapid",72.0,56.0,64.0,67.0,64.0,72.0,68,51,49,66,54,67,59,49,64,65,75,70,72,69,69,64,65,90,66,58,68,68,66,63,51,67.0,63,67,64,11,11,7,7,9,,62+2,62+2,62+2,65,64,64,64,65,65+2,65+2,65+2,67+1,66+2,66+2,66+2,67+1,69-1,67+1,67+1,67+1,69-1,68,64+2,64+2,64+2,68,16+2
230981,/player/230981/lucas-galvao/240002,24.0,2.0,2023-09-22,Lucas Galvão,Lucas Galvão da Costa Souza,"CB, LWB",68,68,775000.0,6000.0,32,1991-06-22,182,78,256.0,Austria Wien,80.0,Bundesliga,1.0,LCB,3.0,,2022-02-07,2025.0,54,Brazil,,,,Left,3,3,1,High/Medium,Normal (170-185),No,1100000.0,,Intercept,69.0,49.0,61.0,66.0,68.0,71.0,60,45,66,65,51,66,45,39,64,65,74,65,73,66,68,56,78,70,73,47,65,71,56,61,48,62.0,69,67,68,7,6,5,15,10,,60+2,60+2,60+2,62,61,61,61,62,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,67+1,67+1,67+1,67+1,67+1,67+1,68,68,68,67+1,15+2
244941,/player/244941/manfred-fischer/240002,24.0,2.0,2023-09-22,M. Fischer,Manfred Fischer,"CM, CF",68,68,1300000.0,7000.0,27,1995-08-06,179,72,256.0,Austria Wien,80.0,Bundesliga,1.0,LDM,30.0,,2021-07-01,2027.0,4,Austria,,,,Right,4,3,1,Medium/High,Normal (170-185),No,1900000.0,,,71.0,64.0,68.0,68.0,49.0,76.0,61,63,58,72,68,66,70,68,65,67,73,69,77,68,71,63,74,91,71,65,68,55,63,69,68,66.0,38,54,45,8,6,9,15,7,,65+2,65+2,65+2,67,67,67,67,67,68,68,68,68,68,68,68,68,63+2,62+2,62+2,62+2,63+2,61+2,57+2,57+2,57+2,61+2,15+2
263131,/player/263131/marvin-martins/240002,24.0,2.0,2023-09-22,M. Martins,Marvin Martins,"CB, RB, LB",68,68,1000000.0,7000.0,28,1995-02-17,185,81,256.0,Austria Wien,80.0,Bundesliga,1.0,CB,66.0,,2021-07-01,2025.0,31,Luxembourg,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1500000.0,,"Anticipate, Aerial",75.0,50.0,58.0,58.0,69.0,75.0,55,47,66,63,38,58,50,51,61,56,71,79,64,65,58,58,79,79,76,48,65,66,58,54,53,57.0,69,70,70,11,11,7,9,6,,59+2,59+2,59+2,59,59,59,59,59,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,66+2,66+2,66+2,66+2,66+2,67+1,68,68,68,67+1,15+2
270907,/player/270907/matteo-meisl/240002,24.0,2.0,2023-09-22,M. Meisl,Matteo Meisl,CB,67,75,2100000.0,5000.0,22,2000-12-27,185,80,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,40.0,,2022-07-01,2026.0,4,Austria,,,,Left,3,2,1,Low/High,Normal (185+),No,3500000.0,,"Jockey, Anticipate",61.0,29.0,47.0,52.0,66.0,76.0,42,24,63,57,23,46,31,32,52,57,61,61,51,69,50,45,75,68,78,26,79,61,32,38,30,62.0,67,69,64,9,5,12,13,6,,47+2,47+2,47+2,47,47,47,47,47,48+2,48+2,48+2,50+2,52+2,52+2,52+2,50+2,60+2,62+2,62+2,62+2,60+2,62+2,67+2,67+2,67+2,62+2,15+2
251413,/player/251413/alexander-schmidt/240002,24.0,2.0,2023-09-22,A. Schmidt,Alexander Schmidt,ST,67,71,1400000.0,6000.0,25,1998-01-19,193,88,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,33.0,,2023-08-09,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2100000.0,#Strength,,52.0,65.0,47.0,62.0,33.0,76.0,40,68,72,54,56,62,54,37,35,66,51,53,57,66,33,70,74,64,90,56,55,23,71,49,60,63.0,42,20,22,6,12,7,5,12,,67+2,67+2,67+2,59,62,62,62,59,59+2,59+2,59+2,57+2,53+2,53+2,53+2,57+2,45+2,45+2,45+2,45+2,45+2,43+2,46+2,46+2,46+2,43+2,15+2
186881,/player/186881/james-holland/240002,24.0,2.0,2023-09-22,J. Holland,James Robert Holland,"CDM, CM",67,67,350000.0,5000.0,34,1989-05-15,182,76,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,8.0,,2022-07-01,2026.0,195,Australia,,,,Right,4,2,1,Medium/High,Normal (170-185),No,508000.0,,Long Throw,53.0,61.0,65.0,67.0,65.0,70.0,63,56,71,69,56,67,59,47,65,66,55,51,63,66,67,70,73,64,69,66,77,66,63,68,55,72.0,63,66,62,9,12,14,15,15,,64+2,64+2,64+2,63,64,64,64,63,65+2,65+2,65+2,64+2,66+1,66+1,66+1,64+2,64+2,66+1,66+1,66+1,64+2,64+2,67,67,67,64+2,19+2
199769,/player/199769/marvin-potzmann/240002,24.0,2.0,2023-09-22,M. Potzmann,Marvin Potzmann,"RB, RM, LM",67,67,900000.0,6000.0,29,1993-12-07,180,78,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,19.0,,2023-07-01,2025.0,4,Austria,,,,Right,3,3,1,Medium/High,Normal (170-185),No,1300000.0,,,71.0,62.0,61.0,67.0,64.0,67.0,62,58,56,66,60,66,54,46,58,66,72,70,72,62,72,71,70,67,68,62,65,66,63,61,53,66.0,65,65,64,13,8,11,15,7,,64+2,64+2,64+2,65,64,64,64,65,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,16+2
239708,/player/239708/marko-raguz/240002,24.0,2.0,2023-09-22,M. Raguž,Marko Raguž,ST,66,70,1200000.0,5000.0,25,1998-06-10,192,80,256.0,Austria Wien,80.0,Bundesliga,1.0,RES,29.0,,2022-07-01,2026.0,4,Austria,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,1800000.0,,,65.0,63.0,59.0,69.0,22.0,60.0,52,63,64,64,65,71,57,52,55,69,63,67,73,65,55,67,73,33,74,58,55,21,70,62,65,64.0,14,20,16,5,9,7,12,7,,66+2,66+2,66+2,65,66,66,66,65,66+2,66+2,66+2,63+2,58+2,58+2,58+2,63+2,43+2,43+2,43+2,43+2,43+2,40+2,40+2,40+2,40+2,40+2,14+2
239410,/player/239410/mirko-kos/240002,24.0,2.0,2023-09-22,M. Kos,Mirko Kos,GK,65,68,725000.0,3000.0,26,1997-04-12,183,80,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,99.0,,2017-07-01,2025.0,4,Austria,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,1100000.0,,,,,,,,,12,9,14,22,12,13,10,11,20,14,41,40,45,61,48,43,61,25,67,11,19,13,8,26,14,25.0,15,11,12,65,62,57,62,68,41.0,24+2,24+2,24+2,22,22,22,22,22,22+2,22+2,22+2,22+2,21+2,21+2,21+2,22+2,22+2,22+2,22+2,22+2,22+2,22+2,24+2,24+2,24+2,22+2,64+2
269888,/player/269888/manuel-polster/240002,24.0,2.0,2023-09-22,M. Polster,Manuel Polster,"LM, LW",63,76,1200000.0,3000.0,20,2002-12-23,183,69,256.0,Austria Wien,80.0,Bundesliga,1.0,LWB,11.0,,2022-06-27,2025.0,4,Austria,,,,Left,2,3,1,Medium/Medium,Lean (170-185),No,2500000.0,,Rapid,87.0,62.0,52.0,64.0,34.0,58.0,59,63,45,51,62,66,58,45,41,62,88,87,75,45,64,65,66,71,58,57,40,30,57,56,56,48.0,39,30,25,7,8,13,13,9,,60+2,60+2,60+2,63,61,61,61,63,59+2,59+2,59+2,62+2,52+2,52+2,52+2,62+2,51+2,44+2,44+2,44+2,51+2,48+2,41+2,41+2,41+2,48+2,13+2
263130,/player/263130/muharem-huskovic/240002,24.0,2.0,2023-09-22,M. Huskovic,Muharem Huskovic,ST,63,74,1100000.0,3000.0,20,2003-03-05,180,69,256.0,Austria Wien,80.0,Bundesliga,1.0,ST,9.0,,2021-07-01,2025.0,4,Austria,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1800000.0,,,73.0,62.0,57.0,69.0,19.0,54.0,53,66,61,62,59,69,47,38,55,67,73,73,81,57,70,61,66,47,53,56,63,11,62,63,52,58.0,11,19,20,10,6,15,13,10,,63+2,63+2,63+2,65,65,65,65,65,64+2,64+2,64+2,63+2,56+2,56+2,56+2,63+2,43+2,41+2,41+2,41+2,43+2,40+2,36+2,36+2,36+2,40+2,15+2
265577,/player/265577/fisnik-asllani/240002,24.0,2.0,2023-09-22,F. Asllani,Fisnik Asllani,ST,62,75,975000.0,5000.0,20,2002-08-08,188,81,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,10.0,TSG Hoffenheim,,2024.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,,,,59.0,64.0,49.0,63.0,24.0,58.0,36,69,60,55,52,63,49,52,37,63,57,61,64,58,60,59,66,54,66,59,42,22,62,58,66,59.0,19,20,20,9,7,9,13,14,,62+2,62+2,62+2,59,61,61,61,59,59+2,59+2,59+2,57+2,52+2,52+2,52+2,57+2,41+2,40+2,40+2,40+2,41+2,39+2,38+2,38+2,38+2,39+2,16+2
276246,/player/276246/ayi-silva-kangani/240002,24.0,2.0,2023-09-22,Silva Kani,Ayi Silva Kangani,"RM, ST",62,72,875000.0,2000.0,20,2003-05-15,188,83,256.0,Austria Wien,80.0,Bundesliga,1.0,RES,60.0,,2023-06-28,2027.0,26,Israel,,,,Left,2,3,1,Medium/Medium,Normal (185+),No,1400000.0,,,77.0,61.0,54.0,64.0,28.0,66.0,55,64,55,55,45,66,55,37,52,65,75,79,72,48,49,63,75,62,74,58,48,21,59,55,53,50.0,24,27,30,13,9,10,11,7,,62+2,62+2,62+2,62,62,62,62,62,60+2,60+2,60+2,61+2,54+2,54+2,54+2,61+2,47+2,44+2,44+2,44+2,47+2,45+2,42+2,42+2,42+2,45+2,14+2
269887,/player/269887/matan-baltaxa/240002,24.0,2.0,2023-09-22,M. Baltaxa,Matan Baltaksa,"CB, LWB",62,63,400000.0,3000.0,27,1995-09-20,185,81,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,5.0,,2022-06-17,2025.0,26,Israel,,,,Left,3,2,1,Medium/High,Normal (185+),No,610000.0,,,72.0,29.0,47.0,58.0,61.0,64.0,57,28,58,48,30,57,32,32,45,59,71,72,58,63,66,28,70,53,66,24,69,58,49,43,33,48.0,59,65,68,12,14,13,14,15,,48+2,48+2,48+2,53,50,50,50,53,50+2,50+2,50+2,54+2,51+2,51+2,51+2,54+2,60+2,57+2,57+2,57+2,60+2,61+2,62+1,62+1,62+1,61+2,19+2
219657,/player/219657/lukas-wedl/240002,24.0,2.0,2023-09-22,L. Wedl,Lukas Wedl,GK,61,64,325000.0,2000.0,27,1995-10-19,186,80,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,13.0,,2021-08-31,2024.0,4,Austria,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,496000.0,,,,,,,,,20,9,14,37,10,14,15,20,30,30,46,44,30,64,55,42,61,20,65,6,26,24,8,20,30,39.0,9,13,14,61,57,56,58,62,45.0,27+2,27+2,27+2,26,26,26,26,26,26+2,26+2,26+2,27+2,27+2,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,26+2,27+2,27+2,27+2,26+2,60+2
265185,/player/265185/moritz-wels/240002,24.0,2.0,2023-09-22,M. Wels,Moritz Wels,CAM,60,70,525000.0,900.0,18,2004-09-25,186,71,256.0,Austria Wien,80.0,Bundesliga,1.0,SUB,37.0,,2023-07-01,2026.0,4,Austria,,,,Left,3,3,1,Medium/Low,Lean (185+),No,866000.0,,,68.0,59.0,59.0,61.0,31.0,61.0,57,60,53,60,54,62,62,65,55,62,69,68,61,53,60,57,63,53,61,58,70,23,55,59,61,58.0,33,29,26,6,12,14,9,15,,59+2,59+2,59+2,60,60,60,60,60,60+2,60+2,60+2,60+2,55+2,55+2,55+2,60+2,47+2,46+2,46+2,46+2,47+2,45+2,43+2,43+2,43+2,45+2,15+2
277865,/player/277865/luca-pazourek/240002,24.0,2.0,2023-09-22,L. Pazourek,Luca Pazourek,RB,59,75,550000.0,700.0,18,2005-02-04,180,70,256.0,Austria Wien,80.0,Bundesliga,1.0,RES,2.0,,2023-07-01,2028.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,71.0,30.0,49.0,55.0,55.0,60.0,55,23,49,56,23,51,33,38,50,56,70,72,68,46,67,48,59,58,60,31,65,53,24,35,31,48.0,50,61,59,10,7,9,10,9,,43+2,43+2,43+2,48,45,45,45,48,46+2,46+2,46+2,50+2,48+2,48+2,48+2,50+2,57+2,54+2,54+2,54+2,57+2,57+2,56+2,56+2,56+2,57+2,13+2
