player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
246750,/player/246750/stefan-haudum/240002,24.0,2.0,2023-09-22,S. Haudum,Stefan Haudum,"CDM, CM, CB",65,65,625000.0,2000.0,28,1994-11-27,188,74,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,SUB,27.0,,2023-07-01,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,906000.0,,,66.0,53.0,60.0,60.0,63.0,70.0,52,48,59,64,45,59,58,41,62,63,63,69,60,63,54,65,68,72,70,58,66,64,53,65,46,62.0,65,63,61,14,9,11,9,6,,59+2,59+2,59+2,59,60,60,60,59,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,63+2,64+1,64+1,64+1,63+2,63+2,64+1,64+1,64+1,63+2,15+2
276473,/player/276473/raphael-hofer/240002,24.0,2.0,2023-09-22,R. Hofer,Raphael Hofer,CM,64,77,1400000.0,2000.0,20,2003-02-14,184,74,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,SUB,11.0,,2023-07-01,2026.0,4,Austria,,,,Left,3,3,1,Medium/High,Normal (170-185),No,2900000.0,,"Whipped Cross, Slide Tackle, Press Proven",55.0,59.0,67.0,64.0,59.0,68.0,68,52,50,68,40,63,72,65,65,66,54,55,66,62,67,71,59,71,68,66,68,58,58,64,60,65.0,62,60,62,12,6,5,8,6,,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,63+2,64+2,64+2,64+2,63+2,63+2,64+2,64+2,64+2,63+2,62+2,61+2,61+2,61+2,62+2,14+2
231017,/player/231017/michael-brandner/240002,24.0,2.0,2023-09-22,M. Brandner,Michael Brandner,"CDM, CM",64,65,575000.0,2000.0,28,1995-02-13,175,72,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,SUB,13.0,,2019-07-01,2025.0,4,Austria,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,877000.0,,,68.0,46.0,56.0,61.0,60.0,67.0,44,48,50,66,30,55,34,33,64,65,67,68,65,61,83,52,63,74,65,43,64,59,42,54,40,53.0,60,63,66,10,5,14,11,5,,54+2,54+2,54+2,56,56,56,56,56,58+2,58+2,58+2,58+2,60+2,60+2,60+2,58+2,62+2,63+2,63+2,63+2,62+2,62+2,62+2,62+2,62+2,62+2,14+2
181733,/player/181733/andreas-lukse/240002,24.0,2.0,2023-09-22,A. Lukse,Andreas Lukse,GK,64,64,60000.0,1000.0,35,1987-11-08,187,83,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,SUB,12.0,,2023-08-06,2025.0,4,Austria,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,87000.0,,,,,,,,,9,12,8,32,12,13,12,11,25,22,41,37,31,59,57,45,58,24,63,9,22,28,15,34,24,15.0,8,10,9,65,62,60,63,64,39.0,26+2,26+2,26+2,24,26,26,26,24,26+2,26+2,26+2,25+2,27+2,27+2,27+2,25+2,23+2,26+2,26+2,26+2,23+2,23+2,24+2,24+2,24+2,23+2,63+1
226958,/player/226958/ronivaldo-sales/240002,24.0,2.0,2023-09-22,Ronivaldo,Ronivaldo Bernardo Sales,ST,64,64,275000.0,3000.0,34,1989-03-24,173,76,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,ST,9.0,,2023-06-05,2024.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,399000.0,,,72.0,69.0,50.0,65.0,21.0,60.0,46,71,64,59,64,64,63,56,36,68,73,71,72,46,77,69,73,65,63,68,41,11,56,46,68,48.0,19,16,15,10,9,7,9,13,,64,64,64,62,62,62,62,62,60+2,60+2,60+2,59+2,51+2,51+2,51+2,59+2,42+2,38+2,38+2,38+2,42+2,40+2,35+2,35+2,35+2,40+2,14+2
253693,/player/253693/conor-noss/240002,24.0,2.0,2023-09-22,C. Noß,Conor Noß,CAM,63,71,1100000.0,2000.0,22,2001-01-01,181,72,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,LM,7.0,,2023-07-18,2025.0,25,Republic of Ireland,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,1800000.0,,,71.0,57.0,59.0,72.0,32.0,43.0,52,57,46,63,48,74,58,49,63,70,77,66,78,55,76,65,51,42,43,52,44,29,49,60,57,61.0,21,39,32,13,7,6,12,7,,59+2,59+2,59+2,63,62,62,62,63,63+2,63+2,63+2,62+2,58+2,58+2,58+2,62+2,48+2,47+2,47+2,47+2,48+2,46+2,40+2,40+2,40+2,46+2,15+2
233435,/player/233435/manuel-maranda/240002,24.0,2.0,2023-09-22,M. Maranda,Manuel Maranda,CB,63,68,625000.0,2000.0,25,1997-07-09,188,75,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,RCB,15.0,,2023-06-05,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,953000.0,,,64.0,28.0,41.0,44.0,63.0,73.0,30,23,59,55,24,35,36,28,41,51,65,64,47,59,51,42,73,76,77,25,61,63,26,30,37,51.0,60,67,62,8,8,9,8,14,,44+2,44+2,44+2,42,42,42,42,42,42+2,42+2,42+2,45+2,47+2,47+2,47+2,45+2,57+2,58+2,58+2,58+2,57+2,59+2,63+2,63+2,63+2,59+2,15+2
260995,/player/260995/lukas-tursch/240002,24.0,2.0,2023-09-22,L. Tursch,Lukas Tursch,"CDM, CB, CM",63,66,550000.0,2000.0,27,1996-03-29,184,70,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,SUB,26.0,,2023-06-05,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,839000.0,,,58.0,56.0,55.0,58.0,62.0,71.0,49,54,67,62,39,57,41,43,59,59,54,62,57,63,63,68,68,75,70,55,71,61,54,51,46,58.0,62,63,60,15,6,5,8,13,,59+2,59+2,59+2,57,58,58,58,57,57+2,57+2,57+2,58+2,59+2,59+2,59+2,58+2,61+2,62+2,62+2,62+2,61+2,61+2,64+2,64+2,64+2,61+2,16+2
224267,/player/224267/fabio-strauss/240002,24.0,2.0,2023-09-22,F. Strauss,Fabio Strauss,CB,63,64,450000.0,2000.0,28,1994-08-06,195,84,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,CB,2.0,,2023-06-05,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,686000.0,,,36.0,28.0,40.0,33.0,63.0,77.0,30,26,64,52,31,24,23,30,41,39,40,33,34,62,33,37,70,74,84,20,63,61,28,33,42,53.0,61,66,61,11,8,14,13,8,,40+2,40+2,40+2,35,36,36,36,35,37+2,37+2,37+2,38+2,44+2,44+2,44+2,38+2,52+2,57+2,57+2,57+2,52+2,55+2,63+1,63+1,63+1,55+2,16+2
244783,/player/244783/tobias-koch/240002,24.0,2.0,2023-09-22,T. Koch,Tobias Koch,"CM, CDM",62,73,900000.0,2000.0,22,2001-04-06,180,75,110720.0,Blau-Weiß Linz,80.0,Bundesliga,1.0,LCM,6.0,,2021-06-30,2024.0,4,Austria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1500000.0,,,66.0,52.0,59.0,62.0,57.0,70.0,50,54,53,66,38,60,46,41,63,64,64,68,66,58,69,56,64,82,68,53,61,55,48,60,41,61.0,54,61,62,9,10,9,14,6,,57+2,57+2,57+2,59,59,59,59,59,60+2,60+2,60+2,61+2,62+2,62+2,62+2,61+2,62+2,62+2,62+2,62+2,62+2,61+2,60+2,60+2,60+2,61+2,15+2
