player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
242238,/player/242238/oumar-solet/240002,24.0,2.0,2023-09-22,O. Solet,Oumar Mickael Solet Bomawoko,CB,76,84,15500000.0,15000.0,23,2000-02-07,192,88,191.0,Salzburg,80.0,Bundesliga,1.0,RCB,22.0,,2020-08-03,2025.0,18,France,,,,Right,4,2,1,Medium/High,Normal (185+),Yes,26400000.0,#Strength,"Jockey, Block, Intercept",81.0,43.0,57.0,67.0,75.0,85.0,31,35,68,74,33,69,35,34,71,68,74,86,65,70,36,64,84,84,88,39,77,75,59,56,42,69.0,77,75,72,12,14,10,14,15,,62+2,62+2,62+2,61,63,63,63,61,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,70+2,74+2,74+2,74+2,70+2,71+2,76+2,76+2,76+2,71+2,20+2
246762,/player/246762/sekou-koita/240002,24.0,2.0,2023-09-22,S. Koita,Sékou Koïta,"ST, CAM",75,83,12500000.0,18000.0,23,1999-11-28,173,73,191.0,Salzburg,80.0,Bundesliga,1.0,SUB,20.0,,2019-07-01,2024.0,126,Mali,,,,Left,4,3,1,High/Medium,Normal (170-185),No,21300000.0,"#Speedster, #Acrobat","Chip Shot, Pinged Pass, Rapid, Flair, Quick Step",93.0,74.0,69.0,77.0,35.0,74.0,63,74,60,73,73,76,70,58,66,73,92,93,91,76,91,75,83,75,72,73,73,32,75,74,71,73.0,30,37,27,8,11,11,8,7,,75+2,75+2,75+2,76,76,76,76,76,76+2,76+2,76+2,75+2,69+2,69+2,69+2,75+2,58+2,56+2,56+2,56+2,58+2,56+2,50+2,50+2,50+2,56+2,16+2
254840,/player/254840/strahinja-pavlovic/240002,24.0,2.0,2023-09-22,S. Pavlović,Strahinja Pavlović,CB,75,83,12000000.0,15000.0,22,2001-05-24,194,86,191.0,Salzburg,80.0,Bundesliga,1.0,LCB,31.0,,2022-07-01,2027.0,51,Serbia,,,,Left,3,2,1,Medium/High,Normal (185+),No,20400000.0,#Strength,"Block, Anticipate, Bruiser, Aerial",67.0,43.0,50.0,64.0,74.0,83.0,53,43,73,60,25,63,39,38,58,68,64,69,57,75,42,56,84,78,86,36,80,74,34,31,43,68.0,75,74,76,12,14,8,10,13,,57+2,57+2,57+2,56,55,55,55,56,54+2,54+2,54+2,58+2,58+2,58+2,58+2,58+2,69+2,69+2,69+2,69+2,69+2,71+2,75+2,75+2,75+2,71+2,19+2
258775,/player/258775/luka-sucic/240002,24.0,2.0,2023-09-22,L. Sučić,Luka Sučić,"CAM, CM",74,84,9500000.0,13000.0,20,2002-09-08,185,77,191.0,Salzburg,80.0,Bundesliga,1.0,SUB,10.0,,2019-07-01,2025.0,10,Croatia,,,,Left,3,3,1,Medium/Medium,Lean (185+),No,16200000.0,,"Power Shot, Pinged Pass, Long Ball Pass, Technical, Trivela",76.0,73.0,74.0,74.0,49.0,66.0,73,71,47,74,72,76,76,74,74,75,76,76,74,69,65,79,67,72,66,76,58,56,68,75,65,70.0,47,50,44,15,12,10,11,7,,70+2,70+2,70+2,74,73,73,73,74,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,64+2,63+2,63+2,63+2,64+2,61+2,56+2,56+2,56+2,61+2,18+2
246885,/player/246885/nicolas-capaldo/240002,24.0,2.0,2023-09-22,N. Capaldo,Nicolás Capaldo Toboas,"CM, RB",74,79,6500000.0,15000.0,24,1998-09-14,177,73,191.0,Salzburg,80.0,Bundesliga,1.0,SUB,7.0,,2021-07-01,2026.0,52,Argentina,,,,Right,2,3,1,High/High,Normal (170-185),No,10200000.0,#Engine,Relentless,76.0,69.0,71.0,74.0,69.0,78.0,70,71,54,74,64,72,65,55,72,74,77,76,81,78,75,70,74,89,73,68,76,69,71,70,60,74.0,71,73,69,8,6,13,12,11,,71+2,71+2,71+2,73,72,72,72,73,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,73+2,71+2,71+2,71+2,73+2,17+2
274288,/player/274288/oscar-gloukh/240002,24.0,2.0,2023-09-22,O. Gloukh,Oscar Gloukh,CAM,73,84,6500000.0,9000.0,19,2004-04-01,170,68,191.0,Salzburg,80.0,Bundesliga,1.0,CAM,30.0,,2023-01-27,2027.0,26,Israel,,,,Right,4,4,1,High/Low,Normal (170-),No,11100000.0,,"Pinged Pass, Technical, Flair, First Touch, Trivela",75.0,68.0,70.0,80.0,36.0,49.0,65,68,52,73,55,82,73,67,64,78,80,70,83,62,85,71,56,71,38,70,45,28,67,74,66,78.0,42,32,28,6,8,13,13,5,,67+2,67+2,67+2,73,72,72,72,73,73+2,73+2,73+2,72+2,67+2,67+2,67+2,72+2,56+2,53+2,53+2,53+2,56+2,52+2,43+2,43+2,43+2,52+2,14+2
257271,/player/257271/lucas-gourna-douath/240002,24.0,2.0,2023-09-22,L. Gourna-Douath,Lucas Gourna-Douath,"CDM, CM",73,83,6000000.0,8000.0,19,2003-08-05,185,81,191.0,Salzburg,80.0,Bundesliga,1.0,CDM,27.0,,2022-07-13,2027.0,18,France,,,,Right,3,2,1,Medium/High,Lean (185+),No,10200000.0,,,76.0,52.0,65.0,71.0,70.0,76.0,54,48,65,72,46,71,42,43,70,73,78,74,71,68,70,62,80,81,74,49,72,72,62,69,50,71.0,67,72,69,8,6,6,13,13,,64+2,64+2,64+2,66,66,66,66,66,68+2,68+2,68+2,68+2,70+2,70+2,70+2,68+2,70+2,72+2,72+2,72+2,70+2,70+2,71+2,71+2,71+2,70+2,16+2
257345,/player/257345/amar-dedic/240002,24.0,2.0,2023-09-22,A. Dedić,Amar Dedić,"RB, LB",73,83,6500000.0,10000.0,20,2002-08-18,180,74,191.0,Salzburg,80.0,Bundesliga,1.0,RB,70.0,,2020-08-01,2027.0,8,Bosnia and Herzegovina,,,,Right,3,3,1,High/Medium,Normal (170-185),No,11100000.0,,Technical,83.0,58.0,67.0,71.0,66.0,73.0,69,56,56,68,59,72,58,58,69,70,83,83,78,64,73,67,75,88,67,57,68,66,64,64,44,66.0,62,72,70,11,6,9,14,9,,65+2,65+2,65+2,69,67,67,67,69,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,72+2,69+2,69+2,69+2,72+2,71+2,67+2,67+2,67+2,71+2,16+2
246402,/player/246402/mads-bidstrup/240002,24.0,2.0,2023-09-22,M. Bidstrup,Mads Bidstrup,"CDM, CM",73,80,6000000.0,12000.0,22,2001-02-25,175,74,191.0,Salzburg,80.0,Bundesliga,1.0,RCM,18.0,,2023-07-17,2028.0,13,Denmark,,,,Right,3,3,1,Medium/High,Normal (170-185),Yes,10200000.0,,"Intercept, Anticipate",69.0,54.0,67.0,70.0,71.0,75.0,63,54,67,73,52,67,55,44,68,72,66,72,69,67,87,57,74,85,72,51,68,72,61,70,42,71.0,73,72,65,11,14,11,6,13,,63+2,63+2,63+2,66,65,65,65,66,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,71+2,72+2,72+2,72+2,71+2,71+2,71+2,71+2,71+2,71+2,17+2
252018,/player/252018/kamil-piatkowski/240002,24.0,2.0,2023-09-22,K. Piątkowski,Kamil Piątkowski,CB,73,79,4400000.0,12000.0,23,2000-06-21,191,87,191.0,Salzburg,80.0,Bundesliga,1.0,SUB,4.0,,2021-02-01,2026.0,37,Poland,,,,Right,4,2,1,High/High,Normal (185+),No,7500000.0,,"Long Ball Pass, Jockey, Anticipate",83.0,47.0,65.0,69.0,71.0,81.0,65,41,70,71,25,67,58,34,70,70,84,83,76,68,72,68,89,82,84,47,70,73,59,58,36,68.0,70,72,70,13,15,10,12,12,,63+2,63+2,63+2,65,64,64,64,65,65+2,65+2,65+2,68+2,67+2,67+2,67+2,68+2,72+2,71+2,71+2,71+2,72+2,73+2,73+2,73+2,73+2,73+2,19+2
