player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
263041,/player/263041/alexander-prass/240002,24.0,2.0,2023-09-22,A. Prass,Alexander Prass,"CM, LM",74,83,9500000.0,14000.0,22,2001-05-26,180,72,209.0,Sturm Graz,80.0,Bundesliga,1.0,LCM,8.0,,2021-07-05,2025.0,4,Austria,,,,Left,3,3,1,High/Medium,Normal (170-185),No,16200000.0,,"Pinged Pass, Technical, Flair",73.0,65.0,73.0,75.0,69.0,75.0,73,59,56,74,64,74,68,66,73,74,70,76,78,74,77,72,72,85,74,71,68,72,69,75,57,74.0,73,69,66,7,15,12,8,13,,68+2,68+2,68+2,72,71,71,71,72,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,73+2,73+2,72+2,70+2,70+2,70+2,72+2,18+2
226129,/player/226129/jon-gorenc-stankovic/240002,24.0,2.0,2023-09-22,J. Gorenc Stanković,Jon Gorenc Stanković,CDM,74,75,4300000.0,15000.0,27,1996-01-14,190,78,209.0,Sturm Graz,80.0,Bundesliga,1.0,CDM,4.0,,2020-07-27,2025.0,44,Slovenia,,,,Right,3,2,1,Medium/High,Lean (185+),Yes,6800000.0,,"Intercept, Aerial",45.0,46.0,59.0,66.0,75.0,82.0,41,44,72,70,39,64,52,29,64,72,44,45,53,70,52,59,77,84,86,38,69,76,53,64,40,76.0,77,75,74,9,10,12,8,7,,59+2,59+2,59+2,57,60,60,60,57,61+2,61+2,61+2,60+2,67+2,67+2,67+2,60+2,67+2,73+2,73+2,73+2,67+2,68+2,75,75,75,68+2,15+2
220665,/player/220665/gregory-wuthrich/240002,24.0,2.0,2023-09-22,G. Wüthrich,Gregory Kwesi Wüthrich,CB,72,73,2200000.0,13000.0,28,1994-12-04,192,88,209.0,Sturm Graz,80.0,Bundesliga,1.0,LCB,5.0,,2020-08-07,2025.0,47,Switzerland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,3500000.0,#Strength,"Intercept, Anticipate, Bruiser",48.0,35.0,51.0,53.0,71.0,81.0,37,33,67,61,32,47,30,29,60,60,49,48,56,68,35,41,76,70,90,34,75,71,36,50,39,66.0,73,72,69,7,9,14,15,10,,50+2,50+2,50+2,48,49,49,49,48,51+2,51+2,51+2,51+2,57+2,57+2,57+2,51+2,61+2,67+2,67+2,67+2,61+2,63+2,72+1,72+1,72+1,63+2,17+2
241536,/player/241536/manprit-sarkaria/240002,24.0,2.0,2023-09-22,M. Sarkaria,Manprit Sarkaria,"ST, CAM",72,73,2800000.0,14000.0,26,1996-08-26,180,74,209.0,Sturm Graz,80.0,Bundesliga,1.0,SUB,11.0,,2021-07-01,2025.0,4,Austria,,,,Left,3,3,1,High/Low,Normal (170-185),No,4400000.0,,"Pinged Pass, Whipped Cross, Technical, Flair",80.0,72.0,71.0,74.0,36.0,71.0,70,72,61,71,67,74,74,69,69,73,78,81,84,67,72,74,79,79,73,73,54,37,72,74,70,71.0,30,33,33,13,12,12,8,7,,72+1,72+1,72+1,73,73,73,73,73,73,73,73,73,68+2,68+2,68+2,73,58+2,56+2,56+2,56+2,58+2,55+2,49+2,49+2,49+2,55+2,16+2
247640,/player/247640/bryan-teixeira/240002,24.0,2.0,2023-09-22,B. Teixeira,Bryan Silva Teixeira,ST,71,80,4200000.0,11000.0,22,2000-09-01,174,73,209.0,Sturm Graz,80.0,Bundesliga,1.0,LS,17.0,,2023-01-07,2026.0,104,Cape Verde Islands,,,,Right,3,4,1,High/Medium,Normal (170-185),No,7100000.0,,"Technical, Trickster",82.0,69.0,65.0,76.0,48.0,70.0,63,71,62,67,62,77,56,56,62,73,81,82,80,69,83,69,78,74,69,65,65,41,71,71,67,69.0,39,55,53,15,12,14,7,10,,71+2,71+2,71+2,72,72,72,72,72,72+2,72+2,72+2,72+2,67+2,67+2,67+2,72+2,62+2,60+2,60+2,60+2,62+2,61+2,57+2,57+2,57+2,61+2,18+2
251547,/player/251547/david-schnegg/240002,24.0,2.0,2023-09-22,D. Schnegg,David Schnegg,LB,71,76,2600000.0,9000.0,24,1998-09-29,185,80,209.0,Sturm Graz,80.0,Bundesliga,1.0,LB,28.0,,2022-06-15,2026.0,4,Austria,,,,Left,3,2,1,High/Medium,Normal (185+),No,4100000.0,,"Whipped Cross, Intercept, Slide Tackle, Rapid",74.0,56.0,64.0,67.0,68.0,77.0,67,51,55,64,48,69,65,50,63,67,73,75,65,67,61,66,76,82,79,56,67,68,58,64,68,66.0,70,69,70,6,5,15,12,10,,62+2,62+2,62+2,65,64,64,64,65,64+2,64+2,64+2,67+2,65+2,65+2,65+2,67+2,70+2,68+2,68+2,68+2,70+2,69+2,68+2,68+2,68+2,69+2,15+2
270017,/player/270017/tomi-horvat/240002,24.0,2.0,2023-09-22,T. Horvat,Tomi Horvat,"CAM, CM",71,75,2700000.0,10000.0,24,1999-03-24,176,69,209.0,Sturm Graz,80.0,Bundesliga,1.0,SUB,19.0,,2022-07-01,2025.0,44,Slovenia,,,,Left,3,3,1,High/Medium,Normal (170-185),No,4300000.0,,Technical,71.0,67.0,71.0,73.0,51.0,66.0,70,65,47,71,66,75,71,68,70,72,72,71,73,67,78,68,64,74,64,70,62,58,68,71,70,70.0,47,53,46,15,14,9,11,12,,66+2,66+2,66+2,71,70,70,70,71,71+2,71+2,71+2,71+2,69+2,69+2,69+2,71+2,64+2,63+2,63+2,63+2,64+2,61+2,56+2,56+2,56+2,61+2,19+2
245058,/player/245058/otar-kiteishvili/240002,24.0,2.0,2023-09-22,O. Kiteishvili,Otar Kiteishvili,CAM,71,72,2200000.0,12000.0,27,1996-03-26,173,65,209.0,Sturm Graz,80.0,Bundesliga,1.0,CAM,10.0,,2018-07-31,2024.0,20,Georgia,,,,Right,5,3,1,Medium/Low,Normal (170-185),No,3500000.0,,"Finesse Shot, Technical, First Touch",72.0,67.0,69.0,74.0,67.0,57.0,64,66,63,72,60,73,58,53,70,73,75,70,78,68,86,71,60,72,42,68,73,71,68,73,66,72.0,66,67,62,11,13,9,6,13,,67+2,67+2,67+2,71,70,70,70,71,71+1,71+1,71+1,71+1,71+1,71+1,71+1,71+1,69+2,69+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,17+2
259101,/player/259101/jusuf-gazibegovic/240002,24.0,2.0,2023-09-22,J. Gazibegović,Jusuf Gazibegović,RB,70,73,2000000.0,8000.0,23,2000-03-11,174,67,209.0,Sturm Graz,80.0,Bundesliga,1.0,RB,22.0,,2020-09-30,2026.0,8,Bosnia and Herzegovina,,,,Right,4,2,1,High/High,Normal (170-185),No,3200000.0,#Engine,"Jockey, Anticipate, Relentless",77.0,43.0,63.0,68.0,64.0,71.0,66,26,46,62,41,67,67,71,57,65,76,77,81,64,80,67,65,86,64,54,73,68,63,63,36,59.0,65,67,66,15,13,8,6,9,,56+2,56+2,56+2,62,61,61,61,62,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,69+2,66+2,66+2,66+2,69+2,68+2,64+2,64+2,64+2,68+2,16+2
236712,/player/236712/dimitri-lavalee/240002,24.0,2.0,2023-09-22,D. Lavalée,Dimitri Dominique Lavalée,"CB, CDM, CM",69,74,1800000.0,7000.0,26,1997-01-13,187,76,209.0,Sturm Graz,80.0,Bundesliga,1.0,SUB,24.0,Mechelen,,2024.0,7,Belgium,,,,Left,2,2,1,High/High,Lean (185+),No,,,,61.0,29.0,61.0,64.0,67.0,71.0,63,21,65,68,22,60,38,27,63,68,54,67,64,68,62,45,70,60,75,29,74,68,41,60,24,64.0,65,69,70,5,14,9,10,8,,51+2,51+2,51+2,56,54,54,54,56,57+2,57+2,57+2,59+2,61+2,61+2,61+2,59+2,66+2,67+2,67+2,67+2,66+2,66+2,69+2,69+2,69+2,66+2,16+2
