player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231840,/player/231840/valentino-muller/240002,24.0,2.0,2023-09-22,V. Müller,Valentino Müller,"CDM, CM",68,73,1700000.0,4000.0,24,1999-01-19,175,69,15040.0,WSG Tirol,80.0,Bundesliga,1.0,CDM,4.0,,2021-07-27,2025.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Incisive Pass, First Touch, Press Proven",70.0,58.0,65.0,68.0,62.0,68.0,54,51,53,70,44,64,66,45,68,69,72,69,74,68,78,68,66,81,62,70,68,66,66,69,44,69.0,64,63,58,10,10,9,14,7,,63+2,63+2,63+2,65,66,66,66,65,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,66+2,67+2,67+2,67+2,66+2,65+2,63+2,63+2,63+2,65+2,17+2
248471,/player/248471/matthaus-taferner/240002,24.0,2.0,2023-09-22,M. Taferner,Matthäus Taferner,CM,67,72,1600000.0,4000.0,22,2001-01-30,170,60,15040.0,WSG Tirol,80.0,Bundesliga,1.0,SUB,30.0,,2023-08-10,2025.0,4,Austria,,,,Right,3,3,1,Medium/Medium,Lean (170-),No,2400000.0,,,73.0,60.0,65.0,71.0,59.0,57.0,62,56,41,66,58,70,61,58,65,67,72,73,83,64,89,65,45,82,41,64,68,63,65,69,54,64.0,58,64,58,13,6,10,6,11,,61+2,61+2,61+2,67,66,66,66,67,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,66+2,64+2,58+2,58+2,58+2,64+2,15+2
266459,/player/266459/sandi-ogrinec/240002,24.0,2.0,2023-09-22,S. Ogrinec,Sandi Ogrinec,"CAM, CM",67,72,1500000.0,4000.0,25,1998-06-05,183,72,15040.0,WSG Tirol,80.0,Bundesliga,1.0,CAM,98.0,,2022-01-11,2024.0,44,Slovenia,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2300000.0,,,70.0,58.0,64.0,68.0,46.0,65.0,53,58,56,72,49,70,51,48,70,68,72,69,66,69,72,59,69,73,62,57,61,51,66,66,49,51.0,38,44,56,9,14,10,8,9,,63+2,63+2,63+2,66,66,66,66,66,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,60+2,60+2,60+2,60+2,60+2,58+2,54+2,54+2,54+2,58+2,16+2
204987,/player/204987/bror-blume/240002,24.0,2.0,2023-09-22,B. Blume,Bror Emil Blume Jensen,"CM, CDM, CAM",67,67,825000.0,5000.0,31,1992-01-22,178,73,15040.0,WSG Tirol,80.0,Bundesliga,1.0,SUB,10.0,,2021-07-01,2025.0,13,Denmark,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1200000.0,,Technical,72.0,60.0,65.0,69.0,61.0,70.0,58,61,49,68,55,65,61,66,65,69,76,68,79,68,82,62,67,78,67,56,68,63,67,67,55,70.0,62,63,58,6,9,10,12,16,,64+2,64+2,64+2,66,66,66,66,66,67,67,67,67,67,67,67,67,66+1,66+1,66+1,66+1,66+1,65+2,63+2,63+2,63+2,65+2,17+2
250781,/player/250781/ferdinand-oswald/240002,24.0,2.0,2023-09-22,F. Oswald,Ferdinand Oswald,GK,67,67,500000.0,3000.0,32,1990-10-05,184,77,15040.0,WSG Tirol,80.0,Bundesliga,1.0,SUB,25.0,,2014-07-01,2024.0,21,Germany,,,,Right,4,1,1,Medium/Medium,Normal (170-185),No,725000.0,,Footwork,,,,,,,12,7,13,27,6,14,13,14,21,10,23,23,25,60,45,47,62,17,77,5,24,8,7,29,19,27.0,9,10,14,69,67,62,68,66,23.0,22+2,22+2,22+2,18,20,20,20,18,20+2,20+2,20+2,20+2,21+2,21+2,21+2,20+2,18+2,21+2,21+2,21+2,18+2,18+2,23+2,23+2,23+2,18+2,66+1
271005,/player/271005/nik-prelec/240002,24.0,2.0,2023-09-22,N. Prelec,Nik Prelec,ST,66,76,1900000.0,7000.0,22,2001-06-10,187,80,15040.0,WSG Tirol,80.0,Bundesliga,1.0,LS,9.0,Cagliari,,2024.0,44,Slovenia,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,,,,67.0,65.0,55.0,64.0,33.0,69.0,40,66,59,65,55,64,42,43,47,69,62,71,60,58,58,70,75,58,82,58,50,28,68,65,62,57.0,38,26,25,8,7,14,8,8,,66+2,66+2,66+2,63,65,65,65,63,64+2,64+2,64+2,62+2,58+2,58+2,58+2,62+2,47+2,48+2,48+2,48+2,47+2,45+2,46+2,46+2,46+2,45+2,14+2
262404,/player/262404/felix-bacher/240002,24.0,2.0,2023-09-22,F. Bacher,Felix Bacher,"CB, RB",66,73,1600000.0,3000.0,23,2000-05-25,190,81,15040.0,WSG Tirol,80.0,Bundesliga,1.0,SUB,5.0,,2021-07-01,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2600000.0,,Aerial,57.0,34.0,41.0,46.0,65.0,79.0,24,30,64,59,28,38,33,27,46,52,62,52,52,55,48,45,78,74,84,32,73,60,35,30,35,59.0,63,69,65,11,15,12,11,9,,47+2,47+2,47+2,43,44,44,44,43,45+2,45+2,45+2,45+2,49+2,49+2,49+2,45+2,56+2,60+2,60+2,60+2,56+2,58+2,66+2,66+2,66+2,58+2,16+2
258822,/player/258822/lukas-sulzbacher/240002,24.0,2.0,2023-09-22,L. Sulzbacher,Lukas Sulzbacher,"CM, RWB",65,72,1400000.0,3000.0,23,2000-04-06,171,63,15040.0,WSG Tirol,80.0,Bundesliga,1.0,LCM,6.0,,2022-07-30,2024.0,4,Austria,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,2300000.0,,Long Throw,78.0,51.0,62.0,67.0,61.0,64.0,60,45,38,68,35,64,43,37,64,67,83,74,78,66,85,62,59,81,56,55,65,68,62,62,41,60.0,60,66,61,12,9,7,11,13,,58+2,58+2,58+2,64,63,63,63,64,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,67+2,66+2,66+2,66+2,67+2,66+2,61+2,61+2,61+2,66+2,17+2
250780,/player/250780/david-gugganig/240002,24.0,2.0,2023-09-22,D. Gugganig,David Gugganig,CB,65,68,825000.0,3000.0,26,1997-02-10,192,65,15040.0,WSG Tirol,80.0,Bundesliga,1.0,RCB,3.0,,2023-07-31,2025.0,4,Austria,,,,Left,2,2,1,Medium/Medium,Lean (185+),No,1300000.0,,Slide Tackle,50.0,36.0,48.0,46.0,66.0,67.0,46,30,70,60,29,37,29,28,55,52,50,50,52,60,52,50,68,62,70,39,64,65,26,35,33,62.0,65,67,63,13,12,11,5,8,,46+2,46+2,46+2,44,44,44,44,44,45+2,45+2,45+2,46+2,51+2,51+2,51+2,46+2,58+2,61+2,61+2,61+2,58+2,60+2,65+2,65+2,65+2,60+2,15+2
229513,/player/229513/julius-ertlthaler/240002,24.0,2.0,2023-09-22,J. Ertlthaler,Julius Ertlthaler,"LM, CM, CAM",65,66,850000.0,3000.0,26,1997-04-25,169,62,15040.0,WSG Tirol,80.0,Bundesliga,1.0,SUB,77.0,,2022-02-02,2024.0,4,Austria,,,,Right,4,3,1,Medium/Medium,Lean (170-),No,1300000.0,,,71.0,54.0,61.0,66.0,39.0,43.0,61,54,43,63,48,64,54,42,60,62,70,71,83,56,93,58,40,72,32,51,36,28,65,67,54,63.0,41,42,46,13,7,6,10,6,,57+2,57+2,57+2,63,62,62,62,63,63+2,63+2,63+2,64+2,60+2,60+2,60+2,64+2,55+2,50+2,50+2,50+2,55+2,52+2,42+2,42+2,42+2,52+2,14+2
