player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
261991,/player/261991/adis-jasic/240002,24.0,2.0,2023-09-22,A. Jasic,Adis Jasic,"RWB, RB, CM",70,81,3300000.0,6000.0,20,2003-02-12,178,69,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,RCM,97.0,,2021-07-01,2025.0,4,Austria,,,,Right,3,3,1,High/High,Normal (170-185),No,5400000.0,,,75.0,59.0,64.0,67.0,64.0,70.0,66,57,60,64,50,67,62,66,61,65,77,74,72,64,74,67,74,84,63,62,70,65,56,66,47,60.0,60,67,65,14,13,8,11,7,,63+2,63+2,63+2,65,64,64,64,65,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,68+2,66+2,66+2,66+2,68+2,67+2,65+2,65+2,65+2,67+2,17+2
229818,/player/229818/dominik-baumgartner/240002,24.0,2.0,2023-09-22,D. Baumgartner,Dominik Baumgartner,"CB, RB",70,72,1700000.0,8000.0,26,1996-07-20,188,72,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,RCB,22.0,,2020-07-17,2026.0,4,Austria,,,,Right,2,2,1,Medium/High,Normal (185+),No,2600000.0,,Intercept,68.0,35.0,52.0,52.0,70.0,74.0,51,29,70,64,22,42,41,24,61,57,68,68,64,68,59,52,78,71,76,31,72,69,41,35,36,58.0,71,71,68,8,5,11,8,11,,51+2,51+2,51+2,51,50,50,50,51,50+2,50+2,50+2,54+2,55+2,55+2,55+2,54+2,65+2,66+2,66+2,66+2,65+2,66+2,70+2,70+2,70+2,66+2,15+2
258361,/player/258361/scott-kennedy/240002,24.0,2.0,2023-09-22,S. Kennedy,Scott Fitzgerald Kennedy,CB,68,70,1300000.0,6000.0,26,1997-03-31,193,80,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,LCB,4.0,,2023-07-14,2025.0,70,Canada,,,,Left,3,2,1,Medium/High,Lean (185+),No,2000000.0,,Slide Tackle,79.0,29.0,45.0,48.0,68.0,72.0,26,24,62,61,26,42,24,26,56,50,83,76,50,66,48,42,84,65,77,25,66,66,30,40,33,65.0,68,70,68,12,11,5,11,9,,47+2,47+2,47+2,47,47,47,47,47,48+2,48+2,48+2,50+2,52+2,52+2,52+2,50+2,60+2,63+2,63+2,63+2,60+2,63+2,68+2,68+2,68+2,63+2,17+2
210482,/player/210482/simon-piesinger/240002,24.0,2.0,2023-09-22,S. Piesinger,Simon Piesinger,CB,68,68,825000.0,6000.0,31,1992-05-13,196,84,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,SUB,8.0,,2022-07-01,2025.0,4,Austria,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1200000.0,#Strength,"Power Header, Long Ball Pass",35.0,52.0,60.0,56.0,67.0,77.0,52,44,70,67,43,55,56,58,66,65,36,34,37,62,38,69,72,68,87,57,66,68,56,54,50,67.0,68,67,60,16,11,6,6,10,,58+2,58+2,58+2,54,56,56,56,54,57+2,57+2,57+2,56+2,62+2,62+2,62+2,56+2,60+2,67+1,67+1,67+1,60+2,61+2,68,68,68,61+2,16+2
267864,/player/267864/bernhard-zimmermann/240002,24.0,2.0,2023-09-22,B. Zimmermann,Bernhard Zimmermann,ST,67,75,2300000.0,6000.0,21,2002-02-15,179,77,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,ST,9.0,Rapid Wien,,2024.0,4,Austria,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,,,,72.0,68.0,56.0,67.0,31.0,76.0,56,70,63,60,55,65,62,44,48,67,73,71,78,57,76,69,78,77,75,65,75,22,67,58,64,59.0,31,26,27,12,9,11,14,12,,67+2,67+2,67+2,65,65,65,65,65,64+2,64+2,64+2,64+2,58+2,58+2,58+2,64+2,50+2,48+2,48+2,48+2,50+2,48+2,46+2,46+2,46+2,48+2,17+2
251499,/player/251499/thomas-sabitzer/240002,24.0,2.0,2023-09-22,T. Sabitzer,Thomas Sabitzer,"ST, RW, CAM",67,74,2100000.0,5000.0,22,2000-10-12,182,77,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,SUB,10.0,,2023-07-01,2026.0,4,Austria,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,3500000.0,,,76.0,64.0,60.0,70.0,27.0,66.0,60,68,61,62,60,70,58,42,55,70,77,75,81,62,73,63,75,73,65,57,56,23,69,63,58,62.0,29,20,18,12,6,13,13,8,,67+2,67+2,67+2,68,67,67,67,68,66+2,66+2,66+2,67+2,60+2,60+2,60+2,67+2,50+2,47+2,47+2,47+2,50+2,47+2,42+2,42+2,42+2,47+2,16+2
216518,/player/216518/hendrik-bonmann/240002,24.0,2.0,2023-09-22,H. Bonmann,Hendrik Bonmann,GK,67,68,775000.0,4000.0,29,1994-01-22,194,82,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,GK,1.0,,2022-07-01,2024.0,21,Germany,,,,Right,5,1,1,Medium/Medium,Normal (185+),No,1200000.0,,Far Throw,,,,,,,11,7,14,25,9,14,11,12,23,13,40,45,40,62,26,48,62,33,70,11,30,11,8,31,23,56.0,10,14,13,69,63,64,67,67,42.0,25+2,25+2,25+2,22,23,23,23,22,23+2,23+2,23+2,24+2,23+2,23+2,23+2,24+2,23+2,24+2,24+2,24+2,23+2,22+2,25+2,25+2,25+2,22+2,66+2
202535,/player/202535/thorsten-rocher/240002,24.0,2.0,2023-09-22,T. Röcher,Thorsten Röcher,ST,67,67,825000.0,6000.0,32,1991-06-11,181,78,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,SUB,18.0,,2021-01-08,2025.0,4,Austria,,,,Left,5,4,1,Medium/Medium,Normal (170-185),No,1200000.0,,Technical,67.0,68.0,62.0,69.0,23.0,68.0,66,68,58,65,66,69,56,45,56,68,69,66,74,64,67,72,72,63,75,67,54,18,69,65,65,62.0,30,12,10,10,13,11,13,8,,67,67,67,67,67,67,67,67,67,67,67,66+1,60+2,60+2,60+2,66+1,47+2,45+2,45+2,45+2,47+2,43+2,39+2,39+2,39+2,43+2,17+2
216182,/player/216182/mario-leitgeb/240002,24.0,2.0,2023-09-22,M. Leitgeb,Mario Leitgeb,"CDM, CM",67,67,275000.0,3000.0,35,1988-06-30,183,76,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,CDM,16.0,,2017-01-20,2024.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,399000.0,,"Power Header, Press Proven",34.0,55.0,60.0,60.0,68.0,70.0,45,54,69,69,42,55,56,66,64,66,36,33,61,60,64,51,65,61,74,68,71,66,40,58,60,72.0,70,68,66,10,7,8,7,15,,55+2,55+2,55+2,54,55,55,55,54,58+2,58+2,58+2,54+2,62+2,62+2,62+2,54+2,60+2,66+1,66+1,66+1,60+2,60+2,68-1,68-1,68-1,60+2,15+2
243664,/player/243664/florian-rieder/240002,24.0,2.0,2023-09-22,F. Rieder,Florian Rieder,LM,67,67,1100000.0,5000.0,27,1996-05-16,171,67,111822.0,Wolfsberger AC,80.0,Bundesliga,1.0,LM,23.0,,2023-07-01,2026.0,4,Austria,,,,Right,4,3,1,Medium/High,Lean (170-185),No,1600000.0,,Technical,75.0,53.0,63.0,68.0,49.0,65.0,65,51,31,63,48,66,63,56,62,65,76,75,84,63,84,61,55,84,56,53,68,56,62,65,35,64.0,47,53,48,12,10,11,12,14,,58+2,58+2,58+2,65,63,63,63,65,64+2,64+2,64+2,66+1,63+2,63+2,63+2,66+1,62+2,60+2,60+2,60+2,62+2,60+2,53+2,53+2,53+2,60+2,18+2
