team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
191,/team/191/salzburg/240002,24,2,2023-09-22,Salzburg,80,Bundesliga,1.0,4,Austria,73,69,73,73,1854915.0,Waldstadion (Fussballstadion),254,6,10.0,,240000000.0,21.18,21.46,257345.0,274445.0,246402.0,274445.0,274445.0,274445.0,257345.0,260876.0,Press after possession loss,51.0,71.0,,,,,,Fast build up,Forward runs,61.0,5.0,3.0,3.0,,,,,,,,
209,/team/209/sturm-graz/240002,24,2,2023-09-22,Sturm Graz,80,Bundesliga,1.0,4,Austria,70,69,71,70,1452203.0,Stadion Neder,254,4,7.0,,62000000.0,24.55,22.75,190589.0,259101.0,259101.0,259101.0,259101.0,257340.0,259101.0,259101.0,Press after possession loss,71.0,71.0,,,,,,Fast build up,Forward runs,61.0,3.0,3.0,3.0,,,,,,,,
252,/team/252/lask-linz/240002,24,2,2023-09-22,LASK Linz,80,Bundesliga,1.0,4,Austria,69,69,70,69,12789649.0,Stadion Neder,110720,5,9.0,,37500000.0,25.91,25.64,221944.0,201290.0,221944.0,201290.0,201290.0,201290.0,201290.0,201290.0,Press after possession loss,41.0,61.0,,,,,,Fast build up,Forward runs,61.0,6.0,3.0,3.0,,,,,,,,
254,/team/254/rapid-wien/240002,24,2,2023-09-22,Rapid Wien,80,Bundesliga,1.0,4,Austria,68,73,67,68,460566.0,Stadion Europa (Generic Europe 2),256,5,8.0,,56000000.0,24.91,24.25,193584.0,256548.0,256548.0,256548.0,256548.0,193584.0,244795.0,244795.0,Press after possession loss,71.0,51.0,,,,,,Slow build up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
256,/team/256/austria-wien/240002,24,2,2023-09-22,Austria Wien,80,Bundesliga,1.0,4,Austria,68,63,68,67,37666625.0,Stade Municipal,254,5,6.0,,42000000.0,25.36,24.25,244941.0,242815.0,242815.0,242815.0,242815.0,242815.0,242815.0,242815.0,Balanced,61.0,51.0,,,,,,Fast build up,Forward runs,61.0,4.0,3.0,3.0,,,,,,,,
111822,/team/111822/wolfsberger-ac/240002,24,2,2023-09-22,Wolfsberger AC,80,Bundesliga,1.0,4,Austria,66,67,66,67,37575021.0,Euro Park,209,4,5.0,,15000000.0,25.27,24.56,216182.0,216182.0,216182.0,216182.0,216182.0,267864.0,216182.0,216182.0,Pressure on heavy touch,41.0,51.0,,,,,,Fast build up,Forward runs,41.0,3.0,3.0,3.0,,,,,,,,
781,/team/781/austria-lustenau/240002,24,2,2023-09-22,Austria Lustenau,80,Bundesliga,1.0,4,Austria,65,66,64,63,1547985.0,Stadion 23. Maj,15009,1,2.0,,7800000.0,25.0,23.46,199770.0,266162.0,266162.0,266162.0,266162.0,267630.0,266162.0,266162.0,Balanced,51.0,41.0,,,,,,Fast build up,Forward runs,51.0,3.0,3.0,3.0,,,,,,,,
1787,/team/1787/austria-klagenfurt/240002,24,2,2023-09-22,Austria Klagenfurt,80,Bundesliga,1.0,4,Austria,65,64,65,67,463195.0,Waldstadion (Fussballstadion),111822,2,2.0,,10800000.0,27.55,24.58,229507.0,242271.0,202518.0,242271.0,242271.0,242271.0,202518.0,202518.0,Balanced,51.0,41.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
2017,/team/2017/hartberg/240002,24,2,2023-09-22,Hartberg,80,Bundesliga,1.0,4,Austria,65,64,65,64,1552672.0,Euro Park,209,1,2.0,,8400000.0,23.91,23.93,244435.0,203615.0,203615.0,203615.0,203615.0,263464.0,232843.0,263464.0,Pressure on heavy touch,51.0,41.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
15040,/team/15040/wsg-tirol/240002,24,2,2023-09-22,WSG Tirol,80,Bundesliga,1.0,4,Austria,65,63,66,64,452862.0,_Longville Stadium,15009,1,1.0,,10400000.0,23.91,23.46,231840.0,263318.0,263318.0,266459.0,263318.0,271005.0,263318.0,263318.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
15009,/team/15009/rheindorf-altach/240002,24,2,2023-09-22,Rheindorf Altach,80,Bundesliga,1.0,4,Austria,64,64,64,64,51400.0,Molton Road (Sheldon Stadium),781,2,4.0,,9700000.0,26.73,24.33,223427.0,228058.0,228058.0,228058.0,228058.0,229477.0,243618.0,252254.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
110720,/team/110720/blau-weiss-linz/240002,24,2,2023-09-22,Blau-Weiß Linz,80,Bundesliga,1.0,4,Austria,62,64,62,61,1552550.0,Stadion Neder,252,1,2.0,,6500000.0,25.0,24.84,224267.0,275633.0,275633.0,275633.0,275633.0,226958.0,244783.0,244783.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
