player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
184087,/player/184087/toby-alderweireld/240002,24.0,2.0,2023-09-22,T. Alderweireld,Toby Albertine Maurits Alderweireld,CB,81,81,8500000.0,37000.0,34,1989-03-02,186,81,230.0,Antwerp,4.0,Jupiler Pro League,1.0,RCB,23.0,,2022-07-15,2025.0,7,Belgium,,,,Right,3,2,3,Medium/Medium,Normal (185+),Yes,12800000.0,,"Power Header, Long Ball Pass, Anticipate",54.0,61.0,74.0,67.0,83.0,79.0,64,49,81,77,38,62,69,59,85,74,50,58,51,82,60,79,81,72,82,78,79,83,52,77,69,86.0,85,81,80,16,6,14,16,14,,66+3,66+3,66+3,65,66,66,66,65,69+3,69+3,69+3,67+3,75+3,75+3,75+3,67+3,74+3,80+1,80+1,80+1,74+3,75+3,81,81,81,75+3,21+3
225149,/player/225149/jean-butez/240002,24.0,2.0,2023-09-22,J. Butez,Jean Butez,GK,78,80,12000000.0,26000.0,28,1995-06-08,188,86,230.0,Antwerp,4.0,Jupiler Pro League,1.0,GK,1.0,,2020-07-07,2026.0,18,France,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,18900000.0,,,,,,,,,14,17,20,38,17,30,13,14,56,31,52,44,37,73,54,58,68,42,62,11,21,17,20,60,21,42.0,13,12,13,76,78,77,79,79,49.0,34+2,34+2,34+2,34,37,37,37,34,38+2,38+2,38+2,37+2,40+2,40+2,40+2,37+2,29+2,33+2,33+2,33+2,29+2,28+2,27+2,27+2,27+2,28+2,77+2
226537,/player/226537/vincent-janssen/240002,24.0,2.0,2023-09-22,V. Janssen,Vincent Janssen,ST,77,77,10500000.0,35000.0,29,1994-06-15,185,91,230.0,Antwerp,4.0,Jupiler Pro League,1.0,ST,18.0,,2022-07-01,2026.0,34,Netherlands,,,,Left,4,3,3,High/High,Stocky (185+),Yes,15800000.0,#Strength,"Power Shot, Power Header, Aerial",70.0,76.0,67.0,71.0,48.0,86.0,45,77,76,75,68,69,68,68,66,76,68,71,63,79,61,82,88,79,90,68,82,42,80,73,84,80.0,45,47,47,13,7,11,15,16,,77,77,77,71,75,75,75,71,73+3,73+3,73+3,71+3,71+3,71+3,71+3,71+3,60+3,64+3,64+3,64+3,60+3,59+3,62+3,62+3,62+3,59+3,20+3
236572,/player/236572/owen-wijndal/240002,24.0,2.0,2023-09-22,O. Wijndal,Owen Wijndal,LB,76,81,10500000.0,13000.0,23,1999-11-28,176,65,230.0,Antwerp,4.0,Jupiler Pro League,1.0,SUB,4.0,Ajax,,2024.0,34,Netherlands,,,,Left,2,3,2,Medium/Medium,Normal (170-185),No,,,,77.0,53.0,74.0,75.0,71.0,71.0,75,48,60,77,61,74,76,44,72,77,79,75,76,77,77,65,68,76,68,49,75,74,71,75,42,74.0,73,72,71,8,12,6,9,13,,66+2,66+2,66+2,72,70,70,70,72,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,75+2,74+2,74+2,74+2,75+2,74+2,72+2,72+2,72+2,74+2,18+2
238050,/player/238050/chidera-ejuke/240002,24.0,2.0,2023-09-22,C. Ejuke,Chidera Ejuke,"LW, LM, RW",75,78,7500000.0,28000.0,25,1998-01-02,176,72,230.0,Antwerp,4.0,Jupiler Pro League,1.0,SUB,19.0,,2020-08-28,2024.0,133,Nigeria,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,11800000.0,"#Speedster, #Acrobat","Finesse Shot, Technical, Flair, Trickster, Quick Step, Acrobatic",90.0,70.0,66.0,80.0,44.0,65.0,67,69,44,67,59,83,67,64,60,73,94,86,90,70,94,73,70,74,64,72,54,33,70,69,62,64.0,40,55,41,14,7,6,7,11,,70+2,70+2,70+2,75,74,74,74,75,73+2,73+2,73+2,74+2,67+2,67+2,67+2,74+2,61+2,57+2,57+2,57+2,61+2,59+2,52+2,52+2,52+2,59+2,16+2
225653,/player/225653/gyrano-kerk/240002,24.0,2.0,2023-09-22,G. Kerk,Gyrano Kerk,"RW, ST",74,74,4500000.0,27000.0,27,1995-12-02,183,80,230.0,Antwerp,4.0,Jupiler Pro League,1.0,RM,7.0,,2023-07-01,2025.0,34,Netherlands,,,,Right,2,3,1,High/Medium,Stocky (170-185),No,6800000.0,#Speedster,"Chip Shot, Rapid, Flair",91.0,71.0,64.0,74.0,36.0,72.0,66,72,61,65,67,74,67,53,52,73,91,91,77,70,80,76,85,64,78,66,63,32,75,70,59,68.0,43,29,23,12,15,12,15,14,,73+1,73+1,73+1,74,73,73,73,74,72+2,72+2,72+2,72+2,63+2,63+2,63+2,72+2,56+2,52+2,52+2,52+2,56+2,53+2,50+2,50+2,50+2,53+2,20+2
257208,/player/257208/michel-ange-balikwisha/240002,24.0,2.0,2023-09-22,M. Balikwisha,Michel Ange Balikwisha,"LW, ST, CAM",73,80,6000000.0,22000.0,22,2001-05-10,178,71,230.0,Antwerp,4.0,Jupiler Pro League,1.0,LM,10.0,,2021-07-04,2026.0,7,Belgium,,,,Right,5,4,1,Medium/High,Lean (170-185),No,10200000.0,,"Technical, Flair",82.0,68.0,69.0,75.0,37.0,62.0,69,68,42,72,66,75,64,56,66,74,84,81,85,65,81,70,60,76,53,68,67,46,66,71,55,68.0,21,45,38,14,6,6,13,10,,67+2,67+2,67+2,73,71,71,71,73,72+2,72+2,72+2,72+2,68+2,68+2,68+2,72+2,60+2,57+2,57+2,57+2,60+2,57+2,48+2,48+2,48+2,57+2,16+2
243249,/player/243249/jurgen-ekkelenkamp/240002,24.0,2.0,2023-09-22,J. Ekkelenkamp,Jurgen Ekkelenkamp,"CAM, CM",73,78,4600000.0,20000.0,23,2000-04-05,188,83,230.0,Antwerp,4.0,Jupiler Pro League,1.0,CAM,24.0,,2022-08-07,2026.0,34,Netherlands,,,,Right,4,3,1,Medium/Medium,Normal (185+),Yes,7200000.0,,"Pinged Pass, Trivela",52.0,69.0,72.0,73.0,62.0,74.0,64,70,66,75,64,74,71,68,72,76,64,42,68,73,57,71,74,78,75,69,66,58,76,75,55,72.0,62,62,65,13,6,12,14,6,,70+2,70+2,70+2,70,72,72,72,70,73+2,73+2,73+2,71+2,73+2,73+2,73+2,71+2,66+2,69+2,69+2,69+2,66+2,65+2,65+2,65+2,65+2,65+2,17+2
210828,/player/210828/bjorn-engels/240002,24.0,2.0,2023-09-22,B. Engels,Björn Engels,CB,73,74,2900000.0,22000.0,28,1994-09-15,195,90,230.0,Antwerp,4.0,Jupiler Pro League,1.0,SUB,3.0,,2021-07-01,2026.0,7,Belgium,,,,Right,3,2,2,Medium/Medium,Normal (185+),Yes,4600000.0,#Aerial threat,"Power Header, Long Ball Pass",51.0,44.0,60.0,52.0,74.0,72.0,48,54,77,69,27,48,29,36,72,59,43,57,41,68,33,46,76,56,78,26,76,73,47,61,35,75.0,72,76,73,9,12,14,7,8,,56+2,56+2,56+2,53,55,55,55,53,56+2,56+2,56+2,56+2,62+2,62+2,62+2,56+2,63+2,70+2,70+2,70+2,63+2,66+2,73+1,73+1,73+1,66+2,16+2
269859,/player/269859/arthur-vermeeren/240002,24.0,2.0,2023-09-22,A. Vermeeren,Arthur Vermeeren,"CDM, CM",72,85,5000000.0,6000.0,18,2005-02-07,180,70,230.0,Antwerp,4.0,Jupiler Pro League,1.0,LCM,48.0,,2022-01-01,2026.0,7,Belgium,,,,Right,4,2,1,Medium/High,Lean (170-185),No,10600000.0,,"Block, Anticipate",67.0,53.0,70.0,73.0,67.0,64.0,57,48,47,78,30,71,61,48,74,74,69,65,77,63,75,62,58,84,55,59,65,73,51,76,60,76.0,69,68,64,9,6,13,9,8,,59+2,59+2,59+2,66,65,65,65,66,69+2,69+2,69+2,68+2,72+2,72+2,72+2,68+2,70+2,71+2,71+2,71+2,70+2,68+2,65+2,65+2,65+2,68+2,14+2
