player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233630,/player/233630/hugo-cuypers/240002,24.0,2.0,2023-09-22,H. Cuypers,Hugo Cuypers,ST,76,78,9500000.0,25000.0,26,1997-02-07,185,78,674.0,Gent,4.0,Jupiler Pro League,1.0,RW,11.0,,2022-07-01,2026.0,7,Belgium,,,,Right,4,3,1,High/High,Normal (185+),No,15000000.0,#Engine,"Finesse Shot, Trivela",74.0,76.0,67.0,69.0,44.0,76.0,65,78,76,73,73,68,58,48,58,72,72,76,66,76,66,80,84,89,73,68,65,41,81,72,76,71.0,42,41,36,13,12,12,12,10,,76+2,76+2,76+2,72,74,74,74,72,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,61+2,59+2,59+2,59+2,61+2,59+2,56+2,56+2,56+2,59+2,19+2
273564,/player/273564/gift-emmanuel-orban/240002,24.0,2.0,2023-09-22,G. Orban,Gift Emmanuel Orban,ST,75,84,12500000.0,18000.0,20,2002-07-17,178,73,674.0,Gent,4.0,Jupiler Pro League,1.0,ST,20.0,,2023-01-31,2027.0,133,Nigeria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,21300000.0,,"Power Shot, First Touch",77.0,81.0,63.0,73.0,19.0,63.0,58,83,60,64,78,73,76,76,56,70,76,78,73,77,77,83,75,60,69,78,48,17,74,63,71,78.0,10,17,10,10,6,14,12,10,,75+2,75+2,75+2,72,73,73,73,72,71+2,71+2,71+2,69+2,62+2,62+2,62+2,69+2,47+2,44+2,44+2,44+2,47+2,43+2,37+2,37+2,37+2,43+2,17+2
233483,/player/233483/tarik-tissoudali/240002,24.0,2.0,2023-09-22,T. Tissoudali,Tarik Tissoudali,"CF, ST",75,75,5500000.0,23000.0,30,1993-04-02,182,70,674.0,Gent,4.0,Jupiler Pro League,1.0,SUB,34.0,,2021-02-01,2026.0,129,Morocco,,,,Right,3,4,1,High/High,Normal (170-185),No,8300000.0,,"Technical, Flair",72.0,73.0,68.0,82.0,27.0,57.0,62,77,58,72,72,84,73,66,57,80,74,71,86,70,77,71,71,55,66,67,33,20,76,72,67,78.0,26,21,26,13,10,11,11,13,,73+2,73+2,73+2,75,75,75,75,75,75,75,75,73+2,66+2,66+2,66+2,73+2,51+2,48+2,48+2,48+2,51+2,48+2,41+2,41+2,41+2,48+2,18+2
236947,/player/236947/jordan-torunarigha/240002,24.0,2.0,2023-09-22,J. Torunarigha,Jordan Torunarigha,"CB, LB",74,78,5500000.0,17000.0,25,1997-08-07,191,80,674.0,Gent,4.0,Jupiler Pro League,1.0,LCB,23.0,,2022-07-19,2025.0,21,Germany,,,,Left,2,2,1,High/Medium,Normal (185+),Yes,8700000.0,,,85.0,41.0,63.0,65.0,74.0,75.0,56,45,77,69,26,67,34,25,73,62,82,88,62,61,64,42,85,70,79,25,68,75,50,69,68,70.0,71,76,75,5,7,13,5,11,,59+2,59+2,59+2,62,60,60,60,62,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,70+2,71+2,71+2,71+2,70+2,72+2,74+2,74+2,74+2,72+2,13+2
217287,/player/217287/julien-de-sart/240002,24.0,2.0,2023-09-22,J. De Sart,Julien Ariel De Sart,"CM, CDM",74,74,4200000.0,21000.0,28,1994-12-23,187,72,674.0,Gent,4.0,Jupiler Pro League,1.0,CDM,13.0,,2021-07-01,2026.0,7,Belgium,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,6300000.0,,Long Ball Pass,41.0,72.0,76.0,70.0,72.0,71.0,74,66,73,78,73,67,74,75,79,75,47,36,63,72,65,82,68,80,64,76,77,74,65,72,67,75.0,70,72,68,12,14,12,8,8,,68+2,68+2,68+2,67,68,68,68,67,70+2,70+2,70+2,68+2,74,74,74,68+2,70+2,74,74,74,70+2,69+2,71+2,71+2,71+2,69+2,17+2
244108,/player/244108/hyeon-seok-hong/240002,24.0,2.0,2023-09-22,Hong Hyeon Seok,홍현석 Hyeon Seok Hong,"CAM, CM, CDM",73,78,4600000.0,16000.0,24,1999-06-16,177,69,674.0,Gent,4.0,Jupiler Pro League,1.0,LCM,7.0,,2022-08-08,2025.0,167,Korea Republic,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,7200000.0,,,68.0,69.0,72.0,76.0,64.0,68.0,70,71,46,76,73,75,67,65,69,75,72,64,84,72,81,68,61,85,59,68,69,65,72,74,58,73.0,64,69,67,13,9,7,13,10,,68+2,68+2,68+2,73,72,72,72,73,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,71+2,70+2,70+2,70+2,71+2,69+2,65+2,65+2,65+2,69+2,18+2
176009,/player/176009/sven-kums/240002,24.0,2.0,2023-09-22,S. Kums,Sven Kums,CM,73,73,1200000.0,14000.0,35,1988-02-26,176,73,674.0,Gent,4.0,Jupiler Pro League,1.0,RCM,24.0,,2020-07-01,2024.0,7,Belgium,,,,Right,4,3,2,Medium/High,Normal (170-185),No,1800000.0,,"Pinged Pass, Long Ball Pass",42.0,69.0,75.0,72.0,70.0,67.0,75,66,62,77,67,70,76,74,76,76,50,35,63,70,73,73,63,74,63,71,69,75,66,73,68,81.0,74,67,62,10,14,15,14,7,,66+2,66+2,66+2,68,68,68,68,68,70+2,70+2,70+2,69+2,73,73,73,69+2,69+2,73,73,73,69+2,67+2,68+2,68+2,68+2,67+2,18+2
206218,/player/206218/paul-nardi/240002,24.0,2.0,2023-09-22,P. Nardi,Paul Nardi,GK,73,73,2100000.0,14000.0,29,1994-05-18,187,77,674.0,Gent,4.0,Jupiler Pro League,1.0,GK,1.0,,2022-09-02,2024.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3200000.0,,,,,,,,,10,10,17,35,10,10,12,10,36,25,54,43,35,71,52,51,62,20,54,10,24,21,10,49,16,31.0,15,14,10,74,67,68,72,76,50.0,28+2,28+2,28+2,27,29,29,29,27,31+2,31+2,31+2,29+2,31+2,31+2,31+2,29+2,25+2,29+2,29+2,29+2,25+2,25+2,26+2,26+2,26+2,25+2,72+1
259043,/player/259043/matisse-samoise/240002,24.0,2.0,2023-09-22,M. Samoise,Matisse Samoise,"RM, RWB, RB",71,79,4200000.0,11000.0,21,2001-11-21,180,70,674.0,Gent,4.0,Jupiler Pro League,1.0,RB,18.0,,2020-09-25,2025.0,7,Belgium,,,,Right,3,3,1,High/High,Normal (170-185),No,7100000.0,#Engine,Rapid,76.0,61.0,68.0,68.0,64.0,72.0,70,64,52,70,49,69,63,58,67,67,74,78,73,66,67,63,67,90,63,60,72,65,64,68,47,65.0,63,67,65,5,8,6,15,13,,64+2,64+2,64+2,68,67,67,67,68,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,70+2,68+2,68+2,68+2,70+2,69+2,65+2,65+2,65+2,69+2,16+2
261663,/player/261663/ismael-kandouss/240002,24.0,2.0,2023-09-22,I. Kandouss,Ismaël Kandouss,CB,71,74,2200000.0,12000.0,25,1997-11-12,192,83,674.0,Gent,4.0,Jupiler Pro League,1.0,SUB,5.0,,2023-07-12,2027.0,129,Morocco,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,3500000.0,,Aerial,54.0,29.0,47.0,59.0,71.0,78.0,33,21,71,63,25,61,24,27,58,63,53,54,43,64,45,53,79,71,84,23,71,72,31,36,32,52.0,71,72,68,12,9,10,12,14,,49+2,49+2,49+2,48,49,49,49,48,50+2,50+2,50+2,52+2,56+2,56+2,56+2,52+2,62+2,67+2,67+2,67+2,62+2,64+2,71+2,71+2,71+2,64+2,17+2
