player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
221350,/player/221350/thierry-ambrose/240002,24.0,2.0,2023-09-22,T. Ambrose,Thierry Ambrose,"ST, LM",72,75,3100000.0,12000.0,26,1997-03-28,178,76,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,SUB,68.0,,2023-08-15,2027.0,18,France,,,,Right,4,4,1,High/Medium,Stocky (170-185),No,4700000.0,,Technical,82.0,72.0,61.0,74.0,29.0,68.0,66,74,66,66,50,78,56,41,54,73,81,83,72,64,76,77,85,66,80,66,34,20,71,57,71,62.0,30,21,29,9,11,16,11,7,,72+2,72+2,72+2,72,72,72,72,72,69+2,69+2,69+2,70+2,61+2,61+2,61+2,70+2,53+2,47+2,47+2,47+2,53+2,50+2,44+2,44+2,44+2,50+2,16+2
264201,/player/264201/abdelkahar-kadri/240002,24.0,2.0,2023-09-22,A. Kadri,Abdelkahar Kadri,"CAM, CM",71,78,3800000.0,9000.0,23,2000-06-24,170,69,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,CAM,10.0,,2021-08-12,2026.0,97,Algeria,,,,Right,4,3,1,Medium/Medium,Lean (170-),No,6300000.0,,Technical,72.0,66.0,67.0,77.0,61.0,61.0,62,67,48,74,62,80,68,63,62,75,74,70,79,64,83,70,63,55,60,65,71,63,65,66,54,72.0,58,66,63,7,9,8,13,12,,67+2,67+2,67+2,71,70,70,70,71,71+2,71+2,71+2,70+2,68+2,68+2,68+2,70+2,66+2,66+2,66+2,66+2,66+2,64+2,63+2,63+2,63+2,64+2,16+2
246329,/player/246329/mounaim-el-idrissy/240002,24.0,2.0,2023-09-22,M. El Idrissy,Mounaïm El Idrissy,ST,69,75,2200000.0,7000.0,24,1999-02-10,181,72,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,RES,9.0,,2023-09-07,2026.0,18,France,,,,Right,3,2,1,Medium/Low,Lean (170-185),No,3600000.0,,"Finesse Shot, Aerial",73.0,70.0,63.0,69.0,29.0,63.0,65,71,66,67,69,70,53,48,59,69,72,74,68,62,64,72,74,68,68,68,39,26,71,61,64,66.0,30,21,17,9,9,7,5,12,,69+2,69+2,69+2,68,69,69,69,68,67+2,67+2,67+2,68+2,61+2,61+2,61+2,68+2,51+2,47+2,47+2,47+2,51+2,47+2,42+2,42+2,42+2,47+2,15+2
180706,/player/180706/craig-cathcart/240002,24.0,2.0,2023-09-22,C. Cathcart,Craig George Cathcart,CB,69,69,450000.0,7000.0,34,1989-02-06,190,83,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,SUB,2.0,,2023-09-05,2024.0,35,Northern Ireland,110081.0,LCB,20.0,Right,3,2,1,Medium/High,Lean (185+),Yes,653000.0,,,35.0,37.0,55.0,51.0,69.0,70.0,39,29,71,67,30,44,39,39,64,57,34,35,49,72,50,56,70,54,76,41,73,73,33,52,28,70.0,71,66,66,8,6,12,9,13,,49+2,49+2,49+2,46,48,48,48,46,51+2,51+2,51+2,49+2,58+2,58+2,58+2,49+2,59+2,66+2,66+2,66+2,59+2,60+2,69,69,69,60+2,16+2
203633,/player/203633/massimo-bruno/240002,24.0,2.0,2023-09-22,M. Bruno,Massimo Bruno,"CAM, LM, RM",69,69,1400000.0,8000.0,29,1993-09-17,178,75,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,LM,70.0,,2022-07-01,2025.0,7,Belgium,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,2000000.0,,"Technical, Flair",68.0,68.0,68.0,71.0,42.0,60.0,66,65,45,68,70,70,70,69,69,71,70,67,73,68,71,71,61,64,66,70,41,40,68,67,64,78.0,35,51,38,6,12,14,14,14,,66+2,66+2,66+2,69,68,68,68,69,69,69,69,68+1,66+2,66+2,66+2,68+1,57+2,56+2,56+2,56+2,57+2,55+2,49+2,49+2,49+2,55+2,18+2
233544,/player/233544/kristiyan-malinov/240002,24.0,2.0,2023-09-22,K. Malinov,Kristiyan Malinov,"CDM, CM",69,69,1200000.0,7000.0,29,1994-03-30,170,65,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,RES,15.0,,2023-08-18,2025.0,9,Bulgaria,,,,Right,3,2,1,Medium/Medium,Stocky (170-),No,1700000.0,,Slide Tackle,67.0,55.0,62.0,60.0,65.0,73.0,59,46,31,67,38,54,39,54,66,63,73,62,64,67,84,71,58,84,67,61,78,70,57,59,54,61.0,65,70,69,14,14,14,6,9,,57+2,57+2,57+2,60,60,60,60,60,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,68+1,68+1,68+1,68+1,68+1,67+2,64+2,64+2,64+2,67+2,17+2
244135,/player/244135/aleksandar-radovanovic/240002,24.0,2.0,2023-09-22,A. Radovanović,Aleksandar Radovanović,CB,68,69,1100000.0,6000.0,29,1993-11-11,189,83,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,LCB,66.0,,2021-01-29,2024.0,51,Serbia,,,,Left,2,2,1,Medium/High,Normal (185+),No,1700000.0,,"Block, Intercept",40.0,29.0,49.0,49.0,68.0,77.0,31,27,69,66,27,43,33,32,60,58,46,35,34,60,43,34,74,66,84,28,75,66,25,38,38,65.0,67,69,67,7,12,14,7,13,,44+2,44+2,44+2,43,44,44,44,43,46+2,46+2,46+2,46+2,54+2,54+2,54+2,46+2,58+2,65+2,65+2,65+2,58+2,59+2,68+1,68+1,68+1,59+2,15+2
219988,/player/219988/felipe-avenatti/240002,24.0,2.0,2023-09-22,F. Avenatti,Felipe Nicolás Avenatti Dovillabichus,ST,68,68,1200000.0,7000.0,30,1993-04-26,197,90,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,ST,20.0,,2022-08-18,2024.0,60,Uruguay,,,,Left,3,3,1,High/High,Normal (185+),No,1700000.0,#Aerial threat,Power Header,41.0,67.0,65.0,66.0,46.0,73.0,43,67,80,72,64,69,65,65,70,73,40,41,48,62,36,69,80,52,83,67,73,48,70,71,62,62.0,42,40,33,9,8,7,7,8,,68,68,68,63,67,67,67,63,67+1,67+1,67+1,62+2,66+2,66+2,66+2,62+2,51+2,59+2,59+2,59+2,51+2,49+2,56+2,56+2,56+2,49+2,14+2
269752,/player/269752/tom-vandenberghe/240002,24.0,2.0,2023-09-22,T. Vandenberghe,Tom Vandenberghe,GK,68,68,800000.0,5000.0,30,1992-08-17,190,78,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,GK,1.0,,2022-02-09,2026.0,7,Belgium,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,1200000.0,,,,,,,,,14,7,11,25,5,11,12,14,24,19,31,25,34,66,35,46,58,26,67,5,18,6,5,31,18,30.0,5,12,12,68,65,61,69,67,29.0,23+2,23+2,23+2,20,22,22,22,20,22+2,22+2,22+2,22+2,23+2,23+2,23+2,22+2,20+2,22+2,22+2,22+2,20+2,20+2,21+2,21+2,21+2,20+2,67+1
252489,/player/252489/marco-kana/240002,24.0,2.0,2023-09-22,M. Kana,Marco Kana,"CB, CDM, CM",67,75,2100000.0,6000.0,20,2002-08-08,183,62,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,SUB,16.0,Anderlecht,,2024.0,7,Belgium,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,,68.0,32.0,65.0,68.0,66.0,69.0,64,23,63,72,33,64,41,46,67,71,68,68,72,63,74,38,73,63,71,43,68,68,45,61,31,67.0,64,68,66,9,6,9,14,8,,52+2,52+2,52+2,60,57,57,57,60,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,15+2
251781,/player/251781/raul-oprut/240002,24.0,2.0,2023-09-22,R. Opruț,Raul Marian Opruț,LB,67,72,1400000.0,5000.0,25,1998-01-04,184,70,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,SUB,98.0,,2023-08-02,2026.0,39,Romania,1356.0,RES,24.0,Left,3,2,1,Medium/Medium,Normal (170-185),No,2100000.0,,"Block, Long Throw",82.0,36.0,55.0,62.0,61.0,73.0,62,21,58,62,25,60,44,31,42,63,81,82,74,60,54,60,76,83,70,45,68,60,56,52,39,61.0,61,64,60,13,9,13,7,12,,54+2,54+2,54+2,59,57,57,57,59,57+2,57+2,57+2,61+2,57+2,57+2,57+2,61+2,66+2,61+2,61+2,61+2,66+2,65+2,63+2,63+2,63+2,65+2,16+2
235799,/player/235799/abdoulaye-sissako/240002,24.0,2.0,2023-09-22,A. Sissako,Abdoulaye Sissako,"CM, CDM",67,71,1400000.0,5000.0,25,1998-05-26,186,81,100081.0,Kortrijk,4.0,Jupiler Pro League,1.0,LDM,27.0,,2023-08-14,2027.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2100000.0,,,71.0,56.0,64.0,71.0,64.0,75.0,64,54,67,68,45,74,54,39,67,70,69,72,67,63,69,66,78,78,76,56,68,64,62,62,44,66.0,63,65,65,14,9,8,6,8,,64+2,64+2,64+2,66,66,66,66,66,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,15+2
