player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
228509,/player/228509/jeff-reine-adelaide/240002,24.0,2.0,2023-09-22,J. Reine-Adélaïde,Jeff Reine-Adélaïde,CM,72,74,2900000.0,14000.0,25,1998-01-17,184,75,8001.0,RWDM,4.0,Jupiler Pro League,1.0,SUB,77.0,,2023-09-07,2024.0,18,France,,,,Right,3,4,2,High/Medium,Normal (170-185),Yes,4400000.0,,Technical,68.0,69.0,71.0,77.0,54.0,64.0,62,68,58,76,63,80,66,53,73,77,69,67,73,70,66,77,69,63,68,67,55,61,72,74,55,76.0,41,61,51,10,15,11,16,8,,71+2,71+2,71+2,72,73,73,73,72,74,74,74,72+2,72+2,72+2,72+2,72+2,64+2,65+2,65+2,65+2,64+2,62+2,59+2,59+2,59+2,62+2,19+2
204320,/player/204320/xavier-mercier/240002,24.0,2.0,2023-09-22,X. Mercier,Xavier Mercier,"CAM, CF, LM",72,72,1500000.0,14000.0,33,1989-07-25,174,71,8001.0,RWDM,4.0,Jupiler Pro League,1.0,LF,30.0,,2023-07-25,2024.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2200000.0,,"Finesse Shot, Dead Ball, Pinged Pass, Long Ball Pass, Technical, Flair",64.0,69.0,77.0,70.0,47.0,61.0,80,66,38,75,68,67,79,79,73,73,68,61,72,58,78,74,55,68,61,71,53,53,77,79,69,76.0,51,46,35,11,9,12,11,14,,66+2,66+2,66+2,71,70,70,70,71,72,72,72,71+1,70+2,70+2,70+2,71+1,61+2,61+2,61+2,61+2,61+2,57+2,51+2,51+2,51+2,57+2,16+2
253344,/player/253344/luis-segovia/240002,24.0,2.0,2023-09-22,L. Segovia,Luis Geovanny Segovia Vega,"CB, LB",70,73,1900000.0,10000.0,25,1997-10-26,182,82,8001.0,RWDM,4.0,Jupiler Pro League,1.0,RES,2.0,,2023-07-01,2024.0,57,Ecuador,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,2900000.0,,Slide Tackle,71.0,42.0,53.0,55.0,69.0,75.0,56,40,67,65,39,41,37,35,48,71,69,72,70,64,45,49,76,80,74,43,73,66,32,42,37,51.0,71,69,71,8,10,10,11,15,,53+2,53+2,53+2,54,52,52,52,54,54+2,54+2,54+2,56+2,57+2,57+2,57+2,56+2,67+2,66+2,66+2,66+2,67+2,68+2,70+2,70+2,70+2,68+2,17+2
223938,/player/223938/kylian-hazard/240002,24.0,2.0,2023-09-22,K. Hazard,Kylian Hazard,"LW, RW, CAM",70,70,1700000.0,12000.0,27,1995-08-05,172,70,8001.0,RWDM,4.0,Jupiler Pro League,1.0,SUB,14.0,,2022-07-01,2024.0,7,Belgium,,,,Right,4,4,1,High/Low,Normal (170-185),No,2500000.0,#Acrobat,Technical,76.0,64.0,68.0,73.0,28.0,61.0,71,66,39,68,60,73,71,67,64,69,81,72,90,60,82,61,65,52,69,66,53,28,64,69,56,75.0,17,34,32,12,15,7,6,9,,64+2,64+2,64+2,70,67,67,67,70,69+1,69+1,69+1,68+2,62+2,62+2,62+2,68+2,52+2,49+2,49+2,49+2,52+2,49+2,42+2,42+2,42+2,49+2,16+2
256849,/player/256849/mickael-biron/240002,24.0,2.0,2023-09-22,M. Biron,Mickaël Christophe Biron,"ST, RM",69,72,1900000.0,10000.0,25,1997-08-26,170,71,8001.0,RWDM,4.0,Jupiler Pro League,1.0,ST,7.0,,2022-07-16,2025.0,18,France,,,,Right,2,3,1,High/Medium,Normal (170-),No,2900000.0,,Finesse Shot,79.0,69.0,60.0,67.0,23.0,66.0,54,70,65,65,63,65,65,69,52,63,78,80,77,67,86,71,77,76,67,64,48,19,75,59,70,68.0,17,19,16,10,15,12,8,6,,69+2,69+2,69+2,67,68,68,68,67,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,48+2,45+2,45+2,45+2,48+2,45+2,39+2,39+2,39+2,45+2,16+2
200168,/player/200168/jonathan-heris/240002,24.0,2.0,2023-09-22,J. Heris,Jonathan Steve Heris,"CB, RB",69,69,900000.0,9000.0,32,1990-09-03,188,80,8001.0,RWDM,4.0,Jupiler Pro League,1.0,RCB,19.0,,2022-07-01,2024.0,7,Belgium,,,,Right,2,2,1,High/High,Normal (185+),No,1300000.0,,,46.0,48.0,58.0,60.0,69.0,77.0,58,53,70,64,65,62,34,27,65,62,49,43,55,60,53,68,74,74,81,18,73,71,49,55,33,52.0,70,67,65,12,8,6,9,13,,58+2,58+2,58+2,55,56,56,56,55,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2,63+2,67+2,67+2,67+2,63+2,64+2,69,69,69,64+2,16+2
228804,/player/228804/alexis-de-sart/240002,24.0,2.0,2023-09-22,A. De Sart,Alexis François De Sart,"CM, CDM, CAM",68,71,1600000.0,8000.0,26,1996-11-12,180,66,8001.0,RWDM,4.0,Jupiler Pro League,1.0,RCM,5.0,,2023-07-01,2025.0,7,Belgium,,,,Right,3,3,1,High/High,Lean (170-185),No,2400000.0,,,58.0,64.0,68.0,69.0,67.0,64.0,63,59,65,71,67,67,73,66,68,69,57,59,72,67,73,72,66,66,61,69,66,70,68,68,58,69.0,67,68,64,14,12,12,15,10,,65+2,65+2,65+2,66,66,66,66,66,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,66+2,68+2,68+2,68+2,66+2,66+2,66+2,66+2,66+2,66+2,19+2
208214,/player/208214/theo-defourny/240002,24.0,2.0,2023-09-22,T. Defourny,Théo Defourny,GK,68,68,650000.0,6000.0,31,1992-04-25,194,85,8001.0,RWDM,4.0,Jupiler Pro League,1.0,GK,33.0,,2021-07-12,2025.0,7,Belgium,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,943000.0,,Far Throw,,,,,,,20,14,18,27,19,16,14,12,24,18,33,38,32,64,40,49,67,18,78,14,36,10,16,36,26,34.0,18,15,18,68,64,65,69,69,35.0,29+2,29+2,29+2,25,27,27,27,25,26+2,26+2,26+2,26+2,25+2,25+2,25+2,26+2,23+2,26+2,26+2,26+2,23+2,23+2,28+2,28+2,28+2,23+2,67+1
245652,/player/245652/makhtar-gueye/240002,24.0,2.0,2023-09-22,M. Gueye,Makhtar Gueye,ST,67,72,1500000.0,7000.0,25,1997-12-04,195,91,8001.0,RWDM,4.0,Jupiler Pro League,1.0,RF,9.0,,2023-07-31,2026.0,136,Senegal,,,,Right,2,2,1,Medium/Low,Lean (185+),No,2300000.0,"#Aerial threat, #Strength",,63.0,68.0,55.0,57.0,30.0,81.0,54,65,77,60,68,59,47,43,54,58,53,71,47,65,33,72,87,75,91,68,62,25,69,55,82,62.0,26,24,21,14,10,15,5,7,,67+2,67+2,67+2,60,63,63,63,60,60+2,60+2,60+2,61+2,57+2,57+2,57+2,61+2,48+2,47+2,47+2,47+2,48+2,46+2,47+2,47+2,47+2,46+2,15+2
255037,/player/255037/shuto-abe/240002,24.0,2.0,2023-09-22,S. Abe,安部 柊斗,"CDM, CM",67,70,1200000.0,6000.0,25,1997-12-05,171,67,8001.0,RWDM,4.0,Jupiler Pro League,1.0,SUB,8.0,,2023-07-19,2026.0,163,Japan,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1800000.0,,,70.0,62.0,63.0,66.0,62.0,68.0,62,58,42,70,57,64,54,49,65,66,78,63,75,62,77,69,61,83,60,66,73,65,66,58,48,61.0,63,66,64,8,12,8,6,11,,62+2,62+2,62+2,65,64,64,64,65,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,66+2,63+2,63+2,63+2,66+2,15+2
