player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
220948,/player/220948/serhiy-sydorchuk/240002,24.0,2.0,2023-09-22,S. Sydorchuk,Serhiy Sydorchuk,CDM,74,74,2800000.0,11000.0,32,1991-05-02,189,80,681.0,Westerlo,4.0,Jupiler Pro League,1.0,SUB,15.0,,2023-09-05,2026.0,49,Ukraine,1366.0,SUB,5.0,Right,3,3,1,High/High,Normal (185+),No,4200000.0,,,66.0,68.0,67.0,69.0,69.0,73.0,50,62,47,75,69,70,66,49,73,72,68,65,57,76,48,78,66,78,73,74,68,73,69,70,61,76.0,73,71,68,8,14,16,13,12,,68+2,68+2,68+2,68,70,70,70,68,71+2,71+2,71+2,69+2,73+1,73+1,73+1,69+2,70+2,73+1,73+1,73+1,70+2,69+2,69+2,69+2,69+2,69+2,19+2
200529,/player/200529/nacer-chadli/240002,24.0,2.0,2023-09-22,N. Chadli,Nacer Chadli,"LM, CAM",73,73,1900000.0,11000.0,33,1989-08-02,187,85,681.0,Westerlo,4.0,Jupiler Pro League,1.0,LM,89.0,,2023-08-18,2024.0,7,Belgium,,,,Right,4,4,2,High/Medium,Normal (185+),Yes,2900000.0,,"Technical, First Touch, Trivela",68.0,73.0,72.0,74.0,55.0,72.0,71,72,71,72,68,75,74,72,70,77,65,70,69,63,57,76,74,64,81,71,60,52,75,75,76,81.0,55,55,45,12,11,12,10,13,,73,73,73,72,73,73,73,72,73,73,73,72+1,70+2,70+2,70+2,72+1,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,61+2,61+2,17+2
162220,/player/162220/sinan-bolat/240002,24.0,2.0,2023-09-22,S. Bolat,Sinan Bolat,GK,72,72,400000.0,7000.0,34,1988-09-03,186,83,681.0,Westerlo,4.0,Jupiler Pro League,1.0,GK,1.0,,2022-07-01,2026.0,48,Turkey,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,600000.0,,"Far Throw, Footwork",,,,,,,15,12,29,44,13,17,19,11,52,21,48,38,52,67,43,56,73,26,72,11,35,11,17,55,28,65.0,13,14,13,68,76,74,73,68,44.0,32+2,32+2,32+2,29,32,32,32,29,34+2,34+2,34+2,32+2,35+2,35+2,35+2,32+2,26+2,32+2,32+2,32+2,26+2,25+2,29+2,29+2,29+2,25+2,71+1
275401,/player/275401/matija-frigan/240002,24.0,2.0,2023-09-22,M. Frigan,Matija Frigan,"ST, RW",70,80,3500000.0,6000.0,20,2003-02-11,185,78,681.0,Westerlo,4.0,Jupiler Pro League,1.0,RS,9.0,,2023-07-24,2028.0,10,Croatia,,,,Left,4,2,1,High/High,Normal (185+),No,6000000.0,,,79.0,69.0,58.0,70.0,37.0,79.0,64,71,67,59,54,71,61,53,49,68,80,79,72,68,70,69,82,83,74,64,87,24,74,56,75,62.0,37,38,27,6,7,8,8,14,,70+2,70+2,70+2,69,69,69,69,69,66+2,66+2,66+2,68+2,60+2,60+2,60+2,68+2,55+2,52+2,52+2,52+2,55+2,53+2,51+2,51+2,51+2,53+2,15+2
242907,/player/242907/bryan-reynolds/240002,24.0,2.0,2023-09-22,B. Reynolds,Bryan Reynolds,"RWB, RB",70,79,3400000.0,6000.0,22,2001-06-28,188,75,681.0,Westerlo,4.0,Jupiler Pro League,1.0,RB,22.0,,2023-07-30,2027.0,95,United States,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,5800000.0,,"Pinged Pass, Whipped Cross, Slide Tackle",68.0,47.0,62.0,62.0,66.0,67.0,65,47,61,67,39,62,58,34,66,64,66,69,64,69,54,49,68,82,63,42,58,68,50,57,54,55.0,68,65,62,14,13,9,7,13,,57+2,57+2,57+2,61,59,59,59,61,60+2,60+2,60+2,63+2,63+2,63+2,63+2,63+2,68+2,66+2,66+2,66+2,68+2,67+2,65+2,65+2,65+2,67+2,18+2
186296,/player/186296/roman-neustadter/240002,24.0,2.0,2023-09-22,R. Neustädter,Roman Neustädter,"CB, CDM",70,70,425000.0,5000.0,35,1988-02-18,190,81,681.0,Westerlo,4.0,Jupiler Pro League,1.0,RCB,33.0,,2022-02-24,2024.0,40,Russia,,,,Right,4,2,2,Medium/Medium,Lean (185+),No,638000.0,,Long Ball Pass,33.0,52.0,64.0,61.0,71.0,73.0,50,39,73,71,47,58,53,50,69,68,34,32,54,68,51,70,69,77,74,63,66,71,53,69,58,61.0,66,74,70,6,13,15,13,14,,58+2,58+2,58+2,56,58,58,58,56,61+2,61+2,61+2,58+2,67+2,67+2,67+2,58+2,64+2,70,70,70,64+2,64+2,70,70,70,64+2,18+2
260521,/player/260521/jordan-bos/240002,24.0,2.0,2023-09-22,J. Bos,Jordan Bos,"LB, LM",69,83,3200000.0,4000.0,20,2002-10-29,180,70,681.0,Westerlo,4.0,Jupiler Pro League,1.0,LB,5.0,,2023-07-01,2027.0,195,Australia,,,,Left,3,3,1,High/Medium,Normal (170-185),No,6800000.0,,Rapid,86.0,58.0,61.0,70.0,62.0,77.0,58,55,60,64,48,71,65,50,57,65,83,89,78,66,83,66,83,83,77,62,68,63,59,63,48,64.0,60,65,63,5,5,6,5,8,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,67+2,64+2,64+2,64+2,67+2,68+2,65+2,65+2,65+2,68+2,67+2,66+2,66+2,66+2,67+2,12+2
243223,/player/243223/nicolas-madsen/240002,24.0,2.0,2023-09-22,N. Madsen,Nicolas Martin Hautorp Madsen,"CDM, CM",69,75,2000000.0,5000.0,23,2000-03-17,192,76,681.0,Westerlo,4.0,Jupiler Pro League,1.0,RDM,8.0,,2022-07-20,2026.0,13,Denmark,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,3400000.0,,,58.0,57.0,71.0,67.0,65.0,69.0,67,48,63,72,46,66,67,70,72,70,61,56,61,66,66,71,71,69,71,62,62,69,58,72,73,62.0,66,63,61,10,10,9,9,8,,62+2,62+2,62+2,64,64,64,64,64,66+2,66+2,66+2,65+2,68+2,68+2,68+2,65+2,66+2,68+2,68+2,68+2,66+2,65+2,66+2,66+2,66+2,65+2,15+2
235661,/player/235661/dogucan-haspolat/240002,24.0,2.0,2023-09-22,D. Haspolat,Doğucan Haspolat,"CDM, CM",69,73,1800000.0,5000.0,23,2000-02-11,177,75,681.0,Westerlo,4.0,Jupiler Pro League,1.0,SUB,23.0,,2023-09-06,2027.0,48,Turkey,,,,Right,3,3,1,Medium/High,Normal (170-185),No,2800000.0,,Long Ball Pass,65.0,55.0,66.0,68.0,65.0,69.0,61,46,44,68,50,67,71,69,67,67,68,63,75,65,80,71,58,76,66,61,71,70,56,64,47,68.0,65,68,66,13,10,5,13,12,,59+2,59+2,59+2,63,62,62,62,63,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,67+2,68+2,68+2,68+2,67+2,66+2,65+2,65+2,65+2,66+2,17+2
259087,/player/259087/ravil-tagir/240002,24.0,2.0,2023-09-22,R. Tagir,Ravil Tagir,CB,68,81,2700000.0,7000.0,20,2003-05-06,182,72,681.0,Westerlo,4.0,Jupiler Pro League,1.0,SUB,24.0,İstanbul Başakşehir,,2024.0,48,Turkey,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,,,,64.0,33.0,53.0,62.0,69.0,62.0,41,28,70,66,35,59,46,30,64,65,67,62,68,65,62,47,72,56,65,28,61,66,30,43,41,61.0,70,72,66,7,11,5,7,8,,50+2,50+2,50+2,52,52,52,52,52,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,62+2,65+2,65+2,65+2,62+2,64+2,68+2,68+2,68+2,64+2,14+2
