team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
229,/team/229/anderlecht/240002,24,2,2023-09-22,Anderlecht,4,Jupiler Pro League,1.0,7,Belgium,74,72,75,71,37637489.0,Stade Municipal,232,5,9.0,,120000000.0,25.91,24.75,172871.0,236918.0,172871.0,236918.0,236918.0,228687.0,236918.0,236918.0,Pressure on heavy touch,61.0,71.0,,,,,,Balanced,Balanced,61.0,6.0,3.0,3.0,,,,,,,,
231,/team/231/club-brugge/240002,24,2,2023-09-22,Club Brugge,4,Jupiler Pro League,1.0,7,Belgium,74,72,74,72,37337215.0,Waldstadion (Fussballstadion),229,5,10.0,,184000000.0,24.27,23.93,200155.0,200155.0,251479.0,200155.0,240017.0,200155.0,240017.0,240017.0,Pressure on heavy touch,41.0,61.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
230,/team/230/antwerp/240002,24,2,2023-09-22,Antwerp,4,Jupiler Pro League,1.0,7,Belgium,73,76,72,73,24381.0,Forest Park Stadium (Square Ground),231,5,9.0,,120000000.0,25.45,23.69,184087.0,226537.0,243249.0,226537.0,243249.0,226537.0,225653.0,243249.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
673,/team/673/genk/240002,24,2,2023-09-22,Genk,4,Jupiler Pro League,1.0,7,Belgium,73,71,72,73,3533861.0,Waldstadion (Fussballstadion),680,5,8.0,,128000000.0,24.0,23.04,229659.0,244791.0,229659.0,244791.0,244791.0,229659.0,229659.0,229659.0,Pressure on heavy touch,61.0,61.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
674,/team/674/gent/240002,24,2,2023-09-22,Gent,4,Jupiler Pro League,1.0,7,Belgium,72,73,72,70,896519.0,Stadion Neder,231,5,9.0,,147000000.0,25.73,24.48,176009.0,176009.0,176009.0,176009.0,176009.0,236947.0,176009.0,176009.0,Pressure on heavy touch,51.0,61.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
232,/team/232/standard-liege/240002,24,2,2023-09-22,Standard Liège,4,Jupiler Pro League,1.0,7,Belgium,70,69,68,68,121.0,Waldstadion (Fussballstadion),229,5,8.0,,82000000.0,22.91,23.64,241103.0,268630.0,239589.0,268630.0,268630.0,241103.0,268630.0,268630.0,Pressure on heavy touch,51.0,51.0,,,,,,Balanced,Balanced,51.0,4.0,3.0,3.0,,,,,,,,
670,/team/670/sporting-charleroi/240002,24,2,2023-09-22,Sporting Charleroi,4,Jupiler Pro League,1.0,7,Belgium,70,69,71,67,1030184.0,Ivy Lane,232,4,5.0,,37000000.0,23.64,24.21,220782.0,220782.0,220782.0,220782.0,220782.0,262925.0,220782.0,220782.0,Balanced,41.0,37.0,,,,,,Fast build up,Forward runs,51.0,4.0,3.0,3.0,,,,,,,,
2014,/team/2014/union-saint-gilloise/240002,24,2,2023-09-22,Union Saint-Gilloise,4,Jupiler Pro League,1.0,7,Belgium,70,68,70,71,35571.0,Town Park,229,2,8.0,,55000000.0,25.91,24.36,184167.0,256688.0,210044.0,256688.0,256688.0,239323.0,244318.0,244318.0,Press after possession loss,51.0,51.0,,,,,,Long ball,Direct passing,61.0,4.0,3.0,3.0,,,,,,,,
681,/team/681/westerlo/240002,24,2,2023-09-22,Westerlo,4,Jupiler Pro League,1.0,7,Belgium,69,68,69,68,31205.0,Molton Road (Sheldon Stadium),110724,1,3.0,,15000000.0,26.27,24.54,162220.0,200529.0,243223.0,200529.0,200529.0,255586.0,261661.0,243223.0,Balanced,41.0,41.0,,,,,,Slow build up,Possession,51.0,3.0,3.0,3.0,,,,,,,,
100087,/team/100087/oh-leuven/240002,24,2,2023-09-22,OH Leuven,4,Jupiler Pro League,1.0,7,Belgium,69,65,69,67,1533127.0,Court Lane,110724,1,4.0,,23000000.0,23.82,24.26,220847.0,241474.0,241474.0,241474.0,241474.0,274359.0,241474.0,241474.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,41.0,3.0,3.0,3.0,,,,,,,,
8001,/team/8001/rwdm/240002,24,2,2023-09-22,RWDM,4,Jupiler Pro League,1.0,7,Belgium,68,69,66,67,60374.0,Crown Lane,229,1,4.0,,11000000.0,27.45,24.71,208214.0,204320.0,204320.0,204320.0,204320.0,245652.0,204320.0,204320.0,Balanced,51.0,61.0,,,,,,Fast build up,Forward runs,41.0,4.0,3.0,3.0,,,,,,,,
100081,/team/100081/kortrijk/240002,24,2,2023-09-22,Kortrijk,4,Jupiler Pro League,1.0,7,Belgium,68,70,67,66,37575018.0,Court Lane,674,2,4.0,,27000000.0,24.73,24.54,264201.0,203633.0,262024.0,203633.0,264201.0,219988.0,264201.0,264201.0,Balanced,51.0,41.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
110724,/team/110724/mechelen/240002,24,2,2023-09-22,Mechelen,4,Jupiler Pro League,1.0,7,Belgium,68,67,69,68,4665.0,Stadion Europa (Generic Europe 2),100087,4,5.0,,33000000.0,26.27,23.81,205369.0,205369.0,205369.0,205369.0,205369.0,205369.0,205369.0,205369.0,Balanced,61.0,41.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
1750,/team/1750/cercle-brugge/240002,24,2,2023-09-22,Cercle Brugge,4,Jupiler Pro League,1.0,7,Belgium,67,68,65,66,26328630.0,Waldstadion (Fussballstadion),231,2,4.0,,35000000.0,23.09,22.6,201438.0,259586.0,259586.0,259586.0,259586.0,237254.0,259586.0,259586.0,Press after possession loss,31.0,51.0,,,,,,Fast build up,Forward runs,61.0,6.0,3.0,3.0,,,,,,,,
2013,/team/2013/as-eupen/240002,24,2,2023-09-22,AS Eupen,4,Jupiler Pro League,1.0,7,Belgium,66,67,67,65,460266.0,Court Lane,232,1,2.0,,22000000.0,25.27,24.04,251539.0,211818.0,197831.0,211818.0,211818.0,195586.0,211818.0,211818.0,Balanced,51.0,41.0,,,,,,Balanced,Balanced,71.0,3.0,3.0,3.0,,,,,,,,
680,/team/680/sint-truiden/240002,24,2,2023-09-22,Sint-Truiden,4,Jupiler Pro League,1.0,7,Belgium,65,64,65,66,460467.0,Forest Park Stadium (Square Ground),673,3,5.0,,40000000.0,23.55,23.87,210361.0,239028.0,266681.0,239028.0,239028.0,243445.0,255446.0,255446.0,Balanced,41.0,41.0,,,,,,Fast build up,Forward runs,51.0,4.0,3.0,3.0,,,,,,,,
