player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
230208,/player/230208/lucio-anselmo-corteijo-salazar/240002,24.0,2.0,2023-09-22,Lúcio Corteijo,Lúcio Anselmo Corteijo Salazar,RB,76,76,2300000.0,12000.0,35,1988-02-29,175,71,112001.0,América Mineiro,7.0,Serie A,1.0,RB,14.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,4400000.0,,,77.0,45.0,66.0,64.0,74.0,73.0,78,37,71,68,39,62,58,37,64,65,74,79,71,69,67,56,81,78,71,51,72,68,66,61,38,59.0,76,77,76,16,8,11,10,9,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,67+2,65+2,65+2,65+2,67+2,73+2,70+2,70+2,70+2,73+2,74+2,73+2,73+2,73+2,74+2,17+2
230422,/player/230422/murilo-kaique-sanches-cardoso/240002,24.0,2.0,2023-09-22,Murilo Sancha,Murilo Kaíque Sanches Cardoso,"RM, CM",74,74,1700000.0,12000.0,35,1988-02-29,176,76,112001.0,América Mineiro,7.0,Serie A,1.0,RM,18.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,3200000.0,,,78.0,67.0,69.0,73.0,66.0,71.0,73,70,60,72,49,75,70,40,65,73,79,77,76,67,71,72,78,83,73,58,50,55,74,70,65,66.0,70,69,69,9,7,8,12,11,,70+2,70+2,70+2,73,72,72,72,73,72+2,72+2,72+2,73+1,70+2,70+2,70+2,73+1,71+2,68+2,68+2,68+2,71+2,70+2,66+2,66+2,66+2,70+2,16+2
230301,/player/230301/emanuel-breno-teixeira-rocha/240002,24.0,2.0,2023-09-22,Emu Teixeira,Emanuel Breno Teixeira Rocha,CB,73,73,550000.0,9000.0,39,1984-02-29,180,81,112001.0,América Mineiro,7.0,Serie A,1.0,RCB,21.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,2,1,Low/Low,Lean (170-185),No,1000000.0,,Rapid,66.0,36.0,55.0,54.0,72.0,78.0,61,32,83,66,39,47,28,31,52,62,58,72,49,68,54,44,85,81,78,30,70,75,51,47,48,65.0,63,75,75,7,15,8,15,14,,55+2,55+2,55+2,54,53,53,53,54,54+2,54+2,54+2,58+2,59+2,59+2,59+2,58+2,69+2,68+2,68+2,68+2,69+2,70+2,73,73,73,70+2,19+2
230393,/player/230393/pavel-de-jesus-serra-fonseca/240002,24.0,2.0,2023-09-22,Pavelinho Serra,Pavel de Jesus Serra Fonseca,CB,73,73,2100000.0,13000.0,31,1992-02-29,191,88,112001.0,América Mineiro,7.0,Serie A,1.0,LCB,32.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Stocky (185+),No,4000000.0,#Strength,Power Header,35.0,47.0,49.0,51.0,74.0,70.0,39,36,74,66,44,37,39,31,65,72,36,34,36,64,34,77,76,34,89,44,67,74,32,24,48,82.0,75,77,65,7,13,9,8,8,,54+2,54+2,54+2,45,48,48,48,45,48+2,48+2,48+2,46+2,55+2,55+2,55+2,46+2,58+2,67+2,67+2,67+2,58+2,61+2,73,73,73,61+2,15+2
230525,/player/230525/joao-fabricio-bruinheira-salvador/240002,24.0,2.0,2023-09-22,João Bruinheira,João Fabrício Bruinheira Salvador,GK,72,72,250000.0,6000.0,35,1988-02-29,188,83,112001.0,América Mineiro,7.0,Serie A,1.0,GK,23.0,,2023-06-26,2026.0,54,Brazil,,,,Right,1,1,1,Medium/Medium,Normal (185+),No,475000.0,,,,,,,,,9,9,9,19,8,8,9,12,14,20,35,31,33,67,41,58,66,34,79,12,41,20,20,45,17,62.0,24,8,7,71,63,77,74,75,33.0,27+2,27+2,27+2,22,26,26,26,22,25+2,25+2,25+2,23+2,25+2,25+2,25+2,23+2,22+2,26+2,26+2,26+2,22+2,22+2,27+2,27+2,27+2,22+2,71+1
236071,/player/236071/joao-rodolfo-bardinho-barros/240002,24.0,2.0,2023-09-22,João Bardinho,João Rodolfo Bardinho Barros,"LB, RB",72,72,2300000.0,12000.0,27,1996-02-29,177,71,112001.0,América Mineiro,7.0,Serie A,1.0,LB,16.0,,2023-06-26,2026.0,54,Brazil,,,,Left,4,3,1,Medium/Medium,Lean (170-185),No,4400000.0,,,71.0,58.0,71.0,73.0,68.0,62.0,74,55,54,72,65,73,75,75,68,73,74,69,75,76,74,63,66,68,60,59,58,65,56,64,63,68.0,79,64,67,10,14,13,15,18,,63+2,63+2,63+2,69,67,67,67,69,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,71+1,69+2,69+2,69+2,71+1,70+2,66+2,66+2,66+2,70+2,21+2
230231,/player/230231/jorge-pietro-carvalho-porfirio/240002,24.0,2.0,2023-09-22,Jorge Carvallinho,Jorge Pietro Carvalho Porfírio,"CB, LB",71,71,1700000.0,10000.0,27,1996-02-29,189,80,112001.0,América Mineiro,7.0,Serie A,1.0,SUB,6.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,3200000.0,,,59.0,54.0,58.0,55.0,71.0,75.0,54,53,68,67,45,47,47,54,60,65,61,58,46,70,44,64,76,71,77,48,73,69,44,48,61,72.0,73,73,68,9,10,9,15,15,,59+2,59+2,59+2,56,56,56,56,56,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2,66+2,68+2,68+2,68+2,66+2,67+2,71,71,71,67+2,18+2
230235,/player/230235/alex-alessandro-freitas-conceicao/240002,24.0,2.0,2023-09-22,Alex das Freitas,Alex Alessandro Freitas Conceição,"CDM, CM",71,71,1900000.0,9000.0,23,2000-02-29,172,76,112001.0,América Mineiro,7.0,Serie A,1.0,CDM,3.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/High,Stocky (170-185),No,3600000.0,,,66.0,55.0,59.0,66.0,72.0,70.0,53,49,53,67,50,63,45,48,75,68,68,64,67,68,65,60,65,74,68,68,69,76,40,43,60,70.0,74,72,75,14,16,9,8,7,,58+2,58+2,58+2,60,59,59,59,60,60+2,60+2,60+2,61+2,64+2,64+2,64+2,61+2,69+2,70+1,70+1,70+1,69+2,69+2,70+1,70+1,70+1,69+2,17+2
230484,/player/230484/adrian-guto-negrao-bastos/240002,24.0,2.0,2023-09-22,Adrián Burnabão,Adrián Guto Negrão Bastos,"CAM, CF",71,71,2000000.0,11000.0,27,1996-02-29,176,73,112001.0,América Mineiro,7.0,Serie A,1.0,SUB,22.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,4,1,High/Medium,Normal (170-185),No,3800000.0,,"Long Ball Pass, Flair",62.0,65.0,74.0,75.0,24.0,60.0,73,58,42,76,70,75,68,74,71,75,53,69,74,71,73,72,52,65,64,72,48,30,60,76,75,73.0,15,23,21,11,13,7,7,15,,64+2,64+2,64+2,70,69,69,69,70,71,71,71,70+1,68+2,68+2,68+2,70+1,53+2,51+2,51+2,51+2,53+2,47+2,39+2,39+2,39+2,47+2,18+2
236111,/player/236111/vinicius-lucio-trieiro-lobato/240002,24.0,2.0,2023-09-22,Vinicius Trieiro,Vinicius Lúcio Trieiro Lobato,RB,70,70,1200000.0,9000.0,31,1992-02-29,177,73,112001.0,América Mineiro,7.0,Serie A,1.0,SUB,8.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2300000.0,,,71.0,44.0,63.0,68.0,66.0,68.0,66,36,57,67,35,66,57,49,63,68,70,71,68,72,72,56,67,75,64,48,71,68,59,60,46,73.0,66,66,69,12,12,15,13,14,,58+2,58+2,58+2,63,61,61,61,63,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,69+1,67+2,67+2,67+2,69+1,68+2,66+2,66+2,66+2,68+2,19+2
