player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
230347,/player/230347/welington-kaue-dano-nascimento/240002,24.0,2.0,2023-09-22,Welington Dano,Welington Kauê Dano Nascimento,"LB, LM, LW",81,81,27000000.0,37000.0,23,2000-02-29,178,69,1035.0,Atlético Mineiro,7.0,Serie A,1.0,LW,21.0,,2023-06-26,2026.0,54,Brazil,,,,Left,4,4,1,Medium/Medium,Lean (170-185),No,48600000.0,,,79.0,54.0,76.0,79.0,75.0,74.0,82,51,69,78,47,77,83,52,71,78,78,80,83,80,81,55,77,89,68,53,69,77,72,75,61,82.0,70,77,81,16,15,15,7,7,,67+2,67+2,67+2,74,72,72,72,74,74+2,74+2,74+2,76+2,75+2,75+2,75+2,76+2,79+2,76+2,76+2,76+2,79+2,79+2,74+2,74+2,74+2,79+2,19+2
230384,/player/230384/nailton-suzuki-ito/240002,24.0,2.0,2023-09-22,Nailton Suzuki,Nailton Suzuki Ito,"CAM, CF, ST",81,81,27500000.0,47000.0,27,1996-02-29,180,75,1035.0,Atlético Mineiro,7.0,Serie A,1.0,ST,11.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,49500000.0,,Slide Tackle,82.0,73.0,77.0,82.0,52.0,71.0,67,72,64,85,63,84,70,67,83,85,85,79,75,80,67,75,81,75,74,79,54,53,82,75,55,78.0,50,52,42,8,9,12,8,8,,77+2,77+2,77+2,80,80,80,80,80,81,81,81,80+1,78+2,78+2,78+2,80+1,67+2,68+2,68+2,68+2,67+2,65+2,60+2,60+2,60+2,65+2,16+2
230225,/player/230225/juan-heberto-mestres-de-mesquita/240002,24.0,2.0,2023-09-22,Heberto Gaúcho,Juan Heberto Mestres de Mesquita,"CB, CDM",80,80,19500000.0,40000.0,27,1996-02-29,181,82,1035.0,Atlético Mineiro,7.0,Serie A,1.0,RCB,19.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,High/Medium,Normal (170-185),No,35100000.0,,Power Header,71.0,61.0,57.0,63.0,82.0,80.0,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,86,76,79,61,86,82,58,50,62,70.0,77,85,84,18,12,14,11,18,,67+2,67+2,67+2,61,64,64,64,61,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,71+2,74+2,74+2,74+2,71+2,74+2,80,80,80,74+2,22+2
230184,/player/230184/ronaldo-diego-essler-domingues/240002,24.0,2.0,2023-09-22,Diego Essler,Ronaldo Diego Essler Domingues,"LB, LM",79,79,18500000.0,32000.0,23,2000-02-29,168,65,1035.0,Atlético Mineiro,7.0,Serie A,1.0,LB,7.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,4,1,High/Medium,Lean (170-),No,33300000.0,#Acrobat,Long Throw,89.0,58.0,70.0,77.0,74.0,59.0,78,45,60,76,55,76,54,49,59,74,90,89,87,80,90,78,67,76,44,68,73,75,69,68,49,76.0,75,77,76,13,13,16,8,9,,67+2,67+2,67+2,74,72,72,72,74,72+2,72+2,72+2,74+2,71+2,71+2,71+2,74+2,78+1,73+2,73+2,73+2,78+1,77+2,71+2,71+2,71+2,77+2,19+2
230197,/player/230197/alessandro-l-baia-marques/240002,24.0,2.0,2023-09-22,Leander Baia,Alessandro L. Baia Marques,"RB, RM",77,77,3200000.0,23000.0,35,1988-02-29,175,71,1035.0,Atlético Mineiro,7.0,Serie A,1.0,RB,20.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,3,1,High/Medium,Normal (170-185),No,5800000.0,,Long Throw,76.0,48.0,69.0,75.0,74.0,70.0,72,51,66,77,39,77,51,52,74,71,74,77,81,75,72,34,72,80,61,51,81,71,55,56,66,73.0,77,76,77,15,8,15,10,13,,61+2,61+2,61+2,69,65,65,65,69,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,75+2,74+2,74+2,74+2,75+2,75+2,73+2,73+2,73+2,75+2,19+2
230349,/player/230349/rodrigo-eder-vuarte-ruiz/240002,24.0,2.0,2023-09-22,Rodrigo Vuarte,Rodrigo Éder Vuarte Ruiz,"CDM, CM",77,77,7500000.0,32000.0,31,1992-02-29,179,77,1035.0,Atlético Mineiro,7.0,Serie A,1.0,RCM,6.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,13500000.0,,,65.0,65.0,70.0,63.0,76.0,77.0,67,65,53,78,53,56,60,60,76,73,63,66,62,69,65,71,68,82,75,68,80,76,57,60,47,52.0,83,76,75,13,9,7,9,12,,65+2,65+2,65+2,65,65,65,65,65,66+2,66+2,66+2,67+2,71+2,71+2,71+2,67+2,73+2,76+1,76+1,76+1,73+2,73+2,74+2,74+2,74+2,73+2,17+2
230280,/player/230280/antonaldo-david-machado-chagas/240002,24.0,2.0,2023-09-22,Antonaldinho,Antonaldo David Machado Chagas,CB,76,76,2000000.0,22000.0,35,1988-02-29,188,82,1035.0,Atlético Mineiro,7.0,Serie A,1.0,LCB,4.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,3600000.0,,,68.0,36.0,56.0,60.0,79.0,80.0,46,38,70,68,21,55,44,30,62,62,74,63,70,63,64,37,81,83,79,34,80,76,36,49,39,60.0,82,81,76,15,13,14,9,7,,52+2,52+2,52+2,55,53,53,53,55,56+2,56+2,56+2,58+2,61+2,61+2,61+2,58+2,69+2,72+2,72+2,72+2,69+2,71+2,76,76,76,71+2,17+2
230453,/player/230453/david-jefferson-seijalbo-vaz/240002,24.0,2.0,2023-09-22,David Seijalbo,David Jefferson Seijalbo Vaz,CDM,76,76,7000000.0,30000.0,27,1996-02-29,176,76,1035.0,Atlético Mineiro,7.0,Serie A,1.0,CDM,10.0,,2023-06-26,2026.0,54,Brazil,,,,Left,2,2,1,Medium/High,Stocky (170-185),No,12600000.0,,,65.0,53.0,63.0,63.0,74.0,82.0,48,45,60,77,53,50,47,44,76,70,58,70,77,79,76,65,73,88,80,62,83,70,36,52,62,80.0,81,77,68,7,12,10,16,9,,59+2,59+2,59+2,58,59,59,59,58,61+2,61+2,61+2,61+2,68+2,68+2,68+2,61+2,70+2,75+1,75+1,75+1,70+2,71+2,74+2,74+2,74+2,71+2,18+2
230463,/player/230463/simao-alvin-acunha-bardini/240002,24.0,2.0,2023-09-22,Simão Acunha,Simão Alvin Acunha Bardini,"CAM, CF, RW",76,76,3100000.0,24000.0,35,1988-02-29,178,71,1035.0,Atlético Mineiro,7.0,Serie A,1.0,RW,18.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,4,1,High/Low,Lean (170-185),No,5600000.0,,Trivela,77.0,68.0,77.0,77.0,36.0,62.0,74,66,60,79,67,76,87,61,73,78,80,74,79,78,72,71,73,72,61,72,48,45,67,80,67,71.0,30,32,22,7,12,11,12,12,,70+2,70+2,70+2,75,74,74,74,75,76,76,76,75+1,72+2,72+2,72+2,75+1,60+2,58+2,58+2,58+2,60+2,56+2,48+2,48+2,48+2,56+2,18+2
230524,/player/230524/estevao-daniel-formoso-serpa/240002,24.0,2.0,2023-09-22,Formosandrinho,Estevão Daniel Formoso Serpa,"ST, CF",75,75,4800000.0,34000.0,31,1992-02-29,178,72,1035.0,Atlético Mineiro,7.0,Serie A,1.0,SUB,22.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,8600000.0,,,77.0,77.0,60.0,73.0,24.0,61.0,57,76,77,65,72,72,61,55,58,73,76,78,77,73,71,85,82,61,63,77,52,23,75,56,56,78.0,20,14,15,8,9,8,8,11,,75,75,75,71,73,73,73,71,70+2,70+2,70+2,69+2,62+2,62+2,62+2,69+2,49+2,46+2,46+2,46+2,49+2,46+2,41+2,41+2,41+2,46+2,16+2
230230,/player/230230/eltildo-lucas-correia-pitta/240002,24.0,2.0,2023-09-22,Eltildo Correia,Eltildo Lucas Correia Pitta,"CB, RB, LB",74,74,2900000.0,26000.0,31,1992-02-29,188,78,1035.0,Atlético Mineiro,7.0,Serie A,1.0,SUB,14.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,5200000.0,,,56.0,50.0,61.0,51.0,76.0,74.0,61,41,73,67,52,45,54,48,75,55,50,61,38,77,51,71,74,69,75,45,80,72,42,44,77,75.0,79,75,77,7,15,13,7,11,,57+2,57+2,57+2,52,53,53,53,52,53+2,53+2,53+2,56+2,61+2,61+2,61+2,56+2,68+2,71+2,71+2,71+2,68+2,69+2,74,74,74,69+2,18+2
230175,/player/230175/frederico-peter-cabral-bardini/240002,24.0,2.0,2023-09-22,Freder Cabral,Frederico Peter Cabral Bardini,GK,73,73,1600000.0,20000.0,31,1992-02-29,188,83,1035.0,Atlético Mineiro,7.0,Serie A,1.0,GK,1.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2900000.0,,,,,,,,,19,11,17,14,15,21,20,12,16,21,42,53,40,70,39,52,60,31,56,14,22,15,12,67,13,62.0,17,14,10,73,77,69,76,66,46.0,28+2,28+2,28+2,28,30,30,30,28,30+2,30+2,30+2,29+2,28+2,28+2,28+2,29+2,25+2,24+2,24+2,24+2,25+2,25+2,24+2,24+2,24+2,25+2,72+1
236142,/player/236142/nildo-enaldo-reisao-dinis/240002,24.0,2.0,2023-09-22,Nildo Reisão,Nildo Enaldo Reisão Dinis,"CDM, CM",73,73,2900000.0,24000.0,27,1996-02-29,191,90,1035.0,Atlético Mineiro,7.0,Serie A,1.0,LCM,16.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Stocky (185+),No,5200000.0,#Strength,"Long Ball Pass, Slide Tackle",52.0,41.0,61.0,47.0,73.0,85.0,57,32,51,71,22,42,23,50,70,53,48,56,44,70,36,55,67,87,86,45,83,74,46,52,55,57.0,78,74,76,16,9,8,9,7,,51+2,51+2,51+2,51,51,51,51,51,53+2,53+2,53+2,55+2,62+2,62+2,62+2,55+2,68+2,72+1,72+1,72+1,68+2,69+2,73,73,73,69+2,17+2
230176,/player/230176/luiz-santiago-sacramento-cruz/240002,24.0,2.0,2023-09-22,Sacramentinho,Luiz Santiago Sacramento Cruz,GK,72,72,250000.0,10000.0,39,1984-02-29,188,77,1035.0,Atlético Mineiro,7.0,Serie A,1.0,SUB,13.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,450000.0,,,,,,,,,18,14,17,16,13,13,17,14,15,32,45,46,43,61,55,54,61,41,56,15,23,12,16,69,22,42.0,12,19,15,74,68,72,74,71,45.0,29+2,29+2,29+2,29,31,31,31,29,31+2,31+2,31+2,30+2,30+2,30+2,30+2,30+2,26+2,26+2,26+2,26+2,26+2,26+2,25+2,25+2,25+2,26+2,71+1
230181,/player/230181/heitor-edvaldo-barreto-gesser/240002,24.0,2.0,2023-09-22,Heitor Gesse,Heitor Edvaldo Barreto Gesser,LB,72,72,2300000.0,22000.0,27,1996-02-29,178,69,1035.0,Atlético Mineiro,7.0,Serie A,1.0,SUB,15.0,,2023-06-26,2026.0,54,Brazil,,,,Left,2,2,1,High/Medium,Lean (170-185),No,4100000.0,,,78.0,55.0,66.0,64.0,69.0,61.0,72,48,58,71,55,61,67,61,58,64,74,81,62,72,74,67,64,73,51,55,72,71,61,58,56,74.0,78,62,69,13,10,16,9,13,,61+2,61+2,61+2,65,63,63,63,65,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,71+1,67+2,67+2,67+2,71+1,70+2,67+2,67+2,67+2,70+2,18+2
230283,/player/230283/evandro-sergio-rochedo-paulino/240002,24.0,2.0,2023-09-22,Evandro Rochedo,Evandro Sérgio Rochedo Paulino,ST,72,72,2500000.0,26000.0,27,1996-02-29,187,82,1035.0,Atlético Mineiro,7.0,Serie A,1.0,SUB,9.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,4500000.0,,,55.0,75.0,60.0,70.0,36.0,65.0,57,75,64,64,73,70,63,72,55,74,59,52,63,77,54,79,74,39,80,74,58,37,75,54,72,73.0,15,44,45,9,15,9,12,11,,72,72,72,67,70,70,70,67,67+2,67+2,67+2,64+2,62+2,62+2,62+2,64+2,51+2,52+2,52+2,52+2,51+2,50+2,51+2,51+2,51+2,50+2,19+2
