player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
230258,/player/230258/rosival-jailson-dourado-santos/240002,24.0,2.0,2023-09-22,Rosival Dourado,Rosival Jailson Dourado Santos,"CDM, CM, CAM",81,81,26500000.0,31000.0,23,2000-02-29,175,70,1041.0,Corinthians,7.0,Serie A,1.0,CDM,5.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,2,1,High/Medium,Lean (170-185),No,50400000.0,,"Finesse Shot, Long Ball Pass, Technical",77.0,57.0,74.0,77.0,82.0,69.0,61,53,70,82,57,77,54,57,78,76,75,78,72,80,77,60,72,91,56,59,75,82,58,77,77,81.0,83,86,80,15,14,14,10,9,,66+2,66+2,66+2,71,71,71,71,71,73+2,73+2,73+2,74+2,77+2,77+2,77+2,74+2,79+2,80+1,80+1,80+1,79+2,79+2,78+2,78+2,78+2,79+2,20+2
230201,/player/230201/maikel-renan-catarino-fagundes/240002,24.0,2.0,2023-09-22,Maikel Catarino,Maikel Renan Catarino Fagundes,"RB, RM",80,80,20500000.0,34000.0,27,1996-02-29,177,75,1041.0,Corinthians,7.0,Serie A,1.0,RB,4.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,3,1,High/Medium,Normal (170-185),No,39000000.0,,,76.0,51.0,70.0,77.0,77.0,72.0,81,48,69,73,49,78,55,49,75,77,81,72,83,81,71,52,79,85,68,56,62,77,57,61,41,54.0,79,78,76,15,13,12,10,15,,64+2,64+2,64+2,71,68,68,68,71,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,78+2,76+2,76+2,76+2,78+2,78+2,75+2,75+2,75+2,78+2,21+2
230442,/player/230442/jason-bardeira-cunha/240002,24.0,2.0,2023-09-22,Jason Bardeira,Jason Bardeira Cunha,ST,78,78,16500000.0,31000.0,23,2000-02-29,187,85,1041.0,Corinthians,7.0,Serie A,1.0,ST,9.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,High/High,Stocky (185+),No,31400000.0,"#Aerial threat, #Clinical finisher, #Complete forward",,73.0,82.0,62.0,70.0,31.0,75.0,59,86,91,66,70,69,59,33,64,70,77,70,70,68,67,87,94,74,79,80,62,16,74,65,56,80.0,38,19,17,13,9,6,12,16,,78,78,78,71,73,73,73,71,70+2,70+2,70+2,69+2,64+2,64+2,64+2,69+2,50+2,49+2,49+2,49+2,50+2,48+2,47+2,47+2,47+2,48+2,18+2
230165,/player/230165/simao-alvin-donatinho-garcia/240002,24.0,2.0,2023-09-22,Simão Donatinho,Simão Alvin Donatinho Garcia,GK,75,75,4300000.0,20000.0,27,1996-02-29,188,82,1041.0,Corinthians,7.0,Serie A,1.0,GK,22.0,,2023-06-26,2026.0,54,Brazil,,,,Left,2,1,1,Medium/Medium,Normal (185+),No,8200000.0,,,,,,,,,12,10,12,20,11,12,20,10,20,25,41,46,58,75,48,58,61,32,60,14,42,15,8,58,29,59.0,23,10,13,76,70,77,75,75,43.0,28+2,28+2,28+2,27,29,29,29,27,30+2,30+2,30+2,27+2,28+2,28+2,28+2,27+2,25+2,27+2,27+2,27+2,25+2,25+2,27+2,27+2,27+2,25+2,74+1
230186,/player/230186/enaldo-diogo-barbosa-prazeres/240002,24.0,2.0,2023-09-22,Enaldo Praz,Enaldo Diogo Barbosa Prazeres,"LB, LWB",75,75,1200000.0,16000.0,39,1984-02-29,177,73,1041.0,Corinthians,7.0,Serie A,1.0,LB,3.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,2300000.0,,Long Ball Pass,70.0,49.0,68.0,65.0,74.0,71.0,73,45,68,70,41,61,45,46,69,69,69,70,67,72,72,55,71,79,64,52,79,70,51,70,51,68.0,78,77,71,13,9,5,13,7,,59+2,59+2,59+2,64,62,62,62,64,64+2,64+2,64+2,66+2,68+2,68+2,68+2,66+2,72+2,72+2,72+2,72+2,72+2,73+2,72+2,72+2,72+2,73+2,17+2
230293,/player/230293/fernando-elton-meireles-petri/240002,24.0,2.0,2023-09-22,Meirelinson,Fernando Elton Meireles Petri,CB,74,74,2900000.0,23000.0,31,1992-02-29,182,79,1041.0,Corinthians,7.0,Serie A,1.0,RCB,2.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,5500000.0,,Chip Shot,71.0,45.0,66.0,72.0,75.0,71.0,65,43,74,74,43,71,61,47,66,75,70,71,72,74,69,56,80,69,72,39,67,74,50,59,47,57.0,73,77,73,8,15,7,14,9,,61+2,61+2,61+2,65,63,63,63,65,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,72+2,72+2,72+2,72+2,72+2,73+1,74,74,74,73+1,18+2
230254,/player/230254/paulson-otavio-junqueira-goncalves/240002,24.0,2.0,2023-09-22,Paulson Junqueira,Paulson Otávio Junqueira Gonçalves,LB,73,73,2900000.0,21000.0,27,1996-02-29,177,76,1041.0,Corinthians,7.0,Serie A,1.0,SUB,19.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,5500000.0,,,77.0,48.0,61.0,69.0,69.0,70.0,68,40,58,65,40,66,65,45,66,69,84,72,79,77,75,64,75,75,64,51,77,71,48,46,55,69.0,68,73,71,11,14,11,14,15,,59+2,59+2,59+2,63,61,61,61,63,61+2,61+2,61+2,65+2,63+2,63+2,63+2,65+2,71+2,69+2,69+2,69+2,71+2,71+2,69+2,69+2,69+2,71+2,20+2
230364,/player/230364/nathan-walter-neves-bessa/240002,24.0,2.0,2023-09-22,Neviano Neves,Nathan Walter Neves Bessa,"CM, RM",73,73,3500000.0,20000.0,23,2000-02-29,170,70,1041.0,Corinthians,7.0,Serie A,1.0,RM,7.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,6700000.0,,,63.0,71.0,73.0,72.0,61.0,67.0,63,69,58,80,55,71,77,68,78,78,69,58,68,71,74,81,69,69,68,72,63,69,68,65,66,54.0,54,64,59,15,6,9,12,10,,70+2,70+2,70+2,70,71,71,71,70,72+1,72+1,72+1,71+2,73,73,73,71+2,67+2,70+2,70+2,70+2,67+2,66+2,64+2,64+2,64+2,66+2,17+2
230436,/player/230436/nuno-caio-lisareda-abravanel/240002,24.0,2.0,2023-09-22,Nuno Lisareda,Nuno Caio Lisareda Abravanel,ST,73,73,3600000.0,22000.0,23,2000-02-29,190,88,1041.0,Corinthians,7.0,Serie A,1.0,SUB,29.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,6800000.0,,Slide Tackle,78.0,74.0,60.0,73.0,29.0,60.0,51,75,68,67,75,74,62,45,47,72,80,77,78,72,66,77,76,68,62,68,41,29,76,72,75,77.0,27,23,18,7,6,9,7,11,,73,73,73,72,73,73,73,72,71+2,71+2,71+2,70+2,63+2,63+2,63+2,70+2,51+2,48+2,48+2,48+2,51+2,48+2,43+2,43+2,43+2,48+2,15+2
230429,/player/230429/timoteo-samuel-triano-branco/240002,24.0,2.0,2023-09-22,Timo Triano,Timoteo Samuel Triano Branco,"CDM, CM",72,72,2200000.0,18000.0,27,1996-02-29,176,76,1041.0,Corinthians,7.0,Serie A,1.0,RCM,8.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,4200000.0,,,48.0,46.0,67.0,64.0,74.0,67.0,56,45,55,76,21,68,29,61,67,59,52,45,51,72,73,54,63,67,69,45,64,73,29,75,59,69.0,77,77,73,14,11,11,10,15,,53+2,53+2,53+2,57,57,57,57,57,61+2,61+2,61+2,60+2,66+2,66+2,66+2,60+2,67+2,71+1,71+1,71+1,67+2,67+2,70+2,70+2,70+2,67+2,19+2
