player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
230430,/player/230430/marvin-oswaldo-rangel-azevedo/240002,24.0,2.0,2023-09-22,Oswaldinato,Marvin Oswaldo Rangel Azevedo,ST,81,81,22000000.0,54000.0,31,1992-02-29,184,79,1043.0,Flamengo,7.0,Serie A,1.0,RS,9.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,39600000.0,#Poacher,Power Header,76.0,81.0,67.0,77.0,20.0,79.0,68,85,82,71,72,78,59,49,60,77,77,76,75,82,66,79,93,72,87,76,62,11,85,70,87,78.0,15,11,18,9,12,7,8,7,,81,81,81,77,79,79,79,77,76+2,76+2,76+2,75+2,67+2,67+2,67+2,75+2,51+2,48+2,48+2,48+2,51+2,48+2,43+2,43+2,43+2,48+2,17+2
230204,/player/230204/heniton-enaldo-pires-tramontino/240002,24.0,2.0,2023-09-22,Héniton Pires,Héniton Enaldo Pires Tramontino,GK,80,80,16000000.0,35000.0,27,1996-02-29,182,74,1043.0,Flamengo,7.0,Serie A,1.0,GK,1.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,28800000.0,,Far Throw,,,,,,,18,11,12,28,16,14,15,13,30,20,43,39,42,77,48,59,64,30,64,12,36,22,13,70,21,41.0,16,14,17,81,75,78,81,79,41.0,29+2,29+2,29+2,28,31,31,31,28,32+2,32+2,32+2,30+2,33+2,33+2,33+2,30+2,27+2,30+2,30+2,30+2,27+2,27+2,28+2,28+2,28+2,27+2,79+1
230206,/player/230206/wellingt-edson-sabrao-rolim/240002,24.0,2.0,2023-09-22,Wellington Sabrão,Wellingt. Edson Sabrão Rolim,"RB, LB",78,78,4300000.0,26000.0,35,1988-02-29,169,66,1043.0,Flamengo,7.0,Serie A,1.0,RB,4.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,High/High,Normal (170-),No,7700000.0,#Speedster,,92.0,56.0,68.0,73.0,72.0,70.0,76,50,60,73,56,75,60,50,67,71,94,90,74,77,72,64,81,78,69,60,60,73,60,60,50,71.0,72,75,72,9,8,16,7,15,,66+2,66+2,66+2,71,69,69,69,71,69+2,69+2,69+2,73+2,69+2,69+2,69+2,73+2,76+2,72+2,72+2,72+2,76+2,76+2,71+2,71+2,71+2,76+2,17+2
230285,/player/230285/pedro-tofico-dourado-hermes/240002,24.0,2.0,2023-09-22,Pedrão Tofico,Pedro Tofico Dourado Hermes,CB,78,78,13000000.0,37000.0,27,1996-02-29,190,88,1043.0,Flamengo,7.0,Serie A,1.0,RCB,18.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Low/High,Normal (185+),No,23400000.0,#Strength,Slide Tackle,58.0,29.0,63.0,58.0,77.0,85.0,65,21,78,71,26,51,27,32,72,69,54,62,51,74,51,45,85,71,93,26,80,77,37,59,34,66.0,73,81,75,8,10,8,13,10,,52+2,52+2,52+2,54,53,53,53,54,56+2,56+2,56+2,59+2,64+2,64+2,64+2,59+2,70+2,74+2,74+2,74+2,70+2,72+2,78,78,78,72+2,17+2
230406,/player/230406/g-pierre-paiva-souza/240002,24.0,2.0,2023-09-22,Guilson Paiva,G. Pierre Paiva Souza,"RM, RW",78,78,15000000.0,40000.0,27,1996-02-29,173,72,1043.0,Flamengo,7.0,Serie A,1.0,RM,21.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,27000000.0,,,83.0,69.0,75.0,78.0,42.0,69.0,75,69,34,78,61,81,67,72,72,77,90,78,73,77,77,77,69,69,72,68,63,40,73,75,44,62.0,36,49,48,7,11,10,16,7,,71+2,71+2,71+2,77,76,76,76,77,76+2,76+2,76+2,77+1,72+2,72+2,72+2,77+1,64+2,62+2,62+2,62+2,64+2,60+2,53+2,53+2,53+2,60+2,18+2
230426,/player/230426/arturo-adolfo-inalcio-dutra/240002,24.0,2.0,2023-09-22,Arturo Inálcio,Arturo Adolfo Inálcio Dutra,"CM, CAM",78,78,16000000.0,35000.0,23,2000-02-29,170,60,1043.0,Flamengo,7.0,Serie A,1.0,RCM,19.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,28800000.0,#Acrobat,Long Ball Pass,83.0,72.0,75.0,78.0,52.0,48.0,63,70,46,85,68,78,54,48,83,80,80,86,90,69,74,80,53,74,35,75,45,71,74,77,45,60.0,24,66,62,10,13,14,9,11,,71+2,71+2,71+2,77,76,76,76,77,78,78,78,77+1,78,78,78,77+1,69+2,67+2,67+2,67+2,69+2,67+2,55+2,55+2,55+2,67+2,17+2
230460,/player/230460/jonathan-prazeres-conradi/240002,24.0,2.0,2023-09-22,Jonatão Praz,Jonathan Prazeres Conradi,LW,78,78,16000000.0,38000.0,23,2000-02-29,172,70,1043.0,Flamengo,7.0,Serie A,1.0,LM,11.0,,2023-06-26,2026.0,54,Brazil,,,,Left,4,4,1,High/Low,Normal (170-185),No,28800000.0,,,78.0,69.0,77.0,79.0,45.0,54.0,82,74,49,79,65,82,69,64,75,77,81,75,79,78,78,60,61,58,49,70,58,53,77,75,46,69.0,50,38,30,14,8,6,6,9,,71+2,71+2,71+2,78,76,76,76,78,77+1,77+1,77+1,77+1,73+2,73+2,73+2,77+1,63+2,61+2,61+2,61+2,63+2,59+2,51+2,51+2,51+2,59+2,17+2
230346,/player/230346/jadson-jose-meireles-correia/240002,24.0,2.0,2023-09-22,Jadsinho Mei,Jadson José Meireles Correia,"CDM, CM",77,77,10000000.0,34000.0,27,1996-02-29,176,72,1043.0,Flamengo,7.0,Serie A,1.0,LCM,6.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,18000000.0,,,58.0,61.0,65.0,58.0,72.0,80.0,41,53,65,78,31,45,33,39,75,74,59,57,54,75,59,84,73,89,77,68,78,80,59,74,40,60.0,74,69,68,10,7,6,5,6,,64+2,64+2,64+2,60,65,65,65,60,66+2,66+2,66+2,63+2,72+2,72+2,72+2,63+2,69+2,76+1,76+1,76+1,69+2,70+2,73+2,73+2,73+2,70+2,14+2
230219,/player/230219/estevao-danilo-candeira-inacio/240002,24.0,2.0,2023-09-22,Estevão Candeira,Estevão Danilo Candeira Inácio,"RB, LB",75,75,5500000.0,30000.0,27,1996-02-29,176,73,1043.0,Flamengo,7.0,Serie A,1.0,SUB,5.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,2,1,Medium/Medium,Lean (170-185),No,9900000.0,,,77.0,59.0,70.0,69.0,70.0,68.0,76,52,62,71,50,68,64,63,69,69,76,77,71,69,73,73,71,86,59,60,69,72,65,66,55,72.0,68,72,71,14,13,12,9,10,,65+2,65+2,65+2,68,67,67,67,68,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,73+2,71+2,71+2,71+2,73+2,73+2,69+2,69+2,69+2,73+2,18+2
230336,/player/230336/daniel-clayton-fachini-lobato/240002,24.0,2.0,2023-09-22,Danisco Fachini,Daniel Clayton Fachini Lobato,CDM,75,75,1600000.0,22000.0,35,1988-02-29,169,68,1043.0,Flamengo,7.0,Serie A,1.0,SUB,14.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,2900000.0,,Long Throw,66.0,44.0,67.0,69.0,74.0,70.0,55,19,67,78,15,66,48,69,76,71,68,65,63,74,77,76,71,79,64,71,71,84,38,55,60,74.0,69,74,72,11,14,9,6,6,,56+2,56+2,56+2,60,60,60,60,60,62+2,62+2,62+2,63+2,69+2,69+2,69+2,63+2,72+2,74+1,74+1,74+1,72+2,72+2,72+2,72+2,72+2,72+2,16+2
