player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
230498,/player/230498/luan-vagner-boas-macedo/240002,24.0,2.0,2023-09-22,Luimo Boas Santos,Luan Vágner Boas Macedo,ST,79,79,20500000.0,32000.0,23,2000-02-29,176,73,1053.0,Santos,7.0,Serie A,1.0,ST,9.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,4,1,High/Medium,Normal (170-185),No,39000000.0,,"Finesse Shot, Trivela",83.0,79.0,65.0,81.0,28.0,64.0,42,81,76,74,76,82,79,60,56,81,86,80,82,85,73,75,84,79,63,82,43,20,82,75,74,73.0,27,20,19,9,12,8,10,9,,79,79,79,77,80-1,80-1,80-1,77,79,79,79,75+2,70+2,70+2,70+2,75+2,53+2,51+2,51+2,51+2,53+2,50+2,44+2,44+2,44+2,50+2,18+2
230379,/player/230379/danilo-manuel-vieira-espindola/240002,24.0,2.0,2023-09-22,Vieirundinho,Danilo Manuel Vieira Espíndola,CB,78,78,3700000.0,20000.0,35,1988-02-29,189,84,1053.0,Santos,7.0,Serie A,1.0,RCB,2.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,7000000.0,,Power Header,59.0,39.0,53.0,57.0,80.0,82.0,42,29,77,69,28,48,36,30,69,67,62,57,61,69,37,65,84,79,84,41,82,76,26,32,47,68.0,83,80,78,13,16,11,6,9,,53+2,53+2,53+2,50,51,51,51,50,52+2,52+2,52+2,54+2,59+2,59+2,59+2,54+2,68+2,73+2,73+2,73+2,68+2,71+2,78,78,78,71+2,17+2
230328,/player/230328/pierre-tomas-torres-de-faria/240002,24.0,2.0,2023-09-22,Pierrino Faria,Pierre Tomás Torres De Faria,GK,76,76,825000.0,12000.0,39,1984-02-29,190,82,1053.0,Santos,7.0,Serie A,1.0,GK,39.0,,2023-06-26,2026.0,54,Brazil,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,1600000.0,,,,,,,,,20,11,18,32,13,16,17,14,27,22,41,55,31,69,38,49,58,44,52,12,24,22,12,70,21,61.0,12,16,12,77,71,65,77,79,47.0,28+2,28+2,28+2,29,31,31,31,29,33+2,33+2,33+2,32+2,34+2,34+2,34+2,32+2,29+2,30+2,30+2,30+2,29+2,28+2,26+2,26+2,26+2,28+2,75+1
230475,/player/230475/adilson-patrick-edrada-pereira/240002,24.0,2.0,2023-09-22,Adilson Edrada,Adilson Patrick Edrada Pereira,CAM,76,76,6000000.0,26000.0,31,1992-02-29,176,72,1053.0,Santos,7.0,Serie A,1.0,CAM,25.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,11400000.0,#Dribbler,"Technical, Flair",77.0,71.0,70.0,80.0,32.0,55.0,63,73,56,76,68,87,61,66,58,75,74,80,79,66,75,61,68,52,60,73,43,38,76,77,76,67.0,16,32,44,12,16,12,11,13,,71+2,71+2,71+2,76,75,75,75,76,76,76,76,73+2,68+2,68+2,68+2,73+2,56+2,52+2,52+2,52+2,56+2,53+2,45+2,45+2,45+2,53+2,19+2
230341,/player/230341/joshua-eduardo-sa-madeira/240002,24.0,2.0,2023-09-22,Joshuando Sá,Joshua Eduardo Sá Madeira,"LB, LWB, LM",75,75,5500000.0,23000.0,27,1996-02-29,182,81,1053.0,Santos,7.0,Serie A,1.0,LM,28.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,10500000.0,,Trivela,73.0,44.0,64.0,65.0,75.0,74.0,74,41,70,72,46,63,51,52,61,68,70,75,61,72,58,44,78,72,76,42,71,74,61,49,53,65.0,75,76,74,7,10,13,9,15,,60+2,60+2,60+2,63,61,61,61,63,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,73+2,71+2,71+2,71+2,73+2,73+2,74+1,74+1,74+1,73+2,17+2
230423,/player/230423/pascoal-simao-muscato-vieira/240002,24.0,2.0,2023-09-22,Pascoal Muscato,Pascoal Simão Muscato Vieira,"CDM, CM",75,75,3900000.0,23000.0,31,1992-02-29,177,84,1053.0,Santos,7.0,Serie A,1.0,LDM,17.0,,2023-06-26,2026.0,54,Brazil,,,,Right,4,2,1,Medium/Medium,Stocky (170-185),No,7400000.0,,,58.0,68.0,69.0,70.0,73.0,76.0,56,59,59,75,72,70,65,60,74,72,54,62,64,74,64,83,70,70,80,76,74,74,64,69,64,72.0,75,76,71,9,10,7,9,16,,68+2,68+2,68+2,67,69,69,69,67,69+2,69+2,69+2,67+2,72+2,72+2,72+2,67+2,70+2,74+1,74+1,74+1,70+2,69+2,73+2,73+2,73+2,69+2,18+2
230366,/player/230366/thomas-nicolas-silva-rangel/240002,24.0,2.0,2023-09-22,Silvosinho,Thomas Nicolas Silva Rangel,"RB, RM, RWB",73,73,2900000.0,20000.0,27,1996-02-29,177,73,1053.0,Santos,7.0,Serie A,1.0,RB,88.0,,2023-06-26,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,5500000.0,,Slide Tackle,65.0,54.0,64.0,64.0,70.0,70.0,77,46,75,69,42,53,43,68,63,76,72,60,64,71,72,65,78,77,64,64,72,65,51,45,63,68.0,72,66,76,7,8,10,12,7,,61+2,61+2,61+2,62,61,61,61,62,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,71+2,68+2,68+2,68+2,71+2,71+2,70+2,70+2,70+2,71+2,15+2
230424,/player/230424/leonardo-luis-sandelas-junior/240002,24.0,2.0,2023-09-22,Sandelas Júnior,Leonardo Luis Sandelas Junior,CDM,73,73,2100000.0,20000.0,31,1992-02-29,183,78,1053.0,Santos,7.0,Serie A,1.0,RDM,19.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,4000000.0,,,61.0,53.0,65.0,64.0,71.0,75.0,55,46,61,72,49,61,59,45,71,67,60,61,65,71,59,68,71,77,73,58,76,75,43,64,54,69.0,73,72,68,15,15,18,8,7,,59+2,59+2,59+2,60,60,60,60,60,62+2,62+2,62+2,62+2,67+2,67+2,67+2,62+2,68+2,72+1,72+1,72+1,68+2,69+2,71+2,71+2,71+2,69+2,18+2
230350,/player/230350/flavio-raphael-rebeilo-mestres/240002,24.0,2.0,2023-09-22,Flávio Rebeilo,Flávio Raphael Rebeilo Mestres,LB,72,72,1700000.0,17000.0,31,1992-02-29,175,69,1053.0,Santos,7.0,Serie A,1.0,LB,26.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,3200000.0,,,79.0,44.0,61.0,71.0,68.0,61.0,70,35,54,66,38,71,43,57,57,69,74,83,74,69,77,54,62,80,53,48,59,66,56,50,55,67.0,68,72,69,9,9,8,10,11,,57+2,57+2,57+2,64,61,61,61,64,62+2,62+2,62+2,66+2,63+2,63+2,63+2,66+2,71+1,66+2,66+2,66+2,71+1,70+2,65+2,65+2,65+2,70+2,16+2
230461,/player/230461/manuel-leonardo-conceicao-paes/240002,24.0,2.0,2023-09-22,Leordinho Paes,Manuel Leonardo Conceição Paes,"CAM, LM",72,72,2700000.0,16000.0,23,2000-02-29,180,69,1053.0,Santos,7.0,Serie A,1.0,SUB,30.0,,2023-06-26,2026.0,54,Brazil,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,5100000.0,,,69.0,64.0,73.0,73.0,43.0,54.0,71,67,51,73,62,73,72,67,69,76,68,70,73,65,70,55,58,66,54,66,37,46,74,78,64,66.0,26,54,42,11,15,12,9,7,,66+2,66+2,66+2,72,71,71,71,72,72,72,72,72,70+2,70+2,70+2,72,60+2,58+2,58+2,58+2,60+2,57+2,49+2,49+2,49+2,57+2,17+2
