player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204366,/player/204366/jurgen-locadia/240002,24.0,2.0,2023-09-22,J. Locadia,Jürgen Locadia,"ST, LW, LM",72,72,2300000.0,8000.0,29,1993-11-07,185,87,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,ST,9.0,,2023-04-07,2023.0,85,Curacao,,,,Right,4,3,1,High/Medium,Normal (185+),Yes,3600000.0,,,73.0,71.0,65.0,70.0,36.0,74.0,56,70,63,68,73,69,65,74,61,75,72,73,66,72,62,79,80,67,80,66,66,37,72,69,69,66.0,29,34,31,10,7,8,13,10,,72,72,72,69,71,71,71,69,70+2,70+2,70+2,69+2,65+2,65+2,65+2,69+2,55+2,55+2,55+2,55+2,55+2,52+2,51+2,51+2,51+2,52+2,17+2
268777,/player/268777/mile-skoric/240002,24.0,2.0,2023-09-22,M. Škorić,Mile Škorić,CB,72,72,1500000.0,7000.0,32,1991-06-19,189,80,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,CB,21.0,,2023-03-30,2024.0,10,Croatia,,,,Right,2,2,1,Low/High,Normal (185+),No,2300000.0,,"Long Ball Pass, Intercept, Bruiser, Aerial",55.0,42.0,49.0,48.0,73.0,76.0,40,47,72,60,31,42,25,26,58,55,52,58,43,68,46,46,79,60,85,26,71,72,30,45,58,55.0,76,71,68,8,14,11,12,8,,52+2,52+2,52+2,48,49,49,49,48,49+2,49+2,49+2,50+2,54+2,54+2,54+2,50+2,61+2,66+2,66+2,66+2,61+2,63+2,72,72,72,63+2,17+2
257518,/player/257518/oscar-taty-maritu/240002,24.0,2.0,2023-09-22,O. Maritu,Oscar Taty Maritu,"RW, ST",70,75,2400000.0,6000.0,23,1999-08-17,182,80,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,RW,10.0,,2021-07-26,2023.0,110,Congo DR,,,,Right,3,3,1,Medium/Low,Stocky (170-185),No,3900000.0,,"Rapid, Quick Step",84.0,71.0,55.0,71.0,26.0,66.0,61,74,63,53,69,74,53,48,45,68,81,87,77,74,58,72,81,74,74,63,32,23,76,60,69,58.0,25,18,21,14,6,15,7,11,,72+2,72+2,72+2,70,71,71,71,70,67+2,67+2,67+2,69+2,58+2,58+2,58+2,69+2,51+2,44+2,44+2,44+2,51+2,48+2,41+2,41+2,41+2,48+2,17+2
271525,/player/271525/deabeas-owusu-sekyere/240002,24.0,2.0,2023-09-22,D. Owusu-Sekyere,Deabeas Nii Klu Owusu Sekyere,"LM, LW, ST",65,71,1100000.0,2000.0,23,1999-11-04,184,77,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,LW,31.0,,2022-08-23,2023.0,34,Netherlands,,,,Right,4,3,1,High/Medium,Normal (170-185),No,1900000.0,,Technical,79.0,62.0,52.0,68.0,25.0,62.0,57,62,51,51,65,74,57,54,44,63,82,77,68,67,60,64,72,62,67,59,45,20,68,54,59,48.0,22,26,19,8,7,7,7,10,,64+2,64+2,64+2,65,65,65,65,65,62+2,62+2,62+2,64+2,54+2,54+2,54+2,64+2,48+2,42+2,42+2,42+2,48+2,45+2,39+2,39+2,39+2,45+2,14+2
210870,/player/210870/georgiy-zhukov/240002,24.0,2.0,2023-09-22,G. Zhukov,Georgiy Zhukov,"CM, CDM",65,65,725000.0,3000.0,28,1994-11-19,172,76,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,RCM,19.0,,2022-08-26,2024.0,165,Kazakhstan,,,,Right,3,3,1,Medium/High,Normal (170-185),No,1100000.0,,"Anticipate, Slide Tackle, First Touch, Relentless",75.0,57.0,63.0,69.0,58.0,70.0,62,60,49,65,49,69,55,58,64,67,77,74,78,63,83,60,68,88,69,54,52,63,57,65,45,49.0,57,58,61,10,15,13,12,14,,62+2,62+2,62+2,66-1,64,64,64,66-1,65,65,65,67-2,65,65,65,67-2,66-1,64+1,64+1,64+1,66-1,65,60+2,60+2,60+2,65,18+2
224544,/player/224544/honglue-zhao/240002,24.0,2.0,2023-09-22,Zhao Honglue,赵宏略,"LWB, LB",64,64,300000.0,2000.0,33,1989-12-04,174,76,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,LWB,3.0,,2023-04-06,2023.0,155,China PR,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,465000.0,,Jockey,64.0,35.0,55.0,61.0,60.0,61.0,65,33,58,61,32,62,45,33,56,58,62,65,64,64,72,44,64,58,61,27,64,66,42,40,44,55.0,58,60,59,12,9,7,6,6,,50+2,50+2,50+2,55,52,52,52,55,53+2,53+2,53+2,57+2,54+2,54+2,54+2,57+2,62+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,61+2,61+2,14+2
233719,/player/233719/shihao-piao/240002,24.0,2.0,2023-09-22,Piao Shihao,朴世豪,"RWB, CM",64,64,425000.0,2000.0,31,1991-07-09,177,73,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,RWB,17.0,,2019-02-25,2024.0,155,China PR,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,659000.0,,"Jockey, Anticipate",82.0,39.0,54.0,51.0,59.0,74.0,56,32,46,62,28,43,41,38,58,46,83,81,82,62,81,57,72,81,72,39,72,57,34,43,44,46.0,60,63,56,13,14,10,10,15,,49+2,49+2,49+2,52,49,49,49,52,51+2,51+2,51+2,54+2,53+2,53+2,53+2,54+2,62+2,60+2,60+2,60+2,62+2,62+2,61+2,61+2,61+2,62+2,18+2
222199,/player/222199/kaimu-zheng/240002,24.0,2.0,2023-09-22,Zheng Kaimu,郑凯木,"CB, CM",63,63,325000.0,2000.0,31,1992-01-28,186,80,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,LCB,16.0,,2021-04-19,2023.0,155,China PR,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,504000.0,,,65.0,51.0,52.0,54.0,60.0,77.0,31,54,64,60,34,49,40,38,59,58,62,67,61,62,52,49,76,80,80,51,67,61,51,59,39,51.0,57,60,60,14,8,15,15,15,,57+2,57+2,57+2,54,56,56,56,54,57+2,57+2,57+2,56+2,59+2,59+2,59+2,56+2,58+2,62+1,62+1,62+1,58+2,60+2,63,63,63,60+2,18+2
191857,/player/191857/yun-yang/240002,24.0,2.0,2023-09-22,Yang Yun,杨云,CB,62,62,130000.0,2000.0,34,1988-10-06,185,75,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,SUB,6.0,,2019-02-22,2023.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Stocky (185+),No,202000.0,,Jockey,53.0,52.0,48.0,54.0,61.0,71.0,33,49,52,55,60,53,43,43,52,54,53,53,50,57,58,59,63,66,75,53,69,64,57,52,38,55.0,58,64,61,15,12,11,10,11,,55+2,55+2,55+2,52,54,54,54,52,54+2,54+2,54+2,52+2,56+2,56+2,56+2,52+2,56+2,60+2,60+2,60+2,56+2,57+2,62,62,62,57+2,17+2
221844,/player/221844/puliang-shao/240002,24.0,2.0,2023-09-22,Shao Puliang,邵璞亮,GK,62,62,130000.0,1000.0,33,1989-07-06,187,83,112985.0,Cangzhou Mighty Lions,2012.0,Super League,1.0,GK,14.0,,2016-01-11,2024.0,155,China PR,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,202000.0,,,,,,,,,20,16,12,42,11,14,15,14,48,22,31,35,37,65,62,47,39,21,36,18,14,18,18,46,14,58.0,29,23,18,58,62,63,63,59,33.0,27+2,27+2,27+2,28,29,29,29,28,32+2,32+2,32+2,29+2,34+2,34+2,34+2,29+2,28+2,31+2,31+2,31+2,28+2,27+2,26+2,26+2,26+2,27+2,61+1
