player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192598,/player/192598/kesen-ai/240002,24.0,2.0,2023-09-22,Ai Kesen,艾克森,"LW, ST",76,76,4700000.0,18000.0,33,1989-07-13,180,83,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,LW,9.0,,2023-04-07,2024.0,155,China PR,,,,Right,4,4,2,High/Medium,Stocky (170-185),No,7300000.0,,"Chip Shot, Power Shot, Bruiser, Technical, Trivela",82.0,78.0,73.0,78.0,48.0,79.0,67,78,71,75,76,78,76,80,66,75,83,81,81,74,87,83,90,78,82,72,69,56,76,78,86,76.0,43,45,35,9,16,7,8,7,,77-1,77-1,77-1,76,77-1,77-1,77-1,76,76,76,76,76,72+2,72+2,72+2,76,64+2,63+2,63+2,63+2,64+2,61+2,59+2,59+2,59+2,61+2,17+2
244723,/player/244723/felipe-de-sousa-silva/240002,24.0,2.0,2023-09-22,Felipe Silva,Felipe de Sousa Silva,ST,73,73,3000000.0,15000.0,30,1993-04-03,193,90,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,ST,21.0,,2021-07-06,2024.0,54,Brazil,,,,Left,4,3,1,High/Medium,Normal (185+),No,4700000.0,#Strength,"Power Shot, Power Header, Bruiser, Press Proven, Aerial",71.0,73.0,58.0,67.0,28.0,83.0,44,74,77,64,73,66,65,49,57,73,73,70,60,63,66,78,92,81,89,65,70,23,74,65,67,68.0,19,26,18,8,11,10,12,7,,73,73,73,67,70,70,70,67,67+2,67+2,67+2,66+2,62+2,62+2,62+2,66+2,49+2,50+2,50+2,50+2,49+2,46+2,47+2,47+2,47+2,46+2,15+2
222278,/player/222278/miao-tang/240002,24.0,2.0,2023-09-22,Tang Miao,唐淼,"RWB, CB",71,71,1300000.0,10000.0,32,1990-10-16,176,76,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,RWB,20.0,,2023-04-04,2024.0,155,China PR,,,,Right,3,3,1,Medium/High,Normal (170-185),No,2000000.0,,"Intercept, Anticipate",80.0,33.0,63.0,69.0,62.0,78.0,66,29,49,70,30,65,46,33,63,69,83,77,85,63,77,36,76,89,78,30,65,66,53,59,43,64.0,63,64,60,7,14,11,6,6,,53+2,53+2,53+2,62,58,58,58,62,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,65+2,65+2,65+2,68+2,14+2
203848,/player/203848/richard-windbichler/240002,24.0,2.0,2023-09-22,R. Windbichler,Richard Windbichler,"CB, CDM",70,70,1000000.0,9000.0,32,1991-04-02,183,72,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,CB,40.0,,2022-04-15,2024.0,4,Austria,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1600000.0,,"Jockey, Anticipate, Aerial",64.0,39.0,54.0,55.0,69.0,75.0,35,37,70,64,33,44,35,31,66,67,63,64,59,64,61,47,77,68,79,29,72,72,46,56,55,59.0,65,71,64,9,16,7,11,11,,54+2,54+2,54+2,52,54,54,54,52,55+2,55+2,55+2,55+2,60+2,60+2,60+2,55+2,62+2,67+2,67+2,67+2,62+2,64+2,70,70,70,64+2,17+2
208480,/player/208480/tim-chow/240002,24.0,2.0,2023-09-22,Chow Tim,Tim Chow,CM,70,70,1600000.0,10000.0,29,1994-01-18,180,72,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,LCM,8.0,,2022-03-22,2026.0,213,Chinese Taipei,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2500000.0,,"Long Ball Pass, Relentless",72.0,63.0,68.0,69.0,68.0,75.0,66,59,60,68,62,65,58,64,71,71,71,73,76,69,73,69,75,84,72,64,69,72,65,69,62,66.0,70,69,61,12,8,8,13,14,,66+2,66+2,66+2,67,67,67,67,67,68+2,68+2,68+2,69+1,70,70,70,69+1,70,70,70,70,70,69+1,68+2,68+2,68+2,69+1,18+2
218471,/player/218471/min-woo-kim/240002,24.0,2.0,2023-09-22,Kim Min Woo,김민우 金敏佑,"LWB, LW",69,69,725000.0,7000.0,33,1990-02-25,172,72,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,LWB,11.0,,2022-02-24,2024.0,167,Korea Republic,,,,Left,4,3,1,High/High,Normal (170-185),No,1100000.0,#Engine,"Long Ball Pass, Whipped Cross, Jockey, Press Proven, Relentless",67.0,65.0,68.0,70.0,60.0,71.0,68,63,52,67,65,66,68,67,64,74,68,66,75,67,81,69,64,87,64,63,68,63,73,72,64,66.0,58,64,57,11,6,14,16,10,,66+2,66+2,66+2,68,68,68,68,68,69,69,69,69,69,69,69,69,67+2,67+2,67+2,67+2,67+2,66+2,62+2,62+2,62+2,66+2,17+2
232710,/player/232710/andrigo-oliveira-de-araujo/240002,24.0,2.0,2023-09-22,Andrigo,Andrigo Oliveira de Araujo,"LW, RW, CAM",68,68,1200000.0,8000.0,28,1995-02-27,173,70,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,RW,18.0,,2023-07-20,2024.0,54,Brazil,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,1900000.0,,,75.0,63.0,67.0,71.0,49.0,62.0,66,64,47,71,53,72,64,68,65,70,76,74,73,60,81,67,63,77,58,58,51,53,67,65,62,66.0,57,40,44,12,11,15,11,10,,64+2,64+2,64+2,68,67,67,67,68,68,68,68,69-1,66+2,66+2,66+2,69-1,62+2,59+2,59+2,59+2,62+2,59+2,53+2,53+2,53+2,59+2,17+2
241252,/player/241252/xin-tang/240002,24.0,2.0,2023-09-22,Tang Xin,唐鑫,"RWB, LWB",66,66,600000.0,5000.0,32,1990-10-16,176,69,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,SUB,3.0,,2021-04-12,2024.0,155,China PR,,,,Left,2,2,1,Medium/High,Normal (170-185),No,930000.0,,,76.0,32.0,48.0,61.0,64.0,68.0,58,25,46,58,27,54,41,28,43,64,74,77,73,67,70,39,69,58,75,36,64,64,47,33,35,65.0,57,75,68,8,8,6,10,14,,50+2,50+2,50+2,55,52,52,52,55,52+2,52+2,52+2,56+2,53+2,53+2,53+2,56+2,64+2,61+2,61+2,61+2,64+2,65+1,65+1,65+1,65+1,65+1,16+2
214250,/player/214250/manuel-palacios/240002,24.0,2.0,2023-09-22,M. Palacios,Manuel Emilio Palacios Murillo,"ST, RW",65,65,700000.0,5000.0,30,1993-02-13,181,88,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,SUB,7.0,,2023-02-02,2025.0,56,Colombia,,,,Right,3,4,1,High/Low,Stocky (170-185),No,1100000.0,,"Rapid, Quick Step",90.0,58.0,58.0,68.0,45.0,73.0,62,55,60,63,37,70,48,41,60,62,88,91,76,60,77,68,89,82,83,57,34,29,67,50,52,59.0,45,51,48,7,13,9,9,12,,65,65,65,66-1,65,65,65,66-1,63+2,63+2,63+2,67-2,60+2,60+2,60+2,67-2,59+2,54+2,54+2,54+2,59+2,58+2,53+2,53+2,53+2,58+2,16+2
269481,/player/269481/tao-liu/240002,24.0,2.0,2023-09-22,Liu Tao,刘涛,CB,63,63,90000.0,2000.0,38,1985-01-22,185,77,116360.0,Chengdu Rongcheng,2012.0,Super League,1.0,RCB,26.0,,2019-02-23,2024.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,140000.0,,,39.0,38.0,47.0,46.0,64.0,69.0,38,38,70,53,26,43,32,36,53,48,37,40,42,53,57,49,66,61,75,32,64,63,38,45,37,46.0,66,62,56,14,13,7,9,13,,47+2,47+2,47+2,43,44,44,44,43,45+2,45+2,45+2,45+2,50+2,50+2,50+2,45+2,53+2,58+2,58+2,58+2,53+2,55+2,63,63,63,55+2,16+2
