player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
239581,/player/239581/rade-dugalic/240002,24.0,2.0,2023-09-22,R. Dugalić,Rade Dugalić,CB,71,71,1500000.0,8000.0,30,1992-11-05,193,90,114628.0,Meizhou Hakka,2012.0,Super League,1.0,RCB,20.0,,2022-04-11,2023.0,51,Serbia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2300000.0,#Strength,"Long Ball Pass, Jockey, Intercept, Bruiser, Aerial",42.0,49.0,54.0,42.0,71.0,82.0,35,30,76,63,45,36,28,65,67,44,49,37,37,67,53,75,84,75,90,67,72,76,39,50,51,62.0,62,75,68,9,8,10,6,10,,52+2,52+2,52+2,44,48,48,48,44,49+2,49+2,49+2,47+2,58+2,58+2,58+2,47+2,59+2,67+2,67+2,67+2,59+2,62+2,71,71,71,62+2,15+2
224669,/player/224669/hongbo-yin/240002,24.0,2.0,2023-09-22,Yin Hongbo,尹鸿博,"RM, CM",66,66,525000.0,4000.0,33,1989-10-30,179,70,114628.0,Meizhou Hakka,2012.0,Super League,1.0,SUB,10.0,,2022-04-15,2024.0,155,China PR,,,,Left,2,3,1,Medium/Medium,Lean (170-185),No,814000.0,,Long Ball Pass,69.0,59.0,66.0,66.0,53.0,66.0,64,60,47,69,49,66,62,63,65,65,74,64,68,60,73,60,64,72,65,62,61,52,60,66,45,57.0,57,55,46,11,7,10,9,13,,61+2,61+2,61+2,65,64,64,64,65,65+1,65+1,65+1,65+1,64+2,64+2,64+2,65+1,61+2,61+2,61+2,61+2,61+2,59+2,56+2,56+2,56+2,59+2,16+2
221888,/player/221888/nebojsa-kosovic/240002,24.0,2.0,2023-09-22,N. Kosović,Nebojša Kosović,CDM,65,66,700000.0,3000.0,28,1995-02-24,178,71,114628.0,Meizhou Hakka,2012.0,Super League,1.0,LDM,27.0,,2022-04-11,2023.0,15,Montenegro,,,,Right,4,2,1,Medium/Medium,Lean (170-185),No,1100000.0,,"Pinged Pass, Tiki Taka",68.0,63.0,69.0,69.0,63.0,47.0,63,60,43,73,64,69,65,67,68,65,72,65,81,60,77,66,44,78,38,66,29,66,61,69,61,60.0,64,69,56,7,11,14,7,6,,61+2,61+2,61+2,66,65,65,65,66,67-1,67-1,67-1,67-1,68-2,68-2,68-2,67-1,66,64+2,64+2,64+2,66,65+1,57+2,57+2,57+2,65+1,14+2
268286,/player/268286/rodrigo-santana-da-silva/240002,24.0,2.0,2023-09-22,Rodrigo Henrique,Rodrigo Henrique Santana da Silva,"CAM, LM",64,64,575000.0,3000.0,29,1993-07-02,180,77,114628.0,Meizhou Hakka,2012.0,Super League,1.0,CAM,25.0,,2022-03-01,2023.0,54,Brazil,,,,Right,3,3,1,High/Medium,Normal (170-185),No,891000.0,,"Pinged Pass, Incisive Pass",76.0,57.0,59.0,67.0,28.0,58.0,60,57,46,62,46,69,47,46,53,63,73,79,69,67,72,60,60,74,58,58,36,34,61,65,53,63.0,23,26,21,8,7,5,6,14,,61+2,61+2,61+2,65-1,64,64,64,65-1,64,64,64,65-1,59+2,59+2,59+2,65-1,52+2,47+2,47+2,47+2,52+2,48+2,39+2,39+2,39+2,48+2,15+2
224556,/player/224556/weihui-rao/240002,24.0,2.0,2023-09-22,Rao Weihui,饶伟辉,"LWB, LB",63,63,180000.0,2000.0,34,1989-03-25,177,76,114628.0,Meizhou Hakka,2012.0,Super League,1.0,SUB,31.0,,2023-03-09,2024.0,155,China PR,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,279000.0,,,71.0,37.0,53.0,55.0,61.0,68.0,59,38,56,57,21,51,62,57,57,54,73,70,65,54,70,24,70,76,67,44,62,58,49,35,53,56.0,65,61,58,13,9,11,6,15,,49+2,49+2,49+2,53,50,50,50,53,51+2,51+2,51+2,55+2,53+2,53+2,53+2,55+2,61+2,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,61+2,16+2
231956,/player/231956/junjian-liao/240002,24.0,2.0,2023-09-22,Liao Junjian,廖均健,CB,63,63,400000.0,3000.0,29,1994-01-27,185,74,114628.0,Meizhou Hakka,2012.0,Super League,1.0,LCB,6.0,,2022-03-22,2025.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,620000.0,,,62.0,50.0,56.0,61.0,63.0,72.0,54,52,55,61,41,60,41,32,60,59,59,64,75,64,59,52,67,81,72,47,61,63,57,58,35,57.0,62,65,64,7,6,12,9,13,,57+2,57+2,57+2,59,58,58,58,59,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,63,63,63,63,63,63,63,63,63,63,15+2
271526,/player/271526/tze-nam-yue/240002,24.0,2.0,2023-09-22,T. Yue,Tze nam Yue,"RB, RWB",61,65,425000.0,2000.0,25,1998-05-12,171,68,114628.0,Meizhou Hakka,2012.0,Super League,1.0,RB,29.0,,2022-08-21,2025.0,158,Hong Kong,,,,Right,3,2,1,Medium/High,Normal (170-185),No,691000.0,,Jockey,66.0,29.0,44.0,59.0,57.0,53.0,56,25,45,41,25,58,35,26,38,54,62,70,73,61,72,30,43,81,43,29,46,62,53,48,33,51.0,59,56,59,8,6,10,9,12,,45+2,45+2,45+2,52,49,49,49,52,49+2,49+2,49+2,54+2,50+2,50+2,50+2,54+2,60+2,54+2,54+2,54+2,60+2,59+2,54+2,54+2,54+2,59+2,15+2
182451,/player/182451/yuelei-cheng/240002,24.0,2.0,2023-09-22,Cheng Yuelei,程月磊,GK,61,61,35000.0,1000.0,35,1987-10-28,190,85,114628.0,Meizhou Hakka,2012.0,Super League,1.0,SUB,18.0,,2023-03-09,2023.0,155,China PR,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,54000.0,,,,,,,,,12,11,9,10,12,13,17,18,10,18,23,51,47,64,50,41,52,27,62,9,34,12,9,46,15,60.0,11,8,9,60,60,55,60,59,34.0,24+2,24+2,24+2,22,24,24,24,22,23+2,23+2,23+2,22+2,21+2,21+2,21+2,22+2,20+2,20+2,20+2,20+2,20+2,20+2,22+2,22+2,22+2,20+2,60+1
238106,/player/238106/wei-wang/240002,24.0,2.0,2023-09-22,Wang Wei,王伟,"RB, LB",61,61,120000.0,2000.0,34,1989-06-22,184,76,114628.0,Meizhou Hakka,2012.0,Super League,1.0,SUB,21.0,,2022-03-22,2023.0,155,China PR,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,186000.0,,,70.0,52.0,57.0,60.0,56.0,71.0,59,53,54,59,48,62,43,46,54,57,67,73,63,51,67,51,68,74,74,51,60,54,56,60,45,60.0,57,55,57,13,12,13,13,7,,57+2,57+2,57+2,59,58,58,58,59,58+2,58+2,58+2,60+1,58+2,58+2,58+2,60+1,60+1,58+2,58+2,58+2,60+1,59+2,58+2,58+2,58+2,59+2,16+2
222174,/player/222174/liang-shi/240002,24.0,2.0,2023-09-22,Shi Liang,史亮,"CDM, CM",60,60,80000.0,2000.0,34,1989-05-11,178,71,114628.0,Meizhou Hakka,2012.0,Super League,1.0,RDM,13.0,,2020-01-18,2024.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,124000.0,,,58.0,51.0,54.0,60.0,57.0,64.0,45,48,55,59,53,57,49,48,56,62,61,55,67,58,71,52,63,70,62,56,62,63,51,54,44,58.0,56,57,52,9,10,13,14,15,,55+2,55+2,55+2,56,56,56,56,56,57+2,57+2,57+2,56+2,58+2,58+2,58+2,56+2,58+2,59+1,59+1,59+1,58+2,57+2,58+2,58+2,58+2,57+2,17+2
