player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
213332,/player/213332/matheus-simoneti-bressaneli/240002,24.0,2.0,2023-09-22,Bressan,Matheus Simonete Bressanelli,"CB, RB",70,70,1300000.0,7000.0,30,1993-01-15,185,80,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,LCB,14.0,,2023-03-11,2024.0,54,Brazil,,,,Right,2,2,1,Low/High,Normal (185+),No,2000000.0,,"Long Ball Pass, Block, Intercept, Bruiser",65.0,38.0,52.0,52.0,69.0,75.0,33,37,73,68,24,38,28,52,68,64,62,68,67,60,64,51,80,72,77,31,71,72,32,38,46,62.0,65,69,67,12,11,8,8,7,,52+2,52+2,52+2,49,49,49,49,49,51+2,51+2,51+2,52+2,57+2,57+2,57+2,52+2,62+2,67+2,67+2,67+2,62+2,64+2,70,70,70,64+2,15+2
252105,/player/252105/rubilio-castillo/240002,24.0,2.0,2023-09-22,R. Castillo,Román Rubilio Castillo Álvarez,ST,68,68,1000000.0,6000.0,31,1991-11-26,183,79,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,ST,9.0,,2023-03-02,2024.0,81,Honduras,,,,Right,3,2,1,High/Low,Normal (170-185),No,1600000.0,,,80.0,69.0,51.0,66.0,23.0,62.0,39,74,71,63,61,72,49,41,41,66,81,80,59,56,59,63,84,58,69,65,45,12,61,53,76,51.0,21,21,13,13,12,9,10,9,,68,68,68,65,66,66,66,65,64+2,64+2,64+2,63+2,55+2,55+2,55+2,63+2,43+2,41+2,41+2,41+2,43+2,41+2,39+2,39+2,39+2,41+2,16+2
229947,/player/229947/romario-balde/240002,24.0,2.0,2023-09-22,Romário Baldé,Romário Baldé,"LM, ST",66,66,925000.0,4000.0,26,1996-12-25,182,79,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,LM,11.0,,2023-03-06,2023.0,119,Guinea Bissau,,,,Right,3,3,1,Medium/Low,Stocky (170-185),No,1400000.0,,Technical,78.0,64.0,55.0,71.0,31.0,69.0,57,61,51,57,64,70,66,51,44,69,76,79,89,72,73,72,70,68,68,62,70,26,60,56,65,46.0,33,28,23,12,14,7,13,9,,65+1,65+1,65+1,66,66,66,66,66,64+2,64+2,64+2,65+1,57+2,57+2,57+2,65+1,51+2,48+2,48+2,48+2,51+2,49+2,45+2,45+2,45+2,49+2,18+2
276523,/player/276523/david-puclin/240002,24.0,2.0,2023-09-22,D. Puclin,David Puclin,CDM,66,66,600000.0,4000.0,31,1992-06-17,175,74,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,SUB,16.0,,2023-07-01,2024.0,10,Croatia,,,,Right,3,2,1,Medium/High,Normal (170-185),No,930000.0,,,64.0,51.0,62.0,63.0,64.0,65.0,49,42,51,66,51,64,65,60,67,59,66,63,66,62,74,62,61,77,60,61,61,68,57,66,44,63.0,64,66,59,14,6,6,6,14,,57+2,57+2,57+2,59,60,60,60,59,62+2,62+2,62+2,61+2,64+2,64+2,64+2,61+2,63+2,65+1,65+1,65+1,63+2,63+2,62+2,62+2,62+2,63+2,16+2
275185,/player/275185/lucas-morelatto-da-cruz/240002,24.0,2.0,2023-09-22,Morelatto,Lucas Morelatto da Cruz,"CM, RM",65,65,700000.0,4000.0,29,1994-05-25,179,78,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,RM,8.0,,2023-03-02,2023.0,54,Brazil,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1100000.0,,,62.0,57.0,67.0,66.0,48.0,63.0,61,53,51,73,49,67,67,65,66,63,60,63,70,59,73,65,61,75,64,58,48,53,60,66,60,68.0,38,53,46,12,10,13,6,14,,60+2,60+2,60+2,63,62,62,62,63,64+1,64+1,64+1,64+1,65,65,65,64+1,59+2,59+2,59+2,59+2,59+2,57+2,53+2,53+2,53+2,57+2,16+2
186228,/player/186228/song-wang/240002,24.0,2.0,2023-09-22,Wang Song,汪嵩,"RM, CM, LM",61,61,110000.0,2000.0,39,1983-10-12,178,76,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,CAM,33.0,,2023-04-17,2023.0,155,China PR,,,,Left,3,3,1,Medium/Low,Normal (170-185),No,171000.0,,Finesse Shot,39.0,63.0,65.0,62.0,51.0,62.0,67,58,60,63,60,63,68,72,61,65,45,34,52,64,72,68,65,48,73,67,49,45,62,66,69,50.0,51,52,53,9,14,7,16,7,,61,61,61,60,61,61,61,60,62-1,62-1,62-1,60+1,61,61,61,60+1,55+2,57+2,57+2,57+2,55+2,54+2,55+2,55+2,55+2,54+2,17+2
224691,/player/224691/jie-wang/240002,24.0,2.0,2023-09-22,Wang Jie,王杰,"CB, CDM",60,60,80000.0,2000.0,34,1989-01-14,184,82,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,SUB,3.0,,2022-04-26,2023.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Stocky (170-185),No,124000.0,,,46.0,43.0,40.0,51.0,58.0,73.0,23,39,56,53,33,52,32,29,51,52,48,45,39,48,47,58,69,64,83,47,62,55,22,31,33,58.0,57,62,59,10,9,13,12,14,,47+2,47+2,47+2,43,44,44,44,43,44+2,44+2,44+2,44+2,48+2,48+2,48+2,44+2,51+2,56+2,56+2,56+2,51+2,52+2,60,60,60,52+2,15+2
226183,/player/226183/huayang-li/240002,24.0,2.0,2023-09-22,Li Huayang,李华扬,GK,60,60,25000.0,1000.0,36,1987-01-24,187,82,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,GK,1.0,,2016-01-01,2023.0,155,China PR,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,39000.0,,,,,,,,,35,8,16,55,16,22,33,32,57,23,52,56,57,52,58,44,63,20,63,17,29,16,12,60,34,47.0,30,23,21,62,60,59,58,60,54.0,29+2,29+2,29+2,33,32,32,32,33,37+2,37+2,37+2,36+2,38+2,38+2,38+2,36+2,32+2,36+2,36+2,36+2,32+2,31+2,32+2,32+2,32+2,31+2,59+1
224638,/player/224638/zhiyun-zheng/240002,24.0,2.0,2023-09-22,Zheng Zhiyun,郑致云,LB,59,59,200000.0,2000.0,28,1995-02-17,173,69,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,SUB,34.0,,2023-08-31,2023.0,155,China PR,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,310000.0,,Long Ball Pass,82.0,49.0,55.0,56.0,49.0,59.0,54,45,49,59,45,54,48,41,55,56,85,80,58,58,81,58,65,72,55,48,49,51,56,53,57,50.0,45,51,50,15,10,13,10,12,,56+2,56+2,56+2,58,57,57,57,58,57+2,57+2,57+2,59,56+2,56+2,56+2,59,58+1,54+2,54+2,54+2,58+1,57+2,52+2,52+2,52+2,57+2,17+2
241298,/player/241298/huan-liu/240002,24.0,2.0,2023-09-22,Liu Huan,刘欢,LB,59,59,80000.0,2000.0,34,1989-02-14,184,72,112979.0,Nantong Zhiyun,2012.0,Super League,1.0,LB,19.0,,2023-03-15,2023.0,155,China PR,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,124000.0,,,60.0,35.0,48.0,52.0,57.0,62.0,57,27,53,50,25,50,40,42,51,53,59,60,57,56,60,50,60,69,63,35,49,56,50,35,45,50.0,55,59,59,13,13,11,14,14,,48+2,48+2,48+2,49,48,48,48,49,47+2,47+2,47+2,51+2,50+2,50+2,50+2,51+2,57+2,55+2,55+2,55+2,57+2,57+2,56+2,56+2,56+2,57+2,18+2
