player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
199908,/player/199908/felicio-brown-forbes/240002,24.0,2.0,2023-09-22,F. Brown Forbes,Felicio Anando Brown Forbes,ST,70,70,1300000.0,9000.0,31,1991-08-28,188,82,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,ST,9.0,,2023-02-24,2023.0,72,Costa Rica,,,,Right,3,3,1,High/Medium,Normal (185+),No,2000000.0,#Strength,Finesse Shot,81.0,67.0,56.0,63.0,44.0,83.0,57,74,72,58,41,65,54,49,47,63,80,82,59,61,64,70,93,75,90,59,72,44,70,59,56,60.0,41,42,34,12,16,8,14,8,,70,70,70,66,67,67,67,66,63+2,63+2,63+2,65+2,59+2,59+2,59+2,65+2,56+2,54+2,54+2,54+2,56+2,55+2,56+2,56+2,56+2,55+2,18+2
235462,/player/235462/evans-kangwa/240002,24.0,2.0,2023-09-22,E. Kangwa,Evans Kangwa,"ST, LM",69,69,1400000.0,7000.0,30,1992-10-09,180,71,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,LM,10.0,,2023-02-24,2024.0,147,Zambia,,,,Right,4,3,1,High/Medium,Lean (170-185),No,2200000.0,#Speedster,Rapid,91.0,67.0,55.0,73.0,37.0,63.0,62,67,54,59,63,73,56,40,38,70,91,91,87,66,79,68,75,68,65,64,49,36,74,59,67,56.0,32,41,26,12,13,12,12,10,,69,69,69,71-2,70-1,70-1,70-1,71-2,67+2,67+2,67+2,69,59+2,59+2,59+2,69,56+2,49+2,49+2,49+2,56+2,53+2,47+2,47+2,47+2,53+2,18+2
244517,/player/244517/elvis-saric/240002,24.0,2.0,2023-09-22,E. Sarić,Elvis Sarić,"CM, CDM",67,67,800000.0,5000.0,32,1990-07-21,181,72,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,LCM,7.0,,2023-02-20,2023.0,8,Bosnia and Herzegovina,,,,Left,3,3,1,High/High,Normal (170-185),No,1200000.0,,"Finesse Shot, Pinged Pass, Incisive Pass, Press Proven, Trivela",65.0,60.0,67.0,69.0,62.0,70.0,60,57,57,71,52,67,66,58,68,72,66,64,71,55,69,65,71,69,73,67,64,65,63,70,47,72.0,59,65,61,10,9,6,14,6,,63+2,63+2,63+2,65,65,65,65,65,67,67,67,66+1,67,67,67,66+1,64+2,66+1,66+1,66+1,64+2,64+2,64+2,64+2,64+2,64+2,15+2
261491,/player/261491/aleksandar-andrejevic/240002,24.0,2.0,2023-09-22,A. Andrejević,Aleksandar Andrejević,CB,67,67,700000.0,4000.0,31,1992-03-28,188,76,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,CB,31.0,,2023-03-02,2023.0,51,Serbia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1100000.0,,"Pinged Pass, Long Ball Pass, Intercept",59.0,39.0,54.0,58.0,66.0,74.0,28,18,64,65,31,56,20,47,65,60,59,59,63,60,53,63,73,70,76,61,72,68,53,64,31,62.0,66,67,63,5,10,12,12,11,,52+2,52+2,52+2,52,55,55,55,52,58+2,58+2,58+2,55+2,62+2,62+2,62+2,55+2,60+2,66+1,66+1,66+1,60+2,61+2,67,67,67,61+2,15+2
238103,/player/238103/junshuai-liu/240002,24.0,2.0,2023-09-22,Liu Junshuai,刘军帅,CB,64,66,600000.0,3000.0,28,1995-01-10,187,87,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,RCB,4.0,,2023-04-06,2027.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Stocky (185+),No,975000.0,,Power Header,59.0,37.0,49.0,50.0,63.0,75.0,38,32,67,57,34,42,43,43,58,54,50,67,53,59,80,44,74,71,82,41,61,59,40,43,40,54.0,67,61,62,6,13,9,8,13,,49+2,49+2,49+2,47,48,48,48,47,49+2,49+2,49+2,50+2,53+2,53+2,53+2,50+2,58+2,60+2,60+2,60+2,58+2,59+2,64+2,64+2,64+2,59+2,15+2
217160,/player/217160/xinli-peng/240002,24.0,2.0,2023-09-22,Peng Xinli,彭欣力,"CM, CDM",63,63,400000.0,3000.0,31,1991-07-22,177,64,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,SUB,20.0,,2023-08-31,2023.0,155,China PR,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,620000.0,,Flair,78.0,61.0,63.0,66.0,61.0,65.0,59,58,60,65,62,62,66,67,64,63,82,74,84,63,78,65,74,76,59,64,66,61,61,59,60,67.0,63,62,57,11,12,13,13,7,,63,63,63,64-1,63,63,63,64-1,64-1,64-1,64-1,65-2,63,63,63,65-2,64-1,63,63,63,64-1,64-1,62+1,62+1,62+1,64-1,17+2
224602,/player/224602/wei-zhang/240002,24.0,2.0,2023-09-22,Zhang Wei,张卫,"LWB, LB",62,62,350000.0,2000.0,30,1993-03-28,176,73,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,LWB,2.0,,2023-04-11,2023.0,155,China PR,,,,Right,3,3,1,High/High,Lean (170-185),No,543000.0,,,76.0,43.0,55.0,58.0,58.0,65.0,58,41,61,57,29,54,45,31,54,57,77,76,75,56,62,58,74,71,62,35,65,57,57,56,39,58.0,61,57,55,13,15,12,13,8,,55+2,55+2,55+2,57,56,56,56,57,56+2,56+2,56+2,59+2,56+2,56+2,56+2,59+2,60+2,58+2,58+2,58+2,60+2,61+1,60+2,60+2,60+2,61+1,17+2
226197,/player/226197/jin-feng/240002,24.0,2.0,2023-09-22,Feng Jin,冯劲,"RWB, RM, RW",62,62,350000.0,2000.0,29,1993-08-14,179,72,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,RM,99.0,,2023-08-31,2023.0,155,China PR,,,,Right,3,2,1,High/Medium,Normal (170-185),No,543000.0,,Rapid,78.0,55.0,58.0,64.0,50.0,72.0,58,54,51,58,55,65,60,43,56,59,85,73,77,60,80,61,74,83,69,55,66,51,61,61,42,56.0,52,48,50,11,11,8,12,11,,60+2,60+2,60+2,63-1,61,61,61,63-1,61+1,61+1,61+1,63-1,60+2,60+2,60+2,63-1,60+2,57+2,57+2,57+2,60+2,59+2,56+2,56+2,56+2,59+2,16+2
182096,/player/182096/long-zheng/240002,24.0,2.0,2023-09-22,Zheng Long,郑龙,"LM, RM, CAM",61,61,130000.0,2000.0,35,1988-04-15,178,71,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,SUB,27.0,,2022-04-29,2023.0,155,China PR,,,,Left,3,3,1,Medium/High,Lean (170-185),No,202000.0,,"Rapid, Trivela",69.0,55.0,61.0,58.0,48.0,61.0,59,53,47,62,47,57,68,70,60,59,70,69,64,56,55,56,60,58,62,59,62,54,58,60,61,62.0,53,42,37,14,6,7,15,13,,57+2,57+2,57+2,60,59,59,59,60,60+1,60+1,60+1,60+1,58+2,58+2,58+2,60+1,55+2,55+2,55+2,55+2,55+2,54+2,52+2,52+2,52+2,54+2,17+2
224675,/player/224675/jinbao-zhong/240002,24.0,2.0,2023-09-22,Zhong Jinbao,钟晋宝,"CM, LM",61,61,325000.0,2000.0,28,1994-11-25,181,69,131173.0,Qingdao Hainiu,2012.0,Super League,1.0,RCM,30.0,,2023-03-23,2024.0,155,China PR,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,504000.0,,,67.0,53.0,57.0,59.0,58.0,73.0,48,55,47,61,55,56,47,43,58,58,66,67,68,61,67,56,61,88,70,44,63,63,60,62,48,59.0,60,59,47,14,10,12,15,13,,58+2,58+2,58+2,58,58,58,58,58,59+2,59+2,59+2,60+1,61,61,61,60+1,61,62-1,62-1,62-1,61,60+1,59+2,59+2,59+2,60+1,18+2
