player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
183520,/player/183520/francisco-merida-perez/240002,24.0,2.0,2023-09-22,Fran Mérida,Francisco Mérida Pérez,"CM, CDM",74,74,2600000.0,10000.0,33,1990-03-04,173,73,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,LDM,38.0,,2022-08-08,2023.0,45,Spain,,,,Left,3,3,2,Medium/Medium,Normal (170-185),No,4000000.0,,"Long Ball Pass, Tiki Taka, Jockey, Flair",55.0,72.0,77.0,72.0,67.0,70.0,72,69,45,76,60,71,82,75,77,76,58,53,69,70,74,78,59,68,67,74,84,70,70,81,75,70.0,70,70,68,11,11,8,6,10,,68+2,68+2,68+2,71,71,71,71,71,73+1,73+1,73+1,71+2,74,74,74,71+2,69+2,73+1,73+1,73+1,69+2,68+2,68+2,68+2,68+2,68+2,16+2
212023,/player/212023/robert-beric/240002,24.0,2.0,2023-09-22,R. Berić,Robert Berić,ST,70,70,1300000.0,7000.0,32,1991-06-17,188,83,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,ST,9.0,,2022-04-15,2023.0,44,Slovenia,,,,Right,3,3,2,Medium/Medium,Normal (185+),No,2000000.0,#Strength,,56.0,71.0,63.0,66.0,37.0,77.0,52,72,71,65,69,65,65,56,65,70,63,51,58,74,51,73,84,69,86,67,65,38,74,69,71,71.0,38,30,23,16,11,15,12,16,,70,70,70,66,69,69,69,66,68+2,68+2,68+2,66+2,65+2,65+2,65+2,66+2,51+2,55+2,55+2,55+2,51+2,49+2,51+2,51+2,51+2,49+2,20+2
245348,/player/245348/farley-vieira-rosa/240002,24.0,2.0,2023-09-22,Farley,Farley Vieira Rosa,"RM, LM",70,70,1600000.0,6000.0,29,1994-01-14,176,65,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,RM,10.0,,2022-04-15,2023.0,54,Brazil,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,2500000.0,,"Rapid, Flair",87.0,64.0,65.0,71.0,22.0,55.0,67,67,41,67,60,73,66,67,63,71,83,90,73,61,76,63,62,59,59,62,36,20,62,62,52,59.0,18,21,22,14,6,8,7,8,,65+2,65+2,65+2,70,68,68,68,70,68+2,68+2,68+2,69+1,61+2,61+2,61+2,69+1,51+2,45+2,45+2,45+2,51+2,47+2,36+2,36+2,36+2,47+2,14+2
243556,/player/243556/david-andujar-jimenez/240002,24.0,2.0,2023-09-22,Andújar,David Andújar Jiménez,CB,69,69,950000.0,5000.0,31,1991-08-21,189,81,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,LCB,2.0,,2022-04-15,2023.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1500000.0,,"Long Ball Pass, Bruiser, Aerial",54.0,35.0,49.0,54.0,69.0,79.0,51,33,69,64,28,49,33,18,59,59,58,51,60,55,54,57,79,65,88,19,74,66,32,23,33,60.0,69,72,64,12,5,6,7,15,,50+2,50+2,50+2,48,46,46,46,48,47+2,47+2,47+2,50+2,52+2,52+2,52+2,50+2,61+2,64+2,64+2,64+2,61+2,62+2,69,69,69,62+2,15+2
247197,/player/247197/tian-ming/240002,24.0,2.0,2023-09-22,Ming Tian,明天,"RB, RWB",67,67,925000.0,4000.0,28,1995-04-08,180,71,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,RB,15.0,,2023-04-07,2024.0,155,China PR,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1400000.0,,,85.0,35.0,56.0,63.0,61.0,66.0,59,30,56,58,32,61,49,37,51,60,83,87,80,63,67,37,72,83,59,38,63,60,62,59,35,57.0,57,65,63,12,7,10,6,7,,53+2,53+2,53+2,60,58,58,58,60,59+2,59+2,59+2,62+2,59+2,59+2,59+2,62+2,65+2,61+2,61+2,61+2,65+2,65+2,61+2,61+2,61+2,65+2,14+2
224466,/player/224466/dun-ba/240002,24.0,2.0,2023-09-22,Ba Dun,巴顿,"LM, RM",66,66,900000.0,3000.0,27,1995-09-16,181,72,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,LM,29.0,,2022-03-15,2024.0,155,China PR,,,,Right,2,3,1,Medium/Low,Lean (170-185),No,1400000.0,,"Whipped Cross, Technical",85.0,61.0,58.0,66.0,41.0,66.0,58,59,55,58,58,67,60,51,58,61,86,85,87,66,62,68,75,74,63,59,62,48,60,60,54,58.0,37,36,37,8,14,11,14,9,,63+2,63+2,63+2,65,64,64,64,65,64+2,64+2,64+2,65+1,59+2,59+2,59+2,65+1,57+2,53+2,53+2,53+2,57+2,55+2,50+2,50+2,50+2,55+2,17+2
241349,/player/241349/yinong-tian/240002,24.0,2.0,2023-09-22,Tian Yinong,田依浓,"CDM, CM",64,64,400000.0,2000.0,32,1991-02-18,181,75,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,RDM,31.0,,2022-04-11,2023.0,155,China PR,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,620000.0,,Long Ball Pass,77.0,31.0,55.0,61.0,58.0,76.0,31,21,58,66,28,56,30,27,63,66,82,72,74,57,72,56,82,88,76,20,61,60,62,65,38,48.0,52,61,59,11,11,14,6,6,,53+2,53+2,53+2,56,57,57,57,56,59+2,59+2,59+2,60+2,62+2,62+2,62+2,60+2,61+2,63+1,63+1,63+1,61+2,61+2,62+2,62+2,62+2,61+2,14+2
232256,/player/232256/pengfei-han/240002,24.0,2.0,2023-09-22,Han Pengfei,韩鹏飞,CB,63,63,400000.0,2000.0,30,1993-04-28,190,88,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,RCB,6.0,,2023-03-30,2024.0,155,China PR,,,,Right,2,2,1,Medium/Medium,Stocky (185+),No,620000.0,,Long Ball Pass,44.0,51.0,53.0,57.0,60.0,79.0,41,52,62,60,42,56,33,37,62,54,36,51,56,60,72,53,69,82,85,50,63,61,48,54,42,59.0,55,62,61,7,12,6,6,13,,55+2,55+2,55+2,52,53,53,53,52,54+2,54+2,54+2,54+2,59+2,59+2,59+2,54+2,58+2,62+1,62+1,62+1,58+2,58+2,63,63,63,58+2,15+2
224555,/player/224555/jiamin-xu/240002,24.0,2.0,2023-09-22,Xu Jiamin,徐嘉敏,GK,62,63,300000.0,2000.0,29,1994-04-11,193,89,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,SUB,26.0,,2022-04-28,2023.0,155,China PR,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,488000.0,,,,,,,,,19,17,15,26,18,21,19,14,28,12,36,36,39,59,44,41,43,42,41,18,14,20,15,35,23,29.0,19,16,14,64,62,55,58,64,36.0,25+2,25+2,25+2,25,26,26,26,25,26+2,26+2,26+2,26+2,27+2,27+2,27+2,26+2,26+2,25+2,25+2,25+2,26+2,25+2,23+2,23+2,23+2,25+2,61+2
191532,/player/191532/yang-yu/240002,24.0,2.0,2023-09-22,Yu Yang,于洋,CB,62,62,190000.0,2000.0,33,1989-08-06,186,80,111774.0,Tianjin Jinmen Tiger,2012.0,Super League,1.0,SUB,5.0,,2023-04-04,2023.0,155,China PR,,,,Right,2,2,1,Medium/High,Lean (185+),No,295000.0,,Long Throw,55.0,26.0,44.0,48.0,60.0,71.0,20,17,66,60,15,36,33,30,57,55,45,63,61,54,72,43,70,69,77,23,59,59,45,35,33,54.0,58,61,60,12,7,16,7,10,,45+2,45+2,45+2,42,44,44,44,42,45+2,45+2,45+2,45+2,51+2,51+2,51+2,45+2,54+2,59+2,59+2,59+2,54+2,56+2,62,62,62,56+2,14+2
