player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
237135,/player/237135/davidson-da-luz-pereira/240002,24.0,2.0,2023-09-22,Davidson,Davidson Da Luz Pereira,"LW, ST",76,76,6000000.0,17000.0,32,1991-03-05,177,77,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,LM,11.0,,2022-02-24,2023.0,54,Brazil,,,,Right,3,4,1,High/Medium,Normal (170-185),No,9300000.0,,"Finesse Shot, Technical",82.0,74.0,70.0,80.0,41.0,73.0,69,74,63,70,64,83,77,68,63,74,82,82,84,74,80,77,77,90,65,73,73,32,75,75,73,79.0,37,44,41,9,7,8,9,8,,74+2,74+2,74+2,76,76,76,76,76,75+1,75+1,75+1,76,70+2,70+2,70+2,76,62+2,58+2,58+2,58+2,62+2,59+2,53+2,53+2,53+2,59+2,15+2
238224,/player/238224/amaral-alves-marcos-vinicius/240002,24.0,2.0,2023-09-22,Marcão,Amaral Alves Marcos Vinicius,ST,75,75,5500000.0,35000.0,29,1994-06-16,196,98,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,ST,13.0,Al Ahli Jeddah,,2024.0,54,Brazil,,,,Right,4,3,1,Medium/Medium,Stocky (185+),No,,"#Aerial threat, #Strength","Power Header, Aerial",71.0,77.0,47.0,65.0,29.0,82.0,40,82,85,54,59,67,65,45,40,66,72,71,57,71,53,80,87,75,88,68,72,15,74,43,75,67.0,35,15,24,5,7,7,8,5,,75,75,75,65,68,68,68,65,62+2,62+2,62+2,62+2,54+2,54+2,54+2,62+2,47+2,45+2,45+2,45+2,47+2,45+2,47+2,47+2,47+2,45+2,13+2
248788,/player/248788/abdul-aziz-yakubu/240002,24.0,2.0,2023-09-22,A. Yakubu,Abdul-Aziz Yakubu,ST,73,79,4900000.0,8000.0,24,1998-11-10,181,77,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,SUB,9.0,Rio Ave,,2023.0,117,Ghana,,,,Right,3,2,1,High/Low,Normal (170-185),No,,,Power Header,85.0,72.0,53.0,68.0,22.0,70.0,43,78,70,61,62,67,51,45,45,69,84,86,71,72,63,69,88,69,81,64,40,22,76,59,72,63.0,17,12,15,11,8,15,15,10,,73+2,73+2,73+2,69,71,71,71,69,67+2,67+2,67+2,67+2,59+2,59+2,59+2,67+2,47+2,44+2,44+2,44+2,47+2,45+2,40+2,40+2,40+2,45+2,18+2
212912,/player/212912/ji-soo-park/240002,24.0,2.0,2023-09-22,Park Ji Soo,박지수 朴志洙,CB,71,71,1600000.0,9000.0,29,1994-06-14,187,77,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,RCB,5.0,,2023-07-17,2024.0,167,Korea Republic,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2500000.0,,"Jockey, Block, Anticipate, Aerial",69.0,48.0,56.0,60.0,72.0,75.0,38,46,72,68,25,55,32,30,64,62,65,73,73,62,64,54,81,72,78,55,72,67,44,60,36,57.0,72,74,72,11,11,9,14,9,,57+2,57+2,57+2,57,58,58,58,57,60+2,60+2,60+2,58+2,62+2,62+2,62+2,58+2,65+2,68+2,68+2,68+2,65+2,67+2,71,71,71,67+2,17+2
222350,/player/222350/pengfei-xie/240002,24.0,2.0,2023-09-22,Xie Pengfei,谢鹏飞,"RM, RW",69,69,1300000.0,7000.0,30,1993-06-29,179,74,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,RM,30.0,,2022-04-13,2024.0,155,China PR,,,,Left,4,3,1,Medium/Medium,Lean (170-185),No,2000000.0,,"Whipped Cross, Technical",81.0,64.0,66.0,67.0,49.0,64.0,62,65,52,65,55,70,65,66,68,61,80,82,78,64,70,66,67,87,59,66,47,45,62,68,55,59.0,46,55,45,14,15,10,15,7,,64+2,64+2,64+2,67,66,66,66,67,67+2,67+2,67+2,68+1,65+2,65+2,65+2,68+1,62+2,58+2,58+2,58+2,62+2,60+2,53+2,53+2,53+2,60+2,18+2
223344,/player/223344/shihao-wei/240002,24.0,2.0,2023-09-22,Wei Shihao,韦世豪,"LM, LW, ST",69,69,1400000.0,8000.0,28,1995-04-08,178,65,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,SUB,4.0,,2023-04-04,2025.0,155,China PR,,,,Right,3,3,1,High/Low,Lean (170-185),No,2200000.0,,"Finesse Shot, Rapid, Flair",87.0,64.0,62.0,72.0,35.0,63.0,59,64,61,64,60,76,67,66,58,63,88,86,85,65,75,66,75,79,56,66,56,34,60,63,57,68.0,33,29,32,10,14,13,8,10,,66+2,66+2,66+2,69,67,67,67,69,67+2,67+2,67+2,68+1,61+2,61+2,61+2,68+1,56+2,51+2,51+2,51+2,56+2,53+2,46+2,46+2,46+2,53+2,17+2
224702,/player/224702/dianzuo-liu/240002,24.0,2.0,2023-09-22,Liu Dianzuo,刘殿座,GK,69,69,450000.0,5000.0,33,1990-06-26,190,83,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,GK,22.0,,2022-05-02,2024.0,155,China PR,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,698000.0,,,,,,,,,15,15,13,38,15,21,18,20,43,20,51,49,47,63,53,55,65,38,65,17,38,30,18,63,24,56.0,29,20,21,67,67,73,69,69,50.0,31+2,31+2,31+2,31,33,33,33,31,35+2,35+2,35+2,33+2,36+2,36+2,36+2,33+2,31+2,36+2,36+2,36+2,31+2,31+2,33+2,33+2,33+2,31+2,68+1
232871,/player/232871/zhunyi-gao/240002,24.0,2.0,2023-09-22,Gao Zhunyi,高准翼,"LB, CB",69,69,1300000.0,7000.0,27,1995-08-21,186,79,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,LB,20.0,,2022-04-29,2023.0,155,China PR,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,2000000.0,,"Finesse Shot, Trivela",71.0,52.0,62.0,67.0,66.0,73.0,65,43,66,67,47,66,55,49,64,68,74,69,68,64,58,65,81,73,77,60,61,63,51,55,56,70.0,65,70,67,15,10,12,14,11,,60+2,60+2,60+2,62,61,61,61,62,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,67+2,66+2,66+2,66+2,67+2,67+2,68+1,68+1,68+1,67+2,18+2
237010,/player/237010/hanwen-deng/240002,24.0,2.0,2023-09-22,Deng Hanwen,邓涵文,"RB, RWB",69,69,1300000.0,7000.0,28,1995-01-08,178,73,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,RB,25.0,,2022-05-02,2023.0,155,China PR,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2000000.0,,"Long Ball Pass, Block, Intercept, Anticipate, Technical",82.0,56.0,63.0,68.0,63.0,72.0,59,55,55,64,29,68,60,53,62,65,81,82,75,63,73,63,74,82,65,58,75,62,66,70,38,67.0,65,64,65,6,10,14,12,13,,63+2,63+2,63+2,66,66,66,66,66,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,67+2,66+2,66+2,66+2,67+2,67+2,65+2,65+2,65+2,67+2,16+2
222235,/player/222235/hang-ren/240002,24.0,2.0,2023-09-22,Ren Hang,任航,"CB, LB",68,68,400000.0,6000.0,34,1989-02-23,183,83,116361.0,Wuhan Three Towns,2012.0,Super League,1.0,SUB,23.0,,2022-03-22,2024.0,155,China PR,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,620000.0,,Power Header,60.0,49.0,60.0,58.0,67.0,76.0,65,49,65,58,42,60,55,39,63,59,58,62,49,65,52,57,76,72,81,43,70,65,64,62,37,60.0,66,70,67,11,6,8,15,13,,59+2,59+2,59+2,59,59,59,59,59,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,65+2,65+2,65+2,65+2,65+2,65+2,68,68,68,65+2,17+2
