player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
207554,/player/207554/viktor-claesson/240002,24.0,2.0,2023-09-22,V. Claesson,Viktor Johan Anton Claesson,CM,77,77,8500000.0,25000.0,31,1992-01-02,183,77,819.0,København,1.0,Superliga,1.0,RCM,7.0,,2022-03-30,2026.0,46,Sweden,1363.0,SUB,7.0,Right,4,3,1,High/High,Normal (170-185),No,11100000.0,#Engine,"Pinged Pass, Incisive Pass, Tiki Taka, Technical, Flair, Relentless",75.0,73.0,74.0,77.0,65.0,78.0,68,75,59,78,68,77,68,62,74,79,76,74,73,79,78,72,76,89,74,71,74,65,80,78,63,79.0,67,65,62,12,7,9,10,7,,74+2,74+2,74+2,76,77,77,77,76,77,77,77,77,77,77,77,77,73+2,73+2,73+2,73+2,73+2,71+2,68+2,68+2,68+2,71+2,17+2
228383,/player/228383/kamil-grabara/240002,24.0,2.0,2023-09-22,K. Grabara,Kamil Mieczysław Grabara,GK,76,80,8500000.0,14000.0,24,1999-01-08,195,85,819.0,København,1.0,Superliga,1.0,GK,1.0,,2021-07-03,2026.0,37,Poland,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,11700000.0,,Far Throw,,,,,,,18,15,24,48,14,19,20,24,46,32,42,42,45,66,48,54,70,38,71,16,36,23,16,57,24,56.0,25,19,18,77,76,72,76,77,42.0,33+2,33+2,33+2,32,34,34,34,32,37+2,37+2,37+2,35+2,39+2,39+2,39+2,35+2,32+2,37+2,37+2,37+2,32+2,31+2,33+2,33+2,33+2,31+2,75+2
219466,/player/219466/birger-meling/240002,24.0,2.0,2023-09-22,B. Meling,Birger Solberg Meling,LB,76,76,7000000.0,22000.0,28,1994-12-17,173,67,819.0,København,1.0,Superliga,1.0,LB,24.0,,2023-08-14,2027.0,36,Norway,1352.0,LB,5.0,Left,3,3,2,High/High,Lean (170-185),No,9100000.0,#Engine,,81.0,55.0,71.0,75.0,70.0,66.0,78,54,55,73,33,73,63,55,72,74,83,80,85,72,86,62,65,90,48,53,80,72,72,68,39,72.0,72,71,69,8,10,15,12,6,,65+2,65+2,65+2,72,70,70,70,72,71+2,71+2,71+2,74+2,72+2,72+2,72+2,74+2,75+1,72+2,72+2,72+2,75+1,74+2,68+2,68+2,68+2,74+2,16+2
201303,/player/201303/rasmus-falk/240002,24.0,2.0,2023-09-22,R. Falk,Rasmus Falk Jensen,"CM, CDM",75,75,4600000.0,22000.0,31,1992-01-15,177,65,819.0,København,1.0,Superliga,1.0,CDM,33.0,,2016-07-01,2025.0,13,Denmark,,,,Right,4,4,1,High/Medium,Lean (170-185),No,6000000.0,,"Tiki Taka, Technical, Flair",73.0,56.0,72.0,80.0,66.0,67.0,62,53,45,78,64,79,63,49,75,79,75,72,86,76,86,60,61,86,58,51,67,70,75,75,52,80.0,70,68,65,10,9,16,12,10,,66+2,66+2,66+2,72,72,72,72,72,74+1,74+1,74+1,74+1,75,75,75,74+1,73+2,73+2,73+2,73+2,73+2,71+2,66+2,66+2,66+2,71+2,18+2
224389,/player/224389/jordan-larsson/240002,24.0,2.0,2023-09-22,J. Larsson,Carl Henrik Jordan Larsson,"RW, ST",74,75,5000000.0,22000.0,26,1997-06-20,175,68,819.0,København,1.0,Superliga,1.0,ST,25.0,,2023-06-15,2027.0,46,Sweden,,,,Left,3,3,1,High/High,Lean (170-185),Yes,6900000.0,,"Finesse Shot, Power Shot, Incisive Pass, Rapid, Flair, First Touch",82.0,72.0,69.0,75.0,34.0,71.0,63,73,66,72,70,73,71,68,66,74,85,79,80,74,84,74,78,76,64,71,78,36,74,73,66,72.0,32,25,28,16,7,13,12,12,,73+2,73+2,73+2,74,74,74,74,74,74+1,74+1,74+1,73+2,68+2,68+2,68+2,73+2,57+2,56+2,56+2,56+2,57+2,54+2,49+2,49+2,49+2,54+2,19+2
240988,/player/240988/denis-vavro/240002,24.0,2.0,2023-09-22,D. Vavro,Denis Vavro,CB,73,75,3200000.0,17000.0,27,1996-04-10,189,81,819.0,København,1.0,Superliga,1.0,RCB,3.0,,2022-07-06,2026.0,43,Slovakia,,,,Right,2,2,1,High/High,Normal (185+),No,4400000.0,,"Power Shot, Long Ball Pass, Jockey, Anticipate, Slide Tackle",67.0,58.0,58.0,59.0,71.0,82.0,48,46,71,67,46,56,56,63,68,62,64,69,58,67,69,78,84,73,86,67,84,71,55,46,60,60.0,70,71,72,13,12,14,12,13,,62+2,62+2,62+2,58,60,60,60,58,59+2,59+2,59+2,59+2,63+2,63+2,63+2,59+2,66+2,69+2,69+2,69+2,66+2,67+2,73+2,73+2,73+2,67+2,19+2
231390,/player/231390/diogo-antonio-cupido-goncalves/240002,24.0,2.0,2023-09-22,Diogo Gonçalves,Diogo António Cupido Gonçalves,"RW, CAM",73,74,3600000.0,21000.0,26,1997-02-06,178,70,819.0,København,1.0,Superliga,1.0,LCM,9.0,,2023-01-05,2026.0,38,Portugal,,,,Right,4,4,1,Medium/Medium,Lean (170-185),No,5000000.0,,"Whipped Cross, Rapid",82.0,71.0,70.0,74.0,62.0,69.0,71,68,52,69,67,73,75,73,60,74,83,82,78,69,75,75,71,74,64,73,73,64,70,74,70,74.0,64,63,59,13,15,7,6,9,,70+2,70+2,70+2,73,72,72,72,73,72+2,72+2,72+2,72+2,69+2,69+2,69+2,72+2,69+2,67+2,67+2,67+2,69+2,68+2,64+2,64+2,64+2,68+2,17+2
201943,/player/201943/andreas-cornelius/240002,24.0,2.0,2023-09-22,A. Cornelius,Andreas Evald Cornelius,ST,73,73,3000000.0,21000.0,30,1993-03-16,193,91,819.0,København,1.0,Superliga,1.0,RES,14.0,,2022-09-01,2027.0,13,Denmark,,,,Left,3,2,2,Medium/Medium,Stocky (185+),No,3900000.0,#Strength,Power Header,65.0,73.0,60.0,62.0,34.0,81.0,49,75,79,67,68,62,61,54,50,66,63,67,46,74,52,78,89,69,89,65,76,31,75,67,64,72.0,38,24,15,15,9,8,11,9,,73,73,73,65,69,69,69,65,66+2,66+2,66+2,65+2,62+2,62+2,62+2,65+2,50+2,52+2,52+2,52+2,50+2,48+2,51+2,51+2,51+2,48+2,18+2
203362,/player/203362/mohamed-elyounoussi/240002,24.0,2.0,2023-09-22,M. Elyounoussi,Mohamed Amine Elyounoussi,"LW, RW",73,73,3100000.0,21000.0,28,1994-08-04,178,70,819.0,København,1.0,Superliga,1.0,LW,10.0,,2023-07-27,2027.0,36,Norway,1352.0,SUB,11.0,Right,4,4,1,High/High,Normal (170-185),Yes,4000000.0,,"Technical, Flair",71.0,70.0,69.0,76.0,55.0,69.0,70,71,65,71,67,78,70,62,62,75,68,73,76,71,77,73,70,82,62,65,70,36,72,72,64,67.0,56,63,54,12,7,8,7,13,,71+2,71+2,71+2,73,72,72,72,73,72+1,72+1,72+1,73,69+2,69+2,69+2,73,65+2,63+2,63+2,63+2,65+2,63+2,60+2,60+2,60+2,63+2,16+2
217605,/player/217605/lukas-lerager/240002,24.0,2.0,2023-09-22,L. Lerager,Lukas Reiff Lerager,CM,73,73,3000000.0,20000.0,29,1993-07-12,188,82,819.0,København,1.0,Superliga,1.0,SUB,12.0,,2022-05-21,2025.0,13,Denmark,,,,Right,3,3,1,High/High,Normal (185+),No,3900000.0,#Engine,"Power Shot, Power Header, Relentless",68.0,69.0,69.0,69.0,72.0,82.0,63,66,72,74,68,67,64,59,71,71,66,70,67,80,74,76,81,88,77,69,85,73,74,68,56,72.0,71,72,70,7,7,14,13,13,,72+1,72+1,72+1,70,71,71,71,70,71+2,71+2,71+2,71+2,73,73,73,71+2,73,74-1,74-1,74-1,73,73,74-1,74-1,74-1,73,18+2
