player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224763,/player/224763/krystian-bielik/240002,24.0,2.0,2023-09-22,K. Bielik,Krystian Bielik,"CDM, CM",72,76,3000000.0,12000.0,25,1998-01-04,192,78,88.0,Birmingham City,14.0,Championship,2.0,LDM,6.0,,2023-06-29,2026.0,37,Poland,1353.0,RES,26.0,Right,3,3,1,Medium/High,Normal (185+),No,5900000.0,,Slide Tackle,57.0,46.0,63.0,67.0,71.0,77.0,49,36,70,70,46,69,52,45,71,67,54,59,60,69,52,62,74,68,80,48,82,72,58,66,42,74.0,70,72,67,15,7,12,8,8,,59+2,59+2,59+2,60,61,61,61,60,63+2,63+2,63+2,62+2,67+2,67+2,67+2,62+2,66+2,71+2,71+2,71+2,66+2,66+2,72+2,72+2,72+2,66+2,16+2
246159,/player/246159/ethan-laird/240002,24.0,2.0,2023-09-22,E. Laird,Ethan Laird,"RB, RWB",71,80,4000000.0,8000.0,21,2001-08-05,177,66,88.0,Birmingham City,14.0,Championship,2.0,RB,2.0,,2023-06-30,2026.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,8400000.0,,Rapid,83.0,54.0,65.0,73.0,66.0,70.0,68,54,63,69,31,74,62,32,59,72,84,82,78,69,70,63,81,66,71,53,72,63,61,66,35,71.0,65,69,65,9,12,10,5,15,,65+2,65+2,65+2,69,68,68,68,69,68+2,68+2,68+2,69+2,66+2,66+2,66+2,69+2,69+2,67+2,67+2,67+2,69+2,69+2,68+2,68+2,68+2,69+2,17+2
163600,/player/163600/john-ruddy/240002,24.0,2.0,2023-09-22,J. Ruddy,John Ruddy,GK,71,71,210000.0,6000.0,36,1986-10-24,193,97,88.0,Birmingham City,14.0,Championship,2.0,GK,21.0,,2022-07-14,2024.0,14,England,,,,Right,3,1,1,Medium/Medium,Stocky (185+),Yes,399000.0,,,,,,,,,14,7,12,25,11,11,13,13,23,23,38,43,23,70,22,54,64,36,71,15,24,22,15,39,18,53.0,11,11,11,70,68,72,71,72,40.0,28+2,28+2,28+2,24,27,27,27,24,26+2,26+2,26+2,26+2,27+2,27+2,27+2,26+2,25+2,27+2,27+2,27+2,25+2,25+2,26+2,26+2,26+2,25+2,70+1
254529,/player/254529/cody-drameh/240002,24.0,2.0,2023-09-22,C. Drameh,Cody Callum Pierre Drameh,"RB, RWB",70,79,3400000.0,15000.0,21,2001-12-08,184,73,88.0,Birmingham City,14.0,Championship,2.0,SUB,12.0,Leeds United,,2024.0,14,England,,,,Right,3,2,1,High/Medium,Normal (170-185),No,,,"Anticipate, Rapid",80.0,35.0,61.0,68.0,66.0,70.0,68,29,59,65,30,71,45,33,64,65,79,80,67,65,69,42,74,74,68,33,71,63,59,58,42,60.0,65,71,69,13,8,8,13,10,,55+2,55+2,55+2,62,59,59,59,62,61+2,61+2,61+2,65+2,63+2,63+2,63+2,65+2,69+2,66+2,66+2,66+2,69+2,68+2,67+2,67+2,67+2,68+2,17+2
226677,/player/226677/juninho-bacuna/240002,24.0,2.0,2023-09-22,J. Bacuna,Juninho Bacuna,"CDM, CM",70,75,2100000.0,9000.0,25,1997-08-07,178,74,88.0,Birmingham City,14.0,Championship,2.0,RM,7.0,,2022-01-27,2025.0,85,Curacao,,,,Right,4,4,1,Medium/Medium,Lean (170-185),Yes,4100000.0,,"Long Ball Pass, Technical, Flair",73.0,68.0,70.0,73.0,65.0,77.0,70,62,61,70,61,74,69,67,71,74,76,71,73,67,71,80,79,75,74,71,84,63,68,70,59,65.0,67,68,59,6,11,8,14,10,,69+2,69+2,69+2,71,70,70,70,71,71+2,71+2,71+2,71+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,16+2
244271,/player/244271/ivan-sunjic/240002,24.0,2.0,2023-09-22,I. Šunjić,Ivan Šunjić,"CDM, CM",70,72,1800000.0,10000.0,26,1996-10-09,185,75,88.0,Birmingham City,14.0,Championship,2.0,RDM,34.0,,2019-07-26,2024.0,10,Croatia,,,,Right,3,2,1,Medium/High,Lean (185+),No,3600000.0,,Slide Tackle,61.0,57.0,58.0,63.0,70.0,76.0,51,55,69,66,43,61,31,41,65,63,66,56,72,68,57,65,72,85,68,61,85,70,56,57,43,65.0,70,71,72,9,9,13,11,11,,61+2,61+2,61+2,60,61,61,61,60,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,67+2,69+2,69+2,69+2,67+2,68+2,70+2,70+2,70+2,68+2,17+2
233151,/player/233151/koji-miyoshi/240002,24.0,2.0,2023-09-22,K. Miyoshi,三好 康児,"RM, CAM, LM",70,71,1900000.0,11000.0,26,1997-03-26,167,62,88.0,Birmingham City,14.0,Championship,2.0,SUB,11.0,,2023-07-01,2025.0,163,Japan,,,,Left,3,4,1,High/High,Lean (170-),No,3800000.0,#Acrobat,"Technical, Flair",75.0,67.0,69.0,75.0,46.0,47.0,66,64,37,71,64,73,72,70,63,71,81,70,94,66,92,72,50,56,43,72,43,43,62,70,64,64.0,44,51,47,8,9,15,7,10,,64+2,64+2,64+2,70,69,69,69,70,70+1,70+1,70+1,69+2,66+2,66+2,66+2,69+2,59+2,56+2,56+2,56+2,59+2,57+2,49+2,49+2,49+2,57+2,15+2
194146,/player/194146/kevin-long/240002,24.0,2.0,2023-09-22,K. Long,Kevin Long,CB,70,70,1000000.0,10000.0,32,1990-08-18,188,83,88.0,Birmingham City,14.0,Championship,2.0,LCB,26.0,,2023-01-05,2024.0,25,Republic of Ireland,,,,Right,2,2,1,Low/High,Normal (185+),Yes,1900000.0,,Aerial,48.0,35.0,50.0,55.0,70.0,70.0,38,29,72,59,26,52,38,32,56,56,50,47,54,66,49,56,77,44,80,27,76,68,48,50,32,66.0,72,70,66,8,14,7,8,7,,51+2,51+2,51+2,49,51,51,51,49,51+2,51+2,51+2,50+2,55+2,55+2,55+2,50+2,58+2,63+2,63+2,63+2,58+2,60+2,70,70,70,60+2,15+2
225632,/player/225632/oliver-burke/240002,24.0,2.0,2023-09-22,O. Burke,Oliver Burke,"ST, RM",69,72,1800000.0,12000.0,26,1997-04-07,188,82,88.0,Birmingham City,14.0,Championship,2.0,SUB,45.0,Werder Bremen,,2024.0,42,Scotland,,,,Right,3,3,1,Medium/Medium,Normal (185+),Yes,,,"Rapid, Quick Step",87.0,66.0,63.0,67.0,37.0,72.0,63,68,54,66,54,72,63,62,57,59,84,90,68,68,69,76,80,68,79,59,58,36,69,60,51,63.0,34,38,27,13,11,7,7,15,,69+2,69+2,69+2,68,68,68,68,68,66+2,66+2,66+2,68+2,61+2,61+2,61+2,68+2,55+2,52+2,52+2,52+2,55+2,53+2,49+2,49+2,49+2,53+2,17+2
215374,/player/215374/scott-hogan/240002,24.0,2.0,2023-09-22,S. Hogan,Scott Hogan,ST,69,69,1200000.0,10000.0,31,1992-04-13,180,73,88.0,Birmingham City,14.0,Championship,2.0,ST,9.0,,2020-09-16,2024.0,25,Republic of Ireland,,,,Right,3,3,1,High/Medium,Normal (170-185),No,2300000.0,,,80.0,68.0,54.0,68.0,33.0,63.0,54,70,71,55,69,68,64,38,53,66,81,79,71,71,67,68,82,62,64,62,57,27,72,55,65,70.0,32,30,23,9,6,12,8,12,,69,69,69,67,68,68,68,67,65+2,65+2,65+2,65+2,58+2,58+2,58+2,65+2,50+2,47+2,47+2,47+2,50+2,49+2,46+2,46+2,46+2,49+2,16+2
