player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
251626,/player/251626/milan-van-ewijk/240002,24.0,2.0,2023-09-22,M. van Ewijk,Milan Fabrizio van Ewijk,"RWB, RB",75,82,11000000.0,31000.0,22,2000-09-08,175,70,1800.0,Coventry City,14.0,Championship,2.0,RWB,27.0,,2023-07-27,2027.0,34,Netherlands,,,,Right,2,3,1,High/Medium,Normal (170-185),No,23100000.0,#Speedster,"Jockey, Intercept, Flair, Long Throw",92.0,57.0,61.0,70.0,70.0,72.0,69,52,60,66,48,71,61,64,50,68,91,93,77,66,73,68,80,82,68,61,68,70,57,54,41,65.0,70,73,70,11,13,14,12,6,,64+2,64+2,64+2,68,66,66,66,68,65+2,65+2,65+2,68+2,63+2,63+2,63+2,68+2,73+2,67+2,67+2,67+2,73+2,73+2,69+2,69+2,69+2,73+2,17+2
238743,/player/238743/haji-wright/240002,24.0,2.0,2023-09-22,H. Wright,Haji Wright,ST,74,77,5500000.0,39000.0,25,1998-03-27,191,90,1800.0,Coventry City,14.0,Championship,2.0,LS,11.0,,2023-08-04,2027.0,95,United States,,,,Right,4,2,1,Medium/Low,Normal (185+),No,10900000.0,#Strength,"Rapid, Aerial",81.0,72.0,54.0,68.0,24.0,82.0,52,75,76,59,56,69,51,52,41,70,72,89,68,70,42,78,84,73,91,60,71,12,75,58,73,69.0,20,20,18,5,15,12,8,9,,74+2,74+2,74+2,68,70,70,70,68,66+2,66+2,66+2,67+2,58+2,58+2,58+2,67+2,48+2,45+2,45+2,45+2,48+2,46+2,45+2,45+2,45+2,46+2,16+2
225779,/player/225779/ben-sheaf/240002,24.0,2.0,2023-09-22,B. Sheaf,Ben Sheaf,"CDM, CM",73,78,4100000.0,30000.0,25,1998-02-05,185,64,1800.0,Coventry City,14.0,Championship,2.0,LCM,14.0,,2021-07-01,2026.0,14,England,,,,Right,3,2,1,Medium/High,Lean (185+),No,8100000.0,,,50.0,47.0,69.0,65.0,72.0,74.0,61,37,63,76,58,63,64,62,74,67,47,52,65,66,62,57,67,75,73,51,75,75,54,65,60,69.0,72,73,68,15,10,15,13,11,,57+2,57+2,57+2,59,59,59,59,59,62+2,62+2,62+2,62+2,68+2,68+2,68+2,62+2,68+2,72+2,72+2,72+2,68+2,68+2,71+2,71+2,71+2,68+2,18+2
238058,/player/238058/callum-ohare/240002,24.0,2.0,2023-09-22,C. O'Hare,Callum O'Hare,"CAM, CF",72,77,3400000.0,29000.0,25,1998-05-01,173,65,1800.0,Coventry City,14.0,Championship,2.0,SUB,10.0,,2020-07-15,2024.0,14,England,,,,Right,3,3,1,High/High,Lean (170-185),No,6700000.0,#Engine,"Technical, Flair, Relentless",80.0,58.0,69.0,77.0,63.0,65.0,62,59,51,73,55,78,63,52,71,73,81,79,83,73,87,54,61,90,47,56,79,64,74,72,58,69.0,64,67,61,11,7,11,14,15,,65+2,65+2,65+2,72,71,71,71,72,72+2,72+2,72+2,73+2,72+2,72+2,72+2,73+2,71+2,70+2,70+2,70+2,71+2,69+2,64+2,64+2,64+2,69+2,18+2
254910,/player/254910/tatsuhiro-sakamoto/240002,24.0,2.0,2023-09-22,T. Sakamoto,坂元 達裕,"CAM, RWB, LWB",72,73,2800000.0,30000.0,26,1996-10-22,170,63,1800.0,Coventry City,14.0,Championship,2.0,SUB,7.0,,2023-07-10,2026.0,163,Japan,,,,Left,4,3,1,High/High,Lean (170-),No,5500000.0,,Rapid,78.0,65.0,69.0,75.0,64.0,66.0,69,63,45,70,61,76,69,68,68,73,85,72,81,67,88,69,62,85,52,69,77,66,74,70,52,65.0,65,66,65,12,7,12,7,10,,67+2,67+2,67+2,72,71,71,71,72,72+1,72+1,72+1,73,71+2,71+2,71+2,73,71+2,69+2,69+2,69+2,71+2,69+2,64+2,64+2,64+2,69+2,16+2
173671,/player/173671/kyle-mcfadzean/240002,24.0,2.0,2023-09-22,K. McFadzean,Kyle John McFadzean,CB,71,71,325000.0,17000.0,36,1987-02-28,185,85,1800.0,Coventry City,14.0,Championship,2.0,CB,5.0,,2019-07-01,2024.0,14,England,,,,Right,2,2,1,Medium/High,Normal (185+),No,618000.0,,Bruiser,32.0,37.0,49.0,51.0,71.0,79.0,20,35,73,64,28,50,22,35,64,53,33,31,33,67,47,51,73,69,84,33,80,71,26,51,36,62.0,74,70,63,11,13,11,6,6,,48+2,48+2,48+2,43,47,47,47,43,49+2,49+2,49+2,47+2,57+2,57+2,57+2,47+2,57+2,67+2,67+2,67+2,57+2,59+2,71,71,71,59+2,15+2
196952,/player/196952/jake-bidwell/240002,24.0,2.0,2023-09-22,J. Bidwell,Jake Bidwell,"LWB, LB, CB",71,71,1600000.0,24000.0,30,1993-03-21,183,80,1800.0,Coventry City,14.0,Championship,2.0,SUB,21.0,,2022-01-17,2025.0,14,England,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,3000000.0,,,68.0,48.0,65.0,62.0,68.0,76.0,71,37,65,64,44,56,60,59,65,69,67,68,62,69,64,66,74,81,73,51,78,67,63,63,49,66.0,70,69,65,13,13,12,12,12,,60+2,60+2,60+2,61,61,61,61,61,62+2,62+2,62+2,64+2,65+2,65+2,65+2,64+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,19+2
232755,/player/232755/jay-dasilva/240002,24.0,2.0,2023-09-22,J. Dasilva,Jay Dasilva,"LWB, LB",70,74,2100000.0,20000.0,25,1998-04-22,170,64,1800.0,Coventry City,14.0,Championship,2.0,LWB,3.0,,2023-07-01,2027.0,14,England,,,,Left,3,3,1,Medium/Medium,Normal (170-),No,4100000.0,,"Rapid, Quick Step",84.0,40.0,61.0,72.0,64.0,56.0,68,35,51,66,34,71,70,59,49,70,87,81,85,63,84,50,64,67,49,38,57,65,58,54,43,65.0,65,66,65,13,15,12,8,5,,56+2,56+2,56+2,65,61,61,61,65,62+2,62+2,62+2,65+2,61+2,61+2,61+2,65+2,68+2,63+2,63+2,63+2,68+2,67+2,62+2,62+2,62+2,67+2,16+2
245900,/player/245900/luis-binks/240002,24.0,2.0,2023-09-22,L. Binks,Luis Thomas Binks,CB,69,79,2900000.0,9000.0,21,2001-09-02,188,86,1800.0,Coventry City,14.0,Championship,2.0,SUB,2.0,Bologna,,2024.0,14,England,,,,Left,3,2,1,Low/High,Normal (185+),No,,#Strength,Slide Tackle,59.0,29.0,49.0,53.0,67.0,80.0,35,23,65,63,28,48,30,33,59,63,53,63,47,62,45,43,76,71,86,26,77,71,24,40,48,53.0,68,65,64,5,6,10,10,6,,47+2,47+2,47+2,46,47,47,47,46,49+2,49+2,49+2,50+2,55+2,55+2,55+2,50+2,61+2,66+2,66+2,66+2,61+2,62+2,69+2,69+2,69+2,62+2,13+2
251198,/player/251198/ellis-simms/240002,24.0,2.0,2023-09-22,E. Simms,Ellis Simms,ST,69,78,3200000.0,19000.0,22,2001-01-05,191,73,1800.0,Coventry City,14.0,Championship,2.0,SUB,9.0,,2023-07-07,2027.0,14,England,,,,Right,4,3,1,High/Low,Normal (185+),No,6700000.0,,,71.0,68.0,52.0,66.0,26.0,74.0,45,72,68,60,60,67,55,51,44,65,64,76,64,64,62,70,79,67,81,58,64,21,70,52,64,69.0,19,24,19,13,10,14,11,9,,69+2,69+2,69+2,64,66,66,66,64,63+2,63+2,63+2,62+2,56+2,56+2,56+2,62+2,46+2,45+2,45+2,45+2,46+2,44+2,43+2,43+2,43+2,44+2,17+2
251555,/player/251555/josh-eccles/240002,24.0,2.0,2023-09-22,J. Eccles,Josh Eccles,"CDM, CM, RWB",69,78,2900000.0,15000.0,23,2000-04-06,181,66,1800.0,Coventry City,14.0,Championship,2.0,RCM,28.0,,2018-07-20,2027.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,6100000.0,,,71.0,50.0,65.0,65.0,67.0,67.0,64,47,54,71,46,63,56,45,66,64,73,70,75,62,72,56,67,72,64,48,69,70,56,61,67,65.0,69,67,69,9,9,7,6,11,,58+2,58+2,58+2,62,61,61,61,62,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,68+2,15+2
