player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
242656,/player/242656/illan-meslier/240002,24.0,2.0,2023-09-22,I. Meslier,Illan Meslier,GK,75,82,9500000.0,24000.0,23,2000-03-02,196,74,8.0,Leeds United,14.0,Championship,2.0,GK,1.0,,2020-07-23,2026.0,18,France,,,,Left,3,1,1,Medium/Medium,Lean (185+),Yes,20000000.0,,"Far Throw, Footwork",,,,,,,18,11,15,50,9,20,12,10,50,35,37,40,42,72,25,53,56,40,53,17,27,19,8,61,11,65.0,22,17,19,76,74,71,71,79,38.0,30+2,30+2,30+2,32,34,34,34,32,38+2,38+2,38+2,35+2,41+2,41+2,41+2,35+2,32+2,36+2,36+2,36+2,32+2,30+2,29+2,29+2,29+2,30+2,74+2
232104,/player/232104/daniel-james/240002,24.0,2.0,2023-09-22,D. James,Daniel James,"RM, ST, LM",75,78,7500000.0,38000.0,25,1997-11-10,171,76,8.0,Leeds United,14.0,Championship,2.0,SUB,20.0,,2021-08-31,2026.0,50,Wales,1367.0,LM,20.0,Right,4,3,1,High/High,Lean (170-185),Yes,14800000.0,#Speedster,"Rapid, Quick Step",93.0,69.0,66.0,74.0,46.0,63.0,71,70,50,68,58,72,73,54,58,74,94,93,83,76,82,73,68,73,52,65,79,42,74,63,64,58.0,52,45,34,7,6,11,15,9,,71+2,71+2,71+2,74,73,73,73,74,72+2,72+2,72+2,74+2,66+2,66+2,66+2,74+2,63+2,59+2,59+2,59+2,63+2,60+2,54+2,54+2,54+2,60+2,17+2
206534,/player/206534/patrick-bamford/240002,24.0,2.0,2023-09-22,P. Bamford,Patrick Bamford,ST,75,75,5500000.0,45000.0,29,1993-09-05,185,71,8.0,Leeds United,14.0,Championship,2.0,RES,9.0,,2018-07-31,2026.0,14,England,,,,Left,3,3,2,High/High,Lean (185+),Yes,10500000.0,,,75.0,73.0,68.0,72.0,42.0,74.0,59,73,75,73,69,70,68,59,63,75,71,78,67,77,65,76,82,81,74,69,65,47,81,74,71,74.0,50,27,20,9,7,11,6,16,,75,75,75,72,75,75,75,72,73+2,73+2,73+2,72+2,69+2,69+2,69+2,72+2,58+2,59+2,59+2,59+2,58+2,56+2,54+2,54+2,54+2,56+2,17+2
258906,/player/258906/wilfried-gnonto/240002,24.0,2.0,2023-09-22,W. Gnonto,Degnand Wilfried Gnonto,"LM, RM, ST",74,84,9000000.0,21000.0,19,2003-11-05,169,71,8.0,Leeds United,14.0,Championship,2.0,LM,29.0,,2022-09-01,2027.0,27,Italy,1343.0,SUB,11.0,Right,3,3,1,High/Medium,Stocky (170-),No,18900000.0,,"Rapid, Quick Step",86.0,70.0,63.0,80.0,31.0,66.0,60,71,62,70,59,81,52,46,64,78,88,85,86,67,85,74,79,65,67,67,59,25,72,61,68,74.0,37,21,19,11,9,10,10,13,,72+2,72+2,72+2,74,74,74,74,74,73+2,73+2,73+2,73+2,65+2,65+2,65+2,73+2,54+2,51+2,51+2,51+2,54+2,50+2,45+2,45+2,45+2,50+2,17+2
243702,/player/243702/djed-spence/240002,24.0,2.0,2023-09-22,D. Spence,Djed Spence,"RB, RWB",74,83,9000000.0,46000.0,22,2000-08-09,185,71,8.0,Leeds United,14.0,Championship,2.0,RB,39.0,Tottenham Hotspur,,2024.0,14,England,,,,Right,3,3,1,High/High,Lean (185+),No,,,Technical,88.0,43.0,61.0,74.0,68.0,63.0,72,38,51,68,27,77,57,28,53,72,87,88,79,73,67,54,72,73,63,45,46,72,56,52,37,65.0,67,73,64,13,8,7,11,6,,59+2,59+2,59+2,68,64,64,64,68,65+2,65+2,65+2,69+2,64+2,64+2,64+2,69+2,72+2,66+2,66+2,66+2,72+2,72+2,66+2,66+2,66+2,72+2,16+2
235735,/player/235735/ethan-ampadu/240002,24.0,2.0,2023-09-22,E. Ampadu,Ethan Kwame Colm Raymond Ampadu,"CDM, CM, CB",74,81,8000000.0,29000.0,22,2000-09-14,183,78,8.0,Leeds United,14.0,Championship,2.0,RDM,4.0,,2023-07-19,2027.0,50,Wales,1367.0,LDM,15.0,Right,3,2,2,Low/Medium,Unique,Yes,16800000.0,,Slide Tackle,66.0,49.0,63.0,69.0,74.0,70.0,46,51,67,76,35,67,47,36,69,72,69,63,67,75,68,52,72,71,66,47,78,74,59,65,39,69.0,75,76,73,13,12,9,8,12,,62+2,62+2,62+2,64,65,65,65,64,67+2,67+2,67+2,66+2,69+2,69+2,69+2,66+2,69+2,73+2,73+2,73+2,69+2,70+2,73+2,73+2,73+2,70+2,18+2
247249,/player/247249/joel-piroe/240002,24.0,2.0,2023-09-22,J. Piroe,Joël Mohammed Ramzan Piroe,"ST, RW, CAM",74,81,8500000.0,35000.0,23,1999-08-02,185,74,8.0,Leeds United,14.0,Championship,2.0,CAM,7.0,,2023-08-24,2027.0,34,Netherlands,,,,Left,4,3,1,Medium/Medium,Normal (185+),No,17900000.0,,Finesse Shot,66.0,77.0,62.0,71.0,29.0,71.0,47,78,70,72,66,69,55,54,57,75,63,69,65,74,63,79,79,69,82,75,45,21,77,68,72,74.0,20,29,27,10,13,9,7,11,,74+2,74+2,74+2,70,73,73,73,70,71+2,71+2,71+2,68+2,66+2,66+2,66+2,68+2,50+2,50+2,50+2,50+2,50+2,48+2,46+2,46+2,46+2,48+2,17+2
229266,/player/229266/joe-rodon/240002,24.0,2.0,2023-09-22,J. Rodon,Joe Rodon,CB,74,78,5500000.0,51000.0,25,1997-10-22,193,88,8.0,Leeds United,14.0,Championship,2.0,RCB,14.0,Tottenham Hotspur,,2024.0,50,Wales,1367.0,LCB,6.0,Right,4,2,1,Medium/Medium,Lean (185+),Yes,,,Aerial,54.0,32.0,51.0,57.0,75.0,73.0,34,23,73,73,34,53,34,32,63,64,49,58,44,75,54,61,76,66,79,24,67,80,23,31,40,61.0,73,74,74,10,13,7,11,8,,51+2,51+2,51+2,48,49,49,49,48,50+2,50+2,50+2,52+2,58+2,58+2,58+2,52+2,65+2,70+2,70+2,70+2,65+2,67+2,74+2,74+2,74+2,67+2,17+2
189456,/player/189456/liam-cooper/240002,24.0,2.0,2023-09-22,L. Cooper,Liam Cooper,CB,74,74,2900000.0,34000.0,31,1991-08-30,187,73,8.0,Leeds United,14.0,Championship,2.0,RES,6.0,,2014-08-13,2024.0,42,Scotland,1359.0,SUB,16.0,Left,2,2,1,Low/High,Lean (185+),Yes,5500000.0,,,48.0,35.0,56.0,57.0,75.0,72.0,45,26,73,71,33,53,31,26,65,59,47,48,51,73,56,52,73,61,75,38,78,75,37,46,34,68.0,74,77,76,10,12,10,9,15,,51+2,51+2,51+2,50,51,51,51,50,53+2,53+2,53+2,53+2,60+2,60+2,60+2,53+2,65+2,70+2,70+2,70+2,65+2,67+2,74,74,74,67+2,18+2
193331,/player/193331/karl-darlow/240002,24.0,2.0,2023-09-22,K. Darlow,Karl Darlow,GK,74,74,2100000.0,27000.0,32,1990-10-08,190,88,8.0,Leeds United,14.0,Championship,2.0,SUB,28.0,,2023-07-29,2026.0,14,England,,,,Right,2,1,1,Medium/Medium,Normal (185+),Yes,4000000.0,,Far Throw,,,,,,,12,14,12,36,15,14,19,16,30,31,60,54,64,66,64,50,67,44,60,11,13,26,18,37,19,53.0,17,11,12,75,70,67,73,77,58.0,31+2,31+2,31+2,31,32,32,32,31,32+2,32+2,32+2,32+2,32+2,32+2,32+2,32+2,30+2,30+2,30+2,30+2,30+2,29+2,26+2,26+2,26+2,29+2,73+1
251954,/player/251954/crysencio-summerville/240002,24.0,2.0,2023-09-22,C. Summerville,Crysencio Summerville,"RM, LM",73,82,7000000.0,25000.0,21,2001-10-30,174,64,8.0,Leeds United,14.0,Championship,2.0,RM,10.0,,2020-09-16,2026.0,34,Netherlands,,,,Right,3,3,1,High/Medium,Lean (170-185),No,14700000.0,,"Rapid, Quick Step, Trivela",89.0,69.0,63.0,77.0,35.0,54.0,66,72,41,68,54,78,60,63,47,72,91,88,88,69,82,69,61,65,51,66,47,18,70,64,64,71.0,44,38,26,9,9,15,11,10,,68+2,68+2,68+2,74,72,72,72,74,71+2,71+2,71+2,72+2,62+2,62+2,62+2,72+2,56+2,49+2,49+2,49+2,56+2,52+2,43+2,43+2,43+2,52+2,17+2
239360,/player/239360/pascal-struijk/240002,24.0,2.0,2023-09-22,P. Struijk,Pascal Struijk,"CB, LB",73,78,4200000.0,27000.0,23,1999-08-11,190,79,8.0,Leeds United,14.0,Championship,2.0,LCB,21.0,,2018-01-30,2027.0,34,Netherlands,,,,Left,4,2,1,Medium/High,Normal (185+),Yes,8300000.0,,,59.0,43.0,59.0,64.0,73.0,77.0,42,39,73,72,34,62,42,32,69,70,57,60,53,72,54,62,79,74,79,30,74,74,44,56,62,73.0,72,73,72,14,8,8,10,14,,58+2,58+2,58+2,57,58,58,58,57,60+2,60+2,60+2,60+2,65+2,65+2,65+2,60+2,67+2,72+2,72+2,72+2,67+2,68+2,73+2,73+2,73+2,68+2,18+2
