player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
253055,/player/253055/isaiah-jones/240002,24.0,2.0,2023-09-22,I. Jones,Isaiah Jones,"RWB, RM",73,78,4300000.0,18000.0,24,1999-06-26,176,71,12.0,Middlesbrough,14.0,Championship,2.0,RM,11.0,,2019-07-01,2025.0,14,England,,,,Right,4,3,1,High/Medium,Lean (170-185),No,8500000.0,,Technical,85.0,55.0,65.0,73.0,64.0,59.0,72,55,49,69,48,75,50,41,59,72,84,86,75,70,77,59,66,79,56,50,41,60,61,64,54,60.0,66,69,63,13,12,8,8,10,,63+2,63+2,63+2,70,67,67,67,70,68+2,68+2,68+2,71+2,67+2,67+2,67+2,71+2,71+2,65+2,65+2,65+2,71+2,69+2,62+2,62+2,62+2,69+2,17+2
229682,/player/229682/dael-fry/240002,24.0,2.0,2023-09-22,D. Fry,Dael Fry,CB,73,77,3800000.0,20000.0,25,1997-08-30,191,72,12.0,Middlesbrough,14.0,Championship,2.0,RCB,6.0,,2014-10-13,2026.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (185+),Yes,7500000.0,,,65.0,29.0,56.0,59.0,74.0,72.0,54,25,73,64,26,57,35,22,56,65,61,68,36,73,62,40,79,66,76,25,66,75,29,58,36,70.0,76,72,72,10,8,12,14,7,,50+2,50+2,50+2,53,52,52,52,53,54+2,54+2,54+2,57+2,59+2,59+2,59+2,57+2,67+2,68+2,68+2,68+2,67+2,69+2,73+2,73+2,73+2,69+2,17+2
211009,/player/211009/darragh-lenihan/240002,24.0,2.0,2023-09-22,D. Lenihan,Darragh Lenihan,CB,73,74,2800000.0,22000.0,29,1994-03-16,188,76,12.0,Middlesbrough,14.0,Championship,2.0,LCB,26.0,,2022-07-01,2026.0,25,Republic of Ireland,1355.0,RES,28.0,Right,3,2,1,Medium/High,Normal (185+),No,5500000.0,,"Long Ball Pass, Aerial",67.0,46.0,58.0,59.0,73.0,76.0,53,40,72,68,44,56,39,37,63,59,64,69,62,63,63,54,80,72,76,53,82,75,49,53,48,63.0,71,74,73,11,6,14,7,15,,57+2,57+2,57+2,57,56,56,56,57,58+2,58+2,58+2,59+2,61+2,61+2,61+2,59+2,67+2,69+2,69+2,69+2,67+2,68+2,73+1,73+1,73+1,68+2,16+2
233487,/player/233487/riley-mcgree/240002,24.0,2.0,2023-09-22,R. McGree,Riley Patrick McGree,"LM, CM",72,78,3700000.0,18000.0,24,1998-11-02,178,72,12.0,Middlesbrough,14.0,Championship,2.0,SUB,8.0,,2022-01-14,2025.0,195,Australia,,,,Left,3,3,1,High/Medium,Normal (170-185),No,7800000.0,,Technical,79.0,67.0,68.0,73.0,63.0,73.0,67,66,52,71,64,72,70,62,63,71,81,77,84,71,77,68,75,78,73,67,67,68,72,70,63,74.0,65,63,58,12,9,5,8,13,,69+2,69+2,69+2,72,71,71,71,72,71+2,71+2,71+2,71+2,70+2,70+2,70+2,71+2,69+2,68+2,68+2,68+2,69+2,68+2,65+2,65+2,65+2,68+2,17+2
236530,/player/236530/lewis-obrien/240002,24.0,2.0,2023-09-22,L. O'Brien,Lewis O'Brien,"CM, CDM, LM",72,77,3500000.0,35000.0,24,1998-10-14,173,63,12.0,Middlesbrough,14.0,Championship,2.0,SUB,28.0,Nottingham Forest,,2024.0,14,England,,,,Left,2,3,1,High/High,Normal (170-185),Yes,,#Engine,"Slide Tackle, Technical",68.0,62.0,66.0,75.0,69.0,72.0,56,60,53,73,52,75,42,47,66,74,72,64,79,75,85,67,66,91,60,65,78,69,68,72,42,72.0,67,74,73,13,13,11,7,7,,66+2,66+2,66+2,70,70,70,70,70,71+2,71+2,71+2,71+2,72+2,72+2,72+2,71+2,72+2,72+2,72+2,72+2,72+2,71+2,69+2,69+2,69+2,71+2,17+2
213697,/player/213697/paddy-mcnair/240002,24.0,2.0,2023-09-22,P. McNair,Patrick James Coleman McNair,CB,72,74,2400000.0,20000.0,28,1995-04-27,183,72,12.0,Middlesbrough,14.0,Championship,2.0,RB,17.0,,2018-06-26,2024.0,35,Northern Ireland,110081.0,RCB,17.0,Right,3,3,1,Medium/High,Normal (170-185),Yes,4700000.0,,,64.0,62.0,67.0,68.0,73.0,75.0,68,58,71,68,45,68,68,61,66,69,65,64,62,71,63,69,78,76,74,68,76,71,59,64,65,68.0,73,74,71,14,8,11,8,14,,65+2,65+2,65+2,66,66,66,66,66,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,70+2,71+2,71+2,71+2,70+2,70+2,72+2,72+2,72+2,70+2,18+2
221600,/player/221600/matt-clarke/240002,24.0,2.0,2023-09-22,M. Clarke,Matt Clarke,CB,71,74,2200000.0,17000.0,26,1996-09-22,185,83,12.0,Middlesbrough,14.0,Championship,2.0,RES,5.0,,2022-08-25,2025.0,14,England,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,4300000.0,#Strength,"Power Header, Bruiser",52.0,37.0,53.0,62.0,71.0,78.0,45,30,71,61,36,64,36,36,59,61,50,53,47,64,65,57,79,63,86,33,78,70,47,53,34,70.0,72,71,69,11,6,14,12,11,,54+2,54+2,54+2,53,54,54,54,53,54+2,54+2,54+2,55+2,59+2,59+2,59+2,55+2,62+2,67+2,67+2,67+2,62+2,63+2,71+2,71+2,71+2,63+2,16+2
227806,/player/227806/daniel-barlaser/240002,24.0,2.0,2023-09-22,D. Barlaser,Daniel Tan Barlaser,"CDM, CM",71,74,2200000.0,17000.0,26,1997-01-18,184,62,12.0,Middlesbrough,14.0,Championship,2.0,SUB,4.0,,2023-01-29,2026.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,4300000.0,,"Pinged Pass, Long Ball Pass, First Touch",54.0,62.0,71.0,68.0,66.0,70.0,70,57,55,72,65,66,70,67,73,71,54,54,65,70,65,68,65,74,72,62,63,69,63,71,69,67.0,66,68,63,11,7,10,7,11,,63+2,63+2,63+2,65,65,65,65,65,67+2,67+2,67+2,67+2,70+2,70+2,70+2,67+2,68+2,70+2,70+2,70+2,68+2,66+2,66+2,66+2,66+2,66+2,16+2
239358,/player/239358/seny-dieng/240002,24.0,2.0,2023-09-22,S. Dieng,Seny Timothy Dieng,GK,71,74,1700000.0,14000.0,28,1994-11-23,193,90,12.0,Middlesbrough,14.0,Championship,2.0,GK,1.0,,2023-07-08,2027.0,136,Senegal,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3400000.0,,,,,,,,,7,9,20,45,8,10,31,8,45,20,39,41,34,70,33,52,63,26,63,5,24,11,6,50,8,44.0,8,9,14,70,67,69,67,74,40.0,27+2,27+2,27+2,25,28,28,28,25,30+2,30+2,30+2,28+2,32+2,32+2,32+2,28+2,24+2,29+2,29+2,29+2,24+2,23+2,25+2,25+2,25+2,23+2,70+2
202693,/player/202693/matt-crooks/240002,24.0,2.0,2023-09-22,M. Crooks,Matt Davidson Rider Crooks,CM,71,71,1800000.0,19000.0,29,1994-01-20,192,80,12.0,Middlesbrough,14.0,Championship,2.0,SUB,25.0,,2021-07-23,2025.0,14,England,,,,Right,2,2,1,High/Medium,Normal (185+),No,3400000.0,,"Power Header, Slide Tackle",65.0,67.0,64.0,68.0,68.0,82.0,45,69,68,72,55,69,54,52,69,70,62,67,63,70,50,69,78,86,82,67,77,66,68,70,58,65.0,66,72,65,8,15,7,8,6,,69+2,69+2,69+2,66,69,69,69,66,69+2,69+2,69+2,67+2,71,71,71,67+2,67+2,71,71,71,67+2,67+2,71,71,71,67+2,16+2
