player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
239373,/player/239373/zian-flemming/240002,24.0,2.0,2023-09-22,Z. Flemming,Zian Flemming,CAM,74,76,5500000.0,22000.0,24,1998-08-01,185,84,97.0,Millwall,14.0,Championship,2.0,CAM,10.0,,2022-07-01,2025.0,34,Netherlands,,,,Right,4,3,1,High/Medium,Normal (185+),No,10900000.0,,"Power Header, Long Throw",71.0,75.0,72.0,73.0,57.0,78.0,65,74,73,75,68,73,75,75,70,75,67,75,67,73,70,78,81,82,77,76,77,49,75,73,68,73.0,58,59,51,13,7,7,8,9,,74+2,74+2,74+2,73,74,74,74,73,74+2,74+2,74+2,73+2,72+2,72+2,72+2,73+2,66+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,64+2,64+2,16+2
216481,/player/216481/jake-cooper/240002,24.0,2.0,2023-09-22,J. Cooper,Jake Cooper,CB,74,75,4000000.0,24000.0,28,1995-02-03,199,85,97.0,Millwall,14.0,Championship,2.0,LCB,5.0,,2017-07-28,2024.0,14,England,,,,Left,2,2,1,Medium/Medium,Normal (185+),No,7900000.0,"#Aerial threat, #Strength","Power Header, Long Ball Pass, Bruiser, Aerial",52.0,32.0,48.0,53.0,74.0,82.0,27,30,81,60,32,49,27,28,60,60,51,52,43,71,46,42,86,73,88,22,77,72,33,50,41,58.0,75,71,72,8,10,13,12,10,,50+2,50+2,50+2,47,49,49,49,47,50+2,50+2,50+2,51+2,57+2,57+2,57+2,51+2,62+2,68+2,68+2,68+2,62+2,64+2,74+1,74+1,74+1,64+2,17+2
225317,/player/225317/kevin-nisbet/240002,24.0,2.0,2023-09-22,K. Nisbet,Kevin Nisbet,ST,72,75,3100000.0,23000.0,26,1997-03-08,180,75,97.0,Millwall,14.0,Championship,2.0,LS,7.0,,2023-07-01,2026.0,42,Scotland,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,6100000.0,,Trivela,66.0,74.0,64.0,69.0,37.0,71.0,53,78,70,67,69,68,63,68,64,71,68,65,71,70,70,74,76,74,72,68,64,40,74,68,67,69.0,30,34,32,7,13,10,7,13,,72+2,72+2,72+2,69,71,71,71,69,70+2,70+2,70+2,68+2,66+2,66+2,66+2,68+2,54+2,55+2,55+2,55+2,54+2,52+2,50+2,50+2,50+2,52+2,17+2
198437,/player/198437/tom-bradshaw/240002,24.0,2.0,2023-09-22,T. Bradshaw,Tom Bradshaw,ST,72,72,2300000.0,23000.0,30,1992-07-27,178,71,97.0,Millwall,14.0,Championship,2.0,RS,9.0,,2019-01-01,2024.0,50,Wales,,,,Right,3,3,1,High/Medium,Normal (170-185),No,4400000.0,,,79.0,71.0,51.0,70.0,30.0,68.0,45,75,69,65,69,64,38,37,45,72,78,79,84,74,84,68,78,82,68,62,49,20,75,46,73,71.0,30,24,31,12,12,16,11,14,,72,72,72,68,69,69,69,68,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,52+2,48+2,48+2,48+2,52+2,50+2,45+2,45+2,45+2,50+2,19+2
216270,/player/216270/george-honeyman/240002,24.0,2.0,2023-09-22,G. Honeyman,George Honeyman,"RM, CM",72,72,2400000.0,22000.0,28,1994-09-08,173,72,97.0,Millwall,14.0,Championship,2.0,SUB,39.0,,2022-06-28,2025.0,14,England,,,,Right,3,3,1,High/High,Normal (170-185),No,4600000.0,#Engine,Relentless,71.0,64.0,71.0,70.0,65.0,73.0,70,65,48,72,55,68,69,66,68,70,68,73,73,70,82,66,62,91,65,60,74,64,67,73,64,67.0,65,70,67,11,15,16,10,8,,65+2,65+2,65+2,69,68,68,68,69,69+2,69+2,69+2,71+1,71+1,71+1,71+1,71+1,71+1,70+2,70+2,70+2,71+1,70+2,66+2,66+2,66+2,70+2,18+2
239443,/player/239443/danny-mcnamara/240002,24.0,2.0,2023-09-22,D. McNamara,Danny McNamara,"RB, RWB",71,75,2500000.0,14000.0,24,1998-12-27,174,72,97.0,Millwall,14.0,Championship,2.0,SUB,2.0,,2017-06-03,2025.0,25,Republic of Ireland,,,,Right,2,2,1,High/Medium,Lean (170-185),No,4900000.0,,,78.0,41.0,60.0,67.0,66.0,70.0,66,39,57,66,31,65,49,40,56,66,79,78,77,69,78,50,73,81,65,37,66,66,58,55,41,64.0,66,68,65,14,6,6,11,15,,57+2,57+2,57+2,63,60,60,60,63,61+2,61+2,61+2,65+2,62+2,62+2,62+2,65+2,69+2,66+2,66+2,66+2,69+2,69+2,66+2,66+2,66+2,69+2,18+2
231423,/player/231423/casper-de-norre/240002,24.0,2.0,2023-09-22,C. De Norre,Casper De Norre,"CM, LM, CDM",71,74,2400000.0,18000.0,26,1997-02-07,175,75,97.0,Millwall,14.0,Championship,2.0,SUB,24.0,,2023-07-21,2026.0,7,Belgium,,,,Right,4,3,1,Medium/High,Normal (170-185),No,4700000.0,,"Long Ball Pass, Whipped Cross, Slide Tackle",66.0,64.0,67.0,72.0,67.0,70.0,65,61,51,71,56,72,70,47,70,74,65,67,70,68,77,73,70,82,63,67,70,69,72,65,51,68.0,67,69,70,11,8,13,14,11,,66+2,66+2,66+2,69,69,69,69,69,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,70+2,70+2,70+2,70+2,70+2,69+2,67+2,67+2,67+2,69+2,17+2
193549,/player/193549/shaun-hutchinson/240002,24.0,2.0,2023-09-22,S. Hutchinson,Shaun Hutchinson,CB,71,71,1200000.0,17000.0,32,1990-11-23,188,80,97.0,Millwall,14.0,Championship,2.0,CB,4.0,,2016-07-01,2024.0,14,England,,,,Right,3,2,1,Low/Medium,Normal (185+),No,2300000.0,,"Long Ball Pass, Slide Tackle",46.0,29.0,50.0,53.0,72.0,77.0,46,22,74,50,18,53,49,35,58,50,41,50,50,69,49,54,75,66,82,23,78,75,23,53,25,56.0,69,72,71,8,10,12,13,16,,46+2,46+2,46+2,45,45,45,45,45,46+2,46+2,46+2,48+2,53+2,53+2,53+2,48+2,61+2,65+2,65+2,65+2,61+2,63+2,71,71,71,63+2,18+2
208024,/player/208024/murray-wallace/240002,24.0,2.0,2023-09-22,M. Wallace,Murray Wallace,"CB, LB",71,71,1500000.0,17000.0,30,1993-01-10,188,75,97.0,Millwall,14.0,Championship,2.0,SUB,3.0,,2018-06-20,2025.0,42,Scotland,,,,Left,2,2,1,Medium/Medium,Normal (185+),No,2900000.0,,Long Throw,58.0,29.0,55.0,60.0,72.0,79.0,58,21,71,64,21,59,34,24,60,63,53,62,55,67,56,45,79,80,82,24,69,70,57,44,34,61.0,72,73,70,10,11,16,9,7,,52+2,52+2,52+2,54,53,53,53,54,54+2,54+2,54+2,58+2,59+2,59+2,59+2,58+2,67+2,68+2,68+2,68+2,67+2,68+2,71,71,71,68+2,16+2
200689,/player/200689/ryan-leonard/240002,24.0,2.0,2023-09-22,R. Leonard,Ryan Leonard,"CDM, RWB, CM",70,70,1100000.0,15000.0,31,1992-05-24,185,82,97.0,Millwall,14.0,Championship,2.0,RCB,18.0,,2019-01-01,2025.0,14,England,,,,Right,3,3,1,High/High,Normal (185+),No,2100000.0,,"Block, Rapid, Long Throw",73.0,65.0,65.0,67.0,67.0,78.0,61,58,60,70,68,66,55,55,68,64,70,76,75,70,69,80,77,84,79,68,70,68,61,65,53,65.0,67,68,70,10,14,9,8,13,,66+2,66+2,66+2,66,66,66,66,66,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,69+1,69+1,69+1,69+1,69+1,69+1,69+1,69+1,69+1,69+1,18+2
