player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
234913,/player/234913/christian-fassnacht/240002,24.0,2.0,2023-09-22,C. Fassnacht,Christian Fassnacht,"RM, CM",76,76,7500000.0,36000.0,29,1993-11-11,185,77,1792.0,Norwich City,14.0,Championship,2.0,RM,16.0,,2023-07-23,2025.0,47,Switzerland,,,,Right,3,3,1,High/Medium,Lean (185+),No,14300000.0,,"Power Header, Flair",82.0,70.0,70.0,75.0,37.0,72.0,68,73,78,72,67,77,50,68,68,76,79,84,73,72,68,68,90,76,80,66,43,35,77,73,58,71.0,32,32,25,12,13,13,12,6,,75+1,75+1,75+1,75,75,75,75,75,74+2,74+2,74+2,75+1,69+2,69+2,69+2,75+1,58+2,55+2,55+2,55+2,58+2,55+2,50+2,50+2,50+2,55+2,18+2
270571,/player/270571/gabriel-davi-gomes-sara/240002,24.0,2.0,2023-09-22,Gabriel Sara,Gabriel Davi Gomes Sara,CM,74,79,6500000.0,26000.0,24,1999-06-26,177,79,1792.0,Norwich City,14.0,Championship,2.0,LCM,17.0,,2022-07-15,2026.0,54,Brazil,,,,Left,3,3,1,High/Medium,Stocky (170-185),No,12800000.0,,"Power Shot, Flair",76.0,74.0,74.0,75.0,59.0,80.0,68,72,68,76,67,75,71,71,74,77,73,79,71,75,76,86,81,83,79,74,77,55,77,76,50,78.0,57,62,52,14,14,10,6,9,,76+2,76+2,76+2,75,76,76,76,75,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,68+2,69+2,69+2,69+2,68+2,67+2,66+2,66+2,66+2,67+2,18+2
216325,/player/216325/angus-gunn/240002,24.0,2.0,2023-09-22,A. Gunn,Angus Gunn,GK,74,77,4100000.0,22000.0,27,1996-01-22,196,77,1792.0,Norwich City,14.0,Championship,2.0,GK,28.0,,2021-06-23,2025.0,42,Scotland,1359.0,GK,1.0,Right,3,1,1,Medium/Medium,Lean (185+),Yes,8100000.0,,,,,,,,,14,15,14,31,19,20,20,15,46,27,48,49,40,67,42,54,66,31,66,17,28,18,9,50,19,48.0,20,16,14,75,71,72,71,76,48.0,30+2,30+2,30+2,29,31,31,31,29,32+2,32+2,32+2,31+2,33+2,33+2,33+2,31+2,27+2,31+2,31+2,31+2,27+2,27+2,28+2,28+2,28+2,27+2,73+2
212260,/player/212260/ui-jo-hwang/240002,24.0,2.0,2023-09-22,Hwang Ui Jo,황의조 Ui Jo Hwang,"ST, LW",74,74,4100000.0,54000.0,30,1992-08-28,185,82,1792.0,Norwich City,14.0,Championship,2.0,SUB,31.0,Nottingham Forest,,2024.0,167,Korea Republic,,,,Right,4,3,2,High/Medium,Lean (185+),No,,,"Finesse Shot, Press Proven, Trivela",77.0,75.0,64.0,75.0,42.0,74.0,62,73,68,65,72,74,80,62,58,80,76,77,72,72,65,79,80,79,75,79,62,44,76,65,67,72.0,33,42,35,9,15,10,7,6,,74,74,74,73,74,74,74,73,72+2,72+2,72+2,72+2,67+2,67+2,67+2,72+2,59+2,57+2,57+2,57+2,59+2,57+2,54+2,54+2,54+2,57+2,16+2
242075,/player/242075/josh-sargent/240002,24.0,2.0,2023-09-22,J. Sargent,Joshua Thomas Sargent,"ST, RM",73,77,4400000.0,27000.0,23,2000-02-20,185,79,1792.0,Norwich City,14.0,Championship,2.0,RES,9.0,,2021-08-09,2025.0,95,United States,1387.0,SUB,24.0,Right,4,3,1,High/High,Normal (185+),Yes,8700000.0,#Engine,Relentless,73.0,72.0,63.0,68.0,48.0,83.0,58,73,74,67,67,67,62,56,57,66,73,73,76,72,65,81,87,88,82,65,79,52,77,65,62,69.0,45,45,33,8,7,9,8,9,,73+2,73+2,73+2,69,70,70,70,69,68+2,68+2,68+2,69+2,66+2,66+2,66+2,69+2,60+2,60+2,60+2,60+2,60+2,58+2,59+2,59+2,59+2,58+2,15+2
221282,/player/221282/jack-stacey/240002,24.0,2.0,2023-09-22,J. Stacey,Jack Stacey,"RB, RWB",73,74,3200000.0,25000.0,27,1996-04-06,180,66,1792.0,Norwich City,14.0,Championship,2.0,RB,3.0,,2023-07-01,2026.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,6300000.0,,,72.0,55.0,66.0,70.0,69.0,71.0,73,51,65,69,45,71,66,40,61,70,73,71,70,68,70,62,75,76,70,56,65,69,69,65,47,65.0,67,72,71,6,11,11,13,13,,64+2,64+2,64+2,68,66,66,66,68,67+2,67+2,67+2,69+2,67+2,67+2,67+2,69+2,71+2,69+2,69+2,69+2,71+2,71+2,69+2,69+2,69+2,71+2,17+2
192622,/player/192622/shane-duffy/240002,24.0,2.0,2023-09-22,S. Duffy,Shane Patrick Michael Duffy,CB,73,73,2100000.0,25000.0,31,1992-01-01,193,76,1792.0,Norwich City,14.0,Championship,2.0,RCB,24.0,,2023-07-01,2026.0,25,Republic of Ireland,,,,Right,3,2,1,Low/High,Normal (185+),Yes,4000000.0,,"Power Header, Aerial",34.0,47.0,50.0,48.0,74.0,73.0,38,40,81,61,30,45,37,33,60,55,33,35,32,68,36,62,78,44,83,49,83,72,58,41,45,59.0,74,74,70,9,11,16,8,12,,55+2,55+2,55+2,48,51,51,51,48,51+2,51+2,51+2,49+2,56+2,56+2,56+2,49+2,58+2,66+2,66+2,66+2,58+2,60+2,73,73,73,60+2,17+2
193910,/player/193910/adam-forshaw/240002,24.0,2.0,2023-09-22,A. Forshaw,Adam Forshaw,"CDM, CM",73,73,2100000.0,25000.0,31,1991-10-08,174,71,1792.0,Norwich City,14.0,Championship,2.0,SUB,29.0,,2023-08-26,2024.0,14,England,,,,Right,3,3,1,Medium/High,Normal (170-185),Yes,4000000.0,,,56.0,61.0,72.0,74.0,67.0,68.0,64,59,47,78,57,73,67,63,76,75,62,51,72,70,79,66,59,72,64,63,73,67,61,71,62,77.0,69,72,66,10,7,12,13,16,,63+2,63+2,63+2,68,67,67,67,68,70+2,70+2,70+2,69+2,72+1,72+1,72+1,69+2,69+2,72+1,72+1,72+1,69+2,67+2,67+2,67+2,67+2,67+2,18+2
198904,/player/198904/grant-hanley/240002,24.0,2.0,2023-09-22,G. Hanley,Grant Hanley,CB,73,73,2100000.0,25000.0,31,1991-11-20,187,81,1792.0,Norwich City,14.0,Championship,2.0,RES,5.0,,2017-08-30,2025.0,42,Scotland,1359.0,SUB,5.0,Right,3,2,1,Medium/High,Normal (185+),Yes,4000000.0,,Power Header,53.0,30.0,47.0,49.0,74.0,78.0,29,30,71,60,32,43,33,35,63,52,51,54,44,73,51,40,78,65,83,22,81,73,29,39,26,66.0,75,74,74,9,9,11,12,8,,48+2,48+2,48+2,44,46,46,46,44,47+2,47+2,47+2,48+2,54+2,54+2,54+2,48+2,61+2,67+2,67+2,67+2,61+2,64+2,73,73,73,64+2,17+2
201368,/player/201368/kenny-mclean/240002,24.0,2.0,2023-09-22,K. McLean,Kenny McLean,"CDM, CM, LB",72,72,1600000.0,22000.0,31,1992-01-08,183,70,1792.0,Norwich City,14.0,Championship,2.0,RCM,23.0,,2018-01-22,2025.0,42,Scotland,1359.0,SUB,27.0,Left,4,3,1,High/High,Normal (170-185),Yes,3000000.0,,"Long Ball Pass, Whipped Cross",67.0,69.0,68.0,72.0,66.0,73.0,55,66,64,73,56,70,68,70,71,76,74,61,71,75,61,78,74,84,68,68,72,68,64,68,75,70.0,67,67,62,8,14,15,14,9,,69+2,69+2,69+2,69,70,70,70,69,70+2,70+2,70+2,70+2,72,72,72,70+2,69+2,71+1,71+1,71+1,69+2,68+2,68+2,68+2,68+2,68+2,18+2
