player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
240987,/player/240987/michael-cooper/240002,24.0,2.0,2023-09-22,M. Cooper,Michael John Cooper,GK,71,79,3600000.0,7000.0,23,1999-10-08,185,75,1929.0,Plymouth Argyle,14.0,Championship,2.0,SUB,1.0,,2018-03-08,2025.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,7400000.0,,Far Throw,,,,,,,10,8,14,54,6,13,12,11,56,23,30,36,28,67,43,50,49,28,46,9,24,12,7,58,11,32.0,14,14,12,70,69,67,69,72,32.0,26+2,26+2,26+2,26,29,29,29,26,34+2,34+2,34+2,30+2,37+2,37+2,37+2,30+2,25+2,32+2,32+2,32+2,25+2,24+2,24+2,24+2,24+2,24+2,70+2
243353,/player/243353/bali-mumba/240002,24.0,2.0,2023-09-22,B. Mumba,Bali Mumba,"LM, LWB, RWB",71,79,4200000.0,9000.0,21,2001-10-08,168,61,1929.0,Plymouth Argyle,14.0,Championship,2.0,LM,2.0,,2023-07-21,2027.0,14,England,,,,Right,5,3,1,High/High,Normal (170-),Yes,8600000.0,#Acrobat,"Technical, Flair, Quick Step",84.0,61.0,65.0,73.0,64.0,58.0,67,64,49,67,32,71,65,46,62,70,85,83,90,65,93,60,61,73,49,64,61,63,64,65,48,68.0,66,67,64,14,9,8,11,14,,64+2,64+2,64+2,70,68,68,68,70,69+2,69+2,69+2,70+2,66+2,66+2,66+2,70+2,69+2,65+2,65+2,65+2,69+2,68+2,62+2,62+2,62+2,68+2,18+2
252066,/player/252066/finn-azaz/240002,24.0,2.0,2023-09-22,F. Azaz,Finn Isaac Azaz,"RM, LM, CAM",69,77,3100000.0,27000.0,22,2000-09-07,185,73,1929.0,Plymouth Argyle,14.0,Championship,2.0,LCM,18.0,Aston Villa,,2024.0,25,Republic of Ireland,,,,Right,4,3,1,High/Medium,Lean (185+),No,,,"Pinged Pass, Technical",74.0,64.0,66.0,69.0,57.0,68.0,65,63,52,68,59,68,67,55,63,67,72,76,77,65,80,68,68,75,69,65,56,59,66,67,56,68.0,56,59,51,11,15,9,6,12,,65+2,65+2,65+2,68,67,67,67,68,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,64+2,63+2,63+2,63+2,64+2,63+2,60+2,60+2,60+2,63+2,17+2
222576,/player/222576/julio-jose-pleguezuelo-selva/240002,24.0,2.0,2023-09-22,Pleguezuelo,Julio José Pleguezuelo Selva,CB,69,71,1500000.0,8000.0,26,1997-01-26,180,70,1929.0,Plymouth Argyle,14.0,Championship,2.0,SUB,5.0,,2023-07-01,2025.0,45,Spain,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,2900000.0,,Aerial,78.0,35.0,57.0,69.0,69.0,66.0,53,32,68,69,37,69,40,44,65,69,76,80,73,65,69,38,77,64,66,35,68,62,41,40,42,69.0,71,71,70,14,15,8,11,9,,54+2,54+2,54+2,59,57,57,57,59,58+2,58+2,58+2,61+2,60+2,60+2,60+2,61+2,67+2,66+2,66+2,66+2,67+2,68+2,69+2,69+2,69+2,68+2,18+2
237943,/player/237943/dan-scarr/240002,24.0,2.0,2023-09-22,D. Scarr,Daniel George Scarr,CB,69,70,1300000.0,8000.0,28,1994-12-24,188,80,1929.0,Plymouth Argyle,14.0,Championship,2.0,RCB,6.0,,2021-07-01,2025.0,14,England,,,,Right,2,2,1,Low/Medium,Normal (185+),No,2500000.0,,"Power Header, Long Ball Pass, Intercept, Anticipate, Bruiser, Aerial",52.0,40.0,46.0,51.0,68.0,81.0,36,36,69,56,30,46,32,29,56,53,54,51,50,67,55,54,78,74,87,38,74,66,33,41,37,62.0,69,69,67,12,15,11,9,14,,51+2,51+2,51+2,47,48,48,48,47,48+2,48+2,48+2,49+2,54+2,54+2,54+2,49+2,60+2,64+2,64+2,64+2,60+2,62+2,69+1,69+1,69+1,62+2,18+2
228366,/player/228366/macaulay-gillesphey/240002,24.0,2.0,2023-09-22,M. Gillesphey,Macaulay Gillesphey,CB,69,69,1300000.0,8000.0,27,1995-11-24,188,70,1929.0,Plymouth Argyle,14.0,Championship,2.0,SUB,3.0,,2021-07-01,2025.0,14,England,,,,Left,3,2,1,Medium/High,Normal (185+),No,2400000.0,,"Long Ball Pass, Jockey, Block, Aerial",53.0,41.0,53.0,57.0,68.0,77.0,40,36,68,66,36,56,40,52,63,58,52,54,51,65,63,60,76,71,85,36,67,66,30,39,51,56.0,67,69,67,15,9,8,10,11,,52+2,52+2,52+2,50,50,50,50,50,51+2,51+2,51+2,53+2,57+2,57+2,57+2,53+2,61+2,65+2,65+2,65+2,61+2,63+2,69,69,69,63+2,17+2
236474,/player/236474/mustapha-bundu/240002,24.0,2.0,2023-09-22,M. Bundu,Mustapha Bundu,"RW, RM",68,69,1400000.0,8000.0,26,1997-02-28,189,79,1929.0,Plymouth Argyle,14.0,Championship,2.0,SUB,15.0,,2023-09-04,2025.0,138,Sierra Leone,,,,Right,4,3,1,Medium/Medium,Lean (185+),No,2700000.0,,"Rapid, Flair",86.0,63.0,64.0,69.0,44.0,68.0,67,64,52,68,55,68,60,56,62,69,85,87,78,61,70,65,74,72,69,63,60,39,60,60,51,66.0,49,41,36,6,7,10,7,7,,65+2,65+2,65+2,68,67,67,67,68,67+2,67+2,67+2,68+1,62+2,62+2,62+2,68+1,59+2,56+2,56+2,56+2,59+2,57+2,52+2,52+2,52+2,57+2,13+2
192231,/player/192231/joe-edwards/240002,24.0,2.0,2023-09-22,J. Edwards,Joseph Robert Edwards,"RWB, LWB, RB",68,68,825000.0,7000.0,32,1990-10-31,173,73,1929.0,Plymouth Argyle,14.0,Championship,2.0,RB,8.0,,2019-07-01,2025.0,14,England,,,,Right,4,2,1,High/High,Normal (170-185),No,1500000.0,#Engine,"Finesse Shot, Relentless",68.0,59.0,63.0,66.0,63.0,75.0,62,61,60,64,47,63,63,55,63,64,69,67,80,61,81,61,71,91,70,58,66,62,57,63,58,70.0,64,64,62,11,6,8,12,7,,62+2,62+2,62+2,63,62,62,62,63,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,66+2,64+2,64+2,64+2,66+2,15+2
253461,/player/253461/luke-cundle/240002,24.0,2.0,2023-09-22,L. Cundle,Luke James Cundle,"CM, CAM, RW",66,76,1900000.0,12000.0,21,2002-04-26,170,62,1929.0,Plymouth Argyle,14.0,Championship,2.0,SUB,28.0,Wolverhampton Wanderers,,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (170-),Yes,,,First Touch,67.0,58.0,65.0,66.0,52.0,48.0,55,58,38,73,51,62,51,52,69,68,76,60,76,64,81,59,44,67,34,62,60,54,62,67,47,66.0,52,55,50,14,12,6,6,13,,59+2,59+2,59+2,65,64,64,64,65,66+2,66+2,66+2,65+2,66+2,66+2,66+2,65+2,60+2,61+2,61+2,61+2,60+2,59+2,52+2,52+2,52+2,59+2,17+2
242423,/player/242423/callum-wright/240002,24.0,2.0,2023-09-22,C. Wright,Callum Wright,CM,66,75,1900000.0,5000.0,23,2000-05-02,182,72,1929.0,Plymouth Argyle,14.0,Championship,2.0,SUB,11.0,,2023-01-04,2026.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,3900000.0,,Pinged Pass,67.0,61.0,64.0,67.0,57.0,67.0,57,61,51,67,60,65,60,58,65,68,68,66,74,68,69,65,64,77,65,60,58,59,64,66,56,64.0,57,58,54,6,7,14,11,7,,63+2,63+2,63+2,65,65,65,65,65,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,63+2,63+2,63+2,63+2,63+2,62+2,59+2,59+2,59+2,62+2,15+2
