player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
226430,/player/226430/sead-haksabanovic/240002,24.0,2.0,2023-09-22,S. Hakšabanović,Sead Hakšabanović,LW,73,77,4400000.0,38000.0,24,1999-05-04,173,74,1806.0,Stoke City,14.0,Championship,2.0,RES,20.0,Celtic,,2024.0,15,Montenegro,,,,Right,4,4,1,High/Low,Normal (170-185),Yes,,,"Technical, Flair, Trivela",78.0,67.0,69.0,78.0,29.0,58.0,68,65,37,71,59,79,74,65,63,77,81,75,81,70,81,67,62,69,61,74,37,28,69,73,66,72.0,26,29,27,14,6,7,11,15,,67+2,67+2,67+2,73,72,72,72,73,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,55+2,51+2,51+2,51+2,55+2,51+2,41+2,41+2,41+2,51+2,18+2
232284,/player/232284/mark-travers/240002,24.0,2.0,2023-09-22,M. Travers,Mark Travers,GK,73,77,3500000.0,22000.0,24,1999-05-18,191,82,1806.0,Stoke City,14.0,Championship,2.0,GK,1.0,AFC Bournemouth,,2024.0,25,Republic of Ireland,1355.0,SUB,23.0,Right,2,1,1,Medium/Medium,Unique,Yes,,,,,,,,,,16,14,15,50,13,13,14,14,44,19,41,38,39,69,47,53,61,30,60,13,23,13,11,47,18,47.0,14,15,14,73,69,70,73,76,40.0,29+2,29+2,29+2,28,30,30,30,28,32+2,32+2,32+2,30+2,34+2,34+2,34+2,30+2,27+2,31+2,31+2,31+2,27+2,26+2,26+2,26+2,26+2,26+2,72+2
243401,/player/243401/andre-filipe-cunha-vidigal/240002,24.0,2.0,2023-09-22,André Vidigal,André Filipe Cunha Vidigal,"LM, ST",72,75,3200000.0,18000.0,24,1998-08-17,176,67,1806.0,Stoke City,14.0,Championship,2.0,LS,7.0,,2023-07-24,2026.0,38,Portugal,,,,Right,4,4,1,High/Medium,Lean (170-185),No,6300000.0,,"Technical, Flair",85.0,67.0,63.0,76.0,27.0,59.0,67,69,45,64,67,76,68,46,57,74,87,84,89,69,78,72,61,73,48,58,70,23,70,64,55,69.0,31,23,17,7,13,10,10,13,,68+2,68+2,68+2,72,71,71,71,72,70+2,70+2,70+2,71+2,62+2,62+2,62+2,71+2,53+2,49+2,49+2,49+2,53+2,49+2,40+2,40+2,40+2,49+2,17+2
213689,/player/213689/ben-pearson/240002,24.0,2.0,2023-09-22,B. Pearson,Ben Pearson,CDM,72,72,2100000.0,20000.0,28,1995-01-04,176,71,1806.0,Stoke City,14.0,Championship,2.0,SUB,4.0,,2023-07-08,2027.0,14,England,,,,Right,3,3,1,Medium/High,Stocky (170-185),Yes,4000000.0,,"Long Ball Pass, Slide Tackle",58.0,49.0,63.0,69.0,68.0,79.0,52,46,53,71,38,68,45,40,73,70,66,52,67,66,78,63,69,78,75,43,91,68,57,65,42,67.0,70,69,71,8,15,9,16,11,,59+2,59+2,59+2,61,62,62,62,61,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,67+2,71+1,71+1,71+1,67+2,66+2,69+2,69+2,69+2,66+2,18+2
247395,/player/247395/luke-mcnally/240002,24.0,2.0,2023-09-22,L. McNally,Luke McNally,CB,71,78,3500000.0,22000.0,23,1999-09-20,193,86,1806.0,Stoke City,14.0,Championship,2.0,RCB,23.0,Burnley,,2024.0,25,Republic of Ireland,,,,Right,2,2,1,Medium/High,Normal (185+),No,,,"Slide Tackle, Aerial",51.0,35.0,52.0,62.0,71.0,77.0,36,37,74,66,44,67,38,31,61,65,55,47,40,66,38,39,80,72,81,23,70,69,24,47,43,60.0,68,73,72,13,10,5,10,15,,51+2,51+2,51+2,51,51,51,51,51,53+2,53+2,53+2,55+2,59+2,59+2,59+2,55+2,63+2,68+2,68+2,68+2,63+2,64+2,71+2,71+2,71+2,64+2,18+2
238389,/player/238389/ben-wilmot/240002,24.0,2.0,2023-09-22,B. Wilmot,Ben Wilmot,"CB, RB, RWB",71,75,2400000.0,14000.0,23,1999-11-04,188,80,1806.0,Stoke City,14.0,Championship,2.0,CB,16.0,,2021-06-24,2026.0,14,England,,,,Right,3,2,1,High/Medium,Lean (185+),No,4700000.0,,,56.0,39.0,55.0,60.0,72.0,72.0,44,20,72,65,34,62,28,31,65,63,58,55,42,68,53,69,76,71,73,54,69,72,34,53,31,64.0,73,72,71,13,10,11,5,15,,52+2,52+2,52+2,52,54,54,54,52,55+2,55+2,55+2,56+2,61+2,61+2,61+2,56+2,65+2,68+2,68+2,68+2,65+2,66+2,71+2,71+2,71+2,66+2,17+2
232381,/player/232381/wesley-moraes-ferreira-da-silva/240002,24.0,2.0,2023-09-22,Wesley,Wesley Moraes Ferreira da Silva,ST,71,74,2500000.0,20000.0,26,1996-11-26,191,93,1806.0,Stoke City,14.0,Championship,2.0,RS,18.0,,2023-07-28,2024.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Unique,Yes,4900000.0,#Strength,,63.0,70.0,65.0,67.0,38.0,84.0,58,68,71,69,69,67,57,49,67,75,53,72,54,68,45,77,82,71,91,67,83,37,74,71,69,74.0,35,37,15,12,13,14,8,6,,71+2,71+2,71+2,67,70,70,70,67,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,53+2,57+2,57+2,57+2,53+2,50+2,53+2,53+2,53+2,50+2,16+2
240660,/player/240660/mehdi-leris/240002,24.0,2.0,2023-09-22,M. Léris,Mehdi Pascal Marcel Léris,"RW, RM, CF",71,74,2500000.0,19000.0,25,1998-05-23,186,78,1806.0,Stoke City,14.0,Championship,2.0,SUB,27.0,,2023-08-22,2026.0,97,Algeria,,,,Right,3,3,1,High/Medium,Normal (185+),No,4900000.0,,,68.0,66.0,68.0,73.0,61.0,71.0,63,68,64,74,61,77,62,44,67,75,65,70,62,69,59,64,73,78,73,65,55,62,71,72,62,69.0,60,60,62,9,6,13,10,8,,69+2,69+2,69+2,71,71,71,71,71,72+2,72+2,72+2,71+2,71+2,71+2,71+2,71+2,67+2,67+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,66+2,15+2
211504,/player/211504/lewis-baker/240002,24.0,2.0,2023-09-22,L. Baker,Lewis Baker,"CM, CDM",71,71,1900000.0,19000.0,28,1995-04-25,182,72,1806.0,Stoke City,14.0,Championship,2.0,SUB,8.0,,2022-01-15,2024.0,14,England,,,,Right,5,3,1,High/Medium,Lean (170-185),No,3600000.0,,,66.0,71.0,72.0,71.0,66.0,71.0,70,67,58,72,71,69,74,76,72,75,67,66,72,70,73,77,68,76,69,74,72,67,65,70,78,71.0,69,67,64,8,15,12,8,6,,69+2,69+2,69+2,70,70,70,70,70,70+1,70+1,70+1,70+1,71,71,71,70+1,69+2,70+1,70+1,70+1,69+2,68+2,67+2,67+2,67+2,68+2,16+2
244050,/player/244050/wouter-burger/240002,24.0,2.0,2023-09-22,W. Burger,Wouter Burger,"CM, CDM",70,78,3600000.0,14000.0,22,2001-02-16,191,83,1806.0,Stoke City,14.0,Championship,2.0,RCM,6.0,,2023-08-25,2027.0,34,Netherlands,,,,Left,4,3,1,Medium/Medium,Lean (185+),No,7600000.0,,"Finesse Shot, Long Ball Pass",76.0,63.0,69.0,68.0,62.0,78.0,62,62,62,73,36,67,69,54,72,72,74,77,64,69,61,70,80,81,80,69,70,62,60,68,49,66.0,64,62,59,10,5,10,6,10,,67+2,67+2,67+2,68,68,68,68,68,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,66+2,66+2,66+2,67+2,15+2
240783,/player/240783/tyrese-campbell/240002,24.0,2.0,2023-09-22,T. Campbell,Tyrese Campbell,"ST, LM",70,74,2300000.0,15000.0,23,1999-12-28,183,75,1806.0,Stoke City,14.0,Championship,2.0,SUB,10.0,,2017-07-01,2024.0,14,England,,,,Left,4,3,1,Medium/Low,Normal (170-185),No,4500000.0,,"Finesse Shot, Technical",81.0,68.0,60.0,70.0,33.0,66.0,59,68,65,66,65,71,56,54,46,69,83,80,69,69,67,69,82,57,72,66,58,28,69,61,73,65.0,31,31,24,6,13,13,12,14,,70+2,70+2,70+2,69,69,69,69,69,67+2,67+2,67+2,67+2,60+2,60+2,60+2,67+2,52+2,49+2,49+2,49+2,52+2,50+2,47+2,47+2,47+2,50+2,18+2
228639,/player/228639/ryan-mmaee/240002,24.0,2.0,2023-09-22,R. Mmaee,Ryan Mmaee Nwambeben Kabir,ST,70,73,2100000.0,17000.0,26,1997-04-01,183,79,1806.0,Stoke City,14.0,Championship,2.0,SUB,19.0,,2023-07-31,2026.0,129,Morocco,,,,Right,3,3,1,High/Low,Normal (170-185),No,4100000.0,,,76.0,69.0,54.0,71.0,28.0,63.0,48,74,71,64,58,73,55,37,41,68,78,74,73,61,65,67,82,54,70,61,52,24,74,56,67,73.0,26,21,22,11,10,13,10,11,,70+2,70+2,70+2,68,69,69,69,68,66+2,66+2,66+2,65+2,57+2,57+2,57+2,65+2,47+2,44+2,44+2,44+2,47+2,45+2,43+2,43+2,43+2,45+2,16+2
217826,/player/217826/josh-laurent/240002,24.0,2.0,2023-09-22,J. Laurent,Josh Laurent,"CDM, CM, CAM",70,71,1500000.0,15000.0,28,1995-05-06,188,76,1806.0,Stoke City,14.0,Championship,2.0,CDM,28.0,,2022-07-01,2025.0,14,England,,,,Right,3,3,1,Medium/High,Stocky (185+),No,3000000.0,,"Rapid, Long Throw",77.0,60.0,61.0,68.0,68.0,84.0,59,59,66,64,53,68,56,45,63,67,75,79,70,65,64,65,84,90,84,63,78,67,62,63,51,68.0,66,70,70,14,8,12,14,16,,66+2,66+2,66+2,66,66,66,66,66,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,69+2,69+2,70+1,71,71,71,70+1,19+2
192546,/player/192546/enda-stevens/240002,24.0,2.0,2023-09-22,E. Stevens,Enda Stevens,"LB, LWB",70,70,1100000.0,15000.0,32,1990-07-09,183,78,1806.0,Stoke City,14.0,Championship,2.0,LWB,3.0,,2023-07-05,2024.0,25,Republic of Ireland,,,,Left,2,3,1,Medium/Medium,Normal (170-185),Yes,2100000.0,,,65.0,45.0,64.0,69.0,66.0,71.0,72,43,56,67,24,71,68,53,58,70,64,66,66,65,66,57,70,74,73,38,63,67,57,57,52,65.0,66,69,67,9,16,8,7,15,,58+2,58+2,58+2,63,61,61,61,63,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,68+2,66+2,66+2,66+2,68+2,68+2,67+2,67+2,67+2,68+2,17+2
201887,/player/201887/daniel-johnson/240002,24.0,2.0,2023-09-22,D. Johnson,Daniel Anthony Johnson,"CAM, CM",70,70,1500000.0,16000.0,30,1992-10-08,174,67,1806.0,Stoke City,14.0,Championship,2.0,LCM,12.0,,2023-07-19,2025.0,82,Jamaica,,,,Left,3,3,1,Medium/Medium,Lean (170-185),Yes,2900000.0,,Finesse Shot,72.0,68.0,70.0,71.0,54.0,64.0,69,67,40,72,57,68,72,65,66,71,75,69,79,68,83,70,60,76,65,65,49,58,72,71,78,78.0,55,56,49,13,8,11,16,10,,66+2,66+2,66+2,70,69,69,69,70,70,70,70,70,69+1,69+1,69+1,70,65+2,63+2,63+2,63+2,65+2,62+2,57+2,57+2,57+2,62+2,18+2
212487,/player/212487/michael-rose/240002,24.0,2.0,2023-09-22,M. Rose,Michael Rose,CB,69,72,1600000.0,12000.0,27,1995-10-11,188,70,1806.0,Stoke City,14.0,Championship,2.0,LCB,5.0,,2023-07-17,2025.0,42,Scotland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,3200000.0,,Long Ball Pass,72.0,39.0,58.0,60.0,69.0,73.0,49,33,69,66,30,58,46,36,66,62,68,75,58,63,58,59,78,67,77,30,71,69,45,56,50,64.0,68,69,67,8,8,15,12,16,,55+2,55+2,55+2,56,56,56,56,56,57+2,57+2,57+2,59+2,60+2,60+2,60+2,59+2,65+2,67+2,67+2,67+2,65+2,66+2,69+2,69+2,69+2,66+2,17+2
