player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
242908,/player/242908/jack-clarke/240002,24.0,2.0,2023-09-22,J. Clarke,Jack Clarke,"LM, LWB",73,83,7000000.0,24000.0,22,2000-11-23,181,74,106.0,Sunderland,14.0,Championship,2.0,LM,20.0,,2022-07-09,2026.0,14,England,,,,Right,4,4,1,High/Medium,Lean (170-185),No,14700000.0,,Technical,83.0,68.0,66.0,75.0,40.0,59.0,70,72,48,67,56,75,65,58,58,72,84,82,84,73,78,66,63,77,51,65,53,39,71,68,60,64.0,46,35,33,9,10,9,6,10,,68+2,68+2,68+2,73,72,72,72,73,71+2,71+2,71+2,72+2,66+2,66+2,66+2,72+2,60+2,55+2,55+2,55+2,60+2,57+2,48+2,48+2,48+2,57+2,16+2
243908,/player/243908/daniel-ballard/240002,24.0,2.0,2023-09-22,D. Ballard,Daniel George Ballard,CB,71,82,3900000.0,17000.0,23,1999-09-22,187,85,106.0,Sunderland,14.0,Championship,2.0,RCB,5.0,,2022-06-30,2027.0,35,Northern Ireland,110081.0,SUB,2.0,Right,3,2,1,Medium/High,Normal (185+),No,8200000.0,,Long Ball Pass,58.0,30.0,50.0,57.0,71.0,75.0,31,25,70,60,31,56,28,30,66,59,54,62,50,68,48,44,76,58,83,26,75,70,36,52,37,57.0,71,73,71,13,7,7,8,7,,50+2,50+2,50+2,49,50,50,50,49,52+2,52+2,52+2,52+2,57+2,57+2,57+2,52+2,61+2,67+2,67+2,67+2,61+2,63+2,71+2,71+2,71+2,63+2,15+2
246417,/player/246417/anthony-patterson/240002,24.0,2.0,2023-09-22,A. Patterson,Anthony Patterson,GK,71,80,3600000.0,13000.0,23,2000-05-10,189,87,106.0,Sunderland,14.0,Championship,2.0,GK,1.0,,2018-11-24,2026.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,7600000.0,,Footwork,,,,,,,13,3,8,48,8,6,10,13,57,9,19,32,40,68,37,54,50,21,58,4,28,8,4,62,12,36.0,5,14,13,70,68,72,67,74,24.0,22+2,22+2,22+2,21,24,24,24,21,29+2,29+2,29+2,25+2,34+2,34+2,34+2,25+2,21+2,29+2,29+2,29+2,21+2,21+2,22+2,22+2,22+2,21+2,70+2
221982,/player/221982/patrick-roberts/240002,24.0,2.0,2023-09-22,P. Roberts,Patrick Roberts,"RM, CAM",71,72,2200000.0,22000.0,26,1997-02-05,167,66,106.0,Sunderland,14.0,Championship,2.0,RM,10.0,,2022-01-21,2024.0,14,England,,,,Left,2,4,1,High/Low,Lean (170-),Yes,4300000.0,#Acrobat,"Finesse Shot, Technical, Flair",78.0,65.0,66.0,77.0,28.0,40.0,64,65,43,68,52,77,66,49,61,75,82,75,91,59,88,64,49,55,33,69,38,21,66,71,62,74.0,37,22,19,12,7,8,7,12,,64+2,64+2,64+2,71,70,70,70,71,71+1,71+1,71+1,70+2,63+2,63+2,63+2,70+2,51+2,46+2,46+2,46+2,51+2,47+2,36+2,36+2,36+2,47+2,15+2
258483,/player/258483/dan-neil/240002,24.0,2.0,2023-09-22,D. Neil,Daniel Neil,"CDM, CM",70,82,3700000.0,12000.0,21,2001-12-13,178,65,106.0,Sunderland,14.0,Championship,2.0,RDM,24.0,,2019-07-01,2026.0,14,England,,,,Right,4,2,1,High/High,Lean (170-185),No,7800000.0,,,73.0,62.0,66.0,69.0,66.0,74.0,54,62,62,73,54,68,56,51,68,71,74,73,76,61,73,62,74,85,69,65,75,66,66,72,57,62.0,67,68,63,8,15,10,9,6,,66+2,66+2,66+2,67,68,68,68,67,69+2,69+2,69+2,68+2,70+2,70+2,70+2,68+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,67+2,67+2,15+2
257270,/player/257270/timothee-pembele/240002,24.0,2.0,2023-09-22,T. Pembélé,Timothée Joseph Pembélé,"RB, RWB",70,79,3300000.0,12000.0,20,2002-09-09,182,76,106.0,Sunderland,14.0,Championship,2.0,SUB,26.0,,2023-09-01,2028.0,18,France,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,6900000.0,,,86.0,49.0,63.0,71.0,64.0,64.0,66,48,60,67,31,69,53,41,59,73,85,86,78,66,67,58,77,66,64,43,59,62,65,63,45,68.0,63,67,65,11,14,9,10,8,,62+2,62+2,62+2,67,66,66,66,67,66+2,66+2,66+2,68+2,65+2,65+2,65+2,68+2,68+2,65+2,65+2,65+2,68+2,68+2,65+2,65+2,65+2,68+2,17+2
253102,/player/253102/adil-aouchiche/240002,24.0,2.0,2023-09-22,A. Aouchiche,Adil Aouchiche,"LM, CAM, CM",70,77,3200000.0,14000.0,20,2002-07-15,181,72,106.0,Sunderland,14.0,Championship,2.0,SUB,16.0,,2023-09-01,2028.0,18,France,,,,Right,3,4,1,Medium/Medium,Lean (170-185),Yes,6700000.0,,Trivela,67.0,63.0,71.0,72.0,56.0,57.0,67,62,54,73,48,72,71,67,70,73,68,66,74,69,69,70,63,59,60,65,47,50,68,72,55,71.0,60,57,52,8,9,14,8,7,,66+2,66+2,66+2,69,69,69,69,69,70+2,70+2,70+2,69+2,68+2,68+2,68+2,69+2,63+2,62+2,62+2,62+2,63+2,61+2,58+2,58+2,58+2,61+2,15+2
215700,/player/215700/luke-onien/240002,24.0,2.0,2023-09-22,L. O'Nien,Luke Terry O'Nien,"CB, LB, CDM",69,70,1300000.0,15000.0,28,1994-11-21,174,74,106.0,Sunderland,14.0,Championship,2.0,LCB,13.0,,2018-07-30,2024.0,14,England,,,,Right,4,2,1,High/High,Lean (170-185),No,2600000.0,#Engine,"Slide Tackle, Relentless, Long Throw",74.0,58.0,61.0,64.0,67.0,81.0,57,57,60,62,60,61,60,56,61,63,75,73,77,61,81,58,77,91,74,60,88,66,59,63,59,63.0,69,69,68,9,14,8,14,10,,62+2,62+2,62+2,63,62,62,62,63,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,68+2,69+1,69+1,69+1,68+2,17+2
205351,/player/205351/alex-pritchard/240002,24.0,2.0,2023-09-22,A. Pritchard,Alex David Pritchard,"CAM, CM",69,69,1300000.0,16000.0,30,1993-05-03,168,62,106.0,Sunderland,14.0,Championship,2.0,SUB,21.0,,2021-07-09,2024.0,14,England,,,,Right,3,3,1,High/Low,Lean (170-),Yes,2500000.0,,"Whipped Cross, Technical",61.0,67.0,69.0,72.0,46.0,43.0,69,64,42,68,63,70,72,72,65,70,63,60,85,68,87,72,38,53,30,69,65,42,66,71,64,67.0,49,47,49,13,13,14,10,8,,63+2,63+2,63+2,68,67,67,67,68,69,69,69,67+2,65+2,65+2,65+2,67+2,58+2,57+2,57+2,57+2,58+2,56+2,49+2,49+2,49+2,56+2,17+2
211098,/player/211098/bradley-dack/240002,24.0,2.0,2023-09-22,B. Dack,Bradley Dack,"CAM, CM",69,69,1400000.0,17000.0,29,1993-12-31,173,71,106.0,Sunderland,14.0,Championship,2.0,SUB,46.0,,2023-07-27,2024.0,14,England,,,,Right,4,4,1,High/Medium,Stocky (170-185),No,2700000.0,,"Technical, Flair",67.0,68.0,69.0,71.0,53.0,71.0,68,69,64,71,61,70,73,69,64,72,73,62,77,64,78,70,80,54,77,68,74,55,70,68,62,71.0,46,56,48,10,7,15,16,9,,69,69,69,69,69,69,69,69,69,69,69,68+1,66+2,66+2,66+2,68+1,61+2,62+2,62+2,62+2,61+2,59+2,60+2,60+2,60+2,59+2,17+2
