player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
212090,/player/212090/ricardo-almeida-santos/240002,24.0,2.0,2023-09-22,Ricardo Santos,Ricardo Alexandre Almeida Santos,CB,70,71,1500000.0,8000.0,28,1995-06-18,196,100,4.0,Bolton Wanderers,60.0,League One,3.0,CB,5.0,,2020-08-03,2025.0,38,Portugal,,,,Right,3,2,1,High/High,Normal (185+),No,2700000.0,#Strength,"Power Header, Long Ball Pass, Jockey, Block, Bruiser, Aerial",67.0,39.0,45.0,49.0,69.0,86.0,35,38,69,55,29,51,40,29,44,49,70,65,34,67,34,56,77,84,94,27,70,68,39,42,38,65.0,70,70,68,8,14,14,9,16,,53+2,53+2,53+2,49,50,50,50,49,48+2,48+2,48+2,52+2,52+2,52+2,52+2,52+2,62+2,63+2,63+2,63+2,62+2,64+2,70+1,70+1,70+1,64+2,18+2
234803,/player/234803/nathan-baxter/240002,24.0,2.0,2023-09-22,N. Baxter,Nathan Baxter,GK,69,74,1700000.0,5000.0,24,1998-11-08,189,88,4.0,Bolton Wanderers,60.0,League One,3.0,GK,1.0,,2023-07-01,2025.0,14,England,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3100000.0,,,,,,,,,14,11,13,30,10,14,12,14,31,31,37,46,28,58,31,47,53,31,52,12,25,12,7,46,11,42.0,12,13,12,71,68,62,71,70,41.0,26+2,26+2,26+2,26,28,28,28,26,29+2,29+2,29+2,28+2,29+2,29+2,29+2,28+2,24+2,26+2,26+2,26+2,24+2,24+2,23+2,23+2,23+2,24+2,68+2
220039,/player/220039/dion-charles/240002,24.0,2.0,2023-09-22,D. Charles,Dion Charles,ST,68,68,1300000.0,7000.0,27,1995-10-07,177,67,4.0,Bolton Wanderers,60.0,League One,3.0,RS,10.0,,2022-01-01,2026.0,35,Northern Ireland,110081.0,SUB,10.0,Right,4,3,1,High/High,Normal (170-185),No,2300000.0,#Engine,Relentless,80.0,67.0,58.0,67.0,42.0,78.0,55,69,57,62,64,66,52,52,53,65,74,85,71,68,73,68,75,89,74,59,76,47,70,61,71,65.0,38,40,34,7,14,8,14,12,,68,68,68,67,67,67,67,67,65+2,65+2,65+2,67+1,62+2,62+2,62+2,67+1,58+2,56+2,56+2,56+2,58+2,56+2,53+2,53+2,53+2,56+2,18+2
240912,/player/240912/george-johnston/240002,24.0,2.0,2023-09-22,G. Johnston,George Johnston,CB,67,72,1400000.0,4000.0,24,1998-09-01,181,78,4.0,Bolton Wanderers,60.0,League One,3.0,SUB,6.0,,2021-07-01,2026.0,42,Scotland,,,,Left,3,2,1,High/Medium,Normal (170-185),No,2600000.0,,"Power Header, Long Ball Pass, Jockey, Intercept, Slide Tackle, Long Throw, Aerial",65.0,33.0,51.0,61.0,66.0,74.0,39,30,63,62,31,60,38,37,60,62,66,64,64,66,60,46,84,70,77,24,71,65,36,42,45,60.0,67,67,66,8,9,11,6,6,,51+2,51+2,51+2,52,52,52,52,52,53+2,53+2,53+2,55+2,56+2,56+2,56+2,55+2,62+2,64+2,64+2,64+2,62+2,63+2,67+2,67+2,67+2,63+2,14+2
244559,/player/244559/carlos-mendes-gomes/240002,24.0,2.0,2023-09-22,Carlos Mendes Gomes,Carlos Mendes Gomes,"LM, LW",67,71,1500000.0,5000.0,24,1998-11-14,178,73,4.0,Bolton Wanderers,60.0,League One,3.0,SUB,7.0,,2023-07-24,2026.0,45,Spain,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2700000.0,,"Rapid, Flair",82.0,64.0,60.0,68.0,31.0,59.0,63,64,38,61,52,66,64,50,52,64,83,81,85,60,87,66,60,82,57,65,35,26,64,63,54,68.0,38,27,26,10,6,8,12,11,,62+2,62+2,62+2,67,65,65,65,67,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,53+2,47+2,47+2,47+2,53+2,50+2,40+2,40+2,40+2,50+2,15+2
225867,/player/225867/victor-adeboyejo/240002,24.0,2.0,2023-09-22,V. Adeboyejo,Victor Adeboyejo,ST,67,70,1400000.0,6000.0,25,1998-01-12,178,75,4.0,Bolton Wanderers,60.0,League One,3.0,LS,14.0,,2023-01-27,2026.0,133,Nigeria,,,,Right,3,3,1,High/Low,Normal (170-185),No,2600000.0,,,75.0,67.0,52.0,66.0,27.0,70.0,46,68,64,60,56,66,44,44,44,65,76,74,73,66,74,68,80,70,75,65,54,18,66,54,64,55.0,32,19,18,12,9,13,11,10,,67+2,67+2,67+2,64,65,65,65,64,63+2,63+2,63+2,63+2,56+2,56+2,56+2,63+2,47+2,45+2,45+2,45+2,47+2,45+2,42+2,42+2,42+2,45+2,17+2
235807,/player/235807/aaron-morley/240002,24.0,2.0,2023-09-22,A. Morley,Aaron Paul Morley,CM,66,73,1700000.0,4000.0,23,2000-02-27,183,72,4.0,Bolton Wanderers,60.0,League One,3.0,RCM,16.0,,2022-01-11,2025.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,3300000.0,,"Power Shot, Dead Ball, Pinged Pass, Long Ball Pass, Intercept",68.0,60.0,67.0,64.0,61.0,71.0,67,53,56,68,55,61,68,68,68,65,67,68,69,64,72,70,70,82,71,67,59,65,58,66,63,66.0,61,61,61,7,11,11,14,9,,62+2,62+2,62+2,63,63,63,63,63,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,66+2,66+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,65+2,16+2
229073,/player/229073/josh-dacres-cogley/240002,24.0,2.0,2023-09-22,J. Dacres-Cogley,Joshua Jacob Dacres-Cogley,"RWB, RB",66,67,900000.0,4000.0,27,1996-03-12,174,68,4.0,Bolton Wanderers,60.0,League One,3.0,RWB,12.0,,2023-07-01,2025.0,14,England,,,,Right,3,2,1,High/Medium,Lean (170-185),No,1600000.0,,"Long Ball Pass, Rapid, Relentless, Long Throw",89.0,50.0,57.0,63.0,56.0,73.0,61,45,55,58,33,62,51,47,55,58,87,91,81,56,80,59,77,91,68,54,60,56,57,59,49,57.0,55,57,56,15,9,11,6,11,,58+2,58+2,58+2,62,60,60,60,62,60+2,60+2,60+2,63+2,59+2,59+2,59+2,63+2,64+2,59+2,59+2,59+2,64+2,64+2,59+2,59+2,59+2,64+2,15+2
221705,/player/221705/kyle-dempsey/240002,24.0,2.0,2023-09-22,K. Dempsey,Kyle Michael Dempsey,"CM, CAM",66,66,900000.0,5000.0,27,1995-09-17,178,75,4.0,Bolton Wanderers,60.0,League One,3.0,LCM,22.0,,2022-01-31,2026.0,14,England,,,,Right,3,3,1,High/High,Lean (170-185),No,1600000.0,#Engine,"Pinged Pass, Intercept",72.0,60.0,64.0,65.0,61.0,72.0,59,60,51,67,47,64,61,65,66,65,74,70,69,64,73,62,74,91,62,63,73,63,64,65,48,67.0,60,63,59,10,9,16,8,11,,62+2,62+2,62+2,65,64,64,64,65,65+1,65+1,65+1,66,66,66,66,66,66,66,66,66,66,65+1,62+2,62+2,62+2,65+1,16+2
243849,/player/243849/paris-maghoma/240002,24.0,2.0,2023-09-22,P. Maghoma,Edmond-Paris Maghoma,"CDM, CM",65,73,1500000.0,10000.0,22,2001-05-08,178,74,4.0,Bolton Wanderers,60.0,League One,3.0,SUB,19.0,Brentford,,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,,,Jockey,67.0,54.0,62.0,66.0,60.0,68.0,55,52,45,65,44,65,63,53,67,64,71,64,71,62,76,62,63,72,66,54,70,58,55,64,51,64.0,60,64,62,11,7,12,11,10,,58+2,58+2,58+2,62,61,61,61,62,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,64+2,64+2,64+2,63+2,62+2,61+2,61+2,61+2,62+2,16+2
239540,/player/239540/eoin-toal/240002,24.0,2.0,2023-09-22,E. Toal,Eoin Toal,CB,65,71,1000000.0,3000.0,24,1999-02-15,191,80,4.0,Bolton Wanderers,60.0,League One,3.0,SUB,18.0,,2022-07-20,2025.0,35,Northern Ireland,,,,Right,3,2,1,High/High,Lean (185+),No,2000000.0,,,51.0,31.0,42.0,52.0,64.0,74.0,24,33,62,58,33,55,28,25,47,53,40,60,33,61,35,28,69,67,83,29,60,62,38,37,31,55.0,64,65,64,6,9,13,15,8,,47+2,47+2,47+2,45,47,47,47,45,47+2,47+2,47+2,48+2,51+2,51+2,51+2,48+2,56+2,60+2,60+2,60+2,56+2,58+2,65+2,65+2,65+2,58+2,15+2
