player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
225509,/player/225509/aaron-collins/240002,24.0,2.0,2023-09-22,A. Collins,Aaron Graham John Collins,"ST, LW, CAM",70,71,1900000.0,7000.0,26,1997-05-27,185,74,1962.0,Bristol Rovers,60.0,League One,3.0,LM,10.0,,2021-07-01,2025.0,50,Wales,,,,Right,5,3,1,High/High,Lean (185+),No,3500000.0,#Engine,Rapid,81.0,68.0,65.0,71.0,35.0,75.0,61,69,61,69,61,71,67,58,58,69,83,79,74,70,75,68,80,91,71,67,64,27,72,69,61,64.0,38,32,25,14,12,13,16,12,,70+1,70+1,70+1,71,71,71,71,71,70+1,70+1,70+1,71,65+2,65+2,65+2,71,57+2,54+2,54+2,54+2,57+2,53+2,48+2,48+2,48+2,53+2,20+2
205818,/player/205818/ryan-woods/240002,24.0,2.0,2023-09-22,R. Woods,Ryan Woods,"CDM, CM",68,68,1000000.0,7000.0,29,1993-12-13,174,72,1962.0,Bristol Rovers,60.0,League One,3.0,SUB,15.0,Hull City,,2024.0,14,England,,,,Right,3,3,1,Medium/High,Lean (170-185),No,,,Long Ball Pass,66.0,49.0,68.0,69.0,64.0,67.0,66,43,52,70,54,66,68,60,71,68,66,66,80,60,84,56,60,81,59,51,70,67,58,66,49,71.0,64,66,63,15,12,11,7,15,,57+2,57+2,57+2,63,61,61,61,63,64+2,64+2,64+2,65+2,67+1,67+1,67+1,65+2,67+1,67+1,67+1,67+1,67+1,66+2,64+2,64+2,64+2,66+2,17+2
173734,/player/173734/james-wilson/240002,24.0,2.0,2023-09-22,J. Wilson,James Steven Wilson,CB,67,67,325000.0,4000.0,34,1989-02-26,189,82,1962.0,Bristol Rovers,60.0,League One,3.0,SUB,5.0,,2023-07-01,2025.0,50,Wales,,,,Right,3,2,1,High/Medium,Normal (185+),No,569000.0,,"Power Header, Long Ball Pass, Intercept, Bruiser, Aerial",63.0,38.0,51.0,49.0,66.0,78.0,49,33,64,58,28,48,36,30,56,45,66,60,51,65,49,49,72,67,86,37,71,66,38,45,49,63.0,67,67,66,13,12,13,6,8,,50+2,50+2,50+2,49,48,48,48,49,49+2,49+2,49+2,51+2,53+2,53+2,53+2,51+2,61+2,62+2,62+2,62+2,61+2,62+2,67,67,67,62+2,16+2
213434,/player/213434/jevani-brown/240002,24.0,2.0,2023-09-22,J. Brown,Jevani Jason Brown,"ST, CAM",67,67,1000000.0,5000.0,28,1994-10-16,175,75,1962.0,Bristol Rovers,60.0,League One,3.0,SUB,20.0,,2023-07-01,2025.0,82,Jamaica,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,1800000.0,,"Finesse Shot, Pinged Pass, Technical, Flair, Trivela",81.0,64.0,63.0,68.0,45.0,69.0,58,65,59,67,58,67,66,58,60,65,78,84,80,68,72,66,74,79,67,60,59,42,67,66,71,70.0,44,44,43,7,12,15,7,9,,67,67,67,68-1,67,67,67,68-1,67,67,67,68-1,64+2,64+2,64+2,68-1,59+2,57+2,57+2,57+2,59+2,58+2,53+2,53+2,53+2,58+2,16+2
169214,/player/169214/scott-sinclair/240002,24.0,2.0,2023-09-22,S. Sinclair,Scott Sinclair,"RW, RM, LM",66,66,400000.0,4000.0,34,1989-03-25,178,70,1962.0,Bristol Rovers,60.0,League One,3.0,SUB,7.0,,2022-10-18,2024.0,14,England,,,,Right,4,4,1,Medium/Medium,Lean (170-185),Yes,700000.0,,Technical,72.0,63.0,62.0,69.0,41.0,61.0,62,61,57,65,63,68,71,59,53,67,73,71,76,64,80,70,70,62,65,59,47,40,66,60,74,71.0,46,33,35,13,11,10,13,15,,65+1,65+1,65+1,66,65,65,65,66,65+1,65+1,65+1,65+1,60+2,60+2,60+2,65+1,55+2,52+2,52+2,52+2,55+2,53+2,49+2,49+2,49+2,53+2,18+2
262731,/player/262731/connor-taylor/240002,24.0,2.0,2023-09-22,C. Taylor,Connor Taylor,CB,65,75,1500000.0,2000.0,21,2001-10-25,183,86,1962.0,Bristol Rovers,60.0,League One,3.0,RCB,17.0,,2023-08-03,2026.0,14,England,,,,Right,3,2,1,Low/High,Lean (170-185),No,2900000.0,,,58.0,29.0,45.0,47.0,65.0,72.0,33,25,65,59,31,39,34,28,54,52,63,53,56,60,55,40,76,71,79,22,55,63,31,35,41,54.0,64,67,64,14,9,13,12,10,,45+2,45+2,45+2,44,44,44,44,44,45+2,45+2,45+2,47+2,50+2,50+2,50+2,47+2,58+2,60+2,60+2,60+2,58+2,60+2,65+2,65+2,65+2,60+2,17+2
188168,/player/188168/george-friend/240002,24.0,2.0,2023-09-22,G. Friend,George Friend,"CB, LB",65,65,190000.0,2000.0,35,1987-10-19,188,83,1962.0,Bristol Rovers,60.0,League One,3.0,SUB,32.0,,2023-07-04,2024.0,14,England,,,,Left,3,3,1,Medium/Medium,Normal (185+),Yes,333000.0,,,45.0,55.0,60.0,61.0,66.0,60.0,61,53,65,63,33,62,66,53,60,61,48,43,61,62,52,62,67,33,72,57,60,65,62,52,49,57.0,67,66,65,11,13,15,6,12,,59+2,59+2,59+2,58,58,58,58,58,58+2,58+2,58+2,57+2,59+2,59+2,59+2,57+2,59+2,62+2,62+2,62+2,59+2,59+2,65,65,65,59+2,16+2
193900,/player/193900/jack-hunt/240002,24.0,2.0,2023-09-22,J. Hunt,Jack Paul Hunt,RWB,64,64,400000.0,3000.0,32,1990-12-06,175,71,1962.0,Bristol Rovers,60.0,League One,3.0,SUB,42.0,,2023-08-17,2025.0,14,England,,,,Right,2,3,1,High/Medium,Normal (170-185),No,700000.0,,,68.0,41.0,59.0,62.0,61.0,62.0,66,35,54,60,25,61,66,40,52,60,67,68,71,60,72,54,64,62,64,40,55,60,58,59,48,63.0,61,63,61,15,15,6,14,8,,54+2,54+2,54+2,58,57,57,57,58,58+2,58+2,58+2,60+2,58+2,58+2,58+2,60+2,62+2,60+2,60+2,60+2,62+2,62+2,60+2,60+2,60+2,62+2,18+2
222420,/player/222420/grant-ward/240002,24.0,2.0,2023-09-22,G. Ward,Grant Ward,"CM, CDM",64,64,575000.0,3000.0,28,1994-12-05,178,73,1962.0,Bristol Rovers,60.0,League One,3.0,RDM,8.0,,2023-01-27,2025.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1000000.0,,"Intercept, Anticipate",70.0,59.0,64.0,65.0,56.0,63.0,65,57,52,64,47,65,58,57,62,64,70,70,69,65,74,64,64,70,65,64,47,61,62,67,54,62.0,50,61,54,9,9,6,8,12,,62+2,62+2,62+2,65-1,64,64,64,65-1,64,64,64,65-1,64,64,64,65-1,63+1,61+2,61+2,61+2,63+1,62+2,58+2,58+2,58+2,62+2,15+2
244054,/player/244054/sam-finley/240002,24.0,2.0,2023-09-22,S. Finley,Samuel Joseph Finley,CM,64,64,550000.0,3000.0,30,1992-08-04,170,68,1962.0,Bristol Rovers,60.0,League One,3.0,LDM,6.0,,2021-07-01,2024.0,14,England,,,,Right,3,2,1,High/High,Normal (170-),No,963000.0,,"Pinged Pass, Long Ball Pass, Slide Tackle",60.0,58.0,63.0,67.0,61.0,67.0,60,56,57,67,52,63,57,51,64,66,62,59,75,64,89,63,61,76,55,60,85,61,58,62,51,66.0,61,64,59,15,7,6,10,7,,60+2,60+2,60+2,62,62,62,62,62,63+1,63+1,63+1,63+1,64,64,64,63+1,64,65-1,65-1,65-1,64,63+1,63+1,63+1,63+1,63+1,16+2
