player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
205481,/player/205481/mason-bennett/240002,24.0,2.0,2023-09-22,M. Bennett,Mason Bennett,"LW, ST, LM",68,68,1300000.0,4000.0,26,1996-07-15,178,64,15015.0,Burton Albion,60.0,League One,3.0,SUB,11.0,,2023-07-01,2025.0,14,England,,,,Right,3,3,1,High/Medium,Stocky (170-185),No,2300000.0,,Rapid,80.0,63.0,63.0,68.0,42.0,75.0,69,65,64,62,58,67,61,56,54,69,84,77,76,63,71,64,87,61,81,59,74,42,67,66,58,64.0,40,41,32,14,15,10,10,7,,67+1,67+1,67+1,68,67,67,67,68,66+2,66+2,66+2,67+1,61+2,61+2,61+2,67+1,56+2,55+2,55+2,55+2,56+2,55+2,54+2,54+2,54+2,55+2,17+2
239506,/player/239506/sam-hughes/240002,24.0,2.0,2023-09-22,S. Hughes,Samuel Joseph Hughes,CB,66,69,1000000.0,2000.0,26,1997-04-15,187,80,15015.0,Burton Albion,60.0,League One,3.0,CB,5.0,,2022-01-31,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (185+),Yes,1800000.0,,"Power Header, Block, Bruiser, Aerial",53.0,41.0,49.0,49.0,65.0,78.0,38,38,69,58,37,46,36,35,55,50,54,52,50,61,54,50,77,72,85,34,66,62,54,45,46,60.0,67,64,62,13,9,10,14,10,,53+2,53+2,53+2,48,50,50,50,48,50+2,50+2,50+2,51+2,54+2,54+2,54+2,51+2,58+2,61+2,61+2,61+2,58+2,59+2,66+2,66+2,66+2,59+2,17+2
204846,/player/204846/jamal-blackman/240002,24.0,2.0,2023-09-22,J. Blackman,Jamal Blackman,GK,66,66,575000.0,2000.0,29,1993-10-27,199,92,15015.0,Burton Albion,60.0,League One,3.0,GK,30.0,,2023-07-03,2025.0,14,England,,,,Right,2,1,1,Medium/Medium,Normal (185+),Yes,1000000.0,,,,,,,,,13,19,18,37,17,14,18,12,33,19,23,29,42,59,33,47,58,25,69,16,23,10,10,29,36,40.0,17,13,12,65,65,62,64,68,25.0,27+2,27+2,27+2,23,25,25,25,23,26+2,26+2,26+2,24+2,27+2,27+2,27+2,24+2,22+2,26+2,26+2,26+2,22+2,21+2,25+2,25+2,25+2,21+2,65+1
243252,/player/243252/tom-hamer/240002,24.0,2.0,2023-09-22,T. Hamer,Thomas Philip Hamer,"RWB, RB, LWB",65,70,1000000.0,2000.0,23,1999-10-01,188,80,15015.0,Burton Albion,60.0,League One,3.0,SUB,37.0,,2021-01-29,2025.0,14,England,,,,Right,4,2,1,Medium/High,Lean (185+),No,1800000.0,,"Long Ball Pass, Block, Long Throw",70.0,48.0,57.0,60.0,60.0,82.0,59,46,61,58,48,58,57,42,55,60,73,68,62,61,67,56,80,87,79,42,82,59,59,57,41,60.0,59,62,61,15,12,9,8,9,,58+2,58+2,58+2,59,58,58,58,59,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,63+2,63+2,63+2,63+2,63+2,63+2,64+2,64+2,64+2,63+2,16+2
207828,/player/207828/cole-stockton/240002,24.0,2.0,2023-09-22,C. Stockton,Cole John Stockton,ST,65,65,725000.0,2000.0,29,1994-03-13,186,75,15015.0,Burton Albion,60.0,League One,3.0,SUB,9.0,,2023-07-01,2025.0,14,England,,,,Right,3,2,1,Medium/Low,Normal (185+),No,1300000.0,,Power Shot,66.0,67.0,52.0,61.0,33.0,78.0,41,66,66,55,67,58,52,57,49,60,64,67,65,65,72,70,78,80,81,68,68,25,65,59,58,63.0,32,34,12,15,16,12,12,11,,65,65,65,60,62,62,62,60,61+2,61+2,61+2,59+2,57+2,57+2,57+2,59+2,47+2,48+2,48+2,48+2,47+2,45+2,46+2,46+2,46+2,45+2,19+2
228153,/player/228153/joe-powell/240002,24.0,2.0,2023-09-22,J. Powell,Joe James Powell,"CM, CAM, RM",64,69,875000.0,2000.0,24,1998-10-30,178,68,15015.0,Burton Albion,60.0,League One,3.0,LCM,7.0,,2020-01-14,2024.0,14,England,,,,Left,3,3,1,High/Medium,Normal (170-185),No,1600000.0,,Long Ball Pass,73.0,59.0,65.0,65.0,56.0,63.0,65,57,52,65,53,64,66,64,63,64,71,74,75,62,72,61,65,70,60,63,59,57,62,66,60,64.0,55,59,56,15,13,9,7,13,,61+2,61+2,61+2,65,63,63,63,65,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,63+2,61+2,61+2,61+2,63+2,62+2,58+2,58+2,58+2,62+2,17+2
226116,/player/226116/ryan-sweeney/240002,24.0,2.0,2023-09-22,R. Sweeney,Ryan Joseph Sweeney,CB,64,67,675000.0,2000.0,26,1997-04-15,193,87,15015.0,Burton Albion,60.0,League One,3.0,SUB,6.0,,2023-07-14,2025.0,25,Republic of Ireland,,,,Left,1,2,1,Low/High,Normal (185+),No,1200000.0,,,56.0,34.0,49.0,51.0,61.0,81.0,49,32,65,54,26,48,39,33,51,51,52,60,55,56,62,46,75,75,85,30,82,58,35,44,32,57.0,61,62,60,8,14,7,10,9,,48+2,48+2,48+2,47,46,46,46,47,47+2,47+2,47+2,50+2,51+2,51+2,51+2,50+2,58+2,59+2,59+2,59+2,58+2,59+2,64+2,64+2,64+2,59+2,15+2
190247,/player/190247/john-brayford/240002,24.0,2.0,2023-09-22,J. Brayford,John Robert Brayford,"CB, RB, RWB",64,64,150000.0,1000.0,35,1987-12-29,173,71,15015.0,Burton Albion,60.0,League One,3.0,RCB,2.0,,2017-08-31,2024.0,14,England,,,,Right,3,2,1,High/Medium,Normal (170-185),No,263000.0,,"Long Ball Pass, Block, Anticipate, Long Throw",52.0,44.0,59.0,61.0,63.0,71.0,62,38,67,63,44,58,50,43,62,60,53,51,69,65,73,58,78,71,72,42,65,62,54,55,44,64.0,64,62,60,16,13,12,14,11,,55+2,55+2,55+2,56,55,55,55,56,57+2,57+2,57+2,58+2,60+2,60+2,60+2,58+2,62+2,63+1,63+1,63+1,62+2,62+2,64,64,64,62+2,19+2
204458,/player/204458/deji-oshilaja/240002,24.0,2.0,2023-09-22,D. Oshilaja,Abdulyussuf Adedeji Adeniyi Oshilaja,"CDM, CM, CB",64,64,500000.0,2000.0,30,1993-03-02,181,75,15015.0,Burton Albion,60.0,League One,3.0,RCM,4.0,,2021-07-01,2024.0,14,England,,,,Right,4,2,1,High/High,Normal (170-185),No,875000.0,,,78.0,50.0,54.0,60.0,63.0,76.0,48,52,63,59,40,56,46,33,56,60,77,78,71,66,63,55,92,71,80,43,67,62,56,55,42,57.0,63,63,62,12,13,14,13,14,,60+2,60+2,60+2,59,59,59,59,59,59+2,59+2,59+2,60+2,59+2,59+2,59+2,60+2,63+1,63+1,63+1,63+1,63+1,64,66-2,66-2,66-2,64,19+2
239504,/player/239504/josh-gordon/240002,24.0,2.0,2023-09-22,J. Gordon,Joshua Gordon,ST,64,64,600000.0,2000.0,28,1994-10-10,178,70,15015.0,Burton Albion,60.0,League One,3.0,ST,10.0,,2023-07-01,2025.0,14,England,,,,Right,3,3,1,High/High,Normal (170-185),No,1100000.0,#Engine,"Slide Tackle, Rapid, Relentless",79.0,62.0,55.0,65.0,48.0,79.0,53,63,61,58,57,62,55,43,52,63,77,81,80,63,82,60,88,86,73,61,84,50,64,59,62,63.0,45,48,42,11,15,6,11,7,,64,64,64,64,64,64,64,64,63+1,63+1,63+1,64,60+2,60+2,60+2,64,59+2,58+2,58+2,58+2,59+2,58+2,57+2,57+2,57+2,58+2,16+2
