player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
225769,/player/225769/george-dobson/240002,24.0,2.0,2023-09-22,G. Dobson,George David Dobson,"CDM, CM",70,72,1800000.0,7000.0,25,1997-11-15,185,75,89.0,Charlton Athletic,60.0,League One,3.0,CDM,4.0,,2021-07-01,2024.0,14,England,,,,Right,4,2,1,Low/High,Lean (185+),No,3300000.0,,"Long Ball Pass, Jockey, Block, Intercept, Slide Tackle",55.0,54.0,66.0,64.0,66.0,78.0,63,50,61,68,43,62,64,56,69,65,57,54,61,68,64,65,69,84,72,52,86,67,58,64,51,68.0,65,69,67,9,9,13,11,7,,60+2,60+2,60+2,61,61,61,61,61,62+2,62+2,62+2,63+2,66+2,66+2,66+2,63+2,67+2,69+2,69+2,69+2,67+2,66+2,68+2,68+2,68+2,66+2,16+2
200138,/player/200138/michael-hector/240002,24.0,2.0,2023-09-22,M. Hector,Michael Hector,CB,69,69,1100000.0,6000.0,30,1992-07-19,193,82,89.0,Charlton Athletic,60.0,League One,3.0,SUB,6.0,,2023-01-31,2024.0,82,Jamaica,,,,Right,2,2,1,Low/Medium,Lean (185+),No,1900000.0,,Long Ball Pass,51.0,46.0,51.0,53.0,68.0,74.0,45,40,71,59,31,54,32,30,55,55,46,55,44,63,34,65,77,52,83,44,79,66,50,52,49,62.0,69,69,67,13,12,11,12,13,,55+2,55+2,55+2,51,53,53,53,51,53+2,53+2,53+2,53+2,56+2,56+2,56+2,53+2,59+2,63+2,63+2,63+2,59+2,61+2,69,69,69,61+2,18+2
205145,/player/205145/scott-fraser/240002,24.0,2.0,2023-09-22,S. Fraser,Scott Stewart Fraser,CM,68,68,1200000.0,6000.0,28,1995-03-30,185,78,89.0,Charlton Athletic,60.0,League One,3.0,SUB,10.0,,2022-01-31,2025.0,42,Scotland,,,,Left,3,3,1,High/Medium,Lean (185+),No,2100000.0,,"Technical, Relentless",68.0,65.0,68.0,70.0,54.0,69.0,65,65,48,69,48,70,72,66,68,71,66,69,73,66,68,67,62,86,68,65,52,55,64,69,66,69.0,55,56,50,16,10,13,11,14,,65+2,65+2,65+2,68,67,67,67,68,68,68,68,69-1,68,68,68,69-1,64+2,63+2,63+2,63+2,64+2,62+2,57+2,57+2,57+2,62+2,19+2
237332,/player/237332/alfie-may/240002,24.0,2.0,2023-09-22,A. May,Alfie Ben May,ST,68,68,1200000.0,7000.0,29,1993-07-03,176,72,89.0,Charlton Athletic,60.0,League One,3.0,RS,9.0,,2023-07-07,2025.0,14,England,,,,Right,4,3,1,High/Medium,Normal (170-185),No,2100000.0,,"Chip Shot, Quick Step",88.0,68.0,61.0,69.0,39.0,73.0,59,68,57,64,69,67,63,64,55,64,90,86,83,67,85,68,69,90,63,69,76,51,69,63,63,66.0,29,37,34,9,12,7,8,5,,68,68,68,69-1,68,68,68,69-1,67+1,67+1,67+1,69-1,63+2,63+2,63+2,69-1,59+2,56+2,56+2,56+2,59+2,57+2,51+2,51+2,51+2,57+2,15+2
251592,/player/251592/terry-taylor/240002,24.0,2.0,2023-09-22,T. Taylor,Terence Charles Taylor,"CDM, CM",67,75,2200000.0,4000.0,22,2001-06-29,185,80,89.0,Charlton Athletic,60.0,League One,3.0,SUB,12.0,,2023-07-26,2026.0,50,Wales,,,,Right,3,2,1,Medium/High,Lean (185+),No,4300000.0,,"Dead Ball, Long Ball Pass, Whipped Cross, Intercept",60.0,55.0,65.0,62.0,64.0,70.0,67,54,60,66,50,61,68,52,66,64,57,62,63,62,65,60,66,75,67,53,71,64,56,65,46,60.0,63,65,65,5,14,12,13,11,,59+2,59+2,59+2,61,60,60,60,61,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,65+2,16+2
230864,/player/230864/corey-blackett-taylor/240002,24.0,2.0,2023-09-22,C. Blackett-Taylor,Corey Josiah Paul Blackett-Taylor,"LW, LWB",67,70,1300000.0,5000.0,25,1997-09-23,170,67,89.0,Charlton Athletic,60.0,League One,3.0,LWB,23.0,,2021-08-20,2024.0,14,England,,,,Right,4,3,1,High/Medium,Normal (170-),No,2400000.0,"#Speedster, #Acrobat","Rapid, Quick Step",91.0,60.0,55.0,72.0,51.0,61.0,60,59,50,56,42,73,55,39,46,66,91,91,90,60,89,72,70,69,55,56,62,50,62,61,56,65.0,51,52,51,7,5,13,14,5,,64+2,64+2,64+2,67,66,66,66,67,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,61+2,56+2,56+2,56+2,61+2,60+2,55+2,55+2,55+2,60+2,14+2
229378,/player/229378/tayo-edun/240002,24.0,2.0,2023-09-22,T. Edun,Adetayo Oluwatosin Olusegun Edun,"LB, LWB, CDM",66,71,1200000.0,4000.0,25,1998-05-14,172,75,89.0,Charlton Athletic,60.0,League One,3.0,SUB,17.0,,2023-07-25,2025.0,14,England,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,2200000.0,,,72.0,45.0,59.0,65.0,61.0,68.0,56,39,56,64,36,62,35,55,62,63,75,69,82,64,83,54,67,80,59,46,74,63,54,58,55,61.0,62,61,60,12,11,12,12,9,,56+2,56+2,56+2,60,58,58,58,60,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,64+2,62+2,62+2,62+2,64+2,17+2
222503,/player/222503/harry-isted/240002,24.0,2.0,2023-09-22,H. Isted,Harvey Isted,GK,66,70,925000.0,3000.0,26,1997-03-05,186,74,89.0,Charlton Athletic,60.0,League One,3.0,SUB,21.0,,2023-07-01,2025.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1700000.0,,,,,,,,,16,14,18,24,17,16,13,14,22,19,35,36,34,58,41,47,44,25,37,19,18,11,9,24,31,38.0,12,14,18,67,64,63,65,69,35.0,25+2,25+2,25+2,23,24,24,24,23,23+2,23+2,23+2,23+2,23+2,23+2,23+2,23+2,22+2,22+2,22+2,22+2,22+2,22+2,21+2,21+2,21+2,22+2,65+2
240331,/player/240331/panutche-amadu-pereira-camara/240002,24.0,2.0,2023-09-22,Panutche Camará,Panutche Amadu Pereira Camará,CM,66,69,1100000.0,6000.0,26,1997-02-28,185,73,89.0,Charlton Athletic,60.0,League One,3.0,LCM,8.0,Ipswich Town,,2024.0,119,Guinea Bissau,,,,Right,3,3,1,High/Medium,Lean (185+),No,,,"Technical, Flair",82.0,60.0,61.0,67.0,62.0,73.0,50,60,58,66,39,69,54,44,64,65,82,82,66,66,58,64,79,82,72,63,62,63,63,66,58,66.0,60,64,62,7,9,9,6,15,,65+2,65+2,65+2,66,66,66,66,66,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,66+2,65+2,65+2,65+2,66+2,66+2,64+2,64+2,64+2,66+2,15+2
215301,/player/215301/lloyd-jones/240002,24.0,2.0,2023-09-22,L. Jones,Lloyd Richard Jones,CB,66,67,850000.0,4000.0,27,1995-10-07,191,78,89.0,Charlton Athletic,60.0,League One,3.0,RCB,2.0,,2023-07-01,2025.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1600000.0,,"Long Ball Pass, Block, Anticipate, Aerial",57.0,28.0,43.0,44.0,65.0,77.0,32,22,66,55,29,40,31,36,50,47,53,61,36,64,50,44,76,69,85,24,66,63,21,32,41,53.0,65,66,64,6,15,13,12,11,,44+2,44+2,44+2,41,41,41,41,41,42+2,42+2,42+2,44+2,48+2,48+2,48+2,44+2,57+2,60+2,60+2,60+2,57+2,59+2,66+1,66+1,66+1,59+2,17+2
