player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
235027,/player/235027/luke-southwood/240002,24.0,2.0,2023-09-22,L. Southwood,Luke Kevin Southwood,GK,66,70,925000.0,2000.0,25,1997-12-06,185,72,1936.0,Cheltenham Town,60.0,League One,3.0,GK,1.0,,2023-07-11,2024.0,35,Northern Ireland,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,1700000.0,,,,,,,,,11,9,16,48,7,21,11,10,51,32,54,58,68,63,60,51,51,32,40,7,45,15,4,62,12,52.0,18,11,16,67,64,68,65,66,56.0,28+2,28+2,28+2,32,33,33,33,32,38+2,38+2,38+2,35+2,38+2,38+2,38+2,35+2,29+2,34+2,34+2,34+2,29+2,28+2,26+2,26+2,26+2,28+2,65+2
237175,/player/237175/lewis-freestone/240002,24.0,2.0,2023-09-22,L. Freestone,Lewis Jay Freestone,"CB, LWB",65,70,975000.0,2000.0,23,1999-10-26,187,74,1936.0,Cheltenham Town,60.0,League One,3.0,LCB,6.0,,2020-08-01,2025.0,14,England,,,,Left,2,2,1,Medium/Medium,Normal (185+),No,1800000.0,,"Block, Intercept, Slide Tackle, Aerial",71.0,33.0,51.0,59.0,62.0,73.0,54,29,59,57,25,59,36,32,50,57,70,71,67,61,50,47,75,61,77,25,78,61,44,46,33,53.0,63,64,62,13,11,9,14,14,,51+2,51+2,51+2,53,52,52,52,53,52+2,52+2,52+2,55+2,53+2,53+2,53+2,55+2,61+2,60+2,60+2,60+2,61+2,62+2,65+2,65+2,65+2,62+2,18+2
253374,/player/253374/elliot-bonds/240002,24.0,2.0,2023-09-22,E. Bonds,Elliott Michael Bonds,CDM,65,70,1000000.0,2000.0,23,2000-03-23,188,74,1936.0,Cheltenham Town,60.0,League One,3.0,CDM,23.0,,2021-07-01,2025.0,79,Guyana,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,1800000.0,,"Long Ball Pass, Slide Tackle",65.0,50.0,58.0,62.0,62.0,75.0,50,45,54,64,39,60,51,41,62,63,62,68,62,61,69,60,69,71,77,56,77,63,49,59,45,62.0,62,64,62,14,12,7,7,7,,57+2,57+2,57+2,58,58,58,58,58,59+2,59+2,59+2,59+2,61+2,61+2,61+2,59+2,62+2,64+2,64+2,64+2,62+2,62+2,65+2,65+2,65+2,62+2,15+2
163761,/player/163761/curtis-davies/240002,24.0,2.0,2023-09-22,C. Davies,Curtis Davies,CB,65,65,130000.0,2000.0,38,1985-03-15,188,76,1936.0,Cheltenham Town,60.0,League One,3.0,CB,33.0,,2023-07-01,2024.0,14,England,,,,Right,3,2,2,Low/High,Normal (185+),Yes,228000.0,,Aerial,34.0,35.0,44.0,48.0,67.0,58.0,24,30,68,59,32,38,24,25,58,60,33,34,38,64,46,47,60,36,66,32,63,67,40,38,32,66.0,67,68,67,7,9,10,15,10,,47+2,47+2,47+2,42,45,45,45,42,46+2,46+2,46+2,44+2,52+2,52+2,52+2,44+2,53+2,61+2,61+2,61+2,53+2,56+2,65,65,65,56+2,16+2
188490,/player/188490/liam-sercombe/240002,24.0,2.0,2023-09-22,L. Sercombe,Liam Michael Sercombe,CM,65,65,450000.0,2000.0,33,1990-04-25,178,69,1936.0,Cheltenham Town,60.0,League One,3.0,LCM,8.0,,2020-08-04,2024.0,14,England,,,,Right,4,3,1,High/Medium,Lean (170-185),No,788000.0,,Trivela,53.0,60.0,64.0,65.0,56.0,66.0,59,58,55,66,53,63,62,55,65,64,53,53,71,65,73,66,60,83,61,59,58,57,61,66,62,63.0,53,59,54,12,8,16,14,13,,60+2,60+2,60+2,61,62,62,62,61,63+2,63+2,63+2,63+2,65,65,65,63+2,61+2,62+2,62+2,62+2,61+2,60+2,58+2,58+2,58+2,60+2,18+2
237863,/player/237863/aidan-keena/240002,24.0,2.0,2023-09-22,A. Keena,Aidan Keena,ST,64,68,850000.0,2000.0,24,1999-04-25,180,68,1936.0,Cheltenham Town,60.0,League One,3.0,LS,10.0,,2023-01-29,2026.0,25,Republic of Ireland,,,,Right,3,2,1,Medium/Low,Normal (170-185),No,1600000.0,,,70.0,64.0,58.0,63.0,37.0,65.0,56,65,59,60,63,64,61,44,54,62,69,71,64,61,68,63,68,66,67,65,60,39,64,62,64,63.0,24,41,34,7,12,10,13,15,,64+2,64+2,64+2,63,64,64,64,63,63+2,63+2,63+2,63+2,59+2,59+2,59+2,63+2,52+2,51+2,51+2,51+2,52+2,50+2,48+2,48+2,48+2,50+2,17+2
205589,/player/205589/curtis-thompson/240002,24.0,2.0,2023-09-22,C. Thompson,Curtis Liam Thompson,"CM, CDM",64,64,575000.0,2000.0,29,1993-09-02,178,77,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,14.0,,2023-08-03,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1000000.0,,"Slide Tackle, Long Throw",72.0,59.0,61.0,65.0,64.0,72.0,53,59,62,65,47,62,50,48,64,64,73,71,80,63,79,59,77,67,71,63,77,67,61,64,53,64.0,63,65,64,11,10,13,12,11,,63+1,63+1,63+1,63,63,63,63,63,64,64,64,63+1,64,64,64,63+1,64,66-2,66-2,66-2,64,64,66-2,66-2,66-2,64,17+2
218591,/player/218591/sean-long/240002,24.0,2.0,2023-09-22,S. Long,Sean Martin Long,CB,64,64,500000.0,2000.0,28,1995-04-02,178,70,1936.0,Cheltenham Town,60.0,League One,3.0,RCB,2.0,,2018-06-26,2024.0,25,Republic of Ireland,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,875000.0,,"Long Ball Pass, Intercept, Long Throw",72.0,39.0,55.0,61.0,62.0,75.0,59,34,58,61,27,57,54,34,54,62,75,70,71,62,72,49,84,83,73,40,70,62,52,49,37,61.0,63,63,61,14,8,11,6,14,,54+2,54+2,54+2,57,55,55,55,57,56+2,56+2,56+2,59+2,58+2,58+2,58+2,59+2,64,63+1,63+1,63+1,64,64,64,64,64,64,16+2
260723,/player/260723/robert-street/240002,24.0,2.0,2023-09-22,R. Street,Robert Street,ST,63,71,1100000.0,2000.0,21,2001-09-26,188,78,1936.0,Cheltenham Town,60.0,League One,3.0,RS,11.0,,2023-07-01,2026.0,14,England,,,,Right,3,2,1,High/Medium,Lean (185+),No,2100000.0,,Power Header,68.0,61.0,53.0,59.0,30.0,70.0,46,63,61,59,59,58,45,40,45,61,66,69,58,62,60,63,73,62,73,56,73,23,64,59,58,61.0,28,29,25,11,12,6,15,13,,63+2,63+2,63+2,60,61,61,61,60,60+2,60+2,60+2,59+2,55+2,55+2,55+2,59+2,46+2,46+2,46+2,46+2,46+2,45+2,45+2,45+2,45+2,45+2,18+2
240585,/player/240585/ben-williams/240002,24.0,2.0,2023-09-22,B. Williams,Benjamin Williams,LWB,63,68,675000.0,2000.0,24,1999-03-31,178,75,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,3.0,,2022-01-05,2024.0,50,Wales,,,,Left,3,2,1,Medium/High,Normal (170-185),No,1200000.0,,,71.0,42.0,55.0,61.0,59.0,62.0,59,42,53,58,31,61,52,37,53,57,73,69,75,57,70,43,67,71,63,40,49,59,53,51,41,55.0,59,59,62,15,7,11,9,7,,53+2,53+2,53+2,57,55,55,55,57,56+2,56+2,56+2,59+2,56+2,56+2,56+2,59+2,61+2,58+2,58+2,58+2,61+2,61+2,59+2,59+2,59+2,61+2,15+2
241875,/player/241875/will-ferry/240002,24.0,2.0,2023-09-22,W. Ferry,Will Ferry,LWB,63,68,675000.0,2000.0,23,1999-12-07,173,70,1936.0,Cheltenham Town,60.0,League One,3.0,LWB,15.0,,2022-08-09,2024.0,25,Republic of Ireland,,,,Left,3,3,1,High/High,Normal (170-185),No,1200000.0,,Technical,74.0,52.0,59.0,66.0,54.0,52.0,62,54,49,60,57,65,50,50,55,63,81,68,80,61,77,54,58,72,48,41,37,53,58,60,56,57.0,54,58,53,7,14,5,14,12,,58+2,58+2,58+2,62,60,60,60,62,61+2,61+2,61+2,63+2,59+2,59+2,59+2,63+2,61+2,57+2,57+2,57+2,61+2,60+2,54+2,54+2,54+2,60+2,17+2
222979,/player/222979/liam-smith/240002,24.0,2.0,2023-09-22,L. Smith,Liam Smith,"RWB, CB",63,63,475000.0,2000.0,27,1996-04-10,173,68,1936.0,Cheltenham Town,60.0,League One,3.0,RWB,22.0,,2023-07-20,2024.0,42,Scotland,,,,Right,4,2,1,Medium/Medium,Lean (170-185),No,831000.0,,,73.0,45.0,54.0,57.0,60.0,70.0,55,41,59,57,37,56,55,31,55,58,74,72,59,55,68,54,80,78,66,49,66,59,47,50,42,53.0,60,61,60,6,13,7,9,10,,54+2,54+2,54+2,56,54,54,54,56,55+2,55+2,55+2,57+2,56+2,56+2,56+2,57+2,61+2,60+2,60+2,60+2,61+2,62+1,61+2,61+2,61+2,62+1,14+2
247518,/player/247518/tom-bradbury/240002,24.0,2.0,2023-09-22,T. Bradbury,Thomas Bradbury,CB,62,63,425000.0,2000.0,25,1998-02-27,190,86,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,4.0,,2022-07-01,2024.0,14,England,,,,Left,3,2,1,Low/Medium,Normal (185+),No,776000.0,,,63.0,34.0,45.0,50.0,60.0,73.0,31,38,61,55,30,49,36,32,47,48,62,64,61,57,40,34,75,66,80,23,62,59,34,44,37,53.0,59,61,58,11,11,7,10,9,,47+2,47+2,47+2,47,46,46,46,47,48+2,48+2,48+2,49+2,50+2,50+2,50+2,49+2,55+2,57+2,57+2,57+2,55+2,56+2,62+1,62+1,62+1,56+2,15+2
271462,/player/271462/josh-williams/240002,24.0,2.0,2023-09-22,J. Williams,Josh Williams,"RWB, RB",61,74,750000.0,2000.0,20,2002-11-24,182,73,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,26.0,Birmingham City,,2024.0,14,England,,,,Right,3,2,1,High/Medium,Normal (170-185),No,,,Rapid,78.0,45.0,54.0,58.0,56.0,60.0,59,44,50,57,40,58,56,41,47,55,74,82,66,57,63,48,65,58,60,43,62,55,55,51,45,52.0,56,59,58,10,9,7,6,13,,54+2,54+2,54+2,58,56,56,56,58,56+2,56+2,56+2,58+2,54+2,54+2,54+2,58+2,59+2,56+2,56+2,56+2,59+2,59+2,58+2,58+2,58+2,59+2,15+2
240715,/player/240715/george-lloyd/240002,24.0,2.0,2023-09-22,G. Lloyd,George Robert Lawrence Lloyd,ST,61,67,525000.0,2000.0,23,2000-02-11,173,63,1936.0,Cheltenham Town,60.0,League One,3.0,RES,19.0,,2017-08-01,2024.0,14,England,,,,Right,2,2,1,High/Medium,Lean (170-185),No,1000000.0,,,80.0,58.0,51.0,63.0,34.0,72.0,52,59,56,52,55,60,57,49,43,60,81,80,84,57,88,54,85,76,69,60,69,29,63,53,56,52.0,34,32,24,6,7,7,11,13,,61+2,61+2,61+2,61,60,60,60,61,59+2,59+2,59+2,60+2,53+2,53+2,53+2,60+2,50+2,47+2,47+2,47+2,50+2,48+2,46+2,46+2,46+2,48+2,14+2
247166,/player/247166/james-olayinka/240002,24.0,2.0,2023-09-22,J. Olayinka,James Olayinka,"CM, CAM",60,69,550000.0,1000.0,22,2000-10-05,175,68,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,17.0,,2022-09-01,2024.0,14,England,,,,Right,4,3,1,High/Medium,Lean (170-185),No,1100000.0,,,77.0,60.0,58.0,66.0,48.0,55.0,55,60,41,61,55,65,58,53,57,63,78,77,84,60,79,64,51,72,49,60,51,44,59,60,43,59.0,46,53,49,5,10,6,9,8,,60+2,60+2,60+2,64,63,63,63,64,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,58+2,55+2,55+2,55+2,58+2,57+2,50+2,50+2,50+2,57+2,14+2
264104,/player/264104/will-goodwin/240002,24.0,2.0,2023-09-22,W. Goodwin,Will Goodwin,ST,60,67,500000.0,1000.0,21,2002-05-07,191,90,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,9.0,,2023-01-09,2025.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,975000.0,,,62.0,57.0,44.0,59.0,27.0,74.0,30,58,59,54,56,57,54,41,29,61,60,64,61,59,53,63,74,65,81,50,66,24,61,51,58,58.0,22,25,25,8,7,6,13,12,,60+2,60+2,60+2,56,58,58,58,56,56+2,56+2,56+2,54+2,50+2,50+2,50+2,54+2,43+2,43+2,43+2,43+2,43+2,41+2,43+2,43+2,43+2,41+2,15+2
264445,/player/264445/jovan-malcolm/240002,24.0,2.0,2023-09-22,J. Malcolm,Jovan Malcolm,"ST, RM",59,73,550000.0,5000.0,20,2002-12-10,180,77,1936.0,Cheltenham Town,60.0,League One,3.0,RES,32.0,West Bromwich Albion,,2024.0,14,England,,,,Right,3,3,1,High/Medium,Stocky (170-185),No,,,,84.0,59.0,39.0,56.0,22.0,64.0,30,60,53,46,52,57,43,29,31,53,83,85,65,51,66,66,74,55,69,51,59,14,55,42,60,48.0,29,15,10,11,9,9,11,12,,59+2,59+2,59+2,55,57,57,57,55,53+2,53+2,53+2,53+2,44+2,44+2,44+2,53+2,39+2,36+2,36+2,36+2,39+2,37+2,37+2,37+2,37+2,37+2,15+2
273926,/player/273926/nathan-butler-oyedeji/240002,24.0,2.0,2023-09-22,N. Butler-Oyedeji,Nathan Butler-Oyedeji,ST,59,70,500000.0,11000.0,20,2003-01-04,177,74,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,38.0,Arsenal,,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,76.0,57.0,52.0,62.0,19.0,52.0,55,60,55,54,49,62,55,42,45,58,77,76,73,53,73,57,65,48,54,53,48,15,57,54,62,55.0,14,14,20,6,10,13,14,5,,59+2,59+2,59+2,60,59,59,59,60,58+2,58+2,58+2,59+2,50+2,50+2,50+2,59+2,42+2,37+2,37+2,37+2,42+2,40+2,34+2,34+2,34+2,40+2,14+2
252835,/player/252835/grant-horton/240002,24.0,2.0,2023-09-22,G. Horton,Grant Dean Horton,"CB, RWB",59,65,325000.0,1000.0,21,2001-09-13,192,78,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,24.0,,2019-08-16,2024.0,14,England,,,,Right,2,2,1,Low/Medium,Normal (185+),No,634000.0,,Anticipate,65.0,24.0,41.0,49.0,57.0,65.0,22,24,57,54,27,45,21,22,54,52,60,69,49,57,52,32,69,57,72,15,57,56,27,36,30,59.0,58,58,56,14,14,14,7,7,,43+2,43+2,43+2,43,43,43,43,43,44+2,44+2,44+2,46+2,48+2,48+2,48+2,46+2,52+2,56+2,56+2,56+2,52+2,54+2,59+2,59+2,59+2,54+2,16+2
240535,/player/240535/ellis-chapman/240002,24.0,2.0,2023-09-22,E. Chapman,Ellis Darren Chapman,"CM, CDM",59,63,325000.0,1000.0,22,2001-01-08,188,74,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,18.0,,2020-10-15,2024.0,14,England,,,,Left,4,3,1,Medium/Medium,Lean (185+),No,593000.0,,,68.0,47.0,61.0,61.0,50.0,61.0,59,50,39,62,39,59,55,57,63,61,67,68,67,58,63,46,54,69,64,39,44,51,53,61,55,58.0,50,54,51,15,13,8,13,10,,54+2,54+2,54+2,59,57,57,57,59,59+2,59+2,59+2,60+2,59+2,59+2,59+2,60+2,58+2,57+2,57+2,57+2,58+2,57+2,53+2,53+2,53+2,57+2,17+2
271235,/player/271235/owen-bevan/240002,24.0,2.0,2023-09-22,O. Bevan,Owen Bevan,CB,58,70,450000.0,3000.0,19,2003-10-26,186,74,1936.0,Cheltenham Town,60.0,League One,3.0,RES,5.0,AFC Bournemouth,,2024.0,50,Wales,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,,,,61.0,33.0,40.0,46.0,59.0,58.0,37,28,52,48,33,39,36,32,41,53,65,57,41,52,57,49,66,35,71,28,50,59,24,32,41,57.0,62,60,57,14,7,15,13,10,,43+2,43+2,43+2,42,42,42,42,42,42+2,42+2,42+2,43+2,43+2,43+2,43+2,43+2,51+2,52+2,52+2,52+2,51+2,53+2,58+2,58+2,58+2,53+2,16+2
277892,/player/277892/luciano-dauria-henry/240002,24.0,2.0,2023-09-22,L. D'Auria-Henry,Luciano D'Auria-Henry,RWB,58,68,425000.0,7000.0,20,2002-11-11,174,72,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,27.0,Fulham,,2024.0,14,England,,,,Right,3,2,1,High/Medium,Normal (170-185),No,,,,78.0,36.0,44.0,59.0,53.0,58.0,56,33,49,43,31,59,42,37,36,55,79,77,74,52,76,41,63,62,57,35,56,51,40,41,44,46.0,54,55,52,9,13,11,15,9,,48+2,48+2,48+2,53,49,49,49,53,49+2,49+2,49+2,53+2,47+2,47+2,47+2,53+2,56+2,50+2,50+2,50+2,56+2,56+2,54+2,54+2,54+2,56+2,16+2
240562,/player/240562/daniel-adshead/240002,24.0,2.0,2023-09-22,D. Adshead,Daniel Adshead,"CM, CDM",58,66,450000.0,1000.0,21,2001-09-02,178,70,1936.0,Cheltenham Town,60.0,League One,3.0,SUB,16.0,,2022-06-21,2024.0,14,England,,,,Right,2,3,1,High/Medium,Lean (170-185),No,878000.0,,,64.0,51.0,55.0,58.0,52.0,52.0,48,49,40,59,40,56,50,41,58,59,69,59,62,56,69,54,46,63,50,57,47,54,57,59,36,56.0,49,58,52,10,6,6,13,8,,54+2,54+2,54+2,57,57,57,57,57,58+2,58+2,58+2,57+2,58+2,58+2,58+2,57+2,56+2,56+2,56+2,56+2,56+2,55+2,52+2,52+2,52+2,55+2,14+2
