player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
237310,/player/237310/demetri-mitchell/240002,24.0,2.0,2023-09-22,D. Mitchell,Demetri Mitchell,LWB,67,67,1000000.0,3000.0,26,1997-01-11,181,71,143.0,Exeter City,60.0,League One,3.0,LW,7.0,,2023-01-26,2024.0,14,England,,,,Left,3,3,1,High/High,Lean (170-185),No,1800000.0,#Speedster,"Whipped Cross, Technical, Quick Step",90.0,61.0,63.0,66.0,57.0,67.0,67,60,55,63,56,66,63,61,61,65,89,91,76,61,71,66,76,74,64,61,62,55,63,62,56,61.0,56,59,55,13,7,12,9,12,,65+2,65+2,65+2,67,66,66,66,67,65+2,65+2,65+2,68-1,63+2,63+2,63+2,68-1,65+2,61+2,61+2,61+2,65+2,64+2,60+2,60+2,60+2,64+2,16+2
231139,/player/231139/jack-fitzwater/240002,24.0,2.0,2023-09-22,J. Fitzwater,Jackson Joseph Fitzwater,CB,64,68,725000.0,2000.0,25,1997-09-23,188,70,143.0,Exeter City,60.0,League One,3.0,SUB,24.0,,2023-09-05,2025.0,14,England,,,,Right,3,2,1,Low/High,Normal (185+),No,1300000.0,,,66.0,37.0,48.0,54.0,64.0,69.0,28,35,62,57,37,48,37,36,59,55,70,62,61,66,63,50,74,67,71,26,66,64,35,52,43,60.0,64,64,63,14,8,9,5,15,,50+2,50+2,50+2,49,50,50,50,49,51+2,51+2,51+2,52+2,55+2,55+2,55+2,52+2,58+2,62+2,62+2,62+2,58+2,60+2,64+2,64+2,64+2,60+2,17+2
243546,/player/243546/harry-kite/240002,24.0,2.0,2023-09-22,H. Kite,Harry George Kite,CM,64,67,800000.0,2000.0,23,2000-06-29,176,69,143.0,Exeter City,60.0,League One,3.0,SUB,16.0,,2018-02-07,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1500000.0,,Power Shot,71.0,59.0,60.0,66.0,58.0,63.0,48,53,49,67,60,64,56,50,63,65,70,71,79,62,75,70,61,76,62,65,48,58,60,62,52,61.0,56,64,57,14,6,15,7,12,,61+2,61+2,61+2,63,63,63,63,63,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,62+2,62+2,61+2,59+2,59+2,59+2,61+2,16+2
240608,/player/240608/alex-hartridge/240002,24.0,2.0,2023-09-22,A. Hartridge,Alex Duncan Hartridge,CB,64,66,675000.0,2000.0,24,1999-03-09,185,84,143.0,Exeter City,60.0,League One,3.0,LCB,5.0,,2017-06-01,2024.0,14,England,,,,Left,2,2,1,High/Medium,Normal (185+),No,1200000.0,,"Long Ball Pass, Jockey, Long Throw",70.0,28.0,50.0,54.0,63.0,75.0,47,25,60,58,26,49,35,27,54,53,71,69,64,62,64,33,81,71,81,27,61,60,43,44,30,58.0,64,65,62,6,11,13,7,10,,48+2,48+2,48+2,50,48,48,48,50,50+2,50+2,50+2,53+2,53+2,53+2,53+2,53+2,60+2,61+2,61+2,61+2,60+2,62+2,64+2,64+2,64+2,62+2,15+2
258953,/player/258953/ilmari-niskanen/240002,24.0,2.0,2023-09-22,I. Niskanen,Ilmari Niskanen,"LW, RWB, LWB",64,65,700000.0,2000.0,25,1997-10-27,177,78,143.0,Exeter City,60.0,League One,3.0,SUB,14.0,,2023-08-15,2027.0,17,Finland,1334.0,SUB,18.0,Right,4,3,1,High/Medium,Normal (170-185),No,1300000.0,,"Finesse Shot, Rapid",76.0,59.0,61.0,67.0,46.0,61.0,64,56,41,63,53,66,66,63,51,65,77,75,77,57,81,66,61,67,64,63,45,46,60,58,49,58.0,44,51,41,15,12,15,10,13,,60+2,60+2,60+2,64,63,63,63,64,63+2,63+2,63+2,64+1,59+2,59+2,59+2,64+1,58+2,54+2,54+2,54+2,58+2,56+2,50+2,50+2,50+2,56+2,18+2
202491,/player/202491/tom-carroll/240002,24.0,2.0,2023-09-22,T. Carroll,Tom Carroll,"CM, CDM",64,64,475000.0,2000.0,31,1992-05-28,177,69,143.0,Exeter City,60.0,League One,3.0,RCM,6.0,,2023-07-20,2024.0,14,England,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,831000.0,,,56.0,59.0,66.0,67.0,62.0,53.0,66,58,55,68,58,64,63,67,65,66,57,56,80,64,77,60,55,45,51,59,69,63,62,65,56,67.0,62,64,61,11,10,11,9,11,,60+2,60+2,60+2,63,62,62,62,63,64,64,64,63+1,64,64,64,63+1,62+2,63+1,63+1,63+1,62+2,61+2,61+2,61+2,61+2,61+2,16+2
207646,/player/207646/pierce-sweeney/240002,24.0,2.0,2023-09-22,P. Sweeney,Pierce Liam Sweeney,CB,64,64,500000.0,2000.0,28,1994-09-11,183,80,143.0,Exeter City,60.0,League One,3.0,RCB,26.0,,2021-07-08,2026.0,25,Republic of Ireland,,,,Right,3,2,1,High/Medium,Stocky (170-185),No,875000.0,,"Long Ball Pass, Intercept",65.0,43.0,54.0,57.0,62.0,76.0,56,43,63,58,35,54,52,30,55,56,64,65,65,61,67,50,84,80,77,34,64,60,52,51,59,60.0,62,64,63,8,14,15,7,12,,54+2,54+2,54+2,55,54,54,54,55,54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,62+2,61+2,61+2,61+2,62+2,63+1,64,64,64,63+1,16+2
257116,/player/257116/cheick-diabate/240002,24.0,2.0,2023-09-22,C. Diabaté,Cheick Tiemoko Diabate,CB,63,71,1000000.0,1000.0,21,2002-01-21,192,84,143.0,Exeter City,60.0,League One,3.0,SUB,39.0,,2020-07-01,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (185+),No,2000000.0,,Power Header,69.0,30.0,42.0,52.0,62.0,70.0,30,28,63,56,25,48,30,25,49,53,68,70,58,60,54,36,79,61,81,26,50,59,30,30,35,60.0,61,65,60,11,10,12,10,14,,47+2,47+2,47+2,46,45,45,45,46,46+2,46+2,46+2,48+2,49+2,49+2,49+2,48+2,56+2,57+2,57+2,57+2,56+2,58+2,63+2,63+2,63+2,58+2,17+2
234743,/player/234743/admiral-muskwe/240002,24.0,2.0,2023-09-22,A. Muskwe,Admiral Dalindlela Muskwe,ST,63,68,725000.0,9000.0,24,1998-08-21,188,75,143.0,Exeter City,60.0,League One,3.0,SUB,10.0,Luton Town,,2024.0,148,Zimbabwe,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,,,,65.0,61.0,46.0,62.0,31.0,65.0,35,65,64,51,54,62,51,48,42,60,66,65,66,64,61,63,71,62,69,51,58,26,64,50,63,58.0,30,25,24,8,14,14,7,12,,63+2,63+2,63+2,58,61,61,61,58,58+2,58+2,58+2,57+2,52+2,52+2,52+2,57+2,44+2,44+2,44+2,44+2,44+2,43+2,43+2,43+2,43+2,43+2,16+2
276047,/player/276047/vincent-harper/240002,24.0,2.0,2023-09-22,V. Harper,Vincent Harper,"LWB, RWB",63,68,700000.0,2000.0,22,2000-09-22,176,68,143.0,Exeter City,60.0,League One,3.0,SUB,31.0,,2023-07-01,2025.0,14,England,,,,Left,4,3,1,High/High,Normal (170-185),No,1300000.0,#Speedster,"Slide Tackle, Quick Step",90.0,37.0,46.0,63.0,56.0,74.0,54,38,49,49,30,61,44,35,38,58,88,92,82,55,90,41,75,77,72,27,74,58,51,42,40,60.0,56,56,59,12,9,9,9,9,,53+2,53+2,53+2,57,54,54,54,57,53+2,53+2,53+2,58+2,51+2,51+2,51+2,58+2,61+2,56+2,56+2,56+2,61+2,62+2,60+2,60+2,60+2,62+2,15+2
