player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
203328,/player/203328/sam-hoskins/240002,24.0,2.0,2023-09-22,S. Hoskins,Samuel Tobias Hoskins,LM,67,67,975000.0,4000.0,30,1993-02-04,173,67,1930.0,Northampton Town,60.0,League One,3.0,LM,7.0,,2015-08-01,2026.0,14,England,,,,Right,3,3,1,High/High,Normal (170-185),No,1700000.0,#Acrobat,"Quick Step, Relentless, Long Throw",86.0,64.0,60.0,67.0,48.0,69.0,63,65,52,61,51,64,60,54,52,62,91,82,92,64,91,62,73,83,61,66,72,50,64,61,67,60.0,49,48,40,15,11,9,9,16,,64+2,64+2,64+2,67,65,65,65,67,65+2,65+2,65+2,66+1,61+2,61+2,61+2,66+1,61+2,57+2,57+2,57+2,61+2,59+2,54+2,54+2,54+2,59+2,18+2
208188,/player/208188/jon-guthrie/240002,24.0,2.0,2023-09-22,J. Guthrie,Jonathan Neil Guthrie,CB,66,66,700000.0,3000.0,30,1992-07-29,193,82,1930.0,Northampton Town,60.0,League One,3.0,LCB,5.0,,2021-07-01,2025.0,14,England,,,,Left,3,2,1,Low/Medium,Normal (185+),No,1200000.0,,"Block, Anticipate, Bruiser, Aerial",49.0,34.0,50.0,50.0,65.0,81.0,45,28,64,54,37,50,48,38,51,55,51,48,33,62,35,46,75,81,87,31,68,65,44,51,40,53.0,65,65,65,7,9,13,14,10,,49+2,49+2,49+2,47,48,48,48,47,49+2,49+2,49+2,51+2,54+2,54+2,54+2,51+2,60+2,62+2,62+2,62+2,60+2,61+2,66,66,66,61+2,16+2
256164,/player/256164/tyreece-simpson/240002,24.0,2.0,2023-09-22,T. Simpson,Tyreece Tyson Nesbett Simpson,ST,65,75,1600000.0,2000.0,21,2002-02-07,186,81,1930.0,Northampton Town,60.0,League One,3.0,ST,16.0,Huddersfield Town,,2024.0,14,England,,,,Left,4,2,1,High/Low,Stocky (185+),No,,,,80.0,62.0,44.0,63.0,19.0,74.0,31,63,61,53,53,63,40,37,43,64,72,86,64,60,68,64,81,70,82,57,57,11,67,46,59,55.0,14,15,16,9,10,13,11,6,,65+2,65+2,65+2,60,63,63,63,60,59+2,59+2,59+2,59+2,52+2,52+2,52+2,59+2,42+2,40+2,40+2,40+2,42+2,40+2,38+2,38+2,38+2,40+2,15+2
264139,/player/264139/marc-leonard/240002,24.0,2.0,2023-09-22,M. Leonard,Marc Leonard,"CM, CDM",65,75,1600000.0,12000.0,21,2001-12-19,180,76,1930.0,Northampton Town,60.0,League One,3.0,RDM,21.0,Brighton & Hove Albion,,2024.0,42,Scotland,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,,,"Long Ball Pass, Intercept",65.0,51.0,60.0,63.0,61.0,65.0,46,47,55,67,45,62,53,44,66,65,66,64,62,63,67,58,62,80,56,55,71,64,58,65,50,61.0,57,64,63,6,10,8,8,5,,58+2,58+2,58+2,60,61,61,61,60,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,63+2,65+2,65+2,65+2,63+2,63+2,62+2,62+2,62+2,63+2,13+2
227881,/player/227881/shaun-mcwilliams/240002,24.0,2.0,2023-09-22,S. McWilliams,Shaun Daniel McWilliams,"CDM, CM",65,69,925000.0,2000.0,24,1998-08-14,180,69,1930.0,Northampton Town,60.0,League One,3.0,SUB,17.0,,2015-02-21,2024.0,14,England,,,,Right,3,2,1,Medium/High,Lean (170-185),No,1700000.0,,"Long Ball Pass, Jockey, Slide Tackle",69.0,52.0,57.0,61.0,61.0,74.0,50,51,49,63,40,60,46,43,60,60,67,71,67,59,69,57,73,72,71,55,82,63,57,58,44,60.0,60,64,62,6,14,16,13,12,,57+2,57+2,57+2,59,59,59,59,59,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,62+2,64+2,64+2,64+2,62+2,62+2,64+2,64+2,64+2,62+2,17+2
213969,/player/213969/mitch-pinnock/240002,24.0,2.0,2023-09-22,M. Pinnock,Mitchell Bernard Pinnock,"RM, CM, CAM",65,65,725000.0,3000.0,28,1994-12-12,190,86,1930.0,Northampton Town,60.0,League One,3.0,CAM,11.0,,2021-07-01,2025.0,14,England,,,,Left,3,3,1,Medium/Medium,Lean (185+),No,1300000.0,,"Whipped Cross, Long Throw",79.0,58.0,62.0,62.0,47.0,70.0,65,54,47,62,52,62,67,57,57,61,76,81,65,62,65,66,70,80,74,60,46,46,60,64,56,61.0,46,49,46,8,14,16,10,9,,61+2,61+2,61+2,63,62,62,62,63,62+2,62+2,62+2,64+1,61+2,61+2,61+2,64+1,60+2,56+2,56+2,56+2,60+2,58+2,53+2,53+2,53+2,58+2,16+2
217332,/player/217332/manny-monthe/240002,24.0,2.0,2023-09-22,M. Monthé,Emmanuel Gaetan Nguemkam Monthe,CB,65,65,625000.0,2000.0,28,1995-01-26,193,95,1930.0,Northampton Town,60.0,League One,3.0,SUB,12.0,,2023-07-14,2025.0,103,Cameroon,,,,Left,2,2,1,Medium/High,Normal (185+),No,1100000.0,#Strength,"Long Ball Pass, Bruiser, Aerial",68.0,40.0,45.0,47.0,62.0,83.0,40,33,60,52,29,46,38,30,41,51,65,70,36,58,32,57,72,76,91,43,76,61,42,44,41,58.0,63,63,62,9,12,16,12,11,,51+2,51+2,51+2,48,49,49,49,48,48+2,48+2,48+2,50+2,51+2,51+2,51+2,50+2,59+2,59+2,59+2,59+2,59+2,60+2,65,65,65,60+2,16+2
240786,/player/240786/ali-koiki/240002,24.0,2.0,2023-09-22,A. Koiki,Abd-Al-Ali Morakinyo Olaposi Koiki,"LB, LWB",64,69,825000.0,2000.0,23,1999-08-22,187,81,1930.0,Northampton Town,60.0,League One,3.0,SUB,14.0,,2021-07-23,2025.0,14,England,,,,Left,2,3,1,High/Medium,Stocky (185+),Yes,1500000.0,,"Flair, Quick Step",89.0,52.0,53.0,60.0,57.0,74.0,56,51,54,56,49,60,49,34,49,57,87,90,69,55,64,57,73,74,80,50,59,57,53,53,52,57.0,56,58,57,14,11,6,9,7,,59+2,59+2,59+2,60,58,58,58,60,58+2,58+2,58+2,61+2,56+2,56+2,56+2,61+2,62+2,58+2,58+2,58+2,62+2,62+2,60+2,60+2,60+2,62+2,15+2
203175,/player/203175/lee-burge/240002,24.0,2.0,2023-09-22,L. Burge,Lee Stephen Burge,GK,64,64,400000.0,2000.0,30,1993-01-09,190,86,1930.0,Northampton Town,60.0,League One,3.0,SUB,1.0,,2022-07-01,2024.0,14,England,,,,Left,3,1,1,Medium/Medium,Lean (185+),No,700000.0,,,,,,,,,12,14,19,33,11,18,19,14,21,32,42,41,47,58,68,45,55,35,53,14,25,11,5,32,31,40.0,18,16,19,63,61,60,65,66,42.0,27+2,27+2,27+2,27,28,28,28,27,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,26+2,63+1
235216,/player/235216/ben-fox/240002,24.0,2.0,2023-09-22,B. Fox,Benjamin Jake Fox,CM,63,66,625000.0,2000.0,25,1998-02-01,175,76,1930.0,Northampton Town,60.0,League One,3.0,SUB,8.0,,2022-07-01,2024.0,14,England,,,,Right,3,2,1,High/High,Normal (170-185),No,1100000.0,#Engine,,69.0,56.0,57.0,62.0,61.0,69.0,48,55,55,64,44,60,40,40,62,63,70,69,70,61,56,64,67,86,65,55,58,60,58,60,47,59.0,60,63,62,6,10,8,12,12,,60+2,60+2,60+2,60,61,61,61,60,61+2,61+2,61+2,62+2,63+2,63+2,63+2,62+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,63+2,16+2
