player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
200779,/player/200779/jonson-clarke-harris/240002,24.0,2.0,2023-09-22,J. Clarke-Harris,Jonson Clarke-Harris,ST,71,71,1900000.0,10000.0,28,1994-07-21,183,78,1938.0,Peterborough United,60.0,League One,3.0,ST,9.0,,2020-08-27,2024.0,82,Jamaica,,,,Left,4,3,1,Medium/Low,Stocky (170-185),No,3300000.0,,"Power Shot, Power Header, Flair, Press Proven",71.0,73.0,55.0,68.0,28.0,81.0,45,72,70,61,66,66,58,64,43,68,68,73,71,69,68,79,82,72,86,69,77,30,71,58,73,72.0,27,17,13,14,7,10,6,11,,71,71,71,66,68,68,68,66,65+2,65+2,65+2,64+2,58+2,58+2,58+2,64+2,48+2,48+2,48+2,48+2,48+2,45+2,46+2,46+2,46+2,45+2,16+2
258167,/player/258167/ronnie-edwards/240002,24.0,2.0,2023-09-22,R. Edwards,Ronnie Edwards,CB,68,80,2700000.0,4000.0,20,2003-03-28,180,76,1938.0,Peterborough United,60.0,League One,3.0,RCB,4.0,,2020-08-10,2025.0,14,England,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,5300000.0,,"Long Ball Pass, Jockey, Block, Anticipate",69.0,35.0,51.0,60.0,69.0,70.0,31,28,61,64,25,59,38,29,58,57,67,71,66,68,65,56,72,73,71,27,63,70,34,54,47,62.0,71,69,68,6,11,6,12,8,,51+2,51+2,51+2,52,53,53,53,52,54+2,54+2,54+2,55+2,58+2,58+2,58+2,55+2,63+2,66+2,66+2,66+2,63+2,64+2,68+2,68+2,68+2,64+2,16+2
251028,/player/251028/kwame-poku/240002,24.0,2.0,2023-09-22,K. Poku,Kwame Afriyie Adubofour Poku,"CAM, RM, RW",68,77,2700000.0,4000.0,21,2001-08-11,179,67,1938.0,Peterborough United,60.0,League One,3.0,RM,11.0,,2021-08-02,2025.0,117,Ghana,,,,Left,3,3,1,Medium/Low,Lean (170-185),No,5300000.0,#Acrobat,"Technical, Flair, Quick Step",86.0,60.0,62.0,72.0,44.0,52.0,59,62,33,66,40,71,58,50,58,69,90,82,90,58,84,60,55,69,49,59,37,42,63,67,53,65.0,44,49,40,7,12,9,6,14,,61+2,61+2,61+2,69,66,66,66,69,68+2,68+2,68+2,68+2,63+2,63+2,63+2,68+2,59+2,54+2,54+2,54+2,59+2,56+2,47+2,47+2,47+2,56+2,15+2
236784,/player/236784/ephron-mason-clark/240002,24.0,2.0,2023-09-22,E. Mason-Clark,Ephron Jardell Mason-Clark,LM,67,72,1500000.0,4000.0,23,1999-08-25,177,78,1938.0,Peterborough United,60.0,League One,3.0,LM,10.0,,2022-08-26,2025.0,14,England,,,,Right,4,4,1,High/Medium,Stocky (170-185),No,2700000.0,,"Technical, Flair",82.0,63.0,58.0,71.0,29.0,71.0,62,66,50,61,58,69,56,47,41,67,83,82,87,65,85,62,76,70,74,58,61,24,64,64,56,67.0,26,29,23,13,12,14,12,8,,65+2,65+2,65+2,68,66,66,66,68,66+2,66+2,66+2,66+2,58+2,58+2,58+2,66+2,52+2,47+2,47+2,47+2,52+2,49+2,44+2,44+2,44+2,49+2,17+2
255314,/player/255314/peter-kioso/240002,24.0,2.0,2023-09-22,P. Kioso,Peter Kioso,"RB, RWB",66,73,1600000.0,4000.0,23,1999-08-15,183,73,1938.0,Peterborough United,60.0,League One,3.0,RB,30.0,Rotherham United,,2024.0,25,Republic of Ireland,,,,Right,3,2,1,High/Medium,Lean (170-185),No,,,,70.0,45.0,58.0,63.0,62.0,68.0,62,47,67,61,30,63,48,33,57,62,70,70,66,61,58,46,72,73,65,40,69,60,60,56,41,60.0,62,63,62,5,13,11,15,10,,57+2,57+2,57+2,60,59,59,59,60,59+2,59+2,59+2,62+2,60+2,60+2,60+2,62+2,64+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,64+2,16+2
228827,/player/228827/jeando-fuchs/240002,24.0,2.0,2023-09-22,J. Fuchs,Jeando Pourrat Fuchs,"CM, CDM",66,69,1100000.0,4000.0,25,1997-10-11,176,70,1938.0,Peterborough United,60.0,League One,3.0,SUB,7.0,,2022-01-28,2024.0,103,Cameroon,,,,Right,3,2,1,Medium/High,Normal (170-185),No,2000000.0,,"Intercept, Slide Tackle, Relentless",81.0,56.0,62.0,67.0,64.0,81.0,50,53,48,68,42,63,57,43,66,65,81,81,84,66,80,64,83,87,76,57,83,70,61,64,53,67.0,63,67,65,7,15,9,14,16,,62+2,62+2,62+2,64,64,64,64,64,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,68+1,69,69,69,68+1,68+1,67+2,67+2,67+2,68+1,19+2
248050,/player/248050/harrison-burrows/240002,24.0,2.0,2023-09-22,H. Burrows,Harrison Burrows,"CAM, LWB",65,74,1600000.0,3000.0,21,2002-01-12,168,55,1938.0,Peterborough United,60.0,League One,3.0,LB,3.0,,2019-01-13,2024.0,14,England,,,,Left,3,3,1,Medium/Medium,Normal (170-),No,3100000.0,,,79.0,57.0,61.0,68.0,60.0,50.0,61,56,54,65,39,65,57,41,60,65,81,77,86,64,92,63,55,73,34,58,62,57,60,63,43,62.0,59,63,62,12,13,6,15,11,,60+2,60+2,60+2,65,64,64,64,65,65+2,65+2,65+2,65+2,63+2,63+2,63+2,65+2,65+2,61+2,61+2,61+2,65+2,64+2,58+2,58+2,58+2,64+2,18+2
240605,/player/240605/archie-collins/240002,24.0,2.0,2023-09-22,A. Collins,Archie Finn Collins,CM,65,70,1100000.0,3000.0,23,1999-08-31,175,63,1938.0,Peterborough United,60.0,League One,3.0,LDM,27.0,,2023-06-28,2026.0,14,England,,,,Right,4,2,1,High/High,Lean (170-185),No,2000000.0,#Engine,Long Ball Pass,71.0,57.0,62.0,66.0,61.0,69.0,57,55,48,65,47,64,62,57,65,62,68,74,83,66,81,61,69,90,63,60,56,64,57,63,51,66.0,63,63,58,7,14,12,6,9,,60+2,60+2,60+2,63,62,62,62,63,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,66+2,65+2,65+2,65+2,66+2,65+2,61+2,61+2,61+2,65+2,15+2
240977,/player/240977/david-ajiboye/240002,24.0,2.0,2023-09-22,D. Ajiboye,David Ibukun Ajiboye,RM,65,69,1000000.0,3000.0,24,1998-09-28,170,70,1938.0,Peterborough United,60.0,League One,3.0,SUB,16.0,,2022-06-22,2025.0,14,England,,,,Right,3,3,1,High/Medium,Stocky (170-),No,1800000.0,"#Speedster, #Acrobat","Technical, Flair, Quick Step",91.0,56.0,55.0,67.0,38.0,68.0,59,57,45,57,44,65,49,52,44,62,92,91,92,56,90,57,75,79,73,56,42,37,57,56,55,62.0,40,36,33,8,10,10,6,11,,60+2,60+2,60+2,65,62,62,62,65,61+2,61+2,61+2,64+2,56+2,56+2,56+2,64+2,56+2,49+2,49+2,49+2,56+2,53+2,47+2,47+2,47+2,53+2,14+2
237213,/player/237213/josh-knight/240002,24.0,2.0,2023-09-22,J. Knight,Josh Knight,CB,65,68,850000.0,3000.0,25,1997-09-07,185,78,1938.0,Peterborough United,60.0,League One,3.0,SUB,5.0,,2021-07-02,2024.0,14,England,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,1600000.0,,Long Ball Pass,57.0,52.0,51.0,57.0,65.0,73.0,40,52,64,59,41,56,42,37,57,58,55,58,54,63,58,54,70,75,73,56,69,65,46,51,42,54.0,65,65,64,13,12,9,8,10,,56+2,56+2,56+2,54,55,55,55,54,55+2,55+2,55+2,55+2,58+2,58+2,58+2,55+2,60+2,63+2,63+2,63+2,60+2,61+2,65+2,65+2,65+2,61+2,16+2
