player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
236246,/player/236246/ovie-ejaria/240002,24.0,2.0,2023-09-22,O. Ejaria,Oviemuno Dominic Ejaria,"LM, CM, CAM",69,71,1700000.0,4000.0,25,1997-11-18,188,74,1793.0,Reading,60.0,League One,3.0,RES,14.0,,2020-08-28,2024.0,14,England,,,,Right,3,4,1,Low/Medium,Lean (185+),Yes,3100000.0,#Acrobat,"Finesse Shot, Technical, Flair, First Touch",60.0,61.0,67.0,78.0,64.0,63.0,63,62,50,70,54,78,70,49,66,80,67,54,90,61,78,63,63,71,63,63,52,67,56,69,57,67.0,64,65,69,15,9,11,14,10,,63+2,63+2,63+2,68,67,67,67,68,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,67+2,67+2,66+2,63+2,63+2,63+2,66+2,17+2
208052,/player/208052/andy-yiadom/240002,24.0,2.0,2023-09-22,A. Yiadom,Andrew Kyere Yiadom,"RB, RWB, CB",69,69,1000000.0,4000.0,31,1991-12-02,180,75,1793.0,Reading,60.0,League One,3.0,SUB,17.0,,2018-07-01,2025.0,117,Ghana,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,1800000.0,,"Slide Tackle, Rapid",76.0,52.0,60.0,67.0,64.0,75.0,61,52,61,62,41,67,62,42,55,64,74,78,75,63,77,57,81,83,67,51,81,64,59,61,49,64.0,62,66,67,9,8,7,9,9,,61+2,61+2,61+2,63,62,62,62,63,62+2,62+2,62+2,65+2,62+2,62+2,62+2,65+2,67+2,65+2,65+2,65+2,67+2,67+2,66+2,66+2,66+2,67+2,15+2
238839,/player/238839/lewis-wing/240002,24.0,2.0,2023-09-22,L. Wing,Lewis Wing,"CM, CDM",69,69,1400000.0,4000.0,28,1995-06-23,184,78,1793.0,Reading,60.0,League One,3.0,SUB,29.0,,2023-07-21,2026.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,2500000.0,,"Power Shot, Long Ball Pass",69.0,64.0,68.0,69.0,60.0,68.0,63,62,41,70,53,67,65,63,71,70,70,69,73,68,70,73,57,82,64,70,65,61,61,68,40,67.0,58,65,63,13,12,15,13,12,,64+2,64+2,64+2,67,67,67,67,67,68+1,68+1,68+1,68+1,69,69,69,68+1,67+2,67+2,67+2,67+2,67+2,65+2,61+2,61+2,61+2,65+2,19+2
241411,/player/241411/tom-holmes/240002,24.0,2.0,2023-09-22,T. Holmes,Thomas Holmes,CB,67,73,1500000.0,2000.0,23,2000-03-12,189,82,1793.0,Reading,60.0,League One,3.0,SUB,3.0,,2017-05-12,2025.0,14,England,,,,Right,2,2,1,Low/Medium,Normal (185+),No,2900000.0,,Long Ball Pass,50.0,25.0,56.0,56.0,67.0,73.0,53,20,66,63,32,54,46,25,64,58,47,52,48,63,55,35,70,65,76,20,75,67,39,49,37,64.0,64,68,70,12,9,8,14,12,,46+2,46+2,46+2,49,48,48,48,49,50+2,50+2,50+2,53+2,57+2,57+2,57+2,53+2,62+2,65+2,65+2,65+2,62+2,63+2,67+2,67+2,67+2,63+2,17+2
235028,/player/235028/tom-mcintyre/240002,24.0,2.0,2023-09-22,T. McIntyre,Thomas Mcintyre,"CB, CDM, LB",67,71,1300000.0,2000.0,24,1998-11-06,185,73,1793.0,Reading,60.0,League One,3.0,SUB,5.0,,2016-07-01,2024.0,42,Scotland,,,,Left,2,2,1,Medium/High,Normal (185+),No,2400000.0,,,48.0,37.0,57.0,63.0,66.0,69.0,40,38,69,66,52,64,43,28,64,65,47,49,53,63,59,46,73,65,67,24,80,67,37,63,37,65.0,64,67,68,10,6,14,13,8,,52+2,52+2,52+2,53,54,54,54,53,57+2,57+2,57+2,56+2,61+2,61+2,61+2,56+2,61+2,66+2,66+2,66+2,61+2,62+2,67+2,67+2,67+2,62+2,15+2
173533,/player/173533/david-button/240002,24.0,2.0,2023-09-22,D. Button,David Button,GK,67,67,170000.0,2000.0,34,1989-02-27,191,87,1793.0,Reading,60.0,League One,3.0,GK,1.0,,2023-08-09,2025.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),Yes,298000.0,,,,,,,,,13,12,19,46,11,23,12,15,33,33,55,52,50,62,45,48,53,35,40,13,12,24,12,41,11,61.0,7,17,11,70,66,64,64,68,54.0,30+2,30+2,30+2,32,33,33,33,32,35+2,35+2,35+2,33+2,34+2,34+2,34+2,33+2,29+2,30+2,30+2,30+2,29+2,28+2,24+2,24+2,24+2,28+2,66+1
191079,/player/191079/harlee-dean/240002,24.0,2.0,2023-09-22,H. Dean,Harlee Dean,CB,67,67,700000.0,2000.0,31,1991-07-26,191,90,1793.0,Reading,60.0,League One,3.0,RCB,6.0,,2023-08-04,2025.0,14,England,,,,Right,3,2,1,Medium/High,Normal (185+),No,1200000.0,,"Power Header, Aerial",51.0,33.0,45.0,53.0,67.0,73.0,20,25,69,61,23,48,26,32,56,55,51,51,57,62,55,60,73,60,80,30,70,67,34,40,21,61.0,69,65,62,16,16,16,12,16,,49+2,49+2,49+2,45,47,47,47,45,48+2,48+2,48+2,47+2,53+2,53+2,53+2,47+2,56+2,62+2,62+2,62+2,56+2,58+2,67,67,67,58+2,20+2
264437,/player/264437/amadou-mbengue/240002,24.0,2.0,2023-09-22,A. Mbengue,Amadou Salif Mbengue,"RB, CB",66,75,1800000.0,2000.0,21,2002-01-05,180,75,1793.0,Reading,60.0,League One,3.0,RB,27.0,,2022-09-13,2025.0,136,Senegal,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,3500000.0,,"Slide Tackle, Quick Step, Long Throw",79.0,31.0,47.0,54.0,66.0,68.0,49,26,64,53,26,51,30,34,58,55,77,81,53,62,67,42,76,65,67,29,74,67,31,34,44,50.0,64,67,69,11,9,5,6,12,,48+2,48+2,48+2,50,48,48,48,50,48+2,48+2,48+2,53+2,51+2,51+2,51+2,53+2,62+2,61+2,61+2,61+2,62+2,64+2,66+2,66+2,66+2,64+2,15+2
248880,/player/248880/nesta-guinness-walker/240002,24.0,2.0,2023-09-22,N. Guinness-Walker,Nesta Guinness-Walker,"LB, LWB",66,72,1300000.0,2000.0,23,1999-09-14,183,79,1793.0,Reading,60.0,League One,3.0,SUB,18.0,,2022-07-29,2024.0,14,England,,,,Left,2,3,1,High/Medium,Normal (170-185),No,2500000.0,,"Technical, Flair, Long Throw",83.0,36.0,61.0,65.0,59.0,65.0,64,35,51,63,25,68,63,40,54,64,82,84,70,59,54,48,72,70,66,22,55,60,60,62,32,57.0,57,62,58,9,8,13,14,15,,55+2,55+2,55+2,62,59,59,59,62,60+2,60+2,60+2,64+2,60+2,60+2,60+2,64+2,64+2,61+2,61+2,61+2,64+2,64+2,60+2,60+2,60+2,64+2,17+2
235247,/player/235247/sam-smith/240002,24.0,2.0,2023-09-22,S. Smith,Samuel Toby Smith,"ST, RM",66,69,1100000.0,2000.0,25,1998-03-08,185,73,1793.0,Reading,60.0,League One,3.0,RES,10.0,,2023-07-17,2026.0,14,England,,,,Left,3,2,1,Medium/Low,Normal (185+),No,2000000.0,,Aerial,74.0,65.0,57.0,64.0,29.0,73.0,58,65,66,60,59,62,53,57,47,63,72,75,73,65,70,66,80,74,76,63,61,23,67,58,63,59.0,27,26,21,11,8,9,9,9,,66+2,66+2,66+2,64,64,64,64,64,63+2,63+2,63+2,63+2,57+2,57+2,57+2,63+2,50+2,47+2,47+2,47+2,50+2,47+2,44+2,44+2,44+2,47+2,15+2
