player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
221531,/player/221531/marko-marosi/240002,24.0,2.0,2023-09-22,M. Maroši,Marko Maroši,GK,67,67,700000.0,3000.0,29,1993-10-23,193,80,127.0,Shrewsbury Town,60.0,League One,3.0,GK,1.0,,2021-06-24,2024.0,43,Slovakia,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1200000.0,,,,,,,,,16,16,14,33,16,13,21,14,51,25,40,42,39,63,48,46,61,27,67,15,17,21,17,58,28,64.0,16,16,12,67,66,61,67,68,41.0,29+2,29+2,29+2,28,30,30,30,28,33+2,33+2,33+2,30+2,35+2,35+2,35+2,30+2,26+2,31+2,31+2,31+2,26+2,25+2,27+2,27+2,27+2,25+2,66+1
226102,/player/226102/chey-dunkley/240002,24.0,2.0,2023-09-22,C. Dunkley,Cheyenne Dunkley,CB,67,67,700000.0,4000.0,31,1992-02-13,188,85,127.0,Shrewsbury Town,60.0,League One,3.0,CB,22.0,,2022-07-01,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (185+),No,1200000.0,#Strength,"Power Header, Block, Bruiser, Aerial",50.0,36.0,42.0,49.0,66.0,81.0,26,39,68,55,31,46,29,25,50,49,51,49,49,65,49,41,77,72,89,25,71,64,45,35,34,60.0,68,66,65,15,14,15,12,11,,50+2,50+2,50+2,45,47,47,47,45,47+2,47+2,47+2,47+2,51+2,51+2,51+2,47+2,57+2,61+2,61+2,61+2,57+2,59+2,67,67,67,59+2,19+2
239553,/player/239553/tom-bayliss/240002,24.0,2.0,2023-09-22,T. Bayliss,Tom Bayliss,"CAM, CM",66,71,1300000.0,3000.0,24,1999-04-06,183,78,127.0,Shrewsbury Town,60.0,League One,3.0,LCM,20.0,,2022-06-27,2024.0,14,England,,,,Right,3,3,1,High/High,Lean (170-185),No,2400000.0,,"Pinged Pass, Technical",72.0,59.0,65.0,67.0,59.0,68.0,58,61,57,68,48,67,64,60,66,67,75,69,66,65,65,63,71,74,66,55,63,56,62,67,52,69.0,59,62,58,9,7,8,11,8,,63+2,63+2,63+2,65,65,65,65,65,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,63+2,61+2,61+2,61+2,63+2,15+2
233378,/player/233378/jordan-shipley/240002,24.0,2.0,2023-09-22,J. Shipley,Jordan Shipley,"LWB, LW",66,69,1000000.0,3000.0,25,1997-09-26,183,73,127.0,Shrewsbury Town,60.0,League One,3.0,RES,26.0,,2022-06-10,2025.0,25,Republic of Ireland,,,,Left,2,3,1,Medium/High,Lean (170-185),No,1800000.0,,Whipped Cross,66.0,63.0,66.0,66.0,59.0,70.0,67,63,50,67,52,66,67,65,63,67,64,67,64,63,69,68,62,73,66,63,77,61,61,65,62,65.0,59,62,58,15,10,14,5,8,,63+2,63+2,63+2,65,65,65,65,65,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,64+2,64+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,63+2,16+2
233572,/player/233572/daniel-udoh/240002,24.0,2.0,2023-09-22,D. Udoh,Dominic Daniel Udoh,"ST, LW",66,67,1000000.0,4000.0,26,1996-08-30,183,73,127.0,Shrewsbury Town,60.0,League One,3.0,RS,11.0,,2019-05-31,2024.0,133,Nigeria,,,,Right,4,3,1,High/Medium,Normal (170-185),No,1800000.0,,,81.0,64.0,52.0,66.0,39.0,77.0,49,66,61,58,58,63,49,41,47,65,82,80,81,64,76,64,86,82,81,61,59,31,66,53,58,58.0,40,39,32,15,9,9,10,6,,66+1,66+1,66+1,64,65,65,65,64,63+2,63+2,63+2,64+2,58+2,58+2,58+2,64+2,54+2,51+2,51+2,51+2,54+2,53+2,51+2,51+2,51+2,53+2,16+2
237933,/player/237933/brandon-fleming/240002,24.0,2.0,2023-09-22,B. Fleming,Brandon Fleming,"LWB, LB",65,71,1100000.0,4000.0,23,1999-12-03,174,71,127.0,Shrewsbury Town,60.0,League One,3.0,SUB,25.0,Hull City,,2024.0,14,England,,,,Left,2,2,1,High/Medium,Lean (170-185),No,,,,73.0,36.0,57.0,64.0,60.0,57.0,67,31,51,60,31,63,62,54,53,61,74,73,74,59,77,46,61,62,54,36,57,59,47,45,42,53.0,62,61,62,12,7,5,11,13,,51+2,51+2,51+2,57,54,54,54,57,55+2,55+2,55+2,59+2,55+2,55+2,55+2,59+2,63+2,59+2,59+2,59+2,63+2,62+2,59+2,59+2,59+2,62+2,16+2
241397,/player/241397/george-nurse/240002,24.0,2.0,2023-09-22,G. Nurse,George Damien Nurse,"LWB, CB",65,69,950000.0,2000.0,24,1999-04-30,181,78,127.0,Shrewsbury Town,60.0,League One,3.0,RES,23.0,,2021-07-28,2024.0,14,England,,,,Left,2,3,1,High/High,Normal (170-185),No,1700000.0,,Long Throw,78.0,53.0,58.0,61.0,63.0,68.0,57,50,61,62,43,58,56,49,60,59,79,77,76,56,73,59,85,70,69,57,60,63,53,54,52,56.0,63,65,63,6,11,6,9,9,,58+2,58+2,58+2,60,59,59,59,60,59+2,59+2,59+2,60+2,59+2,59+2,59+2,60+2,63+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,64+2,64+2,14+2
194785,/player/194785/tom-flanagan/240002,24.0,2.0,2023-09-22,T. Flanagan,Thomas Michael Flanagan,CB,65,65,500000.0,3000.0,31,1991-10-21,188,76,127.0,Shrewsbury Town,60.0,League One,3.0,SUB,33.0,,2022-01-31,2024.0,35,Northern Ireland,110081.0,SUB,4.0,Right,3,2,1,Medium/High,Lean (185+),No,875000.0,,Intercept,43.0,34.0,52.0,47.0,64.0,77.0,55,34,65,56,19,43,42,29,51,48,47,39,51,59,53,32,70,70,78,41,85,63,30,50,30,53.0,64,65,62,10,11,6,9,14,,44+2,44+2,44+2,46,44,44,44,46,47+2,47+2,47+2,48+2,52+2,52+2,52+2,48+2,58+2,61+2,61+2,61+2,58+2,59+2,65,65,65,59+2,16+2
201901,/player/201901/carl-winchester/240002,24.0,2.0,2023-09-22,C. Winchester,Carl Winchester,"CM, CDM",65,65,675000.0,3000.0,30,1993-04-12,178,74,127.0,Shrewsbury Town,60.0,League One,3.0,RWB,7.0,,2023-07-01,2025.0,35,Northern Ireland,,,,Right,3,3,1,Medium/High,Lean (170-185),No,1200000.0,,"Intercept, Slide Tackle",73.0,60.0,64.0,66.0,59.0,74.0,63,59,54,68,51,63,60,54,63,66,74,72,78,58,78,63,80,88,71,64,62,60,59,61,56,64.0,59,61,57,11,7,11,12,12,,62+2,62+2,62+2,64,63,63,63,64,64+1,64+1,64+1,65,65,65,65,65,65,64+1,64+1,64+1,65,64+1,62+2,62+2,62+2,64+1,16+2
251554,/player/251554/kieran-phillips/240002,24.0,2.0,2023-09-22,K. Phillips,Kieran James Phillips,"ST, RM",64,72,1300000.0,3000.0,23,2000-02-18,187,76,127.0,Shrewsbury Town,60.0,League One,3.0,SUB,10.0,Huddersfield Town,,2024.0,14,England,,,,Right,3,2,1,High/Medium,Lean (185+),No,,,,75.0,63.0,52.0,63.0,33.0,67.0,51,65,64,55,59,63,53,51,44,61,73,76,68,62,70,64,75,66,69,60,59,31,65,55,58,56.0,34,27,23,7,12,5,8,13,,64+2,64+2,64+2,62,63,63,63,62,61+2,61+2,61+2,61+2,55+2,55+2,55+2,61+2,49+2,46+2,46+2,46+2,49+2,47+2,45+2,45+2,45+2,47+2,15+2
