player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224543,/player/224543/max-stryjek/240002,24.0,2.0,2023-09-22,M. Stryjek,Maksymilian Stryjek,GK,69,71,1300000.0,5000.0,26,1996-07-18,188,82,1933.0,Wycombe Wanderers,60.0,League One,3.0,GK,1.0,,2022-08-18,2024.0,37,Poland,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2400000.0,,Far Throw,,,,,,,17,10,13,27,15,13,12,12,25,20,41,44,31,65,50,49,63,42,69,16,20,26,14,36,25,38.0,15,14,17,68,68,65,68,69,42.0,27+2,27+2,27+2,25,27,27,27,25,26+2,26+2,26+2,27+2,28+2,28+2,28+2,27+2,28+2,28+2,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,68+2
203138,/player/203138/josh-scowen/240002,24.0,2.0,2023-09-22,J. Scowen,Joshua Charles Scowen,"CDM, CM",69,69,1200000.0,6000.0,30,1993-03-28,178,74,1933.0,Wycombe Wanderers,60.0,League One,3.0,RCM,4.0,,2021-07-01,2024.0,14,England,,,,Right,3,2,1,Medium/High,Lean (170-185),No,2100000.0,,"Block, Intercept, Slide Tackle",60.0,54.0,61.0,65.0,68.0,75.0,59,50,57,62,49,62,58,55,61,65,61,59,78,67,73,61,75,85,70,58,77,71,61,63,52,62.0,70,69,66,9,14,8,11,9,,60+2,60+2,60+2,61,61,61,61,61,62+2,62+2,62+2,63+2,65+2,65+2,65+2,63+2,67+2,68+1,68+1,68+1,67+2,67+2,68+1,68+1,68+1,67+2,17+2
189160,/player/189160/garath-mccleary/240002,24.0,2.0,2023-09-22,G. McCleary,Garath James McCleary,"RM, ST, LM",68,68,400000.0,4000.0,36,1987-05-15,183,76,1933.0,Wycombe Wanderers,60.0,League One,3.0,SUB,12.0,,2020-11-04,2024.0,82,Jamaica,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,700000.0,,"Finesse Shot, Technical, Flair",77.0,66.0,63.0,69.0,48.0,69.0,65,66,55,62,65,70,68,59,57,68,78,76,70,65,67,70,77,65,75,66,55,41,63,66,60,68.0,50,51,43,14,15,8,9,14,,67+1,67+1,67+1,68,67,67,67,68,66+2,66+2,66+2,67+1,62+2,62+2,62+2,67+1,59+2,57+2,57+2,57+2,59+2,57+2,55+2,55+2,55+2,57+2,18+2
200697,/player/200697/ryan-tafazolli/240002,24.0,2.0,2023-09-22,R. Tafazolli,Ryan Sirous Tafazolli,CB,68,68,825000.0,5000.0,31,1991-09-28,196,93,1933.0,Wycombe Wanderers,60.0,League One,3.0,LCB,6.0,,2020-09-02,2024.0,14,England,,,,Left,2,2,1,Low/High,Normal (185+),No,1400000.0,#Strength,"Power Header, Bruiser, Aerial",39.0,28.0,42.0,46.0,68.0,79.0,38,18,70,53,35,41,22,40,46,55,37,41,31,66,32,37,73,69,90,39,65,67,21,31,32,60.0,69,68,67,16,13,14,13,15,,43+2,43+2,43+2,40,41,41,41,40,42+2,42+2,42+2,43+2,49+2,49+2,49+2,43+2,58+2,61+2,61+2,61+2,58+2,60+2,68,68,68,60+2,20+2
239119,/player/239119/luke-leahy/240002,24.0,2.0,2023-09-22,L. Leahy,Luke Leahy,CM,68,68,1200000.0,5000.0,30,1992-11-19,178,73,1933.0,Wycombe Wanderers,60.0,League One,3.0,LCM,10.0,,2023-07-11,2025.0,14,England,,,,Left,2,3,1,High/High,Lean (170-185),No,2100000.0,#Engine,"Long Ball Pass, Whipped Cross, Intercept, Relentless, Long Throw",70.0,64.0,67.0,68.0,61.0,77.0,68,62,59,68,55,67,70,61,67,67,69,71,72,67,73,68,77,90,69,66,81,65,65,66,70,64.0,57,63,58,13,11,13,7,12,,65+2,65+2,65+2,67,66,66,66,67,67+1,67+1,67+1,68,68,68,68,68,68,67+1,67+1,67+1,68,66+2,65+2,65+2,65+2,66+2,17+2
261300,/player/261300/killian-phillips/240002,24.0,2.0,2023-09-22,K. Phillips,Killian Phillips,"CM, CAM",66,78,2100000.0,8000.0,21,2002-03-30,190,85,1933.0,Wycombe Wanderers,60.0,League One,3.0,SUB,22.0,Crystal Palace,,2024.0,25,Republic of Ireland,,,,Right,3,2,1,High/High,Lean (185+),No,,,,56.0,58.0,63.0,63.0,62.0,77.0,56,57,66,68,52,63,56,50,64,67,60,52,56,65,55,62,75,80,78,55,70,61,66,66,52,66.0,59,64,62,7,11,14,6,14,,63+2,63+2,63+2,62,63,63,63,62,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,64+2,66+2,66+2,66+2,64+2,63+2,65+2,65+2,65+2,63+2,16+2
244240,/player/244240/chris-forino/240002,24.0,2.0,2023-09-22,C. Forino,Chris Forino-Joseph,CB,66,71,1200000.0,3000.0,23,2000-04-26,191,83,1933.0,Wycombe Wanderers,60.0,League One,3.0,SUB,5.0,,2021-04-27,2024.0,14,England,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,2200000.0,,"Power Header, Intercept, Aerial",70.0,24.0,39.0,47.0,65.0,76.0,31,19,67,50,28,43,25,21,41,47,70,70,53,59,41,34,82,62,85,24,68,64,20,34,38,55.0,65,66,63,5,8,8,5,13,,43+2,43+2,43+2,42,41,41,41,42,42+2,42+2,42+2,45+2,45+2,45+2,45+2,45+2,57+2,58+2,58+2,58+2,57+2,59+2,66+2,66+2,66+2,59+2,13+2
183449,/player/183449/joe-jacobson/240002,24.0,2.0,2023-09-22,J. Jacobson,Joseph Mark Jacobson,"CB, LB",66,66,150000.0,2000.0,36,1986-11-17,180,79,1933.0,Wycombe Wanderers,60.0,League One,3.0,SUB,3.0,,2014-07-01,2024.0,50,Wales,,,,Left,2,2,1,High/High,Normal (170-185),No,263000.0,,"Dead Ball, Long Ball Pass, Whipped Cross, Intercept",50.0,58.0,66.0,61.0,64.0,74.0,72,54,62,64,53,59,75,72,63,63,49,51,60,66,65,66,75,77,71,57,78,64,59,62,71,62.0,64,66,64,9,9,12,11,9,,60+2,60+2,60+2,60,60,60,60,60,60+2,60+2,60+2,62+2,63+2,63+2,63+2,62+2,65+1,66,66,66,65+1,64+2,66,66,66,64+2,16+2
163156,/player/163156/richard-keogh/240002,24.0,2.0,2023-09-22,R. Keogh,Richard Keogh,CB,65,65,130000.0,2000.0,36,1986-08-11,189,87,1933.0,Wycombe Wanderers,60.0,League One,3.0,SUB,16.0,,2023-07-04,2024.0,25,Republic of Ireland,,,,Right,3,2,1,Medium/High,Normal (185+),No,228000.0,,,40.0,31.0,56.0,54.0,65.0,66.0,52,28,68,64,23,52,33,30,60,56,48,34,44,64,56,48,69,52,74,15,64,63,50,57,36,67.0,67,65,63,13,15,11,13,11,,49+2,49+2,49+2,49,50,50,50,49,52+2,52+2,52+2,52+2,56+2,56+2,56+2,52+2,58+2,62+2,62+2,62+2,58+2,59+2,65,65,65,59+2,19+2
179746,/player/179746/sam-vokes/240002,24.0,2.0,2023-09-22,S. Vokes,Samuel Michael Vokes,ST,65,65,450000.0,3000.0,33,1989-10-21,186,90,1933.0,Wycombe Wanderers,60.0,League One,3.0,RS,9.0,,2021-07-28,2024.0,50,Wales,,,,Right,3,2,1,Medium/Medium,Stocky (185+),Yes,788000.0,#Strength,"Power Header, Press Proven, Aerial",36.0,66.0,57.0,57.0,42.0,82.0,59,64,71,61,65,54,58,46,50,62,34,38,45,70,52,76,77,68,91,58,76,42,70,58,67,68.0,42,38,29,13,14,9,9,7,,65,65,65,58,61,61,61,58,59+2,59+2,59+2,58+2,58+2,58+2,58+2,58+2,51+2,54+2,54+2,54+2,51+2,49+2,54+2,54+2,54+2,49+2,17+2
